FIPS_CODE,COUNTY_CODE,COUNTY,ST,STATE,FOOD_INSECURITY,SEVERE_HOUSING_COST_BURDEN,UNEMPLOYED,NO_VEHICLE_ACCESS,UNINSURED
0,0,Abfaltersbach,07,Tirol,0.15,0.15,0.1,0.15,0.1
1,1,Absam,07,Tirol,0.15,0.15,0.1,0.15,0.1
2,2,Absdorf,03,Niederösterreich,0.15,0.15,0.1,0.15,0.1
3,3,Abtenau,05,Salzburg,0.15,0.15,0.1,0.15,0.1
4,4,Abtissendorf,06,Steiermark,0.15,0.15,0.1,0.15,0.1
5,5,Abwinden,04,Oberösterreich,0.15,0.15,0.1,0.15,0.1
6,6,Achau,03,Niederösterreich,0.15,0.15,0.1,0.15,0.1
7,7,Achenkirch,07,Tirol,0.15,0.15,0.1,0.15,0.1
8,8,Aderklaa,03,Niederösterreich,0.15,0.15,0.1,0.15,0.1
9,9,Adlwang,04,Oberösterreich,0.15,0.15,0.1,0.15,0.1
10,10,Admont,06,Steiermark,0.15,0.15,0.1,0.15,0.1
11,11,Adnet,05,Salzburg,0.15,0.15,0.1,0.15,0.1
12,12,Affental,06,Steiermark,0.15,0.15,0.1,0.15,0.1
13,13,Aflenz Kurort,06,Steiermark,0.15,0.15,0.1,0.15,0.1
14,14,Aggsbach,03,Niederösterreich,0.15,0.15,0.1,0.15,0.1
15,15,Ahorn,04,Oberösterreich,0.15,0.15,0.1,0.15,0.1
16,16,Aibl,06,Steiermark,0.15,0.15,0.1,0.15,0.1
17,17,Aich,06,Steiermark,0.15,0.15,0.1,0.15,0.1
18,18,Aichkirchen,04,Oberösterreich,0.15,0.15,0.1,0.15,0.1
19,19,Aigen,05,Salzburg,0.15,0.15,0.1,0.15,0.1
20,20,Aigen im Ennstal,06,Steiermark,0.15,0.15,0.1,0.15,0.1
21,21,Aigen im Mühlkreis,04,Oberösterreich,0.15,0.15,0.1,0.15,0.1
22,22,Ainet,07,Tirol,0.15,0.15,0.1,0.15,0.1
23,23,Aistersheim,04,Oberösterreich,0.15,0.15,0.1,0.15,0.1
24,24,Alberndorf,03,Niederösterreich,0.15,0.15,0.1,0.15,0.1
25,25,Alberndorf in der Riedmark,04,Oberösterreich,0.15,0.15,0.1,0.15,0.1
26,26,Alberschwende,08,Vorarlberg,0.15,0.15,0.1,0.15,0.1
27,27,Albersdorf,06,Steiermark,0.15,0.15,0.1,0.15,0.1
28,28,Aldrans,07,Tirol,0.15,0.15,0.1,0.15,0.1
29,29,Alkoven,04,Oberösterreich,0.15,0.15,0.1,0.15,0.1
30,30,Alland,03,Niederösterreich,0.15,0.15,0.1,0.15,0.1
31,31,Allentsteig,03,Niederösterreich,0.15,0.15,0.1,0.15,0.1
32,32,Allerheiligen,04,Oberösterreich,0.15,0.15,0.1,0.15,0.1
33,33,Allerheiligen bei Wildon,06,Steiermark,0.15,0.15,0.1,0.15,0.1
34,34,Allerheiligen im Mühlkreis,04,Oberösterreich,0.15,0.15,0.1,0.15,0.1
35,35,Allerheiligen im Mürztal,06,Steiermark,0.15,0.15,0.1,0.15,0.1
36,36,Allhaming,04,Oberösterreich,0.15,0.15,0.1,0.15,0.1
37,37,Allhartsberg,03,Niederösterreich,0.15,0.15,0.1,0.15,0.1
38,38,Alpbach,07,Tirol,0.15,0.15,0.1,0.15,0.1
39,39,Alpl,06,Steiermark,0.15,0.15,0.1,0.15,0.1
40,40,Alt Lenzing,04,Oberösterreich,0.15,0.15,0.1,0.15,0.1
41,41,Alt-Dietmanns,03,Niederösterreich,0.15,0.15,0.1,0.15,0.1
42,42,Altach,08,Vorarlberg,0.15,0.15,0.1,0.15,0.1
43,43,Altaussee,06,Steiermark,0.15,0.15,0.1,0.15,0.1
44,44,Altenberg,03,Niederösterreich,0.15,0.15,0.1,0.15,0.1
45,45,Altenberg bei Linz,04,Oberösterreich,0.15,0.15,0.1,0.15,0.1
46,46,Altenburg,03,Niederösterreich,0.15,0.15,0.1,0.15,0.1
47,47,Altendorf,03,Niederösterreich,0.15,0.15,0.1,0.15,0.1
48,48,Altenfelden,04,Oberösterreich,0.15,0.15,0.1,0.15,0.1
