FIPS_CODE,COUNTY_CODE,COUNTY,ST,STATE,FOOD_INSECURITY,SEVERE_HOUSING_COST_BURDEN,UNEMPLOYED,NO_VEHICLE_ACCESS,UNINSURED
0,0,Aalst,,,0.15,0.15,0.1,0.15,0.1
1,1,Aalter,,,0.15,0.15,0.1,0.15,0.1
2,2,Aarschot,,,0.15,0.15,0.1,0.15,0.1
3,3,Aartselaar,,,0.15,0.15,0.1,0.15,0.1
4,4,Aiseau,,,0.15,0.15,0.1,0.15,0.1
5,5,Alken,,,0.15,0.15,0.1,0.15,0.1
6,6,Alveringem,,,0.15,0.15,0.1,0.15,0.1
7,7,Amay,,,0.15,0.15,0.1,0.15,0.1
8,8,Amblève,,,0.15,0.15,0.1,0.15,0.1
9,9,Andenne,,,0.15,0.15,0.1,0.15,0.1
10,10,Anderlues,,,0.15,0.15,0.1,0.15,0.1
11,11,Anhée,,,0.15,0.15,0.1,0.15,0.1
12,12,Ans,,,0.15,0.15,0.1,0.15,0.1
13,13,Anthisnes,,,0.15,0.15,0.1,0.15,0.1
14,14,Antoing,,,0.15,0.15,0.1,0.15,0.1
15,15,Antwerpen,,,0.15,0.15,0.1,0.15,0.1
16,16,Anzegem,,,0.15,0.15,0.1,0.15,0.1
17,17,Ardooie,,,0.15,0.15,0.1,0.15,0.1
18,18,Arendonk,,,0.15,0.15,0.1,0.15,0.1
19,19,Arlon,,,0.15,0.15,0.1,0.15,0.1
20,20,As,,,0.15,0.15,0.1,0.15,0.1
21,21,Asse,,,0.15,0.15,0.1,0.15,0.1
22,22,Assenede,,,0.15,0.15,0.1,0.15,0.1
23,23,Assesse,,,0.15,0.15,0.1,0.15,0.1
24,24,Ath,,,0.15,0.15,0.1,0.15,0.1
25,25,Attert,,,0.15,0.15,0.1,0.15,0.1
26,26,Aubange,,,0.15,0.15,0.1,0.15,0.1
27,27,Aubel,,,0.15,0.15,0.1,0.15,0.1
28,28,Avelgem,,,0.15,0.15,0.1,0.15,0.1
