,USPS,ST,NAME,ZCTA5,LAT,LON
0,Bruxelles-capitale,BRU,Bruxelles,1000,50.8504,4.3488
1,Bruxelles-capitale,BRU,Laeken,1020,50.8759,4.3484
2,Bruxelles-capitale,BRU,Schaerbeek,1030,50.8694,4.3774
3,Bruxelles-capitale,BRU,Etterbeek,1040,50.8327,4.3884
4,Bruxelles-capitale,BRU,Ixelles,1050,50.8333,4.3667
5,Bruxelles-capitale,BRU,Saint-Gilles,1060,50.8276,4.3439
6,Bruxelles-capitale,BRU,Anderlecht,1070,50.8362,4.3145
7,Bruxelles-capitale,BRU,Molenbeek-Saint-Jean,1080,50.8499,4.3125
8,Bruxelles-capitale,BRU,Koekelberg,1081,50.8612,4.3314
9,Bruxelles-capitale,BRU,Berchem-Sainte-Agathe,1082,50.8657,4.2956
10,Bruxelles-capitale,BRU,Ganshoren,1083,50.8707,4.3153
11,Bruxelles-capitale,BRU,Jette,1090,50.8731,4.3342
12,Bruxelles-capitale,BRU,Neder-Over-Heembeek,1120,50.9057,4.3922
13,Bruxelles-capitale,BRU,Haren,1130,50.8956,4.417
14,Bruxelles-capitale,BRU,Evere,1140,50.8744,4.399
15,Bruxelles-capitale,BRU,Woluwe-Saint-Pierre,1150,50.8551,4.3707
16,Bruxelles-capitale,BRU,Auderghem,1160,50.8167,4.4333
17,Bruxelles-capitale,BRU,Watermael-Boitsfort,1170,50.8015,4.4144
18,Bruxelles-capitale,BRU,Uccle,1180,50.8022,4.3394
19,Bruxelles-capitale,BRU,Forest,1190,50.8168,4.3278
20,Bruxelles-capitale,BRU,Woluwe-Saint-Lambert,1200,50.8439,4.4291
21,Bruxelles-capitale,BRU,Saint-Josse-Ten-Noode,1210,50.8538,4.3728
22,Vlaanderen,VLG,Antwerpen,2000,51.2199,4.4035
23,Vlaanderen,VLG,Antwerpen,2018,51.2199,4.4035
24,Vlaanderen,VLG,Antwerpen,2020,51.2199,4.4035
25,Vlaanderen,VLG,Antwerpen,2030,51.2199,4.4035
26,Vlaanderen,VLG,Berendrecht,2040,51.3425,4.3142
27,Vlaanderen,VLG,Antwerpen,2040,51.2199,4.4035
28,Vlaanderen,VLG,Lillo,2040,51.2807,4.506
29,Vlaanderen,VLG,Zandvliet,2040,51.3593,4.31
30,Vlaanderen,VLG,Antwerpen,2050,51.2199,4.4035
31,Vlaanderen,VLG,Antwerpen,2060,51.2199,4.4035
32,Vlaanderen,VLG,Burcht,2070,51.2039,4.3429
33,Vlaanderen,VLG,Zwijndrecht,2070,51.2198,4.3266
34,Vlaanderen,VLG,Deurne,2100,51.2213,4.4659
35,Vlaanderen,VLG,Wijnegem,2110,51.2279,4.5189
36,Vlaanderen,VLG,Borgerhout,2140,51.2096,4.4354
37,Vlaanderen,VLG,Borsbeek,2150,51.1966,4.4854
38,Vlaanderen,VLG,Wommelgem,2160,51.2045,4.5225
39,Vlaanderen,VLG,Merksem,2170,51.2462,4.449
40,Vlaanderen,VLG,Ekeren,2180,51.2809,4.4181
41,Vlaanderen,VLG,Morkhoven,2200,51.1189,4.8188
42,Vlaanderen,VLG,Herentals,2200,51.1766,4.8325
43,Vlaanderen,VLG,Noorderwijk,2200,51.1412,4.8406
