,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,20000,A.Z. Jan Portaels,Vaartstraat 42,Vilvoorde,Vlaanderen,1800,,,,,Yes,,50.9274072,4.4190545
1,20001,A.Z. Jan Portaels,nan nan,Vilvoorde,Vlaanderen,1800,,,,,Yes,,50.9275154,4.4190125
2,20002,A.Z. Jan Portaels,Gendarmeriestraat 65,Vilvoorde,Vlaanderen,1800,,,,,Yes,,50.9274896,4.418969
3,20003,A.Z. Sint-Lucas campus Sint-Lucas,Groenebriel 1,Gent,Vlaanderen,9000,,,,,Yes,,51.064075,3.7198579
6,20006,ASZ Wetteren,nan nan,Wetteren,Vlaanderen,9230,,,,,Yes,,51.011728,3.8977137
9,20009,AZ Delta Menen,nan nan,Menen,Vlaanderen,8930,,,,,Yes,,50.7923928,3.1226568
11,20011,AZ Delta campus Wilgenstraat,Wilgenstraat 2,Roeselare,Vlaanderen,8800,,,,,Yes,,50.9389763,3.1216664
16,20016,AZ Jan Palfijn site Watersportbaan,Henri Dunantlaan 5,Gent,Vlaanderen,9000,,,,,Yes,,51.0478855,3.7004804
18,20018,AZ Maria Middelares,Kortrijksesteenweg 1026,Gent,Vlaanderen,9000,,,,,Yes,,51.0238507,3.7024463
19,20019,AZ Maria Middelares campus Sint-Jozef,Kliniekstraat 27,Gent,Vlaanderen,9050,,+32 9 236 50 00,,,Yes,,51.0436009,3.7570078
20,20020,AZ Monica,nan nan,Antwerpen,Vlaanderen,2100,,,,,Yes,,51.2073111,4.4706491
29,20029,AZ Sint-Jan,Ruddershove 10,Brugge,Vlaanderen,8000,,,,,Yes,,51.2213677,3.1977402
31,20031,AZ Sint-Jozef,nan nan,Zoersel,Vlaanderen,2980,,,,,Yes,,51.2755462,4.6428568
41,20041,AZ Zeno campus Blankenberge,Dr. Frans Verhaegestraat 1,Blankenberge,Vlaanderen,8370,,+32 50 43 41 11,,,Yes,,51.3080095,3.1251157
42,20042,AZ Zeno campus Knokke-Heist,Kalvekeetdijk 260,Knokke-Heist,Vlaanderen,8300,,+32 50 53 50 00,,,Yes,,51.3250828,3.2902951
44,20044,Algemeen Stedelijk Ziekenhuis Aalst,nan nan,Aalst,Vlaanderen,9300,,,,,Yes,,50.9363633,4.0161419
48,20048,C.H.U. Notre-dame des Bruyères,Rue de Gaillarmont 600,Liège,Wallonie,4030,,,,,Yes,,50.6243239,5.6352129
49,20049,CHM,nan nan,Mouscron,Wallonie,7700,,,,,Yes,,50.7489336,3.2205068
