FIPS_CODE,COUNTY_CODE,COUNTY,ST,STATE,FOOD_INSECURITY,SEVERE_HOUSING_COST_BURDEN,UNEMPLOYED,NO_VEHICLE_ACCESS,UNINSURED
0,0,Aksakovo,VAR,Варна,0.15,0.15,0.1,0.15,0.1
1,1,Alfatar,SLS,Силистра,0.15,0.15,0.1,0.15,0.1
2,2,Anton,SFO,София,0.15,0.15,0.1,0.15,0.1
3,3,Antonovo,,Област Търговище,0.15,0.15,0.1,0.15,0.1
4,4,Ardino,KRZ,Кърджали,0.15,0.15,0.1,0.15,0.1
5,5,Asen,SZR,Стара Загора,0.15,0.15,0.1,0.15,0.1
6,6,Asenovgrad,PDV,Пловдив,0.15,0.15,0.1,0.15,0.1
7,7,Avren,VAR,Варна,0.15,0.15,0.1,0.15,0.1
8,8,Balchik,DOB,Добрич,0.15,0.15,0.1,0.15,0.1
9,9,Banite,SZR,Смолян,0.15,0.15,0.1,0.15,0.1
10,10,Bansko,BLG,Благоевград,0.15,0.15,0.1,0.15,0.1
11,11,Bata,BGS,Бургас,0.15,0.15,0.1,0.15,0.1
12,12,Batak,PAZ,Пазарджик,0.15,0.15,0.1,0.15,0.1
13,13,Belene,PVN,Плевен,0.15,0.15,0.1,0.15,0.1
14,14,Belogradchik,,Виден,0.15,0.15,0.1,0.15,0.1
15,15,Beloslav,VAR,Варна,0.15,0.15,0.1,0.15,0.1
16,16,Belovo,PAZ,Пазарджик,0.15,0.15,0.1,0.15,0.1
17,17,Blagoevgrad,BLG,Благоевград,0.15,0.15,0.1,0.15,0.1
18,18,Boboshevo,KNL,Кюстендил,0.15,0.15,0.1,0.15,0.1
19,19,Borino,SZR,Смолян,0.15,0.15,0.1,0.15,0.1
20,20,Borovan,,Vratsa,0.15,0.15,0.1,0.15,0.1
21,21,Borovo,RSE,Русе,0.15,0.15,0.1,0.15,0.1
22,22,Botevgrad,SFO,София,0.15,0.15,0.1,0.15,0.1
23,23,Bov,SFO,София,0.15,0.15,0.1,0.15,0.1
24,24,Bregovo,,Виден,0.15,0.15,0.1,0.15,0.1
25,25,Breznik,PER,Перник,0.15,0.15,0.1,0.15,0.1
26,26,Brezovo,PDV,Пловдив,0.15,0.15,0.1,0.15,0.1
27,27,Burgas,BGS,Бургас,0.15,0.15,0.1,0.15,0.1
28,28,Chavdar,SFO,София,0.15,0.15,0.1,0.15,0.1
29,29,Chelopech,SFO,София,0.15,0.15,0.1,0.15,0.1
30,30,Chepelare,SZR,Смолян,0.15,0.15,0.1,0.15,0.1
31,31,Chirpan,SZR,Стара Загора,0.15,0.15,0.1,0.15,0.1
32,32,Chuprene,,Виден,0.15,0.15,0.1,0.15,0.1
33,33,Devin,SZR,Смолян,0.15,0.15,0.1,0.15,0.1
34,34,Dimitrovgrad,HKV,Хасково,0.15,0.15,0.1,0.15,0.1
35,35,Dimovo,,Виден,0.15,0.15,0.1,0.15,0.1
36,36,Dobrich,DOB,Добрич,0.15,0.15,0.1,0.15,0.1
37,37,Dospat,SZR,Смолян,0.15,0.15,0.1,0.15,0.1
38,38,Dragoman,SFO,София,0.15,0.15,0.1,0.15,0.1
39,39,Dulovo,SLS,Силистра,0.15,0.15,0.1,0.15,0.1
40,40,Dzhebel,KRZ,Кърджали,0.15,0.15,0.1,0.15,0.1
41,41,Elena,VTR,Велико Търново,0.15,0.15,0.1,0.15,0.1
42,42,Elin Pelin,SFO,София,0.15,0.15,0.1,0.15,0.1
43,43,Elkhovo,SZR,Стара Загора,0.15,0.15,0.1,0.15,0.1
44,44,Etropole,SFO,София,0.15,0.15,0.1,0.15,0.1
45,45,Gabrovo,KRZ,Кърджали,0.15,0.15,0.1,0.15,0.1
46,46,Gabrovo,GAB,Габрово,0.15,0.15,0.1,0.15,0.1
47,47,General Toshevo,DOB,Добрич,0.15,0.15,0.1,0.15,0.1
48,48,Godech,SFO,София,0.15,0.15,0.1,0.15,0.1
49,49,Gorichevo,RAZ,Разград,0.15,0.15,0.1,0.15,0.1
50,50,Gorna Malina,SFO,София,0.15,0.15,0.1,0.15,0.1
51,51,Gramada,,Виден,0.15,0.15,0.1,0.15,0.1
52,52,Gulubovo,SZR,Стара Загора,0.15,0.15,0.1,0.15,0.1
53,53,Gurkovo,SZR,Стара Загора,0.15,0.15,0.1,0.15,0.1
54,54,Ivanovo,RSE,Русе,0.15,0.15,0.1,0.15,0.1
55,55,Kalofer,PDV,Пловдив,0.15,0.15,0.1,0.15,0.1
56,56,Kameno,BGS,Бургас,0.15,0.15,0.1,0.15,0.1
57,57,Kaolinovo,SHU,Шумен,0.15,0.15,0.1,0.15,0.1
58,58,Karlovo,PDV,Пловдив,0.15,0.15,0.1,0.15,0.1
59,59,Karnobat,BGS,Бургас,0.15,0.15,0.1,0.15,0.1
60,60,Kaspichan,SHU,Шумен,0.15,0.15,0.1,0.15,0.1
61,61,Kavarna,DOB,Добрич,0.15,0.15,0.1,0.15,0.1
62,62,Kermen,SLV,Сливен,0.15,0.15,0.1,0.15,0.1
63,63,Kilifarevo,VTR,Велико Търново,0.15,0.15,0.1,0.15,0.1
64,64,Kirkovo,KRZ,Кърджали,0.15,0.15,0.1,0.15,0.1
65,65,Kiten,BGS,Бургас,0.15,0.15,0.1,0.15,0.1
66,66,Kiten,VAR,Варна,0.15,0.15,0.1,0.15,0.1
67,67,Klisura,PDV,Пловдив,0.15,0.15,0.1,0.15,0.1
68,68,Knezha,PVN,Плевен,0.15,0.15,0.1,0.15,0.1
69,69,Kocherinovo,KNL,Кюстендил,0.15,0.15,0.1,0.15,0.1
70,70,Kolarovo,BLG,Благоевград,0.15,0.15,0.1,0.15,0.1
71,71,Kostinbrod,SFO,София,0.15,0.15,0.1,0.15,0.1
72,72,Kotel,SLV,Сливен,0.15,0.15,0.1,0.15,0.1
73,73,Kranevo,DOB,Добрич,0.15,0.15,0.1,0.15,0.1
74,74,Kresna,BLG,Благоевград,0.15,0.15,0.1,0.15,0.1
75,75,Krichim,PDV,Пловдив,0.15,0.15,0.1,0.15,0.1
76,76,Krivodol,,Vratsa,0.15,0.15,0.1,0.15,0.1
77,77,Krumovgrad,KRZ,Кърджали,0.15,0.15,0.1,0.15,0.1
78,78,Krushari,DOB,Добрич,0.15,0.15,0.1,0.15,0.1
79,79,Kubrat,RAZ,Разград,0.15,0.15,0.1,0.15,0.1
80,80,Kula,,Виден,0.15,0.15,0.1,0.15,0.1
81,81,Lakatnik,SFO,София,0.15,0.15,0.1,0.15,0.1
82,82,Lesichovo,PAZ,Пазарджик,0.15,0.15,0.1,0.15,0.1
83,83,Levski,PVN,Плевен,0.15,0.15,0.1,0.15,0.1
84,84,Lom,MON,Монтана,0.15,0.15,0.1,0.15,0.1
85,85,Lovech,LOV,Ловеч,0.15,0.15,0.1,0.15,0.1
86,86,Lukovit,LOV,Ловеч,0.15,0.15,0.1,0.15,0.1
87,87,Madan,SZR,Смолян,0.15,0.15,0.1,0.15,0.1
88,88,Madzharovo,HKV,Хасково,0.15,0.15,0.1,0.15,0.1
89,89,Makresh,,Виден,0.15,0.15,0.1,0.15,0.1
90,90,Medovene,RAZ,Разград,0.15,0.15,0.1,0.15,0.1
91,91,Mezdra,,Vratsa,0.15,0.15,0.1,0.15,0.1
92,92,Mirkovo,SFO,София,0.15,0.15,0.1,0.15,0.1
93,93,Montana,MON,Монтана,0.15,0.15,0.1,0.15,0.1
94,94,Nedelino,SZR,Смолян,0.15,0.15,0.1,0.15,0.1
95,95,Nevestino,KNL,Кюстендил,0.15,0.15,0.1,0.15,0.1
96,96,Nikolaevo,SZR,Стара Загора,0.15,0.15,0.1,0.15,0.1
97,97,Nikopol,PVN,Плевен,0.15,0.15,0.1,0.15,0.1
98,98,Nova Zagora,SLV,Сливен,0.15,0.15,0.1,0.15,0.1
99,99,Obzor,BGS,Бургас,0.15,0.15,0.1,0.15,0.1
100,100,Omurtag,,Област Търговище,0.15,0.15,0.1,0.15,0.1
101,101,Opaka,,Област Търговище,0.15,0.15,0.1,0.15,0.1
102,102,Opan,SZR,Стара Загора,0.15,0.15,0.1,0.15,0.1
103,103,Pavlikeni,VTR,Велико Търново,0.15,0.15,0.1,0.15,0.1
104,104,Pazardzhik,PAZ,Пазарджик,0.15,0.15,0.1,0.15,0.1
105,105,Pernik,PER,Перник,0.15,0.15,0.1,0.15,0.1
106,106,Petrich,BLG,Благоевград,0.15,0.15,0.1,0.15,0.1
107,107,Pirdop,SFO,София,0.15,0.15,0.1,0.15,0.1
108,108,Pleven,PVN,Плевен,0.15,0.15,0.1,0.15,0.1
109,109,Pliska,SHU,Шумен,0.15,0.15,0.1,0.15,0.1
110,110,Plovdiv,PDV,Пловдив,0.15,0.15,0.1,0.15,0.1
111,111,Pomorie,BGS,Бургас,0.15,0.15,0.1,0.15,0.1
112,112,Popovo,,Област Търговище,0.15,0.15,0.1,0.15,0.1
113,113,Pordim,PVN,Плевен,0.15,0.15,0.1,0.15,0.1
114,114,Porominovo,KNL,Кюстендил,0.15,0.15,0.1,0.15,0.1
115,115,Primorsko,BGS,Бургас,0.15,0.15,0.1,0.15,0.1
116,116,Radnevo,SZR,Стара Загора,0.15,0.15,0.1,0.15,0.1
117,117,Radomir,PER,Перник,0.15,0.15,0.1,0.15,0.1
118,118,Rakitovo,PAZ,Пазарджик,0.15,0.15,0.1,0.15,0.1
119,119,Rakovski,PDV,Пловдив,0.15,0.15,0.1,0.15,0.1
120,120,Ravda,BGS,Бургас,0.15,0.15,0.1,0.15,0.1
121,121,Razgrad,RAZ,Разград,0.15,0.15,0.1,0.15,0.1
122,122,Razlog,BLG,Благоевград,0.15,0.15,0.1,0.15,0.1
123,123,Rila,KNL,Кюстендил,0.15,0.15,0.1,0.15,0.1
124,124,Roman,,Vratsa,0.15,0.15,0.1,0.15,0.1
125,125,Rudozem,SZR,Смолян,0.15,0.15,0.1,0.15,0.1
126,126,Ruen,BGS,Бургас,0.15,0.15,0.1,0.15,0.1
127,127,Ruse,RSE,Русе,0.15,0.15,0.1,0.15,0.1
128,128,Sadovo,PDV,Пловдив,0.15,0.15,0.1,0.15,0.1
129,129,Samokov,SFO,София,0.15,0.15,0.1,0.15,0.1
130,130,Samuil,RAZ,Разград,0.15,0.15,0.1,0.15,0.1
131,131,Sandanski,BLG,Благоевград,0.15,0.15,0.1,0.15,0.1
132,132,Satovcha,BLG,Благоевград,0.15,0.15,0.1,0.15,0.1
133,133,Senovo,RSE,Русе,0.15,0.15,0.1,0.15,0.1
134,134,Septemvri,PAZ,Пазарджик,0.15,0.15,0.1,0.15,0.1
135,135,Sevlievo,GAB,Габрово,0.15,0.15,0.1,0.15,0.1
136,136,Shabla,DOB,Добрич,0.15,0.15,0.1,0.15,0.1
137,137,Shipka,SZR,Стара Загора,0.15,0.15,0.1,0.15,0.1
138,138,Shumen,SHU,Шумен,0.15,0.15,0.1,0.15,0.1
139,139,Silistra,SLS,Силистра,0.15,0.15,0.1,0.15,0.1
140,140,Simeonovgrad,HKV,Хасково,0.15,0.15,0.1,0.15,0.1
141,141,Simitli,BLG,Благоевград,0.15,0.15,0.1,0.15,0.1
142,142,Sitovo,SLS,Силистра,0.15,0.15,0.1,0.15,0.1
143,143,Sliven,SLV,Сливен,0.15,0.15,0.1,0.15,0.1
144,144,Sozopol,BGS,Бургас,0.15,0.15,0.1,0.15,0.1
145,145,Spasovo,DOB,Добрич,0.15,0.15,0.1,0.15,0.1
146,146,Stambolovo,HKV,Хасково,0.15,0.15,0.1,0.15,0.1
147,147,Stara Kresna,BLG,Благоевград,0.15,0.15,0.1,0.15,0.1
148,148,Stara Zagora,SZR,Стара Загора,0.15,0.15,0.1,0.15,0.1
149,149,Straldzha,,Област Ямбол,0.15,0.15,0.1,0.15,0.1
150,150,Strelcha,PAZ,Пазарджик,0.15,0.15,0.1,0.15,0.1
151,151,Sungurlare,BGS,Бургас,0.15,0.15,0.1,0.15,0.1
152,152,Suvorovo,VAR,Варна,0.15,0.15,0.1,0.15,0.1
153,153,Sveti Vlas,BGS,Бургас,0.15,0.15,0.1,0.15,0.1
154,154,Svilengrad,HKV,Хасково,0.15,0.15,0.1,0.15,0.1
155,155,Svoge,SFO,София,0.15,0.15,0.1,0.15,0.1
156,156,Tervel,DOB,Добрич,0.15,0.15,0.1,0.15,0.1
157,157,Teteven,LOV,Ловеч,0.15,0.15,0.1,0.15,0.1
158,158,Tochilari,RAZ,Разград,0.15,0.15,0.1,0.15,0.1
159,159,Topolovgrad,HKV,Хасково,0.15,0.15,0.1,0.15,0.1
160,160,Topolovo,PDV,Пловдив,0.15,0.15,0.1,0.15,0.1
161,161,Tutrakan,SLS,Силистра,0.15,0.15,0.1,0.15,0.1
162,162,Varna,VAR,Варна,0.15,0.15,0.1,0.15,0.1
163,163,Veliki Preslav,SHU,Шумен,0.15,0.15,0.1,0.15,0.1
164,164,Veliko Turnovo,VTR,Велико Търново,0.15,0.15,0.1,0.15,0.1
165,165,Velingrad,PAZ,Пазарджик,0.15,0.15,0.1,0.15,0.1
166,166,Vetovo,RSE,Русе,0.15,0.15,0.1,0.15,0.1
167,167,Vetrino,VAR,Варна,0.15,0.15,0.1,0.15,0.1
168,168,Vidin,,Виден,0.15,0.15,0.1,0.15,0.1
169,169,Zavet,RAZ,Разград,0.15,0.15,0.1,0.15,0.1
170,170,Zelenikovo,PDV,Пловдив,0.15,0.15,0.1,0.15,0.1
171,171,Zemen,PER,Перник,0.15,0.15,0.1,0.15,0.1
172,172,Zlatograd,SZR,Смолян,0.15,0.15,0.1,0.15,0.1
