STATE,ST,TIMEZONE,TZ
Бургас / Burgas,BGS,Eastern European Time,EET
Благоевград / Blagoevgrad,BLG,Eastern European Time,EET
Добрич / Dobrich,DOB,Eastern European Time,EET
Габрово / Gabrovo,GAB,Eastern European Time,EET
Хасково / Khaskovo,HKV,Eastern European Time,EET
Ямбол / Jambol,JAM,Eastern European Time,EET
Кюстендил / Kjustendil,KNL,Eastern European Time,EET
Кърджали / Kurdzhali,KRZ,Eastern European Time,EET
Ловеч / Lovech,LOV,Eastern European Time,EET
Монтана / Montana,MON,Eastern European Time,EET
Пазарджик / Pazardzhik,PAZ,Eastern European Time,EET
Пловдив / Plovdiv,PDV,Eastern European Time,EET
Перник / Pernik,PER,Eastern European Time,EET
Плевен / Pleven,PVN,Eastern European Time,EET
Разград / Razgrad,RAZ,Eastern European Time,EET
Русе / Ruse,RSE,Eastern European Time,EET
София / Sofija,SFO,Eastern European Time,EET
Шумен / Shumen,SHU,Eastern European Time,EET
Силистра / Silistra,SLS,Eastern European Time,EET
Сливен / Sliven,SLV,Eastern European Time,EET
Смолян / Smoljan,SML,Eastern European Time,EET
София (столица) / Sofija (stolica),SOF,Eastern European Time,EET
Стара Загора / Stara Zagora,SZR,Eastern European Time,EET
Смолян / Smoljan,SZR,Eastern European Time,EET
Търговище / Turgovishhe,TGV,Eastern European Time,EET
Варна / Varna,VAR,Eastern European Time,EET
Видин / Vidin,VID,Eastern European Time,EET
Враца / Vraca,VRC,Eastern European Time,EET
Велико Търново / Veliko Turnovo,VTR,Eastern European Time,EET
