,USPS,ST,NAME,ZCTA5,LAT,LON
0,Бургас / Burgas,BGS,Айтос / Ajtos,8500,42.7,27.25
1,Бургас / Burgas,BGS,Зетьово / Zet'ovo,8517,42.75,27.2333
2,Бургас / Burgas,BGS,Лясково / Ljaskovo,8518,42.7333,27.3
3,Бургас / Burgas,BGS,Малка поляна / Malka poljana,8519,42.6333,27.2333
4,Бургас / Burgas,BGS,Съдиево / Sudievo,8522,42.6667,27.3167
5,Бургас / Burgas,BGS,Мъглен / Muglen,8523,42.7333,27.3667
6,Бургас / Burgas,BGS,Дрянковец / Drjankovec,8524,42.6833,27.3667
7,Бургас / Burgas,BGS,Пещерско / Peshhersko,8525,42.75,27.3333
8,Бургас / Burgas,BGS,Черна могила / Cherna mogila,8527,42.75,27.4
9,Бургас / Burgas,BGS,Пирне / Pirne,8528,42.6833,27.2
10,Бургас / Burgas,BGS,Чукарка / Chukarka,8529,42.65,27.1167
11,Бургас / Burgas,BGS,Караново / Karanovo,8532,42.65,27.2
12,Бургас / Burgas,BGS,Карагеоргиево / Karageorgievo,8543,42.7333,27.1833
13,Бургас / Burgas,BGS,Поляново / Poljanovo,8544,42.7167,27.1833
14,Бургас / Burgas,BGS,Черноград / Chernograd,8545,42.7167,27.1
15,Бургас / Burgas,BGS,Раклиново / Raklinovo,8547,42.7667,27.05
16,Бургас / Burgas,BGS,Тополица / Topolica,8549,42.7333,27.1167
17,Бургас / Burgas,BGS,Бургас / Burgas,8000,42.5,27.4667
18,Бургас / Burgas,BGS,Братово / Bratovo,8111,42.5,27.3
19,Бургас / Burgas,BGS,Рудник / Rudnik,8112,42.6167,27.4833
20,Бургас / Burgas,BGS,Брястовец / Brjastovec,8113,42.6667,27.4667
21,Бургас / Burgas,BGS,Драганово / Draganovo,8114,42.7,27.4333
22,Бургас / Burgas,BGS,Черно море / Cherno more,8115,42.6333,27.4833
23,Бургас / Burgas,BGS,Изворище / Izvorishhe,8116,42.65,27.45
24,Бургас / Burgas,BGS,Равнец / Ravnec,8117,42.5167,27.25
25,Бургас / Burgas,BGS,Банево / Banevo,8125,42.6333,27.4
26,Бургас / Burgas,BGS,Ветрен / Vetren,8127,42.6,27.3833
27,Бургас / Burgas,BGS,Маринка / Marinka,8154,42.4,27.4833
28,Бургас / Burgas,BGS,Твърдица / Tvurdica,8155,42.4,27.45
29,Бургас / Burgas,BGS,Димчево / Dimchevo,8159,42.4,27.4167
30,Бургас / Burgas,BGS,Българово / Bulgarovo,8520,42.6167,27.3
31,Бургас / Burgas,BGS,Миролюбово / Miroljubovo,8521,42.6917,27.3
32,Бургас / Burgas,BGS,Средец / Sredec,8300,42.3489,27.1942
33,Бургас / Burgas,BGS,Пънчево / Punchevo,8311,42.2833,27.15
34,Бургас / Burgas,BGS,Зорница / Zornica,8313,42.3833,26.9333
35,Бургас / Burgas,BGS,Дебелт / Debelt,8314,42.4,27.2667
36,Бургас / Burgas,BGS,Белила / Belila,8316,42.3333,27.1
37,Бургас / Burgas,BGS,Росеново / Rosenovo,8318,42.3,27.2333
38,Бургас / Burgas,BGS,Драчево / Drachevo,8319,42.3333,27.25
39,Бургас / Burgas,BGS,Момина църква / Momina curkva,8320,42.375,27.0583
40,Бургас / Burgas,BGS,Загорци / Zagorci,8321,42.4,27.0667
41,Бургас / Burgas,BGS,Светлина / Svetlina,8322,42.3667,27.1
42,Бургас / Burgas,BGS,Радойново / Radojnovo,8323,42.3833,26.9833
43,Бургас / Burgas,BGS,Драка / Draka,8324,42.3667,27.0167
44,Бургас / Burgas,BGS,Орлинци / Orlinci,8325,42.4333,27.0333
45,Бургас / Burgas,BGS,Малина / Malina,8327,42.4167,27
46,Бургас / Burgas,BGS,Суходол / Sukhodol,8328,42.4333,27.0833
47,Бургас / Burgas,BGS,Голямо Буково / Goljamo Bukovo,8329,42.2,27.1833
48,Бургас / Burgas,BGS,Дюлево / Djulevo,8330,42.4,27.1667
49,Бургас / Burgas,BGS,Сливово / Slivovo,8331,42.2333,27.0167
50,Бургас / Burgas,BGS,Синьо камене / Sin'o kamene,8332,42.25,26.9833
51,Бургас / Burgas,BGS,Гранитец / Granitec,8333,42.25,26.9667
52,Бургас / Burgas,BGS,Бистрец / Bistrec,8334,42.3167,27.0167
53,Бургас / Burgas,BGS,Кубадин / Kubadin,8335,42.3,26.95
54,Бургас / Burgas,BGS,Проход / Prokhod,8336,42.3333,27.0667
55,Бургас / Burgas,BGS,Богданово / Bogdanovo,8337,42.2333,27.2667
56,Бургас / Burgas,BGS,Варовник / Varovnik,8338,42.2167,27.2333
57,Бургас / Burgas,BGS,Тракийци / Trakijci,8339,42.1667,27.25
58,Бургас / Burgas,BGS,Факия / Fakija,8340,42.1833,27.0833
59,Бургас / Burgas,BGS,Вълчаново / Vulchanovo,8341,42.2667,27.0667
60,Бургас / Burgas,BGS,Долно Ябълково / Dolno Jabulkovo,8342,42.1333,27.1167
61,Бургас / Burgas,BGS,Горно Ябълково / Gorno Jabulkovo,8343,42.1167,27.1
62,Бургас / Burgas,BGS,Кирово / Kirovo,8344,42.15,27.1833
63,Бургас / Burgas,BGS,Белеврен / Belevren,8345,42.1,27.1833
64,Бургас / Burgas,BGS,Граничар / Granichar,8347,42.1333,27.25
65,Бургас / Burgas,BGS,Свобода / Svoboda,8103,42.5667,27.3167
66,Бургас / Burgas,BGS,Русокастро / Rusokastro,8105,42.4667,27.1833
67,Бургас / Burgas,BGS,Желязово / Zheljazovo,8106,42.4833,27.15
68,Бургас / Burgas,BGS,Ливада / Livada,8107,42.45,27.2167
69,Бургас / Burgas,BGS,Трояново / Trojanovo,8108,42.55,27.15
70,Бургас / Burgas,BGS,Вратица / Vratica,8109,42.5833,27.1667
71,Бургас / Burgas,BGS,Камено / Kameno,8120,42.5667,27.3
72,Бургас / Burgas,BGS,Кръстина / Krustina,8121,42.5833,27.2333
73,Бургас / Burgas,BGS,Черни връх / Cherni vrukh,8122,42.45,27.3333
74,Бургас / Burgas,BGS,Полски извор / Polski izvor,8123,42.45,27.3
75,Бургас / Burgas,BGS,Константиново / Konstantinovo,8129,42.4167,27.3167
76,Бургас / Burgas,BGS,Тръстиково / Trustikovo,8158,42.4333,27.2667
77,Бургас / Burgas,BGS,Винарско / Vinarsko,8533,42.6167,27.2
78,Бургас / Burgas,BGS,Карнобат / Karnobat,8400,42.65,26.9833
79,Бургас / Burgas,BGS,Кликач / Klikach,8427,42.7,27.0667
80,Бургас / Burgas,BGS,Зимен / Zimen,8428,42.7333,27.0333
81,Бургас / Burgas,BGS,Глумче / Glumche,8429,42.7,27.0167
82,Бургас / Burgas,BGS,Невестино / Nevestino,8431,42.7333,26.95
83,Бургас / Burgas,BGS,Соколово / Sokolovo,8435,42.6667,27.0667
84,Бургас / Burgas,BGS,Драгово / Dragovo,8437,42.6333,27.1167
85,Бургас / Burgas,BGS,Сигмен / Sigmen,8438,42.7,26.9667
86,Бургас / Burgas,BGS,Раклица / Raklica,8439,42.7667,27.0167
87,Бургас / Burgas,BGS,Мъдрино / Mudrino,8444,42.7,26.9
88,Бургас / Burgas,BGS,Аспарухово / Asparukhovo,8465,42.5167,27.1167
89,Бургас / Burgas,BGS,Огнен / Ognen,8467,42.7,26.8167
90,Бургас / Burgas,BGS,Церковски / Cerkovski,8472,42.6,26.8833
91,Бургас / Burgas,BGS,Венец / Venec,8473,42.6333,26.8
92,Бургас / Burgas,BGS,Деветинци / Devetinci,8474,42.6,26.8333
93,Бургас / Burgas,BGS,Житосвят / Zhitosvjat,8475,42.4667,26.9833
94,Бургас / Burgas,BGS,Добриново / Dobrinovo,8477,42.4667,26.9167
95,Бургас / Burgas,BGS,Черково / Cherkovo,8478,42.4833,27.0333
96,Бургас / Burgas,BGS,Сърнево / Surnevo,8479,42.4833,27.1
97,Бургас / Burgas,BGS,Деветак / Devetak,8480,42.5667,26.8333
98,Бургас / Burgas,BGS,Искра / Iskra,8481,42.6833,26.8833
