,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,10000,"""МБАЛ-Дулово"" ЕООД (Болница)","ул. ""Розова долина"" 37",Дулово,Силистра,7650,,+359 855 3029;+359 855 3200;+359 864 23200,,,,,43.8220369,27.1474586
1,10001,16 ДКЦ,,София,София-град,1849,,,,,Yes,,42.7378805,23.5080853
2,10002,2 ДКЦ,бул. 25-ти Септември 68,Добрич,Добрич,9300,,,,,,,43.5780139,27.8286141
3,10003,20-ти ДКЦ,Ген. Стефан Тошев 15-17,София,София-град,1606,,,,,,,42.6727834,23.2827146
4,10004,23-ти ДКЦ,Клисура 20,София,София-град,1517,,,,,,,42.7068985,23.3533343
5,10005,25 ДКЦ,Свето Преображение 20,София,София-град,1729,,,,,,,42.6403198,23.3821525
6,10006,29-ти ДКЦ,Георги Измирлиев 8,София,София-град,1408,,,,,,,42.6647272,23.2962786
7,10007,2ра поликлиника,,Стара Загора,Стара Загора,6000,,,,,No,,42.4305161,25.6263868
8,10008,3 ДКЦ,,Пловдив,Пловдив,4000,,,,,,,42.1691595,24.7458565
9,10009,4 ДКЦ,,Пловдив,Пловдив,4001,,,,,,,42.13047,24.7143654
10,10010,5-то ДКЦ,,Пловдив,Пловдив,4023,,,,,,,42.1321695,24.7932408
11,10011,7-ми ДКЦ,,София,София-град,1220,,,,,No,,42.7125595,23.3154139
12,10012,AГО Хасково,Единство 737.1.7,Хасково,Хасково,6300,,,,,No,,41.9372059,25.5653265
13,10013,City Clinic,,София,София-град,1421,,,,,,,42.6402491,23.3180721
14,10014,Medical Center,,Несебър,Бургас,8256,,,,,,,42.7114026,27.759946
15,10015,Medline,,Пловдив,Пловдив,4000,,,,,,,42.1386642,24.739922
16,10016,MБАЛНП “Св. Наум”,Д-р Любен Русев 1,София,София-град,1113,,+359 (2) 9702 300,,,,,42.6668882,23.3610856
17,10017,Red Cross Bulgaria,,Пловдив,Пловдив,4000,,,,,,,42.1480596,24.760916
18,10018,Trakia,,Стара Загора,Стара Загора,6004,,,,,Yes,,42.4356099,25.6114744
19,10019,"АГ ""Весела""",,Пловдив,Пловдив,4000,,,,,,,42.1539677,24.7561235
20,10020,АГ болница,,Варна,Варна,9002,,,,,,,43.215811,27.9140688
21,10021,Авис Медика,,Плевен,Плевен,5800,,,,,,,43.3857566,24.6333808
22,10022,Авис Медика,,Плевен,Плевен,5800,,,,,,,43.4114908,24.6166887
23,10023,Аджибадем Сити Клиник МБАЛ Токуда,бул. Никола Й. Вапцаров 51Б,София,София-град,1421,,,,,Yes,,42.6655256,23.3238888
24,10024,Акушеро-гинекология,,Стара Загора,Стара Загора,6000,,,,,,,42.4286066,25.6269363
25,10025,Аптека,,Аксаково,Варна,9154,,,,,,,43.2573388,27.8161891
26,10026,Атанас Дафовски,,Кърджали,Кърджали,6600,,,,,,,41.6461731,25.3735196
27,10027,Балнео лечебница,,Стрелча,Пазарджик,4530,,,,,,,42.5051211,24.3237579
28,10028,Балнео лечебница,,Стрелча,Пазарджик,4530,,,,,,,42.5052003,24.3233485
29,10029,Болница,,Царево,Бургас,8260,,059052023,,,,,42.1666739,27.8444058
30,10030,"Болница ""Люлин""",,София,София-град,1360,,,,,,,42.7082584,23.2491306
31,10031,"Болница ""Петромар"" АД",,Казанлък,Стара Загора,6144,,,,,,,42.6918356,25.3181659
32,10032,"Болница ""Райна Княгиня""",,София,София-град,1616,,,,,,,42.6641096,23.2509919
33,10033,Болница Вита,Филип Кутев 10,София,София-град,1421,,,,,,,42.6568201,23.3200211
34,10034,Болница Кубрат,,Кубрат,Разград,7300,,,,,Yes,,43.7914042,26.5006795
35,10035,Болница Лозенец,Козяк nan,София,София-град,1407,,,,,,,42.6658904,23.3109057
36,10036,Болница Рахила Ангелова,,Перник,Перник,2300,,,,,Yes,,42.6124109,23.0362656
37,10037,Болница Слънчев Бряг,,Несебър,Бургас,8230,,,,,,,42.6679611,27.706838
38,10038,"Болница за долекуване, продължително лечение и рехабилитация",,София,София-град,1000,,,,,,,42.7031026,23.1447434
39,10039,ВМА МБАЛ Пловдив (Военна болница),,Пловдив,Пловдив,4017,,,,,,,42.1373027,24.7562809
40,10040,Ветеринарна клиника,,Аксаково,Варна,9154,,,,,,,43.25741,27.8236052
41,10041,Ветеринарна лечебница,,Чирпан,Стара Загора,6249,,,,,,,42.2589705,25.3296981
42,10042,Вита Мед,,Карлово,Пловдив,4300,,,,,,,42.6427216,24.8048457
43,10043,Витоша СБАЛ по ортопедия и травматология,,София,София-град,1421,,,,,,,42.642294,23.334063
44,10044,Военна болница,,Плевен,Плевен,5800,,,,,,,43.4149579,24.6299359
45,10045,Военна болница,,Хасково,Хасково,6300,,,,,,,41.9334572,25.562932
46,10046,Военно-морска болница,,Варна,Варна,9010,,,,,Yes,,43.2271136,27.924712
47,10047,Втора Градска Поликлиника,,Плевен,Плевен,5800,,,,,,,43.4066061,24.6205129
48,10048,Втора Многопрофилна Болница за Активно Лечение,бул. Христо Ботев 120,София,София-град,1220,,+359 2 931 4024,,,No,,42.706607,23.3179169
49,10049,ДКЦ,Ул. Ген. Скобелев 34,Казанлък,Стара Загора,6100,,,,,,,42.6217336,25.3877237
50,10050,"ДКЦ ""Д-р Николай Тошев""",,Чирпан,Стара Загора,6200,,,,,,,42.2002817,25.327816
51,10051,ДКЦ 1,,Плевен,Плевен,5800,,,,,,,43.4163833,24.6098698
52,10052,ДКЦ 2,,Сливен,Сливен,8800,,,,,,,42.6791919,26.3109433
53,10053,ДКЦ 2,,Ямбол,Ямбол,8601,,,,,,,42.4798615,26.5000971
54,10054,ДКЦ 2 Св.Иван Рилски,,Варна,Варна,9003,,,,,,,43.1815763,27.8955097
55,10055,ДКЦ 3,,Варна,Варна,9023,,,,,,,43.2480133,27.8468726
56,10056,ДКЦ 3,ж.к. Сторгозия ДКЦ 3,Плевен,Плевен,5800,,,,,,,43.4211101,24.5990951
57,10057,ДКЦ 30,,София,София-град,1231,,,,,,,42.7440613,23.2763136
58,10058,ДКЦ 4 - Варна,,Варна,Варна,9002,,,,,,,43.2148978,27.9171614
59,10059,ДКЦ 5 Св. Екатерина,,Варна,Варна,9002,,,,,,,43.2088927,27.894981
60,10060,ДКЦ 6,,Пловдив,Пловдив,4000,,,,,,,42.139921,24.7405961
61,10061,ДМСГД-Благоевград,,Благоевград,Благоевград,2700,,,,,,,42.0257756,23.0919877
62,10062,ДМСГД-Благоевград,Славянска 60,Благоевград,Благоевград,2700,,,,,,,42.0254256,23.0940217
63,10063,ДМСГД-Благоевград,Славянска 60,Благоевград,Благоевград,2700,,,,,,,42.0259576,23.0917638
64,10064,Детска специализирана болница за белодробни заболявания Царица Йоана,,Трявна,Габрово,5350,,,,,,,42.8670631,25.4763448
65,10065,Детско отделение,ул.Гео Милев nan,Сливен,Сливен,8804,,,,,,,42.6765224,26.324072
66,10066,Детско-юношеска психиатрична клиника,,София,София-град,1616,,,,,,,42.6595557,23.2548243
67,10067,Диспансер за белодробни заболявания,Mануш Войвода 11A,Варна,Варна,9002,,,,,,,43.2095695,27.8901418
68,10068,Диспансер за психични заболявания със стационар,Хаджи Христо Попгеоргиев 12,Смолян,Смолян,4700,,+359301643 66,,,,,41.5721802,24.7857486
69,10069,Дом за медико-социални грижи за деца,,Плевен,Плевен,5800,,,,,,,43.4026194,24.6297866
70,10070,"Държавна психиатрична болниза ""Д-р Георги Кисьов""",,Раднево,Стара Загора,6275,,,,,,,42.2873226,25.9226854
71,10071,Държавна психиатрична болница,,Балчик,Добрич,9600,,,,,,,43.4741738,28.0181944
72,10072,"Държавна психиатрична болница ""Св. Иван Рилски""",ул. Христо Ботев 140,София,София-град,1000,,,,,No,,42.8282335,23.3691942
73,10073,Държавна психиатрична болница за лечение на наркомании и алкохолизъм,,София,София-град,1000,,,,,,,42.6743189,23.1863342
74,10074,Ева,,Сливен,Сливен,8804,,,,,No,,42.6924395,26.3434973
75,10075,Ескулап,,Пазарджик,Пазарджик,4400,,,,,No,,42.1987229,24.3307886
76,10076,"Здравен център ""ОЛИМП""",,Своге,София,2260,,,,,,,42.9614019,23.3450215
77,10077,Здравна служба,,Варна,Варна,9140,,,,,,,43.2164498,27.8181833
78,10078,Здравна служба,,Аксаково,Варна,9144,,,,,Yes,,43.2531438,27.7081766
79,10079,Изоставена болница(Бивша болница за туберкулоза),,Сливен,Сливен,8802,,,,,,,42.6813993,26.330623
80,10080,КОЖЕН ДИСПАНСЕР,,Сливен,Сливен,8804,,,,,,,42.6747252,26.3264341
81,10081,КУРОРТНА ПОЛИКЛ.,,Велинград,Пазарджик,4600,,,,,,,42.029937,23.9938604
82,10082,Кардиологичен център,ул. Криволак 11,Сливен,Сливен,8804,,,,,,,42.6764657,26.3237824
83,10083,Клиника по Ортопедия и Травматология,бул. Русе 89,Плевен,Плевен,5800,,,,,,,43.4119488,24.6321641
84,10084,Комплексен онкологичен център-Бургас ЕООД,,Бургас,Бургас,8000,,,,,,,42.50123,27.4750003
85,10085,Курортна поликлиника,"ул. ""Никола Вапцаров"" 2",Варна,Варна,9010,,,,,,,43.2129431,27.9349711
86,10086,Лайф Хоспитал,,Бургас,Бургас,8008,,,,,,,42.5275944,27.4679489
87,10087,МБАЛ,,Гълъбово,Стара Загора,6280,,,,,,,42.1412139,25.8586284
88,10088,МБАЛ,,Гълъбово,Стара Загора,6280,,,,,,,42.1412993,25.8585102
89,10089,МБАЛ,,Балчик,Добрич,9600,,,,,,,43.410528,28.1602158
90,10090,МБАЛ,,Разлог,Благоевград,2760,,,,,,,41.8914322,23.4683585
91,10091,МБАЛ,,Велики Преслав,Шумен,9850,,,,,,,43.1654043,26.8125504
92,10092,МБАЛ,,Троян,Ловеч,5600,,,,,,,42.8902993,24.7077842
93,10093,МБАЛ,,Разлог,Благоевград,2760,,,,,,,41.8910515,23.4680525
94,10094,МБАЛ,,Радомир,Перник,2400,,,,,,,42.5433531,22.9590605
95,10095,МБАЛ,,Ардино,Кърджали,6750,,,,,,,41.580167,25.1346005
96,10096,"МБАЛ ""Д-р Братан Шукеров""",,Смолян,Смолян,4700,,,,,,,41.5740166,24.7179878
97,10097,"МБАЛ ""Д-р Иван Селимински"" Сливен",,Сливен,Сливен,8804,,,,,Yes,,42.6754058,26.3244332
98,10098,"МБАЛ ""Доверие""",,София,София-град,1632,,,,,,,42.6851386,23.2464802
99,10099,"МБАЛ ""Доктро Киро Попов""",,Карлово,Пловдив,4300,,,,,,,42.6450578,24.799091
100,10100,"МБАЛ ""Проф.д-р Цончев""",,Котел,Сливен,8970,,,,,,,42.883211,26.4489459
101,10101,"МБАЛ ""СВ. ИВАН РИЛСКИ"" - РАЗГРАД АД",,Разград,Разград,7200,,,,,Yes,,43.5293766,26.535444
102,10102,"МБАЛ ""Св. Марина""",,Плевен,Плевен,5800,,,,,,,43.4408617,24.5915198
103,10103,"МБАЛ ""Св. Николай Чудотворец""",Улица Каблешков 2,Лом,Монтана,3600,,,,,,,43.828061,23.2314199
104,10104,"МБАЛ ""Света Екатерина""",,Димитровград,Хасково,6400,,,,,,,42.0519734,25.5876437
105,10105,"МБАЛ ""Света Екатерина""",,Пазарджик,Пазарджик,4400,,,,,No,,42.2015091,24.3375001
106,10106,"МБАЛ ""Света София""",бул. България 104,София,София-град,1616,,,,,,,42.6598916,23.2844253
107,10107,"МБАЛ ""Свети Иван Рилски""",,Елхово,Ямбол,8700,,,,,,,42.1774474,26.5807519
108,10108,"МБАЛ ""Уни Хоспитал""",Георги Бенковски 100,Панагюрище,Пазарджик,4500,,+359 (357) 88 581,,,,,42.4925838,24.1864516
109,10109,"МБАЛ ""Царица Йоанна""",,София,София-град,1527,,,,,,,42.7010571,23.3372624
110,10110,МБАЛ - Чирпан,,Чирпан,Стара Загора,6200,,,,,,,42.2037501,25.3423049
111,10111,МБАЛ Central,,Пловдив,Пловдив,4000,,,,,,,42.1384007,24.739566
112,10112,МБАЛ Асеновград,,Асеновград,Пловдив,4230,,,,,,,42.0166244,24.8796103
113,10113,МБАЛ Бургас,,Бургас,Бургас,8018,,,,,,,42.5124648,27.4668899
114,10114,МБАЛ Бургасмед,,Бургас,Бургас,8009,,,,,Yes,,42.4635694,27.420153
115,10115,МБАЛ Бяла Слатина,,Бяла Слатина,Враца,3201,,,,,Yes,,43.4784942,23.9286685
116,10116,МБАЛ Д-р Димитър Моллов,,Елена,Велико Търново,5070,,,,,,,42.9335361,25.8757185
117,10117,МБАЛ Д-р Маджуров,,Бургас,Бургас,8018,,,,,,,42.5183654,27.4653335
118,10118,МБАЛ Доктор Никола Василиев,"пл. ""17 януари"" 1",Кюстендил,Кюстендил,2500,,,,,,,42.2804807,22.6999253
119,10119,МБАЛ Исперих,,Исперих,Разград,7400,,,,,,,43.7129681,26.8393309
120,10120,МБАЛ Каварна,ул. Васил Левски 36,Каварна,Добрич,9650,,,,,,,43.4257546,28.3381256
121,10121,МБАЛ Карнобат,,Карнобат,Бургас,8400,,,,,,,42.6502385,26.9945433
122,10122,МБАЛ Кнежа,Улица Марин Боев 4,Кнежа,Плевен,5835,,,,,,,43.4865973,24.078266
123,10123,МБАЛ Левски,,Левски,Плевен,5900,,,,,,,43.3667891,25.1331542
124,10124,МБАЛ Луковит,,Луковит,Ловеч,5770,,,,,,,43.2125558,24.1596108
125,10125,МБАЛ Мездра,Улица Янко Сакъзов 33,Мездра,Враца,3100,,,,,,,43.147305,23.7097807
126,10126,МБАЛ Надежда,,София,София-град,1330,,,,,,,42.688523,23.2740112
127,10127,МБАЛ Оряхово,Улица Арх. Цолов 98,Оряхово,Враца,3300,,,,,,,43.7314943,23.9452521
128,10128,МБАЛ Пирдоп,,Пирдоп,София,2070,,,,,,,42.7028422,24.1691689
129,10129,МБАЛ Поморие,,Поморие,Бургас,8201,,,,,,,42.5635441,27.6384825
130,10130,МБАЛ Рокфелер,,Петрич,Благоевград,2850,,,,,Yes,,41.3981825,23.2069226
131,10131,МБАЛ Св. Иван Рилски,,Стара Загора,Стара Загора,6001,,,,,,,42.4234572,25.6354232
132,10132,МБАЛ Св. Пантелеймон,Панйот Хитов 30,Ямбол,Ямбол,8600,,,,,Yes,,42.4875285,26.5147807
133,10133,МБАЛ Света Марина,,Варна,Варна,9010,,,,,,,43.2258763,27.9335944
134,10134,МБАЛ Свети Георги,,Пловдив,Пловдив,4000,,,,,,,42.1397087,24.7364568
135,10135,МБАЛ Свети Мина,,Пловдив,Пловдив,4000,,,,,No,,42.1363392,24.7430412
136,10136,МБАЛ Хасково,,Хасково,Хасково,6300,,,,,,,41.9319522,25.5663018
137,10137,МБАЛ Червен бряг,,Червен бряг,Плевен,5980,,,,,,,43.2733278,24.0848629
138,10138,МБАЛ д-р Димитър Чакмаков,,Раднево,Стара Загора,6275,,,,,,,42.2927025,25.9443754
139,10139,МБАЛ проф. д-р. Асен Шопов,,Златоград,Смолян,4980,,,,,,,41.3786431,25.095769
140,10140,МБАЛ проф.Димитър Ранев,,Пещера,Пазарджик,4550,,,,,,,42.0392062,24.3110654
141,10141,МБАЛ „Проф.д-р Ал.Герчев” Етрополе,,Етрополе,София,2180,,,,,,,42.8401779,23.9992791
142,10142,"МБАЛ „Христо Ботев""",bul. 2-ri Yuni 66,Враца,Враца,3001,,+35992923039,,,Yes,,43.1984838,23.559393
143,10143,"МБАЛ-Монтана „Д-р Стамен Илиев""",,Монтана,Монтана,3403,,,,,,,43.4020405,23.2327936
144,10144,МБАЛ-Шумен,Васил Априлов 63,Шумен,Шумен,9701,,054 855 755,,,Yes,,43.2777016,26.9166915
145,10145,МИ на МВР - Филиал,,София,София-град,1320,,,,,,,42.7099554,23.1525917
146,10146,"МОБАЛ ""д-р Стефан Черкезов"" (база №1)",Улица Ниш 1,Велико Търново,Велико Търново,5002,,,,,Yes,,43.0747129,25.6151125
147,10147,МЦ,,София,София-град,1641,,,,,,,42.6280451,23.1989633
148,10148,МЦ 1,,София,София-град,1320,,,,,,,42.7067077,23.1411535
149,10149,МЦ Санита,,Варна,Варна,9020,,,,,,,43.2295752,27.883899
150,10150,МЦ-1,,Костинброд,София,2230,,,,,,,42.8127278,23.2147267
151,10151,"Медико-социален комплекс ""Св. Лука""",,Суворово,Варна,9171,,,,,,,43.3139532,27.6655407
152,10152,Медицинки център Медикус,,Сливен,Сливен,8804,,,,,No,,42.6815963,26.3233052
153,10153,Медицински институт на МВР,бул. Ген. Скобелев 79,София,София-град,1606,,+359 2 9821300,,,,,42.6926039,23.3087315
154,10154,"Медицински комплекс ""Майчин дом"" - Варна",,Варна,Варна,9002,,,,,,,43.2199703,27.9261699
155,10155,Медицински комплекс Младост,,Варна,Варна,9020,,,,,,,43.2313739,27.8789974
156,10156,Медицински университет,,Пловдив,Пловдив,4000,,,,,,,42.1406051,24.7352158
157,10157,Медицински център,,Драгоман,София,2210,,,,,,,42.9183658,22.9277802
158,10158,Медицински център,улица Заводска 17,Твърдица,Сливен,8890,,,,,No,,42.6988574,25.8949671
159,10159,Медицински център,,София,София-град,1849,,,,,,,42.7815334,23.4997123
160,10160,Медицински център,,Аксаково,Варна,9154,,,,,,,43.257737,27.816356
161,10161,Медицински център,,София,София-град,1513,,,,,,,42.7954767,23.4472008
162,10162,Медицински център,,София,София-град,1223,,,,,,,42.8017326,23.4217808
163,10163,Медицински център,,Пловдив,Пловдив,4000,,,,,,,42.1392462,24.7393813
164,10164,Медицински център,,София,София-град,1261,,,,,,,42.7843742,23.2746672
165,10165,Медицински център,,София,София-град,1532,,,,,,,42.6560928,23.4644526
166,10166,Медицински център,,Божурище,София,2227,,,,,,,42.7631155,23.2028838
167,10167,Медицински център,,Стрелча,Пазарджик,4530,,,,,,,42.5053144,24.3227441
168,10168,"Медицински център ""Здраве - 2000""",,Стара Загора,Стара Загора,6000,,,,,,,42.4378523,25.6279188
169,10169,"Медицински център ""Св. Иван Рилски""",Трансмариска 69,Тутракан,Силистра,7600,,+359 866 60560,,,,,44.0456233,26.600234
