,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,20000,"""МБАЛ-Дулово"" ЕООД (Болница)","ул. ""Розова долина"" 37",Дулово,Силистра,7650,,+359 855 3029;+359 855 3200;+359 864 23200,,,,,43.8220369,27.1474586
1,20001,16 ДКЦ,,София,,1849,,,,,Yes,,42.7378805,23.5080853
2,20002,2 ДКЦ,бул. 25-ти Септември 68,Добрич,Добрич,9300,,,,,,,43.5780139,27.8286141
3,20003,20-ти ДКЦ,Ген. Стефан Тошев 15-17,София,,1606,,,,,,,42.6727834,23.2827146
4,20004,23-ти ДКЦ,Клисура 20,София,,1517,,,,,,,42.7068985,23.3533343
5,20005,25 ДКЦ,Свето Преображение 20,София,,1729,,,,,,,42.6403198,23.3821525
6,20006,29-ти ДКЦ,Георги Измирлиев 8,София,,1408,,,,,,,42.6647272,23.2962786
7,20007,2ра поликлиника,,Стара Загора,Стара Загора,6000,,,,,No,,42.4305161,25.6263868
8,20008,3 ДКЦ,,Пловдив,Пловдив,4000,,,,,,,42.1691595,24.7458565
9,20009,4 ДКЦ,,Пловдив,Пловдив,4001,,,,,,,42.13047,24.7143654
10,20010,5-то ДКЦ,,Пловдив,Пловдив,4023,,,,,,,42.1321695,24.7932408
11,20011,7-ми ДКЦ,,София,,1220,,,,,No,,42.7125595,23.3154139
12,20012,AГО Хасково,Единство 737.1.7,Хасково,Хасково,6300,,,,,No,,41.9372059,25.5653265
13,20013,City Clinic,,София,,1421,,,,,,,42.6402491,23.3180721
14,20014,Medical Center,,Несебър,Бургас,8256,,,,,,,42.7114026,27.759946
15,20015,Medline,,Пловдив,Пловдив,4000,,,,,,,42.1386642,24.739922
16,20016,MБАЛНП “Св. Наум”,Д-р Любен Русев 1,София,,1113,,+359 (2) 9702 300,,,,,42.6668882,23.3610856
17,20017,Red Cross Bulgaria,,Пловдив,Пловдив,4000,,,,,,,42.1480596,24.760916
18,20018,Trakia,,Стара Загора,Стара Загора,6004,,,,,Yes,,42.4356099,25.6114744
19,20019,"АГ ""Весела""",,Пловдив,Пловдив,4000,,,,,,,42.1539677,24.7561235
20,20020,АГ болница,,Варна,Варна,9002,,,,,,,43.215811,27.9140688
21,20021,Авис Медика,,Плевен,Плевен,5800,,,,,,,43.3857566,24.6333808
22,20022,Авис Медика,,Плевен,Плевен,5800,,,,,,,43.4114908,24.6166887
23,20023,Аджибадем Сити Клиник МБАЛ Токуда,бул. Никола Й. Вапцаров 51Б,София,,1421,,,,,Yes,,42.6655256,23.3238888
24,20024,Акушеро-гинекология,,Стара Загора,Стара Загора,6000,,,,,,,42.4286066,25.6269363
25,20025,Аптека,,Аксаково,Варна,9154,,,,,,,43.2573388,27.8161891
26,20026,Атанас Дафовски,,Кърджали,Кърджали,6600,,,,,,,41.6461731,25.3735196
27,20027,Балнео лечебница,,Стрелча,Пазарджик,4530,,,,,,,42.5051211,24.3237579
28,20028,Балнео лечебница,,Стрелча,Пазарджик,4530,,,,,,,42.5052003,24.3233485
29,20029,Болница,,Царево,Бургас,8260,,059052023,,,,,42.1666739,27.8444058
30,20030,"Болница ""Люлин""",,София,,1360,,,,,,,42.7082584,23.2491306
31,20031,"Болница ""Петромар"" АД",,Казанлък,Стара Загора,6144,,,,,,,42.6918356,25.3181659
32,20032,"Болница ""Райна Княгиня""",,София,,1616,,,,,,,42.6641096,23.2509919
33,20033,Болница Вита,Филип Кутев 10,София,,1421,,,,,,,42.6568201,23.3200211
34,20034,Болница Кубрат,,Кубрат,Разград,7300,,,,,Yes,,43.7914042,26.5006795
35,20035,Болница Лозенец,Козяк nan,София,,1407,,,,,,,42.6658904,23.3109057
36,20036,Болница Рахила Ангелова,,Перник,Перник,2300,,,,,Yes,,42.6124109,23.0362656
37,20037,Болница Слънчев Бряг,,Несебър,Бургас,8230,,,,,,,42.6679611,27.706838
38,20038,"Болница за долекуване, продължително лечение и рехабилитация",,София,,1000,,,,,,,42.7031026,23.1447434
39,20039,ВМА МБАЛ Пловдив (Военна болница),,Пловдив,Пловдив,4017,,,,,,,42.1373027,24.7562809
40,20040,Ветеринарна клиника,,Аксаково,Варна,9154,,,,,,,43.25741,27.8236052
41,20041,Ветеринарна лечебница,,Чирпан,Стара Загора,6249,,,,,,,42.2589705,25.3296981
42,20042,Вита Мед,,Карлово,Пловдив,4300,,,,,,,42.6427216,24.8048457
43,20043,Витоша СБАЛ по ортопедия и травматология,,София,,1421,,,,,,,42.642294,23.334063
44,20044,Военна болница,,Плевен,Плевен,5800,,,,,,,43.4149579,24.6299359
45,20045,Военна болница,,Хасково,Хасково,6300,,,,,,,41.9334572,25.562932
46,20046,Военно-морска болница,,Варна,Варна,9010,,,,,Yes,,43.2271136,27.924712
47,20047,Втора Градска Поликлиника,,Плевен,Плевен,5800,,,,,,,43.4066061,24.6205129
48,20048,Втора Многопрофилна Болница за Активно Лечение,бул. Христо Ботев 120,София,,1220,,+359 2 931 4024,,,No,,42.706607,23.3179169
49,20049,ДКЦ,Ул. Ген. Скобелев 34,Казанлък,Стара Загора,6100,,,,,,,42.6217336,25.3877237
50,20050,"ДКЦ ""Д-р Николай Тошев""",,Чирпан,Стара Загора,6200,,,,,,,42.2002817,25.327816
51,20051,ДКЦ 1,,Плевен,Плевен,5800,,,,,,,43.4163833,24.6098698
52,20052,ДКЦ 2,,Сливен,Сливен,8800,,,,,,,42.6791919,26.3109433
53,20053,ДКЦ 2,,Ямбол,Ямбол,8601,,,,,,,42.4798615,26.5000971
54,20054,ДКЦ 2 Св.Иван Рилски,,Варна,Варна,9003,,,,,,,43.1815763,27.8955097
55,20055,ДКЦ 3,,Варна,Варна,9023,,,,,,,43.2480133,27.8468726
56,20056,ДКЦ 3,ж.к. Сторгозия ДКЦ 3,Плевен,Плевен,5800,,,,,,,43.4211101,24.5990951
57,20057,ДКЦ 30,,София,,1231,,,,,,,42.7440613,23.2763136
58,20058,ДКЦ 4 - Варна,,Варна,Варна,9002,,,,,,,43.2148978,27.9171614
59,20059,ДКЦ 5 Св. Екатерина,,Варна,Варна,9002,,,,,,,43.2088927,27.894981
60,20060,ДКЦ 6,,Пловдив,Пловдив,4000,,,,,,,42.139921,24.7405961
61,20061,ДМСГД-Благоевград,,Благоевград,Благоевград,2700,,,,,,,42.0257756,23.0919877
62,20062,ДМСГД-Благоевград,Славянска 60,Благоевград,Благоевград,2700,,,,,,,42.0254256,23.0940217
