FIPS_CODE,COUNTY_CODE,COUNTY,ST,STATE,FOOD_INSECURITY,SEVERE_HOUSING_COST_BURDEN,UNEMPLOYED,NO_VEHICLE_ACCESS,UNINSURED
0,0,Abitibi,QC,Quebec,0.15,0.15,0.1,0.15,0.1
1,1,Abitibi-Ouest,QC,Quebec,0.15,0.15,0.1,0.15,0.1
2,2,Acton,QC,Quebec,0.15,0.15,0.1,0.15,0.1
3,3,Alberni-Clayoquot,BC,British Columbia,0.15,0.15,0.1,0.15,0.1
4,4,Albert,NB,New Brunswick,0.15,0.15,0.1,0.15,0.1
5,5,Algoma,ON,Ontario,0.15,0.15,0.1,0.15,0.1
6,6,Annapolis,NS,Nova Scotia,0.15,0.15,0.1,0.15,0.1
7,7,Antigonish,NS,Nova Scotia,0.15,0.15,0.1,0.15,0.1
8,8,Antoine-Labelle,QC,Quebec,0.15,0.15,0.1,0.15,0.1
9,9,Argenteuil,QC,Quebec,0.15,0.15,0.1,0.15,0.1
10,10,Arthabaska,QC,Quebec,0.15,0.15,0.1,0.15,0.1
11,11,Avignon,QC,Quebec,0.15,0.15,0.1,0.15,0.1
12,12,Baffin,NU,Nunavut,0.15,0.15,0.1,0.15,0.1
13,13,Beauce-Sartigan,QC,Quebec,0.15,0.15,0.1,0.15,0.1
14,14,Beauharnois-Salaberry,QC,Quebec,0.15,0.15,0.1,0.15,0.1
15,15,Bellechasse,QC,Quebec,0.15,0.15,0.1,0.15,0.1
16,16,Bonaventure,QC,Quebec,0.15,0.15,0.1,0.15,0.1
17,17,Brant,ON,Ontario,0.15,0.15,0.1,0.15,0.1
18,18,Brome-Missisquoi,QC,Quebec,0.15,0.15,0.1,0.15,0.1
19,19,Bruce,ON,Ontario,0.15,0.15,0.1,0.15,0.1
20,20,Bulkley-Nechako,BC,British Columbia,0.15,0.15,0.1,0.15,0.1
21,21,Bécancour,QC,Quebec,0.15,0.15,0.1,0.15,0.1
22,22,Cape Breton,NS,Nova Scotia,0.15,0.15,0.1,0.15,0.1
23,23,Capital,BC,British Columbia,0.15,0.15,0.1,0.15,0.1
24,24,Cariboo,BC,British Columbia,0.15,0.15,0.1,0.15,0.1
25,25,Carleton,NB,New Brunswick,0.15,0.15,0.1,0.15,0.1
26,26,Central Coast,BC,British Columbia,0.15,0.15,0.1,0.15,0.1
27,27,Central Kootenay,BC,British Columbia,0.15,0.15,0.1,0.15,0.1
28,28,Central Okanagan,BC,British Columbia,0.15,0.15,0.1,0.15,0.1
29,29,Charlevoix,QC,Quebec,0.15,0.15,0.1,0.15,0.1
30,30,Charlevoix-Est,QC,Quebec,0.15,0.15,0.1,0.15,0.1
31,31,Charlotte,NB,New Brunswick,0.15,0.15,0.1,0.15,0.1
32,32,Chatham-Kent,ON,Ontario,0.15,0.15,0.1,0.15,0.1
33,33,Coaticook,QC,Quebec,0.15,0.15,0.1,0.15,0.1
34,34,Cochrane,ON,Ontario,0.15,0.15,0.1,0.15,0.1
35,35,Colchester,NS,Nova Scotia,0.15,0.15,0.1,0.15,0.1
36,36,Columbia-Shuswap,BC,British Columbia,0.15,0.15,0.1,0.15,0.1
37,37,Comox Valley,BC,British Columbia,0.15,0.15,0.1,0.15,0.1
38,38,Cowichan Valley,BC,British Columbia,0.15,0.15,0.1,0.15,0.1
39,39,Cumberland,NS,Nova Scotia,0.15,0.15,0.1,0.15,0.1
40,40,D'Autray,QC,Quebec,0.15,0.15,0.1,0.15,0.1
41,41,Deux-Montagnes,QC,Quebec,0.15,0.15,0.1,0.15,0.1
42,42,Digby,NS,Nova Scotia,0.15,0.15,0.1,0.15,0.1
43,43,Division No. 1,NL,Newfoundland and Labrador,0.15,0.15,0.1,0.15,0.1
44,44,Division No. 1,SK,Saskatchewan,0.15,0.15,0.1,0.15,0.1
45,45,Division No. 1,AB,Alberta,0.15,0.15,0.1,0.15,0.1
46,46,Division No. 1,MB,Manitoba,0.15,0.15,0.1,0.15,0.1
47,47,Division No. 10,AB,Alberta,0.15,0.15,0.1,0.15,0.1
48,48,Division No. 10,NL,Newfoundland and Labrador,0.15,0.15,0.1,0.15,0.1
49,49,Division No. 10,SK,Saskatchewan,0.15,0.15,0.1,0.15,0.1
50,50,Division No. 10,MB,Manitoba,0.15,0.15,0.1,0.15,0.1
51,51,Division No. 11,AB,Alberta,0.15,0.15,0.1,0.15,0.1
