STATE,ST,TIMEZONE,TZ
Alberta,AB,Mountain Standard Time,MST
British Columbia,BC,Pacific Standard Time,PST
Manitoba,MB,Central Standard Time,CST
New Brunswick,NB,Eastern Standard Time,EST
Newfoundland and Labrador,NL,Newfoundland Standard Time,NST
Nova Scotia,NS,Atlantic Standard Time,AST
Northwest Territories,NT,Mountain Standard Time,MST
Nunavut,NU,Eastern Standard Time,EST
Ontario,ON,Eastern Standard Time,EST
Prince Edward Island,PE,Newfoundland Standard Time,NST
Quebec,QC,Eastern Standard Time,EST
Saskatchewan,SK,Central Standard Time,CST
Yukon,YT,Pacific Standard Time,PST
