,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
23,23,Bentley Care Centre,4834 52 ave,Bentley,AB,T0C 0J0,,1-800-622-6232,Nursing and residential care facilities,Public Health Agency of Canada,No,5,52.467743999999996,-114.04616000000001
40,40,Breton Health Centre,4919 49 ave,Breton,AB,T0C 0P0,,1-800-622-6232,Nursing and residential care facilities,Public Health Agency of Canada,No,5,53.1092291,-114.4712943
59,59,Carewest — Sarcee,1 Main Street,Calgary,AB,T3E 4T4,,1-800-622-6232,Nursing and residential care facilities,Canadian Institute for Health Information,No,5,51.0500,-114.0667
53,53,Carewest — Dr. Vernon Fanning Centre,1 Main Street,Calgary,AB,T2E 6V7,,1-800-622-6232,Nursing and residential care facilities,Canadian Institute for Health Information,No,5,51.0500,-114.0667
52,52,Carewest — Colonel Belcher,1 Main Street,Calgary,AB,T3B 5Y8,,1-800-622-6232,Nursing and residential care facilities,Canadian Institute for Health Information,No,5,51.0500,-114.0667
56,56,Carewest — Glenmore Park,1 Main Street,Calgary,AB,T2V 1P8,,1-800-622-6232,Nursing and residential care facilities,Canadian Institute for Health Information,No,5,51.0500,-114.0667
178,178,Little Bow Continuing Care Centre,316 armstrong st,Carmangay,AB,T0L 0N0,,1-800-622-6232,Nursing and residential care facilities,Public Health Agency of Canada,No,5,50.124098,-113.108947
292,292,the Good Samaritan Society — Dr. Gerald Zetter Care Centre,9649 71 ave,Edmonton,AB,T6E 5J2,,1-800-622-6232,Nursing and residential care facilities,Public Health Agency of Canada,No,5,53.5072809,-113.477577
1133,1133,Menno Extended Care Hospital,32945 marshall rd,Abbotsford,BC,V2S 1K1,,1-800-622-6232,Nursing and residential care facilities,Public Health Agency of Canada,No,5,49.0384349,-122.31174140000002
1527,1527,South Hills Tertiary Psychiatric Rehabilitation Centre,200 945 southill st,Kamloops,BC,V2B 7Z9,,1-800-622-6232,Nursing and residential care facilities,Public Health Agency of Canada,No,5,50.7033639,-120.3941722
925,925,Hillside Centre,311 columbia st,Kamloops,BC,V2C 2T1,,1-800-622-6232,Nursing and residential care facilities,Public Health Agency of Canada,No,5,50.6701949,-120.3345924
1123,1123,Mckim Cottage,916 eleventh st,Nelson,BC,V1L 7A6,,1-800-622-6232,Nursing and residential care facilities,Public Health Agency of Canada,No,5,49.508589,-117.267255
1669,1669,Trillium Lodge Extended Care Hospital,401 moilliet st,Parksville,BC,V9P 1M9,,1-800-622-6232,Nursing and residential care facilities,Public Health Agency of Canada,No,5,49.31138,-124.325
1171,1171,Mount Tolmie Hospital,3690 richmond rd,Saanich,BC,V8P 4R6,,1-800-622-6232,Nursing and residential care facilities,Public Health Agency of Canada,No,5,48.459924,-123.330454
831,831,George Pearson Centre,700 west 57 ave,Vancouver,BC,V6P 1S1,,1-800-622-6232,Nursing and residential care facilities,Public Health Agency of Canada,No,5,49.21877,-123.121144
370,370,Aberdeen Hospital - Victoria,1450 hillside ave,Victoria,BC,V8T 2B7,,1-800-622-6232,Nursing and residential care facilities,Public Health Agency of Canada,No,5,48.4418999,-123.34299999999999
1791,1791,Williams Lake Community Mental Health and Addiction Services,487 borland st,Williams Lake,BC,V2G 1R9,,1-800-622-6232,Nursing and residential care facilities,Public Health Agency of Canada,No,5,52.1297698,-122.13973680000001
824,824,Gateway Crisis Stabilization Unit,517 6 ave n,Williams Lake,BC,V2G 2G8,,1-800-622-6232,Nursing and residential care facilities,Public Health Agency of Canada,No,5,52.1383395,-122.14311550000001
1875,1875,Emerson Health Centre,26 main st,Emerson-Franklin,MB,R0A 0L0,,1-800-622-6232,Nursing and residential care facilities,Public Health Agency of Canada,No,5,49.0046511,-97.2157093
1972,1972,Riverview Health Centre,1 morley ave e,Winnipeg,MB,R3L 2P4,,1-800-622-6232,Nursing and residential care facilities,Public Health Agency of Canada,No,5,49.868759000000004,-97.119886
1866,1866,Deer Lodge Centre Inc.,2109 portage ave,Winnipeg,MB,R3J 0L3,,1-800-622-6232,Nursing and residential care facilities,Public Health Agency of Canada,No,5,49.8779998,-97.23552020000001
S55,S55,Shannex Rlc Ltd. - Monarch Hall,826 coverdale rd,Moncton,NB,J0S 1K0,,1-800-622-6232,Nursing and residential care facilities,City of Moncton,No,5,46.09155355,-64.79623634
S20,S20,Lefurgey Residence,30 lefurgey ave,Moncton,NB,J0S 1K0,,1-800-622-6232,Nursing and residential care facilities,City of Moncton,No,5,46.09155355,-64.79623634
S54,S54,the Kenneth e. Spencer Nursing Home Inc.,35 atlantic baptist ave,Moncton,NB,J0S 1K0,,1-800-622-6232,Nursing and residential care facilities,City of Moncton,No,5,46.09155355,-64.79623634
S52,S52,Shar's Care,53 weldon st,Moncton,NB,J0S 1K0,,1-800-622-6232,Nursing and residential care facilities,City of Moncton,No,5,46.09155355,-64.79623634
