FIPS_CODE,COUNTY_CODE,COUNTY,ST,STATE,FOOD_INSECURITY,SEVERE_HOUSING_COST_BURDEN,UNEMPLOYED,NO_VEHICLE_ACCESS,UNINSURED
0,0,Abertamy,81,Karlovarský Kraj,0.15,0.15,0.1,0.15,0.1
1,1,Adamov,79,Jihočeský Kraj,0.15,0.15,0.1,0.15,0.1
2,2,Adamov,78,Jihomoravský Kraj,0.15,0.15,0.1,0.15,0.1
3,3,Adršpach,82,Královéhradecký Kraj,0.15,0.15,0.1,0.15,0.1
4,4,Albrechtice,,Moravskoslezsky Kraj,0.15,0.15,0.1,0.15,0.1
5,5,Albrechtice,86,Pardubický Kraj,0.15,0.15,0.1,0.15,0.1
6,6,Albrechtice nad Orlicí,82,Královéhradecký Kraj,0.15,0.15,0.1,0.15,0.1
7,7,Albrechtice nad Vltavou,79,Jihočeský Kraj,0.15,0.15,0.1,0.15,0.1
8,8,Albrechtičky,,Moravskoslezsky Kraj,0.15,0.15,0.1,0.15,0.1
9,9,Archlebov,78,Jihomoravský Kraj,0.15,0.15,0.1,0.15,0.1
10,10,Aš,81,Karlovarský Kraj,0.15,0.15,0.1,0.15,0.1
11,11,Babice,90,Zlínský Kraj,0.15,0.15,0.1,0.15,0.1
12,12,Babice nad Svitavou,78,Jihomoravský Kraj,0.15,0.15,0.1,0.15,0.1
13,13,Bakov nad Jizerou,88,Středočeský Kraj,0.15,0.15,0.1,0.15,0.1
14,14,Bartošovice,,Moravskoslezsky Kraj,0.15,0.15,0.1,0.15,0.1
15,15,Batelov,,Kraj Vysocina,0.15,0.15,0.1,0.15,0.1
16,16,Batňovice,82,Královéhradecký Kraj,0.15,0.15,0.1,0.15,0.1
17,17,Bavorov,79,Jihočeský Kraj,0.15,0.15,0.1,0.15,0.1
18,18,Baška,,Moravskoslezsky Kraj,0.15,0.15,0.1,0.15,0.1
19,19,Bašť,88,Středočeský Kraj,0.15,0.15,0.1,0.15,0.1
20,20,Bechlín,89,Ústecký Kraj,0.15,0.15,0.1,0.15,0.1
21,21,Bechyně,79,Jihočeský Kraj,0.15,0.15,0.1,0.15,0.1
