STATE,ST,TIMEZONE,TZ
Hlavní město Praha,52,Central European Time,CET
Jihomoravský kraj,78,Central European Time,CET
Jihočeský kraj,79,Central European Time,CET
Kraj Vysočina,80,Central European Time,CET
Karlovarský kraj,81,Central European Time,CET
Královéhradecký kraj,82,Central European Time,CET
Liberecký kraj,83,Central European Time,CET
Olomoucký kraj,84,Central European Time,CET
Moravskoslezský kraj,85,Central European Time,CET
Pardubický kraj,86,Central European Time,CET
Plzeňský kraj,87,Central European Time,CET
Středočeský kraj,88,Central European Time,CET
Ústecký kraj,89,Central European Time,CET
Zlínský kraj,90,Central European Time,CET
