,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,10000,Biomedicínské centrum,nan nan,Plzeň,Plzeň-město,301 00,,,,,,,49.7623657,13.3760559
1,10001,Bohumínská městská nemocnice,nan nan,Bohumín,Karviná,735 81,,,,,,,49.917439,18.3349987
2,10002,Centrum zdravotní péče,nan nan,Jirny,Praha-východ,250 90,,,,,,,50.1156539,14.6990382
3,10003,Dětská léčebna Cvikov,nan nan,Cvikov,Česká Lípa,471 54,,,,,No,,50.7845254,14.6398659
4,10004,Dětská léčebna Dr. Filipa,nan nan,Poděbrady,Nymburk,290 01,,,,,,,50.1468174,15.1191849
5,10005,"Dětské ""D""",nan nan,Prostějov,Prostějov,796 01,,,,,,,49.4749904,17.0880731
6,10006,Emergency / Pohotovost,nan nan,Třebíč,Třebíč,674 01,,,,,,,49.2129208,15.8893403
7,10007,FN u sv. Anny,nan nan,Brno,Brno-město,602 00,,,,,,,49.1888688,16.601739
8,10008,FN u sv. Anny - Doléčovací a rehabilitační oddělení,nan nan,Brno,Brno-město,634 00,,,,,,,49.1836666,16.5605009
9,10009,Fakultní nemocnice,nan nan,Hradec Králové,Hradec Králové,500 03,,,,,Yes,,50.2018747,15.8250963
10,10010,Fakultní nemocnice Bohunice,nan nan,Brno,Brno-město,625 00,,,,,,,49.176304,16.5787082
11,10011,Fakultní nemocnice Královské Vinohrady,nan nan,Praha,Hlavní město Praha,101 00,,,,,Yes,,50.0761686,14.473889
12,10012,Fakultní nemocnice Motol,nan nan,Praha,Hlavní město Praha,150 00,,,,,,,50.0749962,14.3493238
13,10013,Fakultní nemocnice Olomouc,nan nan,Olomouc,Olomouc,779 00,,,,,Yes,,49.5818652,17.2401479
14,10014,Fakultní nemocnice Ostrava,nan nan,Ostrava,Ostrava-město,702 00,,,,,,,49.8298762,18.1620009
15,10015,Fakultní nemocnice Plzeň,nan nan,Plzeň,Plzeň-město,301 00,,,,,Yes,,49.7334454,13.3747185
16,10016,Fakultní poliklinika Všeobecné fakultní nemocnice v Praze,nan nan,Praha,Hlavní město Praha,120 00,,+420 224 961 111,,,,,50.0760429,14.4213067
17,10017,Gynekologicko-porodnická klinika,nan nan,Praha,Hlavní město Praha,120 00,,,,,,,50.0706027,14.4281035
18,10018,Gynekologická klinika,nan nan,Praha,Hlavní město Praha,198 00,,,,,No,,50.1029361,14.5340441
19,10019,Hamzova dětská léčebna,nan nan,Luže,Chrudim,538 54,,,,,,,49.8894985,16.0309868
20,10020,Hornická nemocnice s poliklinikou,nan nan,Bílina,Teplice,418 01,,,,,,,50.5409057,13.7827606
21,10021,Horní areál Nemocnice České Budějovice,nan nan,České Budějovice,České Budějovice,370 01,,,,,,,48.9614081,14.4702966
22,10022,Hospic,nan nan,Olomouc,Olomouc,779 00,,,,,,,49.6286189,17.3383759
