FIPS_CODE,COUNTY_CODE,COUNTY,ST,STATE,FOOD_INSECURITY,SEVERE_HOUSING_COST_BURDEN,UNEMPLOYED,NO_VEHICLE_ACCESS,UNINSURED
0,0,Aach,RP,Rheinland-pfalz,0.15,0.15,0.1,0.15,0.1
1,1,Aach,BW,Baden-württemberg,0.15,0.15,0.1,0.15,0.1
2,2,Aachen,NW,Nordrhein-westfalen,0.15,0.15,0.1,0.15,0.1
3,3,Aalen,BW,Baden-württemberg,0.15,0.15,0.1,0.15,0.1
4,4,Aasbüttel,SH,Schleswig-holstein,0.15,0.15,0.1,0.15,0.1
5,5,Abbenrode,ST,Sachsen-anhalt,0.15,0.15,0.1,0.15,0.1
6,6,Abenberg,BY,Bayern,0.15,0.15,0.1,0.15,0.1
7,7,Abensberg,BY,Bayern,0.15,0.15,0.1,0.15,0.1
8,8,Abentheuer,RP,Rheinland-pfalz,0.15,0.15,0.1,0.15,0.1
9,9,Absberg,BY,Bayern,0.15,0.15,0.1,0.15,0.1
10,10,Abstatt,BW,Baden-württemberg,0.15,0.15,0.1,0.15,0.1
11,11,Abtsbessingen,TH,Thüringen,0.15,0.15,0.1,0.15,0.1
12,12,Abtsdorf,ST,Sachsen-anhalt,0.15,0.15,0.1,0.15,0.1
13,13,Abtsgmünd,BW,Baden-württemberg,0.15,0.15,0.1,0.15,0.1
14,14,Abtswind,BY,Bayern,0.15,0.15,0.1,0.15,0.1
15,15,Abtweiler,RP,Rheinland-pfalz,0.15,0.15,0.1,0.15,0.1
16,16,Achern,BW,Baden-württemberg,0.15,0.15,0.1,0.15,0.1
17,17,Achim,NI,Niedersachsen,0.15,0.15,0.1,0.15,0.1
18,18,Achslach,BY,Bayern,0.15,0.15,0.1,0.15,0.1
19,19,Achstetten,BW,Baden-württemberg,0.15,0.15,0.1,0.15,0.1
20,20,Acht,RP,Rheinland-pfalz,0.15,0.15,0.1,0.15,0.1
21,21,Achtelsbach,RP,Rheinland-pfalz,0.15,0.15,0.1,0.15,0.1
22,22,Achterwehr,SH,Schleswig-holstein,0.15,0.15,0.1,0.15,0.1
23,23,Achtrup,SH,Schleswig-holstein,0.15,0.15,0.1,0.15,0.1
24,24,Adelberg,BW,Baden-württemberg,0.15,0.15,0.1,0.15,0.1
25,25,Adelebsen,NI,Niedersachsen,0.15,0.15,0.1,0.15,0.1
26,26,Adelheidsdorf,NI,Niedersachsen,0.15,0.15,0.1,0.15,0.1
27,27,Adelmannsfelden,BW,Baden-württemberg,0.15,0.15,0.1,0.15,0.1
28,28,Adelschlag,BY,Bayern,0.15,0.15,0.1,0.15,0.1
29,29,Adelsdorf,BY,Bayern,0.15,0.15,0.1,0.15,0.1
