,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
10,20010,AMEOS Klinikum Alfeld,Landrat-Beushausen-Straße 26,Alfeld (Leine),Niedersachsen,31061,,,,,Yes,,51.9941487,9.8336998
19,20019,AMEOS Klinikum St. Salvator Halberstadt,Gleimstraße 5,Halberstadt,Sachsen-Anhalt,38820,,,,,Yes,,51.9009511,11.0533717
32,20032,Agaplesion Diakonieklinikum Rotenburg,Elise-Averdieck-Straße 17,Rotenburg (Wümme),Niedersachsen,27356,,,,,Yes,,53.1057597,9.4115161
33,20033,Agaplesion Evangelisches Klinikum Schaumburg gGmbH,Zum Schaumburger Klinikum 1,Obernkirchen,Niedersachsen,31683,,+49 5724 95800,,,Yes,,52.2657349,9.1030571
35,20035,Agaplesion evangelisches Krankenhaus Holzminden,Forster Weg 34,Holzminden,Niedersachsen,37603,,+49 5531 7050,,,Yes,,51.8350038,9.4554437
39,20039,Albklinik Münsingen,nan nan,Münsingen,Reutlingen,72525,,,,,Yes,,48.404206,9.4903384
43,20043,Alexianer St. Joseph Krankenhaus Berlin-Weißensee,nan nan,Berlin,Berlin,13088,,,,,Yes,,52.5515022,13.4681057
56,20056,Altonaer Kinderkrankenhaus,nan nan,Hamburg,Hamburg,22765,,+49 40 88908-0,,,Yes,,53.551203,9.9127621
57,20057,Amalie-Sieveking-Krankenhaus,Haselkamp 33,Hamburg,Hamburg,22359,,,,,Yes,,53.641079,10.1523153
59,20059,Ameos Klinikum Anklam,Hospitalstraße 19,Anklam,Mecklenburg-Vorpommern,17389,,+49 3971 834 0,,,Yes,,53.8485829,13.6994424
68,20068,Asklepios Burgseekliniken (Parkklinik),Burgseestraße 5,Bad Salzungen,Wartburgkreis,36433,,,,,Yes,,50.8078264,10.2387531
80,20080,Asklepios Klinik Altona,nan nan,Hamburg,Hamburg,22605,,,,,Yes,,53.5539937,9.9038601
83,20083,Asklepios Klinik Harburg,nan nan,Hamburg,Hamburg,21075,,,,,Yes,,53.4588012,9.9513749
84,20084,Asklepios Klinik Langen,nan nan,Langen (Hessen),Hessen,63225,,,,,Yes,,49.9995557,8.6834252
86,20086,Asklepios Klinik Melsungen,Kasseler Straße 80,Melsungen,Hessen,34212,,,,,Yes,,51.1376577,9.5399847
87,20087,Asklepios Klinik Nord Heidberg,nan nan,Hamburg,Hamburg,22415,,+49 40 1818870,,,Yes,,53.6773475,10.030166
89,20089,Asklepios Klinik Pasewalk,Prenzlauer Chaussee 30,Pasewalk,Mecklenburg-Vorpommern,17309,,+49 3973 230,,,Yes,,53.4903734,13.9832746
91,20091,Asklepios Klinik Seligenstadt,nan nan,Seligenstadt,Hessen,63500,,,,,Yes,,50.0420353,8.9630013
92,20092,Asklepios Klinik St. Georg,nan nan,Hamburg,Hamburg,22087,,+49 40 181885 0,,,Yes,,53.5609367,10.0179546
94,20094,Asklepios Klinik Wandsbek,nan nan,Hamburg,Hamburg,22043,,+49 40 181883-0,,,Yes,,53.5709778,10.0901034
98,20098,Asklepios Nordseeklinik,Norderstraße 81,Sylt,Schleswig-Holstein,25980,,+49 4651 84 0,,,Yes,,54.9259941,8.3161293
100,20100,Asklepios Stadtklinik,Schützenstraße 15,Bad Tölz,Bayern,83646,,+49 8041 507-01,,,Yes,,47.7572767,11.5516352
101,20101,Asklepios Stadtklinik,Schützenstraße 15,Bad Tölz,Bayern,83646,,+49 8041 507-01,,,Yes,,47.7572217,11.5515325
103,20103,Asklepios Südpfalzklinik Germersheim,nan nan,Germersheim,Rheinland-Pfalz,76726,,+49 7274 504 0,,,Yes,,49.220226,8.3650734
107,20107,Asklepios-Klinik Bad Oldesloe,Schützenstraße 55,Bad Oldesloe,Schleswig-Holstein,23843,,,,,Yes,,53.8119651,10.3644108
108,20108,Asklepios-Paulinen-Klinik,Geisenheimer Straße 10,Wiesbaden,Hessen,65183,,,,,Yes,,50.0722682,8.2259214
119,20119,Augusta-Klinik Bochum-Mitte,Bergstraße 26,Bochum,Nordrhein-Westfalen,44787,,+49 234 517-0,,,Yes,,51.4858641,7.2214815
