,USPS,ST,NAME,ZCTA5,LAT,LON
0,Region Midtjylland,18,Endelave,8789,55.7573,10.271
1,Region Midtjylland,18,Tunø,8799,55.9528,10.432
2,Region Sjælland,20,Orø,4305,55.7718,11.8163
3,Region Sjælland,20,Agersø,4244,55.2149,11.1854
4,Region Sjælland,20,Omø,4245,55.162,11.159
5,Region Sjælland,20,Askø og Lilleø,4942,54.8969,11.495
6,Region Sjælland,20,Femø,4945,54.9758,11.5352
7,Region Syddanmark,21,Lyø,5601,55.0439,10.1473
8,Region Syddanmark,21,Avernakø,5602,55.0187,10.2845
9,Region Syddanmark,21,Bjørnø,5603,55.0633,10.2482
10,Region Syddanmark,21,Strynø,5943,54.9008,10.6118
11,Region Syddanmark,21,Birkholm,5965,54.931,10.503
12,Region Syddanmark,21,Barsø,6210,55.1216,9.5578
13,Region Nordjylland,81,Nykøbing M,7900,56.7619,8.6836
14,Region Nordjylland,81,Erslev,7950,56.8298,8.7501
15,Region Nordjylland,81,Karby,7960,56.7536,8.5613
16,Region Nordjylland,81,Redsted M,7970,56.7619,8.6836
17,Region Nordjylland,81,Vils,7980,56.7631,8.7286
18,Region Nordjylland,81,Øster Assels,7990,56.7011,8.6946
19,Region Nordjylland,81,Thisted,7700,56.9552,8.6949
20,Region Nordjylland,81,Hanstholm,7730,57.1167,8.6167
21,Region Nordjylland,81,Frøstrup,7741,57.0867,8.9958
22,Region Nordjylland,81,Vesløs,7742,57.0383,8.9746
23,Region Nordjylland,81,Snedsted,7752,56.8924,8.5244
24,Region Nordjylland,81,Bedsted Thy,7755,56.8924,8.5244
25,Region Nordjylland,81,Hurup Thy,7760,56.7494,8.4195
26,Region Nordjylland,81,Vestervig,7770,56.7628,8.3194
27,Region Nordjylland,81,Hjallerup,9320,57.1647,10.1457
28,Region Nordjylland,81,Dronninglund,9330,57.1604,10.2929
29,Region Nordjylland,81,Asaa,9340,57.1487,10.4037
30,Region Nordjylland,81,Dybvad,9352,57.272,10.3595
31,Region Nordjylland,81,Hals,9370,56.9961,10.3081
32,Region Nordjylland,81,Tylstrup,9382,57.1947,9.9531
33,Region Nordjylland,81,Aabybro,9440,57.1584,9.7367
34,Region Nordjylland,81,Løkken,9480,57.3705,9.7147
35,Region Nordjylland,81,Brønderslev,9700,57.2702,9.941
36,Region Nordjylland,81,Jerslev J,9740,57.323,10.0722
37,Region Nordjylland,81,Østervrå,9750,57.3417,10.2401
38,Region Nordjylland,81,Vrå,9760,57.3476,9.9515
39,Region Nordjylland,81,Sæby,9300,57.3319,10.5225
40,Region Nordjylland,81,Dronninglund,9330,57.1604,10.2929
41,Region Nordjylland,81,Asaa,9340,57.1487,10.4037
42,Region Nordjylland,81,Dybvad,9352,57.272,10.3595
43,Region Nordjylland,81,Østervrå,9750,57.3417,10.2401
44,Region Nordjylland,81,Tårs,9830,57.3833,10.1167
45,Region Nordjylland,81,Sindal,9870,57.4712,10.2031
46,Region Nordjylland,81,Bindslev,9881,57.5521,10.2036
47,Region Nordjylland,81,Frederikshavn,9900,57.4407,10.5366
48,Region Nordjylland,81,Strandby,9970,57.4915,10.4961
49,Region Nordjylland,81,Jerup,9981,57.5343,10.4166
50,Region Nordjylland,81,Ålbæk,9982,57.5925,10.4046
51,Region Nordjylland,81,Skagen,9990,57.7209,10.5839
52,Region Nordjylland,81,Nibe,9240,56.9815,9.6392
53,Region Nordjylland,81,Suldrup,9541,56.8488,9.7006
54,Region Nordjylland,81,Aars,9600,56.804,9.5144
55,Region Nordjylland,81,Nørager,9610,56.7262,9.5971
56,Region Nordjylland,81,Aalestrup,9620,56.6947,9.4934
57,Region Nordjylland,81,Gedsted,9631,56.6892,9.3367
58,Region Nordjylland,81,Farsø,9640,56.7728,9.3393
59,Region Nordjylland,81,Løgstør,9670,56.9625,9.2583
60,Region Nordjylland,81,Ranum,9681,56.8973,9.2287
61,Region Nordjylland,81,Læsø,9940,57.5448,10.4827
62,Region Nordjylland,81,Svenstrup J,9230,56.9733,9.9233
63,Region Nordjylland,81,Nibe,9240,56.9815,9.6392
64,Region Nordjylland,81,Gistrup,9260,56.9943,9.9909
65,Region Nordjylland,81,Kongerslev,9293,56.9056,10.1267
66,Region Nordjylland,81,Hobro,9500,56.6431,9.7903
67,Region Nordjylland,81,Arden,9510,56.769,9.8618
68,Region Nordjylland,81,Skørping,9520,56.8363,9.8925
69,Region Nordjylland,81,Støvring,9530,56.8854,9.8384
70,Region Nordjylland,81,Suldrup,9541,56.8488,9.7006
71,Region Nordjylland,81,Hadsund,9560,56.7148,10.1168
72,Region Nordjylland,81,Bælum,9574,56.83,10.1198
73,Region Nordjylland,81,Terndrup,9575,56.8139,10.0615
74,Region Nordjylland,81,Aars,9600,56.804,9.5144
75,Region Nordjylland,81,Nørager,9610,56.7262,9.5971
76,Region Nordjylland,81,Aalestrup,9620,56.6947,9.4934
77,Region Nordjylland,81,Havndal,8970,56.6525,10.1967
78,Region Nordjylland,81,Fårup,8990,56.3667,10.2494
