STATE,ST,TIMEZONE,TZ
Harju maakond,01,Eastern European Time,EET
Hiiu maakond,02,Eastern European Time,EET
Ida-Viru maakond,03,Eastern European Time,EET
Järva maakond,04,Eastern European Time,EET
Jõgeva maakond,05,Eastern European Time,EET
Lääne maakond,07,Eastern European Time,EET
Lääne-Viru maakond,08,Eastern European Time,EET
Pärnu maakond,11,Eastern European Time,EET
Põlva maakond,12,Eastern European Time,EET
Rapla maakond,13,Eastern European Time,EET
Saare maakond,14,Eastern European Time,EET
Tartu maakond,18,Eastern European Time,EET
Valga maakond,19,Eastern European Time,EET
Viljandi maakond,20,Eastern European Time,EET
Võru maakond,21,Eastern European Time,EET
