,USPS,ST,NAME,ZCTA5,LAT,LON
0,Harju Maakond,01,Kehra,74305,59.3386,25.3288
1,Harju Maakond,01,Kehra,74306,59.33,25.3334
2,Harju Maakond,01,Kehra,74307,59.3309,25.3329
3,Harju Maakond,01,Kaunissaare,74309,59.3095,25.3528
4,Harju Maakond,01,Lehtmetsa,74310,59.3253,25.3423
5,Harju Maakond,01,Looküla,74311,59.3585,25.3831
6,Harju Maakond,01,Salumetsa,74312,59.34,25.2947
7,Harju Maakond,01,Vikipalu,74313,59.3242,25.417
8,Harju Maakond,01,Paasiku,74314,59.3541,25.3045
9,Harju Maakond,01,Kehra,74315,59.3507,25.3281
10,Harju Maakond,01,Ülejõe,74316,59.3395,25.3568
11,Harju Maakond,01,Alavere,74401,59.2422,25.3246
12,Harju Maakond,01,Soodla,74402,59.386,25.3615
13,Harju Maakond,01,Rasivere,74403,59.2177,25.376
14,Harju Maakond,01,Rooküla,74404,59.2612,25.3029
15,Harju Maakond,01,Arava,74405,59.2672,25.402
16,Harju Maakond,01,Uuearu,74407,59.2435,25.351
17,Harju Maakond,01,Vetla,74408,59.2232,25.4638
18,Harju Maakond,01,Pikva,74409,59.2786,25.3887
19,Harju Maakond,01,Voose,74410,59.1958,25.4365
20,Harju Maakond,01,Anija,74411,59.3799,25.2996
21,Harju Maakond,01,Härmakosu,74412,59.3942,25.445
22,Harju Maakond,01,Kuusemäe,74413,59.3703,25.3134
23,Harju Maakond,01,Lilli,74414,59.372,25.3522
24,Harju Maakond,01,Partsaare,74415,59.3968,25.3049
25,Harju Maakond,01,Raudoja,74416,59.3829,25.4354
26,Harju Maakond,01,Aavere,74417,59.3884,25.2644
27,Harju Maakond,01,Aegviidu,74501,59.2844,25.6189
28,Harju Maakond,01,Pillapalu,74501,59.3114,25.6185
29,Harju Maakond,01,Pillapalu,74502,59.3265,25.6323
30,Harju Maakond,01,Mustjõe,74503,59.2873,25.5241
31,Harju Maakond,01,Lükati,75215,59.2791,25.2763
32,Harju Maakond,01,Kihmla,75219,59.3648,25.252
33,Harju Maakond,01,Linnakse,75220,59.3527,25.1946
34,Harju Maakond,01,Parila,75221,59.3429,25.2419
35,Harju Maakond,01,Salumäe,75226,59.3704,25.2163
36,Harju Maakond,01,Kütke,76611,59.346,24.4389
37,Harju Maakond,01,Kumna,76614,59.3258,24.4492
38,Harju Maakond,01,Tutermaa,76617,59.3244,24.4725
39,Harju Maakond,01,Adra,76704,59.377,24.3525
40,Harju Maakond,01,Türisalu,76706,59.3996,24.3132
41,Harju Maakond,01,Humala,76707,59.362,24.4097
42,Harju Maakond,01,Tabasalu,76901,59.4274,24.5471
43,Harju Maakond,01,Laabi,76901,59.4081,24.5502
44,Harju Maakond,01,Laabi,76902,59.403,24.5696
45,Harju Maakond,01,Harku,76902,59.3866,24.5797
46,Harju Maakond,01,Vääna,76903,59.3904,24.4091
47,Harju Maakond,01,Ilmandu,76904,59.4409,24.4793
48,Harju Maakond,01,Muraste,76905,59.4587,24.4441
49,Harju Maakond,01,Rannamõisa,76906,59.4333,24.5156
50,Harju Maakond,01,Suurupi,76907,59.4637,24.3975
51,Harju Maakond,01,Sõrve,76908,59.425,24.4623
52,Harju Maakond,01,Vääna-Jõesuu,76909,59.4343,24.3718
53,Harju Maakond,01,Viti,76910,59.4358,24.3863
54,Harju Maakond,01,Harkujärve,76912,59.4148,24.6017
55,Harju Maakond,01,Tiskre,76912,59.4179,24.5779
56,Harju Maakond,01,Tiskre,76916,59.4222,24.5844
57,Harju Maakond,01,Vaila,76917,59.406,24.3981
58,Harju Maakond,01,Vahi,76918,59.3807,24.4504
59,Harju Maakond,01,Naage,76919,59.4107,24.3514
60,Harju Maakond,01,Naage,76920,59.4032,24.3675
61,Harju Maakond,01,Liikva,76921,59.4184,24.4234
62,Harju Maakond,01,Laabi,76922,59.4074,24.5743
63,Harju Maakond,01,Harkujärve,76923,59.43,24.6021
64,Harju Maakond,01,Tiskre,76924,59.4352,24.5684
65,Harju Maakond,01,Meriküla,76925,59.4561,24.4776
66,Harju Maakond,01,Kallavere,74114,59.4888,25.0329
67,Harju Maakond,01,Uusküla,74114,59.4923,25.0077
68,Harju Maakond,01,Liivamäe,74114,59.4465,24.9711
69,Harju Maakond,01,Kallavere,74115,59.4981,25.0235
70,Harju Maakond,01,Uusküla,74120,59.4818,24.9961
71,Harju Maakond,01,Kallavere,74121,59.4832,25.0415
72,Harju Maakond,01,Saviranna,74122,59.5008,25.045
73,Harju Maakond,01,Loo,74201,59.4331,24.9464
74,Harju Maakond,01,Jõelähtme,74202,59.4469,25.1312
75,Harju Maakond,01,Ihasalu,74203,59.5127,25.1867
76,Harju Maakond,01,Kostivere,74204,59.4289,25.0958
77,Harju Maakond,01,Jägala,74205,59.4187,25.2289
78,Harju Maakond,01,Iru,74206,59.4564,24.9142
