FIPS_CODE,COUNTY_CODE,COUNTY,ST,STATE,FOOD_INSECURITY,SEVERE_HOUSING_COST_BURDEN,UNEMPLOYED,NO_VEHICLE_ACCESS,UNINSURED
0,0,A Baña,GA,Galicia,0.15,0.15,0.1,0.15,0.1
1,1,A Coruña,GA,Galicia,0.15,0.15,0.1,0.15,0.1
2,2,Ababuj,AR,Aragon,0.15,0.15,0.1,0.15,0.1
3,3,Abades,CL,Castilla - Leon,0.15,0.15,0.1,0.15,0.1
4,4,Abadia,EX,Extremadura,0.15,0.15,0.1,0.15,0.1
5,5,Abadin,GA,Galicia,0.15,0.15,0.1,0.15,0.1
6,6,Abadiño,,Basque Country,0.15,0.15,0.1,0.15,0.1
7,7,Abaigar,,Navarre,0.15,0.15,0.1,0.15,0.1
8,8,Abajas,CL,Castilla - Leon,0.15,0.15,0.1,0.15,0.1
9,9,Abalos,RI,La Rioja,0.15,0.15,0.1,0.15,0.1
10,10,Abaltzisketa,,Basque Country,0.15,0.15,0.1,0.15,0.1
11,11,Abanades,CM,Castilla - La Mancha,0.15,0.15,0.1,0.15,0.1
12,12,Abanilla,MC,Murcia,0.15,0.15,0.1,0.15,0.1
13,13,Abanto,AR,Aragon,0.15,0.15,0.1,0.15,0.1
14,14,Abaran,MC,Murcia,0.15,0.15,0.1,0.15,0.1
15,15,Abarzuza,,Navarre,0.15,0.15,0.1,0.15,0.1
16,16,Abegondo,GA,Galicia,0.15,0.15,0.1,0.15,0.1
17,17,Abejar,CL,Castilla - Leon,0.15,0.15,0.1,0.15,0.1
18,18,Abengibre,CM,Castilla - La Mancha,0.15,0.15,0.1,0.15,0.1
19,19,Abenojar,CM,Castilla - La Mancha,0.15,0.15,0.1,0.15,0.1
20,20,Abertura,EX,Extremadura,0.15,0.15,0.1,0.15,0.1
21,21,Abezames,CL,Castilla - Leon,0.15,0.15,0.1,0.15,0.1
22,22,Abiego,AR,Aragon,0.15,0.15,0.1,0.15,0.1
23,23,Abizanda,AR,Aragon,0.15,0.15,0.1,0.15,0.1
24,24,Abla,AN,Andalucia,0.15,0.15,0.1,0.15,0.1
25,25,Ablanque,CM,Castilla - La Mancha,0.15,0.15,0.1,0.15,0.1
26,26,Ablitas,,Navarre,0.15,0.15,0.1,0.15,0.1
27,27,Abrera,,Catalonia,0.15,0.15,0.1,0.15,0.1
28,28,Abrucena,AN,Andalucia,0.15,0.15,0.1,0.15,0.1
29,29,Abusejo,CL,Castilla - Leon,0.15,0.15,0.1,0.15,0.1
30,30,Acebedo,CL,Castilla - Leon,0.15,0.15,0.1,0.15,0.1
31,31,Acebo,EX,Extremadura,0.15,0.15,0.1,0.15,0.1
32,32,Acedera,EX,Extremadura,0.15,0.15,0.1,0.15,0.1
33,33,Acehuche,EX,Extremadura,0.15,0.15,0.1,0.15,0.1
34,34,Aceituna,EX,Extremadura,0.15,0.15,0.1,0.15,0.1
35,35,Acered,AR,Aragon,0.15,0.15,0.1,0.15,0.1
36,36,Aceuchal,EX,Extremadura,0.15,0.15,0.1,0.15,0.1
37,37,Adahuesca,AR,Aragon,0.15,0.15,0.1,0.15,0.1
38,38,Adalia,CL,Castilla - Leon,0.15,0.15,0.1,0.15,0.1
39,39,Adamuz,AN,Andalucia,0.15,0.15,0.1,0.15,0.1
40,40,Adanero,CL,Castilla - Leon,0.15,0.15,0.1,0.15,0.1
41,41,Adeje,,Canary Islands,0.15,0.15,0.1,0.15,0.1
42,42,Ademuz,,Valencia,0.15,0.15,0.1,0.15,0.1
43,43,Adios,,Navarre,0.15,0.15,0.1,0.15,0.1
44,44,Adobes,CM,Castilla - La Mancha,0.15,0.15,0.1,0.15,0.1
45,45,Ador,,Valencia,0.15,0.15,0.1,0.15,0.1
46,46,Adra,AN,Andalucia,0.15,0.15,0.1,0.15,0.1
47,47,Adradas,CL,Castilla - Leon,0.15,0.15,0.1,0.15,0.1
48,48,Adrados,CL,Castilla - Leon,0.15,0.15,0.1,0.15,0.1
49,49,Adsubia,,Valencia,0.15,0.15,0.1,0.15,0.1
50,50,Aduna,,Basque Country,0.15,0.15,0.1,0.15,0.1
51,51,Agaete,,Canary Islands,0.15,0.15,0.1,0.15,0.1
52,52,Agallas,CL,Castilla - Leon,0.15,0.15,0.1,0.15,0.1
53,53,Ager,,Catalonia,0.15,0.15,0.1,0.15,0.1
54,54,Agon,AR,Aragon,0.15,0.15,0.1,0.15,0.1
55,55,Agoncillo,RI,La Rioja,0.15,0.15,0.1,0.15,0.1
56,56,Agost,,Valencia,0.15,0.15,0.1,0.15,0.1
57,57,Agramunt,,Catalonia,0.15,0.15,0.1,0.15,0.1
58,58,Agreda,CL,Castilla - Leon,0.15,0.15,0.1,0.15,0.1
59,59,Agres,,Valencia,0.15,0.15,0.1,0.15,0.1
60,60,Agron,AN,Andalucia,0.15,0.15,0.1,0.15,0.1
61,61,Aguadulce,AN,Andalucia,0.15,0.15,0.1,0.15,0.1
62,62,Aguaron,AR,Aragon,0.15,0.15,0.1,0.15,0.1
