,USPS,ST,NAME,ZCTA5,LAT,LON
0,Andalucia,AN,Almeria,04001,36.8381,-2.4597
1,Andalucia,AN,El Palmer,04002,36.8381,-2.4597
2,Andalucia,AN,Almeria,04002,36.8381,-2.4597
3,Andalucia,AN,Almeria,04003,36.8381,-2.4597
4,Andalucia,AN,Almeria,04004,36.8381,-2.4597
5,Andalucia,AN,Almeria,04005,36.8381,-2.4597
6,Andalucia,AN,Almeria,04006,36.8381,-2.4597
7,Andalucia,AN,Almeria,04007,36.8381,-2.4597
8,Andalucia,AN,Almeria,04008,36.8381,-2.4597
9,Andalucia,AN,Almeria,04009,36.8381,-2.4597
10,Andalucia,AN,Almeria,04070,36.8381,-2.4597
11,Andalucia,AN,Almeria,04071,36.8381,-2.4597
12,Andalucia,AN,Almeria,04080,36.8381,-2.4597
13,Andalucia,AN,Nijar,04100,36.9665,-2.2059
14,Andalucia,AN,Campohermoso,04110,36.9362,-2.1319
15,Andalucia,AN,El Viso,04113,36.8825,-2.1058
16,Andalucia,AN,Atochares,04113,36.8825,-2.1058
17,Andalucia,AN,Saladar Y Leche,04114,36.9625,-2.0953
18,Andalucia,AN,Polopos,04114,37.0266,-2.0803
19,Andalucia,AN,Tristanes,04114,36.974,-2.1469
20,Andalucia,AN,Torre Del Campo,04114,36.9877,-2.1075
21,Andalucia,AN,Los Cortijillos,04114,36.9877,-2.1075
22,Andalucia,AN,Venta Del Pobre,04114,36.9877,-2.1075
23,Andalucia,AN,Rodalquilar,04115,36.8487,-2.0443
24,Andalucia,AN,Las Negras,04116,36.8802,-2.0047
25,Andalucia,AN,Albaricoques,04116,36.8802,-2.0047
26,Andalucia,AN,Fernanperez,04116,36.8802,-2.0047
27,Andalucia,AN,Hortichuelas,04116,36.8802,-2.0047
28,Andalucia,AN,Hornillos,04116,36.8802,-2.0047
29,Andalucia,AN,Pozo De Los Frailes,04117,36.7892,-2.1095
30,Andalucia,AN,Boca De Los Frailes,04117,36.8054,-2.1325
31,Andalucia,AN,Los Nietos,04117,36.8844,-2.183
32,Andalucia,AN,El Barranquete,04117,36.8263,-2.1416
33,Andalucia,AN,San Isidro De Nijar,04117,36.8263,-2.1416
34,Andalucia,AN,Cuevas Del Lino,04117,36.8263,-2.1416
35,Andalucia,AN,Presillas Bajas,04117,36.8263,-2.1416
36,Andalucia,AN,Los Grillos,04117,36.8263,-2.1416
37,Andalucia,AN,Pueblo Blanco,04117,36.8263,-2.1416
38,Andalucia,AN,Los Escullos,04118,36.8036,-2.0634
39,Andalucia,AN,La Isleta,04118,36.8137,-2.052
40,Andalucia,AN,San Jose,04118,36.7605,-2.1091
41,Andalucia,AN,Huebro,04119,36.9872,-2.2227
42,Andalucia,AN,Loma Cabrera,04120,36.8565,-2.3825
43,Andalucia,AN,La Cañada De San Urbano,04120,36.8402,-2.406
44,Andalucia,AN,El Mami,04120,36.8545,-2.4232
45,Andalucia,AN,Venta Gaspar,04120,36.8428,-2.4081
46,Andalucia,AN,El Bobar,04120,36.8201,-2.4207
47,Andalucia,AN,Costacabana,04120,36.8428,-2.4081
48,Andalucia,AN,El Alquian,04130,36.8526,-2.3531
49,Andalucia,AN,Retamar,04131,36.8332,-2.316
50,Andalucia,AN,Carboneras,04140,36.9967,-1.8965
51,Andalucia,AN,La Cañada De Don Rodrigo,04140,36.9967,-1.8965
52,Andalucia,AN,La Cueva Del Pajaro,04149,37.035,-1.96
53,Andalucia,AN,El Cumbrero,04149,37.0209,-1.9228
54,Andalucia,AN,El Argamason,04149,37.0051,-1.9311
55,Andalucia,AN,El Saltador Bajo,04149,37.026,-1.9295
56,Andalucia,AN,El Llano De Don Antonio,04149,37.001,-1.9356
57,Andalucia,AN,Los Alamillos,04149,37.0051,-1.9311
58,Andalucia,AN,La Mesa Roldan,04149,36.9426,-1.9075
59,Andalucia,AN,Gafares (Carboneras),04149,37.0051,-1.9311
60,Andalucia,AN,El Cañarico,04149,37.0051,-1.9311
61,Andalucia,AN,La Islica,04149,37.0051,-1.9311
62,Andalucia,AN,El Saltador Alto,04149,37.0051,-1.9311
63,Andalucia,AN,Aguamarga,04149,37.0051,-1.9311
64,Andalucia,AN,Gafares (Sorbas),04149,37.0051,-1.9311
65,Andalucia,AN,Rambla Morales,04150,36.7823,-2.242
66,Andalucia,AN,El Cabo De Gata,04150,36.7823,-2.242
67,Andalucia,AN,Pujaire (Nijar),04151,36.9665,-2.2059
68,Andalucia,AN,Ruescas (Nijar),04151,36.9665,-2.2059
69,Andalucia,AN,Mazarrulleque,04151,36.9023,-2.3328
70,Andalucia,AN,Pujaire (Almeria),04151,36.8381,-2.4597
71,Andalucia,AN,La Fabriquilla,04151,36.9023,-2.3328
72,Andalucia,AN,Ruescas (Almeria),04151,36.8381,-2.4597
73,Andalucia,AN,Cuevas De Los Ubedas,04160,36.9267,-2.2979
74,Andalucia,AN,Cuevas De Los Medinas,04160,36.9267,-2.2979
75,Andalucia,AN,Joluque,04200,37.0241,-2.368
76,Andalucia,AN,Espeliz,04200,37.0686,-2.3234
77,Andalucia,AN,Tabernas,04200,37.0499,-2.3908
78,Andalucia,AN,Cartero,04200,37.0475,-2.3608
