,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,20000,Aita Menni ospitalea,,Mondragón,Pais Vasco,20500,,,,,,,43.0631319,-2.5290782
1,20001,Almacén General,,Murcia,Murcia,30120,,,,,,,37.9305622,-1.1636974
2,20002,Ambulatorio Vallobin,,Oviedo,Asturias,33012,,,,,Yes,,43.3687426,-5.8660012
3,20003,Ambulatorio de La Lila,Calle la Lila 2,Oviedo,Asturias,33002,,+34 985 10 89 00,,,,,43.3647752,-5.8479926
4,20004,Ambulatorio de La Luz,,Avilés,Asturias,33401,,,,,,,43.540857,-5.9084077
5,20005,Ambulatorio de Nueva Andalucia.,,Marbella,Andalucia,29660,,,,,,,36.5011759,-4.9748914
6,20006,Ambulatorio de la luisiana,,La Luisiana,Andalucia,41430,,,,,,,37.5268029,-5.2460505
7,20007,Anatomía Patológica,,Murcia,Murcia,30120,,,,,,,37.9337437,-1.1618989
8,20008,Antiguo Hospital Militar,,Sevilla,Andalucia,41014,,,,,,,37.3465475,-5.9721625
9,20009,Antiguo Hospital del Carmen,,Ciudad Real,Ciudad Real,13001,,,,,,,38.9908042,-3.9345188
10,20010,Antiguo centro de salud,,Villanueva del Arzobispo,Andalucia,23330,,,,,,,38.1685234,-3.0061718
11,20011,Asepeyo,,Sant Cugat del Vallès,Barcelona,08172,,,,,,,41.4904369,2.0783926
12,20012,Asepeyo,,Madrid,Madrid,28006,,,,,,,40.4366899,-3.6772779
13,20013,Asunción klinika,,Tolosa,Pais Vasco,20400,,,,,,,43.1407953,-2.0691858
14,20014,Barbarela,,Málaga,Andalucia,29006,,,,,,,36.7122694,-4.445866
15,20015,Basurtoko Ospitalea,,Bilbao,Pais Vasco,48013,,,,,,,43.2598928,-2.9525313
16,20016,Benito Menni,,Baztan,Nafarroa,31700,,,,,,,43.1445761,-1.5271273
17,20017,Bermeoko Ospitale Psikiatrikoa,,,Pais Vasco,,,,,,,,43.4221235,-2.7210011
18,20018,Bloque Técnico,,Murcia,Murcia,30120,,,,,,,37.9314287,-1.1631718
19,20019,Bola Azul,,Almería,Andalucia,04003,,,,,,,36.8483304,-2.4517331
20,20020,C.A.E. Galdar,Calle Benartemi nan,,Las Palmas,,,,,,,,28.1439453,-15.6540126
21,20021,C.A.R.P.A.,Calle Obispo Lepe 6,Logroño,La Rioja,26005,,+34 941 298000,,,,,42.4624656,-2.4305597
22,20022,CAP - Ambulatori,Plaça Lluís Companys 1,Sant Climent de Llobregat,Barcelona,08849,,+34 93 637 11 12,,,,,41.3372538,1.9956399
23,20023,CAP ARENYS DE MUNT,Carrer Verge del Remei nan,Arenys de Munt,Barcelona,08358,,+34 93 795 02 41,,,Yes,,41.6100409,2.5386195
24,20024,CENTRO DE SALUD,,,Santa Cruz De Tenerife,,,,,,,,28.2354243,-16.4395221
25,20025,CHARE,,Puente Genil,Andalucia,14500,,,,,Yes,,37.3987301,-4.7519757
26,20026,CM San José Norte,Calle Santuario de Cabañas 16,Zaragoza,Aragon,50007,,,,,,,41.6425469,-0.870712
27,20027,CME San José,Calle de Luis Aula nan,Zaragoza,Aragon,50007,,,,,No,,41.6383249,-0.872521
28,20028,CS Finca España,,,Santa Cruz De Tenerife,,,,,,,,28.4727826,-16.300627
29,20029,Cap Roda de Bara,,Roda de Berà,Tarragona,43883,,,,,,,41.1843646,1.453057
30,20030,Capilla,,Santander,Cantabria,39008,,,,,,,43.4557361,-3.831284
31,20031,Capio Clideba,Calle Eladio Salinero Santos 6,Badajoz,Extremadura,06004,,,,,,,38.8713932,-6.9906061
32,20032,Capio Hospital Universitari Sagrat Cor,Carrer de Viladomat 288-302,Barcelona,Barcelona,08029,,,,,,,41.3886335,2.1458195
33,20033,Central Térmica,,Murcia,Murcia,30120,,,,,,,37.9312783,-1.1615356
34,20034,Centre d'Atenció Primària (CAP),,Montornès del Vallès,Barcelona,08170,,,,,,,41.5463393,2.2684633
35,20035,Centre de Salut Sant Jordi,,,Illes Balears,,,,,,No,,38.893023,1.3963807
36,20036,Centro Ambulatorio de Especialidades Prudencio Guzmán,Avenida Alcalde Díaz Saavedra Navarro 43,,Las Palmas,,,,,,No,,28.0963757,-15.4128054
37,20037,Centro Hospitalario Benito Menni,,Valladolid,Valladolid,47012,,,,,,,41.6272367,-4.7235054
38,20038,Centro Hospitalario Padre Menni,,Santander,Cantabria,39008,,,,,,,43.4764422,-3.8029466
39,20039,Centro Materno Infantil Nosa Sra. de Belén,Rúa Filantropía 3,A Coruña,Galicia,15011,,,,,Yes,,43.3656378,-8.4148806
40,20040,Centro Médico,,,Santa Cruz De Tenerife,,,,,,,,28.3658254,-16.8165116
41,20041,Centro Médico,,Loeches,Madrid,28890,,,,,,,40.3827062,-3.4110822
42,20042,Centro Médico,,,Santa Cruz De Tenerife,,,,,,No,,28.3743605,-16.8520213
43,20043,Centro Médico Virgen de la Caridad,,Cartagena,Murcia,30203,,,,,,,37.6154596,-0.9882822
44,20044,Centro Médico de La Matanza de Acentejo,,,Santa Cruz De Tenerife,,,+34 922 57 90 16,,,,,28.4530378,-16.4540703
45,20045,Centro Psiquiatrico Zamudio,,Zamudio,Pais Vasco,48170,,,,,,,43.2909083,-2.8542003
46,20046,Centro Salud Camargo Costa,,Camargo,Cantabria,39600,,,,,,,43.4214658,-3.8416742
47,20047,Centro Salud Valtierra,,Valtierra,Navarra,31514,,,,,,,42.1957516,-1.6308483
48,20048,Centro San Juan de Dios,,Ciempozuelos,Madrid,28350,,,,,,,40.1598718,-3.6121588
49,20049,Centro San Rafael,,Alicante,Comunidad Valenciana,03559,,,,,,,38.3907015,-0.442894
50,20050,Centro Sociosanitario 'Cristo de los Mineros',,La Unión,Murcia,30360,,,,,,,37.6382901,-0.905535
51,20051,Centro de Alta Resolución,Plaza del Molinillo nan,Trujillo,Extremadura,10200,,,,,Yes,,39.4546291,-5.8826599
52,20052,Centro de Atención a Minusválidos Físicos,,Pozoblanco,Andalucia,14400,,,,,,,38.3792562,-4.8406874
53,20053,Centro de Consultas Externas,,Granada,Andalucia,18012,,,,,,,37.18958,-3.6091703
54,20054,Centro de Cuidados paliativos Laguna,,Madrid,Madrid,28011,,,,,,,40.4008055,-3.7477513
55,20055,Centro de Día Renedo,,Piélagos,Cantabria,39470,,,,,,,43.3516495,-3.9509095
56,20056,Centro de Especialidades Avenida de Portugal.,,Madrid,Madrid,28011,,,,,,,40.4109963,-3.7382376
57,20057,Centro de Especialidades Coronel de Palma,,Móstoles,Madrid,28931,,,,,No,,40.3188602,-3.8717183
58,20058,Centro de Especialidades Zaídin,,Granada,Andalucia,18007,,,,,Yes,,37.1610753,-3.5997961
59,20059,Centro de Especialidades de Peñagrande.,,Madrid,Madrid,28035,,,,,,,40.4748814,-3.7251019
60,20060,Centro de Especialidades de Torrijos,Camino Torrijos 21,Torrijos,Toledo,45500,,,,,No,,39.9896783,-4.2784727
61,20061,"Centro de Investigación de Medicina Aeroespacial, Ejército del Aire",Calle de Arturo Soria 82,Madrid,Madrid,28027,,,,,,,40.4445398,-3.6429257
62,20062,Centro de Parálisis Cerebral Infanta Elena,,Sant Joan d'Alacant,Alacant,03550,,,,,,,38.4150257,-0.4150092
63,20063,Centro de Protonterapia de Quirónsalud,,Pozuelo de Alarcón,Madrid,28223,,+34 914 52 19 00,,,,,40.3975088,-3.790568
64,20064,Centro de Recuperación y Rehabilitación de Levante,,San Antonio de Benagéber,Comunidad Valenciana,46184,,,,,,,39.5535745,-0.4798651
65,20065,Centro de Rehabilitación Psicosocial Santo Cristo de los Milagros,,Huesca,Aragon,22005,,,,,,,42.1507577,-0.4135582
66,20066,Centro de Rehabilitación San Juan de Dios,,Teruel,Aragon,44001,,,,,,,40.345609,-1.1133016
67,20067,Centro de Rehabilitación de Salud Mental de Cartagena,,Cartagena,Murcia,30203,,,,,,,37.6108186,-0.977013
68,20068,Centro de Salud,Calle Plaza de Abajo nan,Sacedón,Guadalajara,19120,,+34 949350676,,,Yes,,40.4824495,-2.7325146
69,20069,"Centro de Salud ""La Chopera""",,Alcobendas,Madrid,28100,,,,,,,40.5407939,-3.6399595
70,20070,"Centro de Salud ""Montijo-Puebla de la Calzada""",Avenida Puebla de la Calzada 2,Montijo,Extremadura,06480,,,,,,,38.9010474,-6.6213396
71,20071,"Centro de Salud ""Rosa Luxemburgo""",,San Sebastián de los Reyes,Madrid,28703,,,,,,,40.5592664,-3.6325043
72,20072,Centro de Salud Adeje,,,Santa Cruz De Tenerife,,,,,,Yes,,28.1183824,-16.7271976
73,20073,Centro de Salud Aldea Moret,,Cáceres,Extremadura,10195,,,,,,,39.4514011,-6.3889596
74,20074,Centro de Salud Antiguo,Avenida Aragón nan,Alcañiz,Aragon,44600,,,,,,,41.0459843,-0.12968
75,20075,Centro de Salud Arroyo de la Vega,,Alcobendas,Madrid,28108,,,,,,,40.538069,-3.631602
76,20076,Centro de Salud Barrio de la Salud,,,Santa Cruz De Tenerife,,,,,,Yes,,28.4668162,-16.2699171
77,20077,Centro de Salud Dos de Mayo,,Móstoles,Madrid,28931,,,,,No,,40.3188402,-3.8719865
78,20078,Centro de Salud El Greco,,Getafe,Madrid,28901,,,,,,,40.2987432,-3.7373397
79,20079,Centro de Salud Fronteras,nan 4,Torrejón de Ardoz,Madrid,28850,,,,,,,40.4588651,-3.4837169
80,20080,Centro de Salud Guía de Isora,,,Santa Cruz De Tenerife,,,,,,,,28.2141866,-16.7811541
81,20081,Centro de Salud Güímar,,,Santa Cruz De Tenerife,,,,,,,,28.3169103,-16.4065608
82,20082,Centro de Salud La Condesa,Paseo Condesa de Sagasta 26 - 28,León,León,24002,,,,,,,42.5993875,-5.580319
83,20083,Centro de Salud La Isleta,,,Las Palmas,,,,,,Yes,,28.1487683,-15.4239673
84,20084,Centro de Salud La Paz,Avenida del Parque de Asturias nan,Rivas-Vaciamadrid,Madrid,28523,,+34 91 666 17 11,,,,,40.3646881,-3.5494018
85,20085,Centro de Salud Las Ciudades,,Getafe,Madrid,28901,,,,,Yes,,40.3148017,-3.7143714
86,20086,Centro de Salud Las Dehesas,,,Santa Cruz De Tenerife,,,,,,,,28.394436,-16.5134568
87,20087,Centro de Salud Las Mercedes,,,Santa Cruz De Tenerife,,,,,,,,28.4938647,-16.3140502
88,20088,Centro de Salud Loranca-Nuevos Versalles,,Fuenlabrada,Madrid,28942,,,,,No,,40.2977262,-3.8367203
89,20089,Centro de Salud Los Gladiolos,,,Santa Cruz De Tenerife,,,,,,,,28.4602051,-16.2678929
90,20090,Centro de Salud Majadahonda,,Majadahonda,Madrid,28220,,,,,,,40.4763345,-3.867728
91,20091,Centro de Salud Marqués de la Valdavia,,Alcobendas,Madrid,28100,,,,,,,40.5450356,-3.645739
92,20092,Centro de Salud Mediterráneo - Torrecárdenas,,Almería,Andalucia,04003,,,,,,,36.8574163,-2.4460653
93,20093,Centro de Salud Mejorada del Campo,Calle de la Ciudad de París 22,Mejorada del Campo,Madrid,28840,,,,,,,40.3967162,-3.4824897
94,20094,Centro de Salud Miguel Servet,,Alcorcón,Madrid,28922,,,,,No,,40.3479992,-3.8335006
95,20095,Centro de Salud Mina del Morro,,Bilbo,Bizkaia,48004,,,,,,,43.2500443,-2.917769
96,20096,Centro de Salud Miraflores,,Alcobendas,Madrid,28100,,,,,,,40.5476247,-3.6375104
97,20097,Centro de Salud Nuevo,Calle Andrés Vives nan,Alcañiz,Aragon,44600,,,,,,,41.0455757,-0.1282275
98,20098,Centro de Salud Ofra Delicias-Miramar,,,Santa Cruz De Tenerife,,,,,,,,28.454545,-16.2838673
99,20099,Centro de Salud San Antonio,Calle Juan Solano Pedrero 1,Cáceres,Extremadura,10005,,,,,,,39.4558864,-6.3775839
100,20100,Centro de Salud San Juan de la Cruz,Calle San Juan de la Cruz nan,Pozuelo de Alarcón,Madrid,28223,,+34 913 52 47 47,,,,,40.4307522,-3.8149394
101,20101,Centro de Salud San Sebastián de la Gomera,,,Santa Cruz De Tenerife,,,,,,,,28.1019376,-17.1231021
102,20102,Centro de Salud Sardinero,Calle del Alcalde Vega Lamera 6,Santander,Cantabria,39008,,+34 942 39 30 06,,,,,43.4774449,-3.7947632
103,20103,Centro de Salud Sánchez Morate,,Getafe,Madrid,28901,,,,,No,,40.3133638,-3.7228994
104,20104,Centro de Salud Valencia de Alcántara,Calle Extremadura 19,Valencia de Alcántara,Extremadura,10500,,+34 927 580 295,,,,,39.4080212,-7.2433031
105,20105,Centro de Salud de Benijófar,,Benijófar,Comunidad Valenciana,03178,,,,,,,38.0785558,-0.7368073
106,20106,Centro de Salud de Firgas,,,Las Palmas,,,,,,,,28.1083198,-15.5628129
107,20107,Centro de Salud de Guanarteme,,,Las Palmas,,,,,,Yes,,28.1270906,-15.4410807
108,20108,Centro de Salud de Gáldar,Paseo de los Guanartemes S/N,,Las Palmas,,,,,,,,28.1445407,-15.6489077
109,20109,Centro de Salud de Mislata,,Mislata,València,46920,,,,,,,39.4784713,-0.4153534
110,20110,Centro de Salud de Nuñomoral,Avenida Castilla Y León nan,Nuñomoral,Extremadura,10626,,,,,,,40.4062803,-6.248059
111,20111,Centro de Salud de Paracuellos de Jarama,,Paracuellos de Jarama,Madrid,28860,,,,,access_point,,40.5066123,-3.5324189
112,20112,Centro de Salud de Polientes,Calle Los Marineros 25,Valderredible,Cantabria,39220,,+34 942 770 545,,,No,,42.8051924,-3.9445994
113,20113,Centro de Salud de Serranillos del Valle,,Serranillos del Valle,Madrid,28979,,,,,,,40.2046316,-3.8808618
114,20114,Centro de Salud de Tejeda,,,Las Palmas,,,,,,,,27.9980591,-15.6147401
115,20115,Centro de Salud de Torrejón de Velasco,Calle del Hospital nan,Torrejón de Velasco,Madrid,28990,,,,,,,40.1871051,-3.7801824
116,20116,Centro de Salud de Triana,Calle Don Bernardino Correa Viera 1,,Las Palmas,,,,,,No,,28.1017741,-15.4182895
117,20117,Centro de Salud de Valterra,,,Las Palmas,,,,,,,,28.9663911,-13.5451228
118,20118,Centro de especialidades,Severo Ochoa nan,Daimiel,Ciudad Real,13250,,,,,Yes,,39.0645715,-3.6155717
119,20119,Centro de salud,,Tamurejo,Extremadura,06658,,,,,,,38.9893901,-4.9457866
120,20120,Centro de salud,Avenida del Barco nan,Marmolejo,Andalucia,23770,,,,,Yes,,38.0428518,-4.1730251
121,20121,Centro de salud La Veredilla,,Torrejón de Ardoz,Madrid,28850,,,,,No,,40.4650822,-3.4735745
122,20122,Centro de salud Playa de Arinaga,,,Las Palmas,,,,,,Yes,,27.8595131,-15.3935692
123,20123,Centro de salud de Nerva,,Nerva,Andalucia,21670,,+34 959598531,,,,,37.6912793,-6.5392788
124,20124,Centro médico,Calle Ramón y Cajal nan,Azagra,Navarra,31560,,,,,No,,42.3089608,-1.8968635
125,20125,Centro neuropsiquiatrico Nuestra señora del Carmen,,Zaragoza,Aragon,50001,,,,,,,41.678457,-0.9860394
126,20126,Ceram,,Marbella,Andalucia,29601,,,,,,,36.5168816,-4.896959
127,20127,Cibir,,Logroño,La Rioja,26005,,,,,,,42.4515818,-2.4251727
128,20128,Ciudad Sanitaria La Paz.,Paseo de la Castellana 261,Madrid,Madrid,28046,,,,,Yes,,40.4824744,-3.6885105
129,20129,Ciudad de la Salud y la Innovación,,Cáceres,Extremadura,10004,,,,,,,39.4776002,-6.3298187
130,20130,Clinica HLA Belén,,Murcia,Murcia,30007,,+34 968233500,,,,,37.9983863,-1.1308183
