"Postal code area","X coordinate in metres","Y coordinate in metres"
"00100  Helsinki Keskusta - Etu-Töölö (Helsinki)",384979,6672361
"00120  Punavuori (Helsinki)",385531,6671434
"00130  Kaartinkaupunki (Helsinki)",386244,6671474
"00140  Kaivopuisto - Ullanlinna (Helsinki)",386394,6670766
"00150  Eira - Hernesaari (Helsinki)",385320,6670373
"00160  Katajanokka (Helsinki)",387315,6671672
"00170  Kruununhaka (Helsinki)",386384,6672361
"00180  Kamppi - Ruoholahti (Helsinki)",384394,6671544
"00190  Suomenlinna (Helsinki)",388074,6668964
"00200  Lauttasaari (Helsinki)",382001,6671291
"00210  Vattuniemi (Helsinki)",382433,6670140
"00220  Jätkäsaari (Helsinki)",384310,6670490
"00230  Ilmala (Helsinki)",384728,6677128
"00240  Länsi-Pasila (Helsinki)",384862,6675950
"00250  Taka-Töölö (Helsinki)",384864,6674180
"00260  Keski-Töölö (Helsinki)",384837,6673278
"00270  Pohjois-Meilahti (Helsinki)",383779,6674911
"00280  Ruskeasuo (Helsinki)",383953,6675752
"00290  Meilahden sairaala-alue (Helsinki)",383963,6674235
"00300  Pikku Huopalahti (Helsinki)",383074,6675909
"00310  Kivihaka (Helsinki)",384025,6676710
"00320  Etelä-Haaga (Helsinki)",383618,6677411
"00330  Munkkiniemi (Helsinki)",382363,6675346
"00340  Kuusisaari-Lehtisaari (Helsinki)",380834,6673255
"00350  Munkkivuori-Niemenmäki (Helsinki)",381714,6676414
"00360  Pajamäki (Helsinki)",381312,6677454
"00370  Reimarla (Helsinki)",380818,6677989
"00380  Pitäjänmäen teollisuusalue (Helsinki)",382085,6677483
"00390  Konala (Helsinki)",380819,6679980
"00400  Pohjois-Haaga (Helsinki)",383591,6678683
"00410  Malminkartano (Helsinki)",381404,6680965
"00420  Kannelmäki (Helsinki)",382603,6680785
"00430  Maununneva (Helsinki)",383599,6681314
"00440  Lassila (Helsinki)",382731,6678903
"00500  Sörnäinen (Helsinki)",386920,6673920
"00510  Etu-Vallila - Alppila (Helsinki)",386306,6674580
"00520  Itä-Pasila (Helsinki)",385886,6675603
"00530  Kallio (Helsinki)",386359,6673423
"00540  Kalasatama (Helsinki)",387726,6673451
"00550  Vallila (Helsinki)",386859,6675138
"00560  Toukola-Vanhakaupunki (Helsinki)",388067,6676661
"00570  Kulosaari (Helsinki)",389434,6673678
"00580  Verkkosaari (Helsinki)",387684,6674732
