ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WHITE,HISPANIC,BLACK,ASIAN,NATIVE,OTHER,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGREE
0,0,Askola,Uusimaa,4958,Askola,4958,0.5080677692617991,0.4919322307382009,1.0,0.0,0.0,0.0,0.0,0.0,0.07714804356595402,0.07714804356595402,0.07714804356595402,0.07714804356595402,0.03408632513110125,0.04356595401371521,0.05465913674868899,0.06353368293666802,0.07462686567164178,0.06111335215812828,0.07583703106091166,0.07079467527228721,0.06575231948366277,0.06514723678902784,0.05344897135941912,0.030859217426381605,0.021581282775312627,0.01956434045986285,0.19,0.1145,0.3,0.2,0.1,0.055,0.0265,0.008,0.005,0.001,0.4481645824929407,0.036506655909640987,0.409035901573215,0.10629286002420331
1,1,Espoo,Uusimaa,283632,Espoo,283632,0.4971794437863147,0.5028205562136854,1.0,0.0,0.0,0.0,0.0,0.0,0.07340321261352739,0.07340321261352739,0.07340321261352739,0.07340321261352739,0.060895808653466464,0.07159629378913522,0.0752876967337959,0.07957846787386473,0.07451556947029954,0.06513722005979579,0.06733372821120324,0.058815648445873524,0.04986390816268968,0.04522056749591019,0.04434972076493485,0.026068990804986744,0.016740001128222486,0.014398939470863655,0.19,0.1145,0.3,0.2,0.1,0.055,0.0265,0.008,0.005,0.001,0.3785856320866474,0.08172561629153269,0.2325090257798838,0.30717972584193604
2,2,Hanko,Uusimaa,8379,Hanko,8379,0.4997016350399809,0.5002983649600191,1.0,0.0,0.0,0.0,0.0,0.0,0.05137844611528822,0.05137844611528822,0.05137844611528822,0.05137844611528822,0.03210406969805466,0.03449098937820742,0.04236782432271154,0.0513187731232844,0.056211958467597564,0.06743048096431555,0.07172693638859053,0.07411385606874328,0.07996180928511755,0.0885547201336675,0.10144408640649243,0.05967299200381907,0.036877909058360185,0.026733500417710943,0.19,0.1145,0.3,0.2,0.1,0.055,0.0265,0.008,0.005,0.001,0.4710585988781477,0.039980904642558775,0.37963957512829694,0.10932092135099654
3,3,Helsinki,Uusimaa,648042,Helsinki,648042,0.47471151561164243,0.5252884843883575,1.0,0.0,0.0,0.0,0.0,0.0,0.05410876146916403,0.05410876146916403,0.05410876146916403,0.05410876146916403,0.06807120526138738,0.09823745991772138,0.09232889226315578,0.08180642612670166,0.06929026205091646,0.05627104416071798,0.06417793908419515,0.06048836340854451,0.05350424818144503,0.04963412865215526,0.048654253890951515,0.030244953259202335,0.020594344193740528,0.02108196690955216,0.19,0.1145,0.3,0.2,0.1,0.055,0.0265,0.008,0.005,0.001,0.34484493289015217,0.09969106940599529,0.2459917721382256,0.3094722255656269
4,4,Vantaa,Uusimaa,228166,Vantaa,228166,0.49719940744896257,0.5028005925510374,1.0,0.0,0.0,0.0,0.0,0.0,0.06716601071149952,0.06716601071149952,0.06716601071149952,0.06716601071149952,0.06462400182323397,0.07776794088514502,0.07867517509181911,0.07743485006530333,0.07139538756869998,0.0632872557699219,0.06871751268813057,0.061604270574932285,0.05324632066127293,0.048600580279270354,0.045817518824014095,0.02737480606225292,0.017960607627779776,0.01339813995073762,0.19,0.1145,0.3,0.2,0.1,0.055,0.0265,0.008,0.005,0.001,0.4224555805860646,0.06736761831298266,0.32278253552238284,0.18739426557857
5,5,Hyvinkää,Uusimaa,46504,Hyvinkää,46504,0.48924823671082057,0.5107517632891794,1.0,0.0,0.0,0.0,0.0,0.0,0.06253763117151213,0.06253763117151213,0.06253763117151213,0.06253763117151213,0.052554618957509035,0.06046791673834509,0.0606184414243936,0.06188714949251677,0.0633923963530019,0.06199466712540857,0.07010149664544986,0.07033803543781181,0.06805866162050576,0.06698348529158782,0.059392740409427144,0.03649148460347497,0.027610528126612764,0.02616979184586272,0.19,0.1145,0.3,0.2,0.1,0.055,0.0265,0.008,0.005,0.001,0.3905040426629968,0.04431876827799759,0.39620247720626184,0.16897471185274385
6,6,Ingå,,5403,Ingå,5403,0.4987969646492689,0.5012030353507311,1.0,0.0,0.0,0.0,0.0,0.0,0.06334443827503239,0.06334443827503239,0.06334443827503239,0.06334443827503239,0.028687766055894872,0.034795483990375714,0.0416435313714603,0.05719044975013881,0.07125670923560985,0.06866555617249676,0.08587821580603368,0.0742180270220248,0.07181195632056266,0.07347769757542107,0.06718489727928928,0.045715343327780864,0.027947436609291134,0.03127891911900796,0.19,0.1145,0.3,0.2,0.1,0.055,0.0265,0.008,0.005,0.001,0.39644641865630204,0.055709790856931334,0.362576346474181,0.1852674440125856
7,7,Järvenpää,Uusimaa,43410,Järvenpää,43410,0.4878369039391845,0.5121630960608154,1.0,0.0,0.0,0.0,0.0,0.0,0.06680488366735775,0.06680488366735775,0.06680488366735775,0.06680488366735775,0.05961759963142133,0.06797972817323197,0.06772633033863165,0.07076710435383553,0.0663441603317208,0.0589725869615296,0.06982262151577977,0.06747293250403133,0.06470859249020963,0.05885740612762037,0.053443906933886204,0.02884128081087307,0.019580741764570374,0.015411195577055978,0.19,0.1145,0.3,0.2,0.1,0.055,0.0265,0.008,0.005,0.001,0.3850956000921446,0.053789449435613916,0.36991476618290714,0.19120018428933425
8,8,Karkkila,Uusimaa,8778,Karkkila,8778,0.49521531100478466,0.5047846889952153,1.0,0.0,0.0,0.0,0.0,0.0,0.06319776714513557,0.06319776714513557,0.06319776714513557,0.06319776714513557,0.032809295967190705,0.03691045796308954,0.0480747322852586,0.060719981772613354,0.06915014809751652,0.062087035771246295,0.07302346776030987,0.07120072909546593,0.07473228525860105,0.08168147641831852,0.06869446343130553,0.03953064479380269,0.029961266803372067,0.03394850763271816,0.19,0.1145,0.3,0.2,0.1,0.055,0.0265,0.008,0.005,0.001,0.46365914786967416,0.0355434039644566,0.4013442697653224,0.09945317840054682
9,9,Kauniainen,Uusimaa,9615,Kauniainen,9615,0.4812272490899636,0.5187727509100364,1.0,0.0,0.0,0.0,0.0,0.0,0.07389495579823192,0.07389495579823192,0.07389495579823192,0.07389495579823192,0.04960998439937597,0.0405616224648986,0.0422256890275611,0.05231409256370255,0.06957878315132605,0.06801872074882995,0.0796671866874675,0.0672906916276651,0.054914196567862714,0.04981799271970879,0.06032241289651586,0.04565782631305252,0.033697347893915756,0.028497139885595425,0.19,0.1145,0.3,0.2,0.1,0.055,0.0265,0.008,0.005,0.001,0.326365054602184,0.09235569422776911,0.187207488299532,0.3940717628705148
