,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
1,20001,Alajärven terveyskeskus,,,,,,,,,yes,,62.996398899999996,23.826904199999998
2,20002,Alavan sairaala,,,,,,,,,yes,,62.8867831,27.666443
3,20003,Alavuden pääterveysasema,Salmentie,,,,,,,,yes,,62.5865728,23.6258106
13,20013,Forssan sairaala,,,,,,,,,yes,,60.8206204,23.6357557
25,20025,Heinolan sairaala,,,,,,,,,yes,,61.206993999999995,26.034400100000003
33,20033,Hyvinkään sairaala,Sairaalankatu,,,,,,,,yes,,60.611699,24.8269413
41,20041,Ikaalisten terveyskeskus,,,,,,,,,yes,,61.76934250000001,23.0718572
44,20044,IsojoenTerveysKeskus,,,,,,,,,yes,,62.1166189,21.955903
49,20049,Jorvin sairaala,Turuntie,,,,,,,,yes,,60.2229537,24.6911512
53,20053,Juvan terveyskeskus,,,,,,,,,yes,,61.893995,27.8647734
57,20057,Kainuun Keskussairaala,Sotkamontie,,,,,,,,yes,,64.2127595,27.7249615
64,20064,Kanta-Hämeen keskussairaala,Ahvenistontie,,,,,,,,yes,,60.990612,24.4164301
65,20065,"Kanta-Hämeen keskussairaala, Riihimäen yksikkö",Kontiontie,,,,,,,,yes,,60.74755210000001,24.7450659
69,20069,Katajaharjun terveysasema,Puhjontie,,,,,,,,yes,,60.87867850000001,26.6595081
70,20070,Katriinan sairaala,Katriinankuja,,,,,,,,yes,,60.346411100000005,24.873276899999997
74,20074,Keltakankaan terveysasema,Sairaalankaari,,,,,,,,yes,,60.7463458,26.8326846
77,20077,Keski-Pohjanmaan keskussairaala,,,,,,,,,yes,,63.84757809999999,23.1126648
86,20086,Kittilän terveyskeskus,Sairaalantie,,,,,+358 400 356 498,,,yes,,67.6478666,24.923282
99,20099,Kuusamon terveyskeskus,Vanttajantie,,,,,,,,yes,,65.9648312,29.192020399999997
108,20108,Lapin keskussairaala,,,,,,,,,yes,,66.49360779999999,25.768548499999998
110,20110,Lapuan Terveyskeskus,Sairaalantie,,,,,,,,yes,,62.9682926,23.0424772
113,20113,Lohjan sairaala,Sairaalatie,,,,,,,,yes,,60.222339100000006,24.017635300000002
114,20114,Loimaan aluesairaala,Seppälänkatu,,,,,+358 2 314 3000,,,yes,,60.852947,23.048512300000002
117,20117,Länsi-Pohjan keskussairaala,,,,,,,,,yes,,65.7336561,24.5551069
119,20119,Malmin sairaala,Talvelantie,,,,,09 310 6611,,,yes,,60.2536171,25.001049
120,20120,Marjoniemen terveysasema,,,,,,,,,yes,,60.870141000000004,26.692726500000003
123,20123,Matinkylän terveysasema,Matinkatu,,,,,,,,yes,,60.160264,24.748300399999998
125,20125,Mikkelin keskussairaala,Porrassalmenkatu,,,,,,,,yes,,61.692915799999994,27.2779482
127,20127,Muhoksen terveyskeskus,,,,,,,,,yes,,64.81262679999999,26.031110199999997
130,20130,Myyrmäen sosiaali- ja terveysasema,Jönsaksentie,,,,,,,,yes,,60.260912899999994,24.8550992
132,20132,Mäntän Aluesairaala,,,,,,,,,yes,,62.0088711,24.6347896
133,20133,Nastolan terveysasema,Pekkalantie,,,,,,,,yes,,60.94614839999999,25.923906600000002
137,20137,OYS Psykiatria,,,,,,,,,yes,,65.0163548,25.515969000000002
142,20142,Oulun yliopistollinen sairaala,Kajaanintie,,,,,,,,yes,,65.0083643,25.5147233
143,20143,Oulunkylän terveysasema,Kylänvanhimmantie,,,,,,,,yes,,60.228162399999995,24.964671
151,20151,Peijaksen sairaala,Sairaalakatu,,,,,+358 9 47167371,,,yes,,60.3299322,25.059890300000003
