FIPS_CODE,COUNTY_CODE,COUNTY,ST,STATE,FOOD_INSECURITY,SEVERE_HOUSING_COST_BURDEN,UNEMPLOYED,NO_VEHICLE_ACCESS,UNINSURED
0,0,Abancourt,32,Hauts-de-france,0.15,0.15,0.1,0.15,0.1
1,1,Abbaretz,52,Pays De La Loire,0.15,0.15,0.1,0.15,0.1
2,2,Abbeville,32,Hauts-de-france,0.15,0.15,0.1,0.15,0.1
3,3,Abbeville-Saint-Lucien,32,Hauts-de-france,0.15,0.15,0.1,0.15,0.1
4,4,Abbévillers,27,Bourgogne-franche-comté,0.15,0.15,0.1,0.15,0.1
5,5,Abeilhan,76,Occitanie,0.15,0.15,0.1,0.15,0.1
6,6,Abergement-la-Ronce,27,Bourgogne-franche-comté,0.15,0.15,0.1,0.15,0.1
7,7,Abilly,24,Centre-val De Loire,0.15,0.15,0.1,0.15,0.1
8,8,Abjat-sur-Bandiat,75,Nouvelle-aquitaine,0.15,0.15,0.1,0.15,0.1
9,9,Ablain-Saint-Nazaire,32,Hauts-de-france,0.15,0.15,0.1,0.15,0.1
10,10,Ableiges,11,Île-de-france,0.15,0.15,0.1,0.15,0.1
11,11,Ablis,11,Île-de-france,0.15,0.15,0.1,0.15,0.1
12,12,Ablon,28,Normandie,0.15,0.15,0.1,0.15,0.1
13,13,Ablon-sur-Seine,11,Île-de-france,0.15,0.15,0.1,0.15,0.1
14,14,Abondance,84,Auvergne-rhône-alpes,0.15,0.15,0.1,0.15,0.1
15,15,Abondant,24,Centre-val De Loire,0.15,0.15,0.1,0.15,0.1
16,16,Abos,75,Nouvelle-aquitaine,0.15,0.15,0.1,0.15,0.1
17,17,Abreschviller,44,Grand Est,0.15,0.15,0.1,0.15,0.1
18,18,Abrest,84,Auvergne-rhône-alpes,0.15,0.15,0.1,0.15,0.1
19,19,Abscon,32,Hauts-de-france,0.15,0.15,0.1,0.15,0.1
20,20,Abzac,75,Nouvelle-aquitaine,0.15,0.15,0.1,0.15,0.1
21,21,Achen,44,Grand Est,0.15,0.15,0.1,0.15,0.1
22,22,Achenheim,44,Grand Est,0.15,0.15,0.1,0.15,0.1
23,23,Achery,32,Hauts-de-france,0.15,0.15,0.1,0.15,0.1
24,24,Acheux-en-Amiénois,32,Hauts-de-france,0.15,0.15,0.1,0.15,0.1
25,25,Acheux-en-Vimeu,32,Hauts-de-france,0.15,0.15,0.1,0.15,0.1
