STATE,ST,TIMEZONE,TZ
Île-de-France,11,Central European Time,CET
Centre-Val de Loire,24,Central European Time,CET
Bourgogne-Franche-Comté,27,Central European Time,CET
Normandie,28,Central European Time,CET
Hauts-de-France,32,Central European Time,CET
Grand Est,44,Central European Time,CET
Pays de la Loire,52,Central European Time,CET
Bretagne,53,Central European Time,CET
Nouvelle-Aquitaine,75,Central European Time,CET
Occitanie,76,Central European Time,CET
Auvergne-Rhône-Alpes,84,Central European Time,CET
Provence-Alpes-Côte d'Azur,93,Central European Time,CET
Corse,94,Central European Time,CET
