,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,10000,(ICO) Institut de Cancérologie de l'Ouest - Centre Paul Papin,rue André Boquel 15,Angers,Pays de la Loire,49100,,,,,,,47.4836332,-0.5565815
1,10001,A.U.R.A. Auvergne Dialyse,nan nan,Chamalières,Puy-de-Dôme,63400,,,,,,,45.7794328,3.0497259
2,10002,Abri Montagnard,nan nan,Bedous,Nouvelle-Aquitaine,64490,,,,,,,42.991559,-0.59979
3,10003,Abri Montagnard,nan nan,Osse-en-Aspe,Nouvelle-Aquitaine,64490,,,,,,,43.00044,-0.624863
4,10004,Allée des Dryades,nan nan,Valence,Drôme,26000,,,,,,,44.9107463,4.8894999
5,10005,American Memorial Hospital,nan nan,Reims,Grand Est,51100,,,,,,,49.2310785,4.0175041
6,10006,Ancien Hopital de Monbran (fermé),nan nan,Colayrac-Saint-Cirq,Nouvelle-Aquitaine,47450,,,,,,,44.2331905,0.6009845
7,10007,Ancien Hôpital,nan nan,Le Lorrain,Martinique,97214,,,,,,,14.8346374,-61.0575732
8,10008,Ancien hôpital,Rue Maître Georges Lefêvre nan,Saint Pierre,,,,,,,,,46.7828865,-56.1727707
9,10009,Ancien hôtel-Dieu,nan nan,L'Isle-sur-la-Sorgue,Vaucluse,84800,,,,,,,43.9197151,5.0490016
10,10010,Ancienne Clinique Fardeau,nan nan,Saumur,Pays de la Loire,49400,,,,,No,,47.25308,-0.083139
11,10011,Anciens Hôpitaux Maringer Villemin Fournier,nan nan,Nancy,Grand Est,54000,,,,,,,48.6775166,6.1888116
12,10012,Antenne medico-psychologique,nan nan,Koumac,,,,,,,,,-20.5588743,164.2804961
13,10013,Arnault Tzanck Mougins,nan nan,Mougins,Alpes-Maritimes,06250,,+33 4 97 16 68 00,,,,,43.6078282,7.0115289
14,10014,Association Audoise Sociale et Médicale,nan nan,Limoux,Occitanie,11300,,,,,No,,43.0558555,2.2202385
15,10015,Aura,nan nan,Paris,Paris,75014,,,,,No,,48.8294695,2.3104442
16,10016,Automne en Aspe,nan nan,Osse-en-Aspe,Nouvelle-Aquitaine,64490,,,,,,,42.995011,-0.614661
17,10017,Avenue du Docteur Santy,nan nan,Valence,Drôme,26000,,,,,,,44.9149623,4.9080471
18,10018,Bercail Saint-Denis,nan nan,Héricourt-en-Caux,Normandie,76560,,,,,,,49.700301,0.7106935
19,10019,Biologie du cancer,nan nan,Paris,Paris,75005,,,,,,,48.8442219,2.3431408
20,10020,Boulevard Franklin Roosevelt,nan nan,Valence,Drôme,26000,,,,,,,44.9123072,4.9087127
21,10021,Boulevard du Maréchal Juin,nan nan,Valence,Drôme,26000,,,,,,,44.9118162,4.9063751
22,10022,Boulevard du Maréchal Juin,nan nan,Valence,Drôme,26000,,,,,,,44.9122428,4.9086393
23,10023,Boulevard du Maréchal Juin,nan nan,Valence,Drôme,26000,,,,,,,44.9116889,4.9055168
24,10024,Boulevard du Maréchal Juin,nan nan,Valence,Drôme,26000,,,,,,,44.9121338,4.9084546
25,10025,Boulevard du Maréchal Juin,nan nan,Valence,Drôme,26000,,,,,,,44.9117857,4.9057837
26,10026,Boulevard du Maréchal Juin,nan nan,Valence,Drôme,26000,,,,,,,44.9118344,4.9061369
27,10027,Boulevard du Maréchal Juin,nan nan,Valence,Drôme,26000,,,,,,,44.9120235,4.9077377
28,10028,Bâtiment 101 - Centre de protonthérapie,Avenue Irène et Frédéric Joliot-Curie Bâtiment 101,Orsay,Essonne,91400,,+33 1 69 29 87 00,,,No,,48.6978483,2.1765925
29,10029,Bâtiment Constant Burg,nan nan,Paris,Paris,75005,,,,,,,48.8435477,2.3456223
30,10030,C.H.S Georges Mazurelle,nan nan,La Roche-sur-Yon,Pays de la Loire,85000,,,,,,,46.6444648,-1.4260234
31,10031,C.H.U Saint-Jacques,nan nan,Nantes,Pays de la Loire,44200,,,,,,,47.1960267,-1.5362714
32,10032,C.H.U. - Hôpital Gabriel Montpied,nan nan,Beaumont,Puy-de-Dôme,63110,,+33 4 73 75 07 50,,,Yes,,45.7601964,3.0883572
33,10033,CASM,Place du Conseil National de la Résistance 8,Saint-Martin-d'Hères,Isère,38400,,+33 4 56 58 82 70,,,,,45.184922,5.753588
34,10034,CENTRE DE DIALYSE,nan nan,Bourail,,,,,,,,,-21.570366,165.4992659
35,10035,CH de Grasse - Site du Petit Paris,nan nan,Grasse,Alpes-Maritimes,06130,,,,,,,43.6497373,6.9133394
36,10036,CHAM - Centre Hospitalier de l'Arrondissement de Montreuil-sur-mer,Route Départementale 140,Rang-du-Fliers,Hauts-de-France,62180,,+33 3 21 89 46 25,,,Yes,,50.4156606,1.6606522
37,10037,CHCBE (Centre Hospitalier de Capesterre B-E),nan nan,Capesterre-Belle-Eau,Guadeloupe,97130,,,,,,,16.0458832,-61.5637822
38,10038,CHRU de Nancy Brabois,nan nan,Vandoeuvre-lès-Nancy,Grand Est,54500,,,,,Yes,,48.648566,6.14586
39,10039,CHSA - Centre de Psychothérapie,nan nan,Maubeuge,Hauts-de-France,59600,,,,,,,50.2797275,3.958437
40,10040,CHU Amiens Picardie - Centre Saint-Victor,nan nan,Amiens,Hauts-de-France,80000,,,,,,,49.9029602,2.3185096
41,10041,CHU Amiens Picardie Hôpital Nord,nan nan,Amiens,Hauts-de-France,80080,,,,,,,49.905836,2.2930547
42,10042,CHU Amiens Sud,nan nan,Amiens,Hauts-de-France,80000,,+33 3 22 45 60 00,,,Yes,,49.8700095,2.2480667
43,10043,CHU Estaing,nan nan,Clermont-Ferrand,Puy-de-Dôme,63100,,+33 4 73 75 07 50,,,Yes,,45.7866733,3.1091001
44,10044,CHU Félix Guyon,Allée des Topazes nan,Saint-Denis,Réunion,97400,,0262 90 50 50,,,Yes,,-20.8899622,55.4447582
45,10045,CHU Larche Bleu,nan nan,Clapiers,Occitanie,34830,,,,,,,43.6625975,3.8999804
46,10046,CHU Louise Michel Hopital Nord,Route de Châteaugay 61,Cébazat,Puy-de-Dôme,63118,,,,,Yes,,45.8388679,3.0924428
47,10047,CHU Reims - Hôpital Sébastopol,Rue de Sébastopol 48,Reims,Grand Est,51100,,,,,,,49.2654169,4.0468967
48,10048,CHU d'Angers,Rue Larrey nan,Angers,Pays de la Loire,49100,,+33 2 41 35 36 37,,,Yes,,47.4806504,-0.5595356
49,10049,CHU de Guadeloupe,nan nan,Les Abymes,Guadeloupe,97139,,+33 5 90 89 10 10,,,Yes,,16.2384565,-61.5283281
50,10050,CHU de Martinique,nan nan,Fort-de-France,Martinique,97200,,0596 55 20 00,,,Yes,,14.6351662,-61.0371342
51,10051,CHU de Montpellier,nan nan,Montpellier,Occitanie,34090,,+33 4 67 33 67 33,,,,,43.630349,3.855078
52,10052,CHU de Montpellier,nan nan,Montpellier,Occitanie,34090,,,,,,,43.6268456,3.8663104
53,10053,CHU de Nîmes,nan nan,Nîmes,Occitanie,30000,,+33 4 66 68 68 68,,,Yes,,43.8242207,4.3253869
54,10054,CHU de Reims,nan nan,Reims,Grand Est,51100,,+33 3 26 78 78 78,,,Yes,,49.2299514,4.0151871
55,10055,CHU de Saint-Pierre,Avenue Président Mitterrand nan,Saint-Pierre,Réunion,97410,,0262 35 90 00,,,Yes,,-21.3436878,55.4962936
56,10056,CHU de la Réunion - Site Sud Cilaos,Rue des Fleurs Jaunes nan,Cilaos,Réunion,97413,,+262 2 62 31 70 50,,,No,,-21.1326604,55.4798797
57,10057,CMP - CATTP Maupassant,nan nan,Reims,Grand Est,51100,,,,,,,49.2529907,4.0366355
58,10058,CMP Dolto,nan nan,Saint-Martin-d'Hères,Isère,38400,,,,,No,,45.1714135,5.754241
59,10059,CMPP,Allée de l'Espoir 1,Gauchy,Hauts-de-France,02430,,,,,,,49.828853,3.2803136
60,10060,CPC La Bastide,Route de la Treille nan,Marseille,Bouches-du-Rhône,13011,,,,,,,43.3055403,5.5077258
61,10061,CRF le Grand Large,nan nan,Marseille,Bouches-du-Rhône,13008,,,,,,,43.2392724,5.3618312
62,10062,CRRF André Lalande,nan nan,Noth,Nouvelle-Aquitaine,23300,,,,,No,,46.236012,1.5613694
63,10063,CSSR Les Lauriers,nan nan,Lormont,Nouvelle-Aquitaine,33310,,+33 5 56 77 37 37,,,,,44.882357,-0.51962
64,10064,"Centre Alain ""Les Iris""",nan nan,Carpentras,Vaucluse,84200,,,,,,,44.0832671,5.0606762
65,10065,Centre Antoine Lacassagne,nan nan,Nice,Alpes-Maritimes,06200,,,,,No,,43.6865092,7.211765
66,10066,Centre Bellevue - centre de soins pour personnes agées,nan nan,Montpellier,Occitanie,34090,,,,,,,43.6400913,3.8586386
67,10067,Centre Bouffard Vercelli,nan nan,Cerbère,Occitanie,66290,,,,,,,42.4581828,3.1599891
68,10068,Centre Bourgès,Avenue Clément Ader 150,Castelnau-le-Lez,Occitanie,34170,,,,,,,43.625186,3.911414
69,10069,Centre Cardio-Vasculaire de Valmante,nan 100,Marseille,Bouches-du-Rhône,13009,,+33 8 26 96 18 19,,,No,,43.247141,5.4118821
70,10070,Centre Cardiologique du Nord,nan nan,Saint-Denis,Seine-Saint-Denis,93200,,,,,,,48.9418241,2.3470053
71,10071,Centre Chirurgical Marie Lannelongue,Avenue de la Résistance 133,Le Plessis-Robinson,Hauts-de-Seine,92350,,,,,,,48.7856738,2.27262
72,10072,Centre Chirurgical des Princes,nan nan,Boulogne-Billancourt,Hauts-de-Seine,92100,,,,,,,48.8402586,2.2477665
73,10073,Centre Chirurgical Émile Gallé,nan nan,Nancy,Grand Est,54000,,+33 3 83 85 75 00,,,,,48.6987856,6.1704392
74,10074,Centre Clinical,nan nan,Soyaux,Nouvelle-Aquitaine,16800,,,,,,,45.6380093,0.2032554
75,10075,"Centre De Soins ""La Fabrique Du Pré""",nan nan,Saint-Dizier,Grand Est,52100,,,,,,,48.6344225,4.9612534
76,10076,Centre Esquirol,nan nan,Hérouville-Saint-Clair,Normandie,14200,,,,,No,,49.206575,-0.351265
77,10077,Centre Gabriel Pertat,nan 4,Joinville,Grand Est,52300,,,,,,,48.4440746,5.136962
78,10078,Centre Georges-François Leclerc,nan nan,Dijon,Côte-d'Or,21000,,,,,,,47.3188935,5.0697299
79,10079,Centre Hopitalier du Marin,nan nan,Le Marin,Martinique,97290,,,,,,,14.4707976,-60.8701902
80,10080,Centre Hospitalier,nan nan,Ham,Hauts-de-France,80400,,,,,,,49.7416271,3.0844264
81,10081,Centre Hospitalier,nan nan,La Guerche-de-Bretagne,Bretagne,35130,,,,,,,47.9453717,-1.2455983
82,10082,Centre Hospitalier - Site de Saint-Pée,nan nan,Oloron-Sainte-Marie,Nouvelle-Aquitaine,64400,,,,,,,43.1869404,-0.6321287
83,10083,Centre Hospitalier Ain Val de Saône,nan nan,Thoissey,Ain,01140,,,,,,,46.172291,4.805275
84,10084,Centre Hospitalier Ain Val de Saône,nan nan,Pont-de-Veyle,Ain,01290,,,,,No,,46.2634915,4.889702
85,10085,Centre Hospitalier Alpes Léman,Route de Findrol 558,Contamine-sur-Arve,Haute-Savoie,74130,,,,,Yes,,46.1433228,6.3205583
86,10086,Centre Hospitalier Alpes-Isère,Rue de la gare 3,Saint-Égrève,Isère,38120,,,,,,,45.2342944,5.6751422
87,10087,Centre Hospitalier Ardèche Méridionale,nan nan,Aubenas,Ardèche,07200,,+33 4 75 35 60 60,,,Yes,,44.6128718,4.3964802
88,10088,Centre Hospitalier Ardèche Nord,nan nan,Annonay,Ardèche,07100,,+33 4 75 67 35 00,,,Yes,,45.2432613,4.6647689
89,10089,Centre Hospitalier Aunay-Bayeux,nan nan,Bayeux,Normandie,14400,,+33 2 31 51 51 51,,,Yes,,49.275013,-0.701459
90,10090,Centre Hospitalier Aunay-Bayeux,Rue de l'Hôpital nan,Les Monts d'Aunay,Normandie,14260,,+33 2 31 71 76 76,,,,,49.0190366,-0.6323132
91,10091,Centre Hospitalier Avranches - Granville,nan nan,Granville,Normandie,50400,,+33 2 33 91 50 00,,,Yes,,48.8287736,-1.567804
92,10092,Centre Hospitalier Avranches - Granville,nan nan,Avranches,Normandie,50300,,+33 2 33 91 50 00,,,Yes,,48.691458,-1.35309
93,10093,Centre Hospitalier Bernard des Plas,nan nan,Bourganeuf,Nouvelle-Aquitaine,23400,,,,,,,45.9541931,1.7486581
94,10094,Centre Hospitalier Bon Sauveur,nan nan,Bégard,Bretagne,22140,,,,,,,48.629759,-3.3002203
95,10095,Centre Hospitalier Buëch-Durance,nan nan,Laragne-Montéglin,Hautes-Alpes,05300,,,,,,,44.3237503,5.8131083
96,10096,Centre Hospitalier Bélair,Rue Pierre Hallali nan,Charleville-Mézières,Grand Est,08000,,,,,No,,49.7873025,4.7223528
97,10097,Centre Hospitalier Camille Claudel,nan nan,La Couronne,Nouvelle-Aquitaine,16400,,,,,,,45.6259686,0.1219547
98,10098,Centre Hospitalier Chamonix Mont Blanc,nan nan,Chamonix-Mont-Blanc,Haute-Savoie,74400,,+33 4 50 53 84 00,,,Yes,,45.9138774,6.8619346
99,10099,Centre Hospitalier Côte de Lumière,Rue Jacques Monod nan,Les Sables-d'Olonne,Pays de la Loire,85100,,+33 2 51 21 85 85,,,Yes,,46.5167608,-1.7485529
100,10100,Centre Hospitalier Dinan - Saint-Brieuc,nan nan,Dinan,Bretagne,22100,,,,,,,48.4480862,-2.0539422
101,10101,Centre Hospitalier Docteur Récamier,nan nan,Belley,Ain,01300,,+33 4 79 42 59 59,,,Yes,,45.761806,5.684719
102,10102,Centre Hospitalier Départemental - Site de La-Roche-sur-Yon,nan nan,La Roche-sur-Yon,Pays de la Loire,85000,,+33 2 51 44 61 61,,,Yes,,46.6671526,-1.4155459
103,10103,Centre Hospitalier Départemental - Site de Luçon,nan nan,Luçon,Pays de la Loire,85400,,+33 2 51 28 33 33,,,Yes,,46.4498685,-1.1745527
104,10104,Centre Hospitalier Départemental - Site de Montaigu,nan nan,Montaigu-Vendée,Pays de la Loire,85600,,+33 2 51 45 40 00,,,Yes,,46.9710322,-1.3108931
105,10105,Centre Hospitalier Esquirol,nan nan,Limoges,Nouvelle-Aquitaine,87000,,,,,,,45.8165169,1.2477394
106,10106,Centre Hospitalier Esquirol,nan nan,Limoges,Nouvelle-Aquitaine,87000,,,,,,,45.8156925,1.2335565
107,10107,Centre Hospitalier Ferdinand Grall,nan nan,Landerneau,Bretagne,29800,,+33 2 98 21 80 00,,,Yes,,48.4489023,-4.2338213
108,10108,Centre Hospitalier Fondation d'Aligre,nan nan,Bourbon-Lancy,Saône-et-Loire,71140,,,,,,,46.618479,3.76683
109,10109,Centre Hospitalier Francis Robert,nan nan,Ancenis-Saint-Géréon,Pays de la Loire,44150,,+33 2 40 09 44 00,,,Yes,,47.3730553,-1.1743569
110,10110,Centre Hospitalier Francis Vals,nan nan,Port-la-Nouvelle,Occitanie,11210,,,,,,,43.0056651,3.042676
111,10111,Centre Hospitalier Gabriel Deplante,Rue de la Forêt 1,Rumilly,Haute-Savoie,74150,,+33 4 50 01 80 00,,,Yes,,45.864621,5.937015
112,10112,Centre Hospitalier George Sand,nan nan,Bourges,Centre-Val de Loire,18000,,+33 2 48 66 52 52,,,,,47.0802509,2.3792226
113,10113,Centre Hospitalier Georges Heuyer,nan nan,Saint-Dizier,Grand Est,52100,,,,,,,48.6342093,4.9552723
114,10114,Centre Hospitalier Guillaume Régnier,nan nan,Rennes,Bretagne,35700,,,,,,,48.1144846,-1.6502022
115,10115,Centre Hospitalier Guy Thomas,nan nan,Riom,Puy-de-Dôme,63200,,+33 4 73 67 80 00,,,Yes,,45.8902708,3.1120648
116,10116,Centre Hospitalier Gériatrique des Mont d'Or,nan nan,Albigny-sur-Saône,Rhône,69250,,,,,No,,45.8599631,4.8339467
117,10117,Centre Hospitalier Gériatrique des Monts d'Or,nan nan,Albigny-sur-Saône,Rhône,69250,,,,,No,,45.8635701,4.833641
118,10118,Centre Hospitalier InterCommunal,nan nan,Mazamet,Occitanie,81200,,,,,,,43.4947277,2.3698842
119,10119,Centre Hospitalier Intercommunal,nan nan,Le Lorrain,Martinique,97214,,,,,,,14.82504,-61.052076
120,10120,Centre Hospitalier Intercommunal Castelsarrasin-Moissac,nan nan,Castelsarrasin,Occitanie,82100,,,,,,,44.0365993,1.1116909
121,10121,Centre Hospitalier Intercommunal Castres-Mazamet,nan nan,Mazamet,Occitanie,81200,,,,,,,43.4969333,2.3767543
122,10122,Centre Hospitalier Intercommunal Corte Tattone,nan nan,Corte,Corse,20250,,+33 4 95 45 05 00,,,,,42.3019181,9.154168
123,10123,Centre Hospitalier Intercommunal Elbeuf. Louviers. Val de Reuil,nan nan,Louviers,Normandie,27400,,+33 2 32 25 75 00,,,Yes,,49.2126878,1.1768487
124,10124,Centre Hospitalier Intercommunal Lucie et Raymond Aubrac,Allée de la Source 40,Villeneuve-Saint-Georges,Val-de-Marne,94190,,+33 1 43 86 20 00,,,Yes,,48.7225968,2.4514191
125,10125,Centre Hospitalier Intercommunal d'Orgelet,Rue des Prés Millats 4,Orgelet,Jura,39270,,+33 3 84 35 02 02,,,,,46.515273,5.6049807
126,10126,Centre Hospitalier Intercommunal des Alpes du Sud,Place Auguste Muret 1,Gap,Hautes-Alpes,05000,,+33 4 92 40 61 61,,,Yes,,44.5581617,6.0730852
127,10127,Centre Hospitalier Intercommunal des Alpes du Sud,nan nan,Sisteron,Alpes-de-Haute-Provence,04200,,+33 4 92 33 70 00,,,Yes,,44.1937351,5.9428555
128,10128,Centre Hospitalier Intercommunal des Andaines - Site de Domfront,nan nan,Domfront en Poiraie,Normandie,61700,,+33 2 33 30 57 57,,,No,,48.590504,-0.659897
129,10129,Centre Hospitalier Intercommunal des Andaines - Site de la Ferté-Macé,nan nan,La Ferté Macé,Normandie,61600,,+33 2 33 30 50 50,,,Yes,,48.5991475,-0.3473258
130,10130,Centre Hospitalier Jacques Barrot,nan nan,Yssingeaux,Haute-Loire,43200,,,,,,,45.1435086,4.1267265
131,10131,Centre Hospitalier Jacques Monod,nan nan,Flers,Normandie,61100,,+33 2 33 62 62 00,,,Yes,,48.7473277,-0.5412251
132,10132,Centre Hospitalier La Tour Blanche,nan nan,Issoudun,Centre-Val de Loire,36100,,+33 2 54 03 54 03,,,Yes,,46.9585641,1.997604
133,10133,Centre Hospitalier Lannion-Trestel,nan nan,Trévou-Tréguignec,Bretagne,22660,,,,,,,48.8210384,-3.3506813
134,10134,Centre Hospitalier Lemire,Rue Lemire 7,Saint-Avold,Grand Est,57500,,,,,,,49.0984474,6.7057889
135,10135,Centre Hospitalier Les Marronniers,nan nan,Toulon-sur-Arroux,Saône-et-Loire,71320,,,,,,,46.6916388,4.1374261
136,10136,Centre Hospitalier Loire-Vendée-Océan - Site de Challans,nan nan,Challans,Pays de la Loire,85300,,+33 2 51 49 50 00,,,Yes,,46.8455579,-1.8714987
137,10137,Centre Hospitalier Louis Brunet,nan nan,Allauch,Bouches-du-Rhône,13190,,,,,,,43.3356129,5.4696079
