,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,20000,(ICO) Institut de Cancérologie de l'Ouest - Centre Paul Papin,rue André Boquel 15,Angers,Maine-et-loire,49100,,,,,,,47.4836332,-0.5565815
1,20001,A.U.R.A. Auvergne Dialyse,,Chamalières,Puy-de-dôme,63400,,,,,,,45.7794328,3.0497259
2,20002,ARGOS,,Strasbourg,Grand Est,67000,,,,,,,48.5746199,7.74461
3,20003,Abri Montagnard,,Borce,Pyrénées-atlantiques,64490,,,,,,,42.991559,-0.59979
4,20004,Abri Montagnard,,Borce,Pyrénées-atlantiques,64490,,,,,,,43.00044,-0.624863
5,20005,Allée des Dryades,,Valence,Drôme,26000,,,,,,,44.9107463,4.8894999
6,20006,American Memorial Hospital,,Reims,Grand Est,51100,,,,,,,49.2310785,4.0175041
7,20007,Ancien Hopital de Monbran (fermé),,Colayrac-Saint-Cirq,Lot-et-garonne,47450,,,,,,,44.2331905,0.6009845
8,20008,Ancien Hôpital,,Le Lorrain,Martinique,97214,,,,,,,14.8346374,-61.0575732
9,20009,Ancien hôpital,Rue Maître Georges Lefêvre nan,,Saint Pierre And Miquelon,,,,,,,,46.7828865,-56.1727707
10,20010,Ancien hôtel-Dieu,,L'Isle-sur-la-Sorgue,Vaucluse,84800,,,,,,,43.9197151,5.0490016
11,20011,Ancienne Clinique Fardeau,,,Vaucluse,,,,,,No,,47.25308,-0.083139
12,20012,Anciens Hôpitaux Maringer Villemin Fournier,,Nancy,Grand Est,54000,,,,,,,48.6775166,6.1888116
13,20013,Antenne medico-psychologique,,,Grand Est,,,,,,,,-20.5588743,164.2804961
14,20014,Arnault Tzanck Mougins,,Mougins,Alpes-maritimes,06250,,+33 4 97 16 68 00,,,,,43.6078282,7.0115289
15,20015,Association Audoise Sociale et Médicale,,Limoux,Occitanie,11300,,,,,No,,43.0558555,2.2202385
16,20016,Aura,,Paris,Paris,75014,,,,,No,,48.8294695,2.3104442
17,20017,Automne en Aspe,,Borce,Pyrénées-atlantiques,64490,,,,,,,42.995011,-0.614661
18,20018,Avenue du Docteur Santy,,Valence,Drôme,26000,,,,,,,44.9149623,4.9080471
19,20019,Bercail Saint-Denis,,Héricourt-en-Caux,Normandie,76560,,,,,,,49.700301,0.7106935
20,20020,Biologie du cancer,,Paris,Paris,75005,,,,,,,48.8442219,2.3431408
21,20021,Boulevard Franklin Roosevelt,,Valence,Drôme,26000,,,,,,,44.9123072,4.9087127
22,20022,Boulevard du Maréchal Juin,,Valence,Drôme,26000,,,,,,,44.9120235,4.9077377
23,20023,Boulevard du Maréchal Juin,,Valence,Drôme,26000,,,,,,,44.9117857,4.9057837
24,20024,Boulevard du Maréchal Juin,,Valence,Drôme,26000,,,,,,,44.9116889,4.9055168
25,20025,Boulevard du Maréchal Juin,,Valence,Drôme,26000,,,,,,,44.9121338,4.9084546
26,20026,Boulevard du Maréchal Juin,,Valence,Drôme,26000,,,,,,,44.9122428,4.9086393
27,20027,Boulevard du Maréchal Juin,,Valence,Drôme,26000,,,,,,,44.9118162,4.9063751
28,20028,Boulevard du Maréchal Juin,,Valence,Drôme,26000,,,,,,,44.9118344,4.9061369
29,20029,Bâtiment 101 - Centre de protonthérapie,Avenue Irène et Frédéric Joliot-Curie Bâtiment 101,,Essonne,,,+33 1 69 29 87 00,,,No,,48.6978483,2.1765925
30,20030,Bâtiment Constant Burg,Rue d'Ulm 45,Paris,Paris,75005,,,,,,,48.8435477,2.3456223
31,20031,C.H.S Georges Mazurelle,,La Roche-sur-Yon,Vendée,85000,,,,,,,46.6444648,-1.4260234
32,20032,C.H.U Saint-Jacques,,Nantes,Loire-atlantique,44000,,,,,,,47.1960267,-1.5362714
33,20033,CENTRE DE DIALYSE,,,Loire-atlantique,,,,,,,,-21.5703668,165.4992628
34,20034,CH Maurice André,,Saint-Galmier,Loire,42330,,,,,,,45.598189,4.301614
35,20035,CH de Grasse - Site du Petit Paris,,Grasse,Alpes-maritimes,06130,,,,,,,43.6497373,6.9133394
36,20036,CHCBE (Centre Hospitalier de Capesterre B-E),,,Guadeloupe,,,,,,,,16.0458832,-61.5637822
37,20037,CHRU de Nancy Brabois,,Vandoeuvre-lès-Nancy,Grand Est,54500,,,,,Yes,,48.648566,6.14586
38,20038,CHSA - Centre de Psychothérapie,Boulevard Louis Pasteur 13,Maubeuge,Nord,59600,,,,,,,50.2797275,3.958437
39,20039,CHU Amiens Picardie - Centre Saint-Victor,,Amiens,Somme,80000,,,,,,,49.9029602,2.3185096
40,20040,CHU Amiens Picardie Hôpital Nord,,Amiens,Somme,80080,,,,,,,49.905836,2.2930547
41,20041,CHU Amiens Sud,,Amiens,Somme,80000,,+33 3 22 45 60 00,,,Yes,,49.8700095,2.2480667
42,20042,CHU Félix Guyon,Allée des Topazes nan,,Réunion,,,0262 90 50 50,,,Yes,,-20.8899622,55.4447582
43,20043,CHU Larche Bleu,,Clapiers,Occitanie,34830,,,,,,,43.6625975,3.8999804
44,20044,CHU Louise Michel Hopital Nord,Route de Châteaugay 61,Cébazat,Puy-de-dôme,63118,,,,,Yes,,45.8388679,3.0924428
45,20045,CHU Reims - Hôpital Sébastopol,Rue de Sébastopol 48,Reims,Grand Est,51100,,,,,,,49.2654169,4.0468967
46,20046,CHU d'Angers,Rue Larrey nan,Angers,Maine-et-loire,49100,,+33 2 41 35 36 37,,,Yes,,47.4806504,-0.5595356
47,20047,CHU de Guadeloupe,,,Guadeloupe,,,+33 5 90 89 10 10,,,Yes,,16.2384565,-61.5283281
48,20048,CHU de Martinique,,,Martinique,,,0596 55 20 00,,,Yes,,14.6351662,-61.0371342
49,20049,CHU de Montpellier,,Montpellier,Occitanie,34000,,,,,,,43.6268456,3.8663104
50,20050,CHU de Montpellier,,Montpellier,Occitanie,34090,,+33 4 67 33 67 33,,,,,43.630349,3.855078
51,20051,CHU de Nîmes,,Nîmes,Occitanie,30900,,+33 4 66 68 68 68,,,Yes,,43.8242207,4.3253869
52,20052,CHU de Reims,,Reims,Grand Est,51100,,+33 3 26 78 78 78,,,Yes,,49.2299514,4.0151871
53,20053,CHU de Saint-Pierre,Avenue Président Mitterrand nan,,Réunion,,,0262 35 90 00,,,Yes,,-21.3436878,55.4962936
