FIPS_CODE,COUNTY_CODE,COUNTY,ST,STATE,FOOD_INSECURITY,SEVERE_HOUSING_COST_BURDEN,UNEMPLOYED,NO_VEHICLE_ACCESS,UNINSURED
0,0,Abberton,WOR,Worcestershire,0.15,0.15,0.1,0.15,0.1
1,1,Abberton,ESS,Essex,0.15,0.15,0.1,0.15,0.1
2,2,Abbey Dore,HEF,Herefordshire,0.15,0.15,0.1,0.15,0.1
3,3,Abbey Wood,LND,Greater London,0.15,0.15,0.1,0.15,0.1
4,4,Abbots Bromley,STS,Staffordshire,0.15,0.15,0.1,0.15,0.1
5,5,Abbots Langley,HRT,Hertfordshire,0.15,0.15,0.1,0.15,0.1
6,6,Abbotskerswell,DEV,Devon,0.15,0.15,0.1,0.15,0.1
7,7,Abbotts Ann,HAM,Hampshire,0.15,0.15,0.1,0.15,0.1
8,8,Aber,CGN,Ceredigion,0.15,0.15,0.1,0.15,0.1
9,9,Aber,GWN,Gwynedd,0.15,0.15,0.1,0.15,0.1
10,10,Aberaeron,CGN,Ceredigion,0.15,0.15,0.1,0.15,0.1
11,11,Abercanaid,MTY,Merthyr Tydfil,0.15,0.15,0.1,0.15,0.1
12,12,Aberchirder,ABD,Aberdeenshire,0.15,0.15,0.1,0.15,0.1
13,13,Abercynon,RCT,Rhondda Cynon Taff,0.15,0.15,0.1,0.15,0.1
14,14,Aberdare,RCT,Rhondda Cynon Taff,0.15,0.15,0.1,0.15,0.1
15,15,Aberdeen,ABD,Aberdeenshire,0.15,0.15,0.1,0.15,0.1
16,16,Aberdour,FIF,Fife,0.15,0.15,0.1,0.15,0.1
17,17,Aberdyfi,GWN,Gwynedd,0.15,0.15,0.1,0.15,0.1
18,18,Aberfan,MTY,Merthyr Tydfil,0.15,0.15,0.1,0.15,0.1
19,19,Aberfeldy,PKN,Perth And Kinross,0.15,0.15,0.1,0.15,0.1
20,20,Aberffraw,AGY,Isle Of Anglesey,0.15,0.15,0.1,0.15,0.1
21,21,Aberford,,West Yorkshire,0.15,0.15,0.1,0.15,0.1
22,22,Aberfoyle,STG,Stirling,0.15,0.15,0.1,0.15,0.1
23,23,Abergavenny,MON,Monmouthshire,0.15,0.15,0.1,0.15,0.1
24,24,Abergele,CWY,Conwy,0.15,0.15,0.1,0.15,0.1
25,25,Abergwili,CMN,Carmarthenshire,0.15,0.15,0.1,0.15,0.1
26,26,Aberkenfig,BGE,Bridgend,0.15,0.15,0.1,0.15,0.1
27,27,Aberlady,ELN,East Lothian,0.15,0.15,0.1,0.15,0.1
28,28,Abermule,POW,Powys,0.15,0.15,0.1,0.15,0.1
29,29,Abernant,CMN,Carmarthenshire,0.15,0.15,0.1,0.15,0.1
