,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,10000,Abbey Lawns,nan nan,Liverpool,Merseyside,L4 6,,,,,,,53.4328022,-2.9664485
1,10001,Aberdare General Hospital,nan nan,Aberdare,Mid Glamorgan,CF44 7,,,,,,,51.716608,-3.4407358
2,10002,Aberdeen Community Health and Care Village,nan nan,Aberdeen,Aberdeenshire,AB11 6,,,,,,,57.1502971,-2.0929115
3,10003,Aberfeldy Cottage Hospital,nan nan,Aberfeldy,Perthshire,PH15 2,,,,,,,56.6184219,-3.8582346
4,10004,Abingdon Community Hospital,nan nan,Abingdon,Oxfordshire,OX14 1,,,,,No,,51.6700624,-1.3036316
5,10005,Aboyne Hospital and Health Centre,Bellwood Road nan,Aboyne,Aberdeenshire,AB34 5,,,,,,,57.0761784,-2.7664936
6,10006,Adamson Hospital,nan nan,Cupar,Fife,KY15 4,,,,,No,,56.3247409,-3.0170341
7,10007,Addington Clinic,nan nan,Bournemouth,Dorset,BH2 5,,,,,,,50.7665079,-1.9051141
8,10008,Airbles Road Centre,nan nan,Motherwell,Lanarkshire,ML1 1,,,,,No,,55.7826237,-3.984256
9,10009,Aire Court Community Unit,nan nan,Leeds,West Yorkshire,LS10 4,,,,,,,53.7469988,-1.538614
10,10010,Airedale General Hospital,Skipton Road nan,Keighley,West Yorkshire,BD20 8,,,,,Yes,,53.8960764,-1.9616604
11,10011,Aldeburgh Community Hospital,Park Road nan,Aldeburgh,Suffolk,IP15 5,,,,,,,52.1519171,1.5954262
12,10012,Alder Grange Nursing Home,nan nan,Liverpool,Merseyside,L12 2,,,,,,,53.424459,-2.9036364
13,10013,Alder Grange Nursing Home,nan nan,Liverpool,Merseyside,L12 2,,,,,,,53.424459,-2.9036364
14,10014,Alder Hey Children's Hospital,nan nan,Liverpool,Merseyside,L3 8,,,,,,,53.4173344,-2.8978729
15,10015,Alder Hey Children's Hospital (Abandoned),nan nan,Liverpool,Merseyside,L12 5,,,,,,,53.4216395,-2.8975751
16,10016,Alderney Hospital,nan nan,Poole,Dorset,BH15 1,,,,,,,50.7504242,-1.9437215
17,10017,Aldershot Centre for Health,nan nan,Aldershot,Hampshire,GU11 1,,,,,No,,51.2544744,-0.7649176
18,10018,Alexandra Hospital,nan nan,Redditch,Worcestershire,B97 4,,,,,,,52.2813539,-1.9169897
19,10019,Alexandra Hospital,nan nan,Cheadle,Cheshire,SK8 2,,,,,No,,53.3972097,-2.2172611
20,10020,All Hallows' Hospital,Station Road nan,Bungay,Suffolk,NR35 2,,,,,,,52.4663188,1.4454282
21,10021,Alnwick Infirmary,Infirmary Drive nan,Alnwick,Northumberland,NE66 1,,+44 344 811 8111,,,,,55.4111857,-1.6974076
22,10022,Altnagelvin Hospital,Glenshane Road nan,Londonderry,County Londonderry,BT48 6,,028 7134 5171,,,Yes,,54.9883505,-7.289858
23,10023,Amberstone Hospital,Cowbeech Road nan,,,,,,,,,,50.8815363,0.276319
24,10024,Ambulance A&E,nan nan,Halifax,West Yorkshire,HX3 0,,,,,,,53.7049287,-1.858528
25,10025,Amersham General,nan nan,Amersham,Buckinghamshire,HP6 6,,,,,,,51.6619965,-0.623098
26,10026,Andover Hospital (Grounds),nan nan,Andover,Hampshire,SP10 1,,,,,No,,51.2166103,-1.4957231
27,10027,Anglesea Heights Residential And Nursing Home,nan nan,Ipswich,Suffolk,IP1 2,,,,,,,52.0630373,1.1488738
28,10028,Annan Hospital,nan nan,Annan,Dumfriesshire,DG12 6,,,,,,,54.9877576,-3.246906
29,10029,Antrim Area Hospital,nan nan,Antrim,County Antrim,BT41 4,,,,,Yes,,54.7356661,-6.1879101
30,10030,Antrim Health Centre,nan nan,Antrim,County Antrim,BT41 4,,,,,,,54.7167922,-6.2144382
31,10031,Appleby Care Centre,nan nan,Epsom,Surrey,KT18 7,,,,,,,51.3430845,-0.2672155
32,10032,Appleby Court Nursing Home,nan nan,Liverpool,Merseyside,L32 1,,,,,,,53.4879036,-2.880506
33,10033,Arbroath Infirmary,nan nan,Arbroath,Angus,DD11 3,,,,,No,,56.5548323,-2.5986635
34,10034,Archways,Clarendon Court 1-26,York,North Yorkshire,YO23 1,,,,,No,,53.9722751,-1.0798573
35,10035,Ardenleigh Hospital,Kingsbury Road nan,Birmingham,West Midlands,B23 6,,,,,No,,52.5162822,-1.835185
36,10036,Ards Hospital,nan nan,Newtownards,County Down,BT23 4,,,,,,,54.5926735,-5.7066184
37,10037,Armagh Community Hospital,nan nan,Armagh,County Armagh,BT61 9,,,,,,,54.3512399,-6.6440879
38,10038,Arnold Lodge Regional Secure Unit,Cordelia Close nan,Leicester,Leicestershire,LE5 0,,,,,,,52.6465735,-1.0900391
39,10039,Arran War Memorial Hospital,nan nan,,,,,,,,No,,55.5431678,-5.116512
40,10040,Arrowe Park Hospital,nan nan,Birkenhead,Merseyside,CH41 4,,,,,,,53.3685189,-3.0955444
41,10041,Arthur Rank House,nan nan,Cambridge,Cambridgeshire,CB3 9,,,,,,,52.198237,0.1537003
42,10042,Ashby Turn Doctors Surgery,nan nan,Scunthorpe,South Humberside,DN15 6,,,,,,,53.5662176,-0.6542876
43,10043,Ashcroft Surgery,nan nan,Bradford,West Yorkshire,BD10 9,,,,,,,53.8242494,-1.7127957
44,10044,Ashfield Nursing Home,nan nan,Ware,Hertfordshire,SG12 8,,,,,,,51.8216966,0.0530759
45,10045,Ashford Hospital,nan nan,Staines,Middlesex,TW19 7,,,,,,,51.4430125,-0.4740123
46,10046,Ashtead Clinic,nan nan,Ashtead,Surrey,KT21 1,,,,,No,,51.3139463,-0.303839
47,10047,Ashtead Hospital,nan nan,Ashtead,Surrey,KT21 1,,,,,No,,51.3046725,-0.3039261
48,10048,Ashton Community Care Centre,nan nan,Lancaster,Lancashire,LA1 1,,,,,,,54.0398019,-2.7987974
49,10049,Ashville Medical Practice,nan nan,Barnsley,South Yorkshire,S70 3,,,,,,,53.5425182,-1.4586243
50,10050,Ashworth Hospital,nan nan,,,,,,,,,,53.5233897,-2.9164306
51,10051,Astley Ainslie Hospital,Grange Loan 133,Edinburgh,Midlothian,EH9 2,,+44 131 537 9000,,,,,55.9308817,-3.1941084
52,10052,Ayr & Ailsa Hospitals,nan nan,,,,,,,,Yes,,55.4326331,-4.6052528
53,10053,Ayrshire Central Hospital,Kilwinning Road nan,Irvine,Ayrshire,KA12 0,,,,,No,,55.6309765,-4.6757504
