,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
10,20010,Airedale General Hospital,Skipton Road nan,Keighley,West Yorkshire,BD20 8,,,,,Yes,,53.8960764,-1.9616604
22,20022,Altnagelvin Hospital,Glenshane Road nan,Londonderry,County Londonderry,BT48 6,,028 7134 5171,,,Yes,,54.9883505,-7.289858
29,20029,Antrim Area Hospital,nan nan,Antrim,County Antrim,BT41 4,,,,,Yes,,54.7356661,-6.1879101
52,20052,Ayr & Ailsa Hospitals,nan nan,,,,,,,,Yes,,55.4326331,-4.6052528
69,20069,Balfour Hospital,New Scapa Road nan,Kirkwall,Orkney,KW15 1,,+44 1856 888000,,,Yes,,58.9764352,-2.9642087
74,20074,Basildon University Hospital,Nether Mayne nan,Basildon,Essex,SS15 5,,+44 1268 524900,,,Yes,,51.5580635,0.4474004
75,20075,Basingstoke and North Hampshire Hospital,nan nan,Basingstoke,Hampshire,RG21 4,,,,,Yes,,51.2801535,-1.1107708
78,20078,Bassetlaw Hospital,Blyth Road nan,Worksop,Nottinghamshire,S80 1,,+44 1909 500990,,,Yes,,53.3145579,-1.11172
83,20083,Bedford Hospital South Wing,Kempston Road nan,Bedford,Bedfordshire,MK42 7,,,,,Yes,,52.1283178,-0.475065
86,20086,Belfast City Hospital,nan nan,Belfast,County Antrim,BT2 7,,,,,Yes,,54.5880997,-5.9391059
111,20111,Blackpool Victoria Hospital,nan nan,Blackpool,Lancashire,FY1 5,,,,,Yes,,53.8212575,-3.0133145
117,20117,Bodmin Hospital,nan nan,Bodmin,Cornwall,PL31 2,,,,,Yes,,50.4666436,-4.7414876
121,20121,Borders General Hospital,nan nan,Melrose,Roxburghshire,TD6 9,,,,,Yes,,55.5930707,-2.7451407
126,20126,Bradford Royal Infirmary,Duckworth Lane nan,Bradford,West Yorkshire,BD9 6,,,,,Yes,,53.8081143,-1.8016737
132,20132,Brecon War Memorial Hospital,nan nan,Brecon,Powys,LD3 7,,,,,Yes,,51.9490893,-3.3851715
140,20140,Bristol Royal Infirmary,nan nan,Bristol,Avon,BS2 8,,,,,Yes,,51.4594058,-2.5984938
152,20152,Broomfield Hospital,Court Road nan,Chelmsford,Essex,CM1 7,,+44 1245 443673,,,Yes,,51.7777333,0.460072
158,20158,Burnley General Hospital,Casterton Avenue nan,Burnley,Lancashire,BB11 1,,,,,Yes,,53.8073299,-2.2301368
162,20162,Calderdale Royal Hospital,nan nan,Halifax,West Yorkshire,HX3 0,,,,,Yes,,53.7036721,-1.858874
171,20171,Campbeltown Hospital,nan nan,Campbeltown,Argyll,PA28 6,,,,,Yes,,55.4205534,-5.6057015
185,20185,Causeway Hospital,Newbridge Road 4,Coleraine,County Londonderry,BT51 3,,028 7032 7032,,,Yes,,55.1223652,-6.6493423
193,20193,Charing Cross Hospital,nan nan,London,London,W6 0,,,,,Yes,,51.4877233,-0.2214698
217,20217,City Hospital,Dudley Road nan,Birmingham,West Midlands,B18 5,,,,,Yes,,52.4901662,-1.9269033
