STATE,ST,TIMEZONE,TZ
Anatolikí Makedonía kai Thráki,A,Eastern European Time,EET
Kentrikí Makedonía,B,Eastern European Time,EET
Dytiki Makedonia,C,Eastern European Time,EET
Ípeiros,D,Eastern European Time,EET
 Thessalía,E,Eastern European Time,EET
Ionía Nísia,F,Eastern European Time,EET
Dytikí Elláda,G,Eastern European Time,EET
Stereá Elláda,H,Eastern European Time,EET
Attikí,I,Eastern European Time,EET
Peloponnísos,J,Eastern European Time,EET
Voreío Aigaío,K,Eastern European Time,EET
Notío Aigaío,L,Eastern European Time,EET
Kríti,M,Eastern European Time,EET
