FIPS_CODE,COUNTY_CODE,COUNTY,ST,STATE,FOOD_INSECURITY,SEVERE_HOUSING_COST_BURDEN,UNEMPLOYED,NO_VEHICLE_ACCESS,UNINSURED
0,0,Adamovec,,Zagreb (city),0.15,0.15,0.1,0.15,0.1
1,1,Adžamovci,,Brod-posavina County,0.15,0.15,0.1,0.15,0.1
2,2,Aljmaš,,Osijek-baranja County,0.15,0.15,0.1,0.15,0.1
3,3,Andraševec,,Krapina-zagorje County,0.15,0.15,0.1,0.15,0.1
4,4,Andrijaševci,,Vukovar-srijem County,0.15,0.15,0.1,0.15,0.1
5,5,Antin,,Vukovar-srijem County,0.15,0.15,0.1,0.15,0.1
6,6,Antunovac,,Osijek-baranja County,0.15,0.15,0.1,0.15,0.1
7,7,Babina Greda,,Vukovar-srijem County,0.15,0.15,0.1,0.15,0.1
8,8,Babino Polje,,Dubrovnik-neretva County,0.15,0.15,0.1,0.15,0.1
9,9,Badljevina,,Pozega-slavonia County,0.15,0.15,0.1,0.15,0.1
10,10,Bakar,,Primorje-gorski Kotar County,0.15,0.15,0.1,0.15,0.1
11,11,Bakić,,Virovitica-podravina County,0.15,0.15,0.1,0.15,0.1
12,12,Bale,,Istria County,0.15,0.15,0.1,0.15,0.1
13,13,Banjol,,Primorje-gorski Kotar County,0.15,0.15,0.1,0.15,0.1
14,14,Banjole,,Istria County,0.15,0.15,0.1,0.15,0.1
15,15,Banova Jaruga,,Sisak-moslavina County,0.15,0.15,0.1,0.15,0.1
16,16,Bapska,,Vukovar-srijem County,0.15,0.15,0.1,0.15,0.1
17,17,Baranjsko Petrovo Selo,,Osijek-baranja County,0.15,0.15,0.1,0.15,0.1
18,18,Barban,,Istria County,0.15,0.15,0.1,0.15,0.1
19,19,Barilović,,Karlovac County,0.15,0.15,0.1,0.15,0.1
20,20,Bartolovci,,Brod-posavina County,0.15,0.15,0.1,0.15,0.1
21,21,Bartolovec,,Varazdin County,0.15,0.15,0.1,0.15,0.1
22,22,Batina,,Osijek-baranja County,0.15,0.15,0.1,0.15,0.1
23,23,Batrina,,Brod-posavina County,0.15,0.15,0.1,0.15,0.1
24,24,Baška,,Primorje-gorski Kotar County,0.15,0.15,0.1,0.15,0.1
25,25,Baška Voda,,Split-dalmatia County,0.15,0.15,0.1,0.15,0.1
26,26,Bebrina,,Brod-posavina County,0.15,0.15,0.1,0.15,0.1
27,27,Bedekovčina,,Krapina-zagorje County,0.15,0.15,0.1,0.15,0.1
28,28,Bedenec,,Varazdin County,0.15,0.15,0.1,0.15,0.1
29,29,Bedenica,,Zagreb County,0.15,0.15,0.1,0.15,0.1
30,30,Bednja,,Varazdin County,0.15,0.15,0.1,0.15,0.1
31,31,Beketinci,,Osijek-baranja County,0.15,0.15,0.1,0.15,0.1
32,32,Beletinec,,Varazdin County,0.15,0.15,0.1,0.15,0.1
33,33,Beli Manastir,,Osijek-baranja County,0.15,0.15,0.1,0.15,0.1
34,34,Belica,,Medjimurje County,0.15,0.15,0.1,0.15,0.1
35,35,Belišće,,Osijek-baranja County,0.15,0.15,0.1,0.15,0.1
36,36,Beljevina,,Osijek-baranja County,0.15,0.15,0.1,0.15,0.1
37,37,Beničanci,,Osijek-baranja County,0.15,0.15,0.1,0.15,0.1
38,38,Benkovac,,Zadar County,0.15,0.15,0.1,0.15,0.1
39,39,Beravci,,Brod-posavina County,0.15,0.15,0.1,0.15,0.1
40,40,Berek,,Bjelovar-bilogora County,0.15,0.15,0.1,0.15,0.1
41,41,Beretinec,,Varazdin County,0.15,0.15,0.1,0.15,0.1
42,42,Bestovje,,Zagreb County,0.15,0.15,0.1,0.15,0.1
43,43,Bibinje,,Zadar County,0.15,0.15,0.1,0.15,0.1
44,44,Bicko Selo,,Brod-posavina County,0.15,0.15,0.1,0.15,0.1
45,45,Bijelo Brdo,,Osijek-baranja County,0.15,0.15,0.1,0.15,0.1
46,46,Bilice,,Sibenik-knin County,0.15,0.15,0.1,0.15,0.1
47,47,Bilje,,Osijek-baranja County,0.15,0.15,0.1,0.15,0.1
48,48,Biograd na Moru,,Zadar County,0.15,0.15,0.1,0.15,0.1
49,49,Biskupija,,Sibenik-knin County,0.15,0.15,0.1,0.15,0.1
50,50,Bistrinci,,Osijek-baranja County,0.15,0.15,0.1,0.15,0.1
51,51,Bizovac,,Osijek-baranja County,0.15,0.15,0.1,0.15,0.1
52,52,Biškupec Zelinski,,Zagreb County,0.15,0.15,0.1,0.15,0.1
53,53,Bjelovar,,Bjelovar-bilogora County,0.15,0.15,0.1,0.15,0.1
54,54,Blato,,Dubrovnik-neretva County,0.15,0.15,0.1,0.15,0.1
55,55,Bobota,,Vukovar-srijem County,0.15,0.15,0.1,0.15,0.1
56,56,Bodovaljci,,Brod-posavina County,0.15,0.15,0.1,0.15,0.1
57,57,Bogdanovci,,Vukovar-srijem County,0.15,0.15,0.1,0.15,0.1
58,58,Bol,,Split-dalmatia County,0.15,0.15,0.1,0.15,0.1
59,59,Bolman,,Osijek-baranja County,0.15,0.15,0.1,0.15,0.1
60,60,Borova,,Virovitica-podravina County,0.15,0.15,0.1,0.15,0.1
