,USPS,ST,NAME,ZCTA5,LAT,LON
0,Bjelovarsko-bilogorska,01,Ivanska,43000,45.7789,16.8119
1,Bjelovarsko-bilogorska,01,Stara Plošćica,43000,45.7608,16.8847
2,Bjelovarsko-bilogorska,01,Predavac,43000,45.9358,16.7833
3,Bjelovarsko-bilogorska,01,Kakinac,43000,45.9667,16.7667
4,Bjelovarsko-bilogorska,01,Križ Gornji,43000,46.0472,16.7675
5,Bjelovarsko-bilogorska,01,Kraljevac,43000,45.9667,16.7333
6,Bjelovarsko-bilogorska,01,Malo Korenovo,43000,45.85,16.8333
7,Bjelovarsko-bilogorska,01,Babinac,43000,45.7536,16.8261
8,Bjelovarsko-bilogorska,01,Babotok,43000,46.0167,16.8833
9,Bjelovarsko-bilogorska,01,Veliko Korenovo,43000,45.85,16.8
10,Bjelovarsko-bilogorska,01,Gornje Plavnice,43000,45.9333,16.8667
11,Bjelovarsko-bilogorska,01,Severin,43000,45.835,16.9589
12,Bjelovarsko-bilogorska,01,Ždralovi,43000,45.8764,16.875
13,Bjelovarsko-bilogorska,01,Stare Plavnice,43000,45.9,16.8167
14,Bjelovarsko-bilogorska,01,Potok,43000,45.7333,16.8667
15,Bjelovarsko-bilogorska,01,Utiskani,43000,45.8,16.8167
16,Bjelovarsko-bilogorska,01,Sredice Gornje,43000,46.0372,16.82
17,Bjelovarsko-bilogorska,01,Narta,43000,45.8328,16.7861
18,Bjelovarsko-bilogorska,01,Tuk,43000,45.9167,16.7333
19,Bjelovarsko-bilogorska,01,Dominkovica,43000,45.9667,16.9667
20,Bjelovarsko-bilogorska,01,Jasenik,43000,45.9333,17.05
21,Bjelovarsko-bilogorska,01,Jakopovac,43000,46.0256,16.7883
22,Bjelovarsko-bilogorska,01,Višnjevac,43000,45.9732,16.9222
23,Bjelovarsko-bilogorska,01,Gudovac,43000,45.8803,16.7808
24,Bjelovarsko-bilogorska,01,Orovac,43000,45.8658,16.9764
25,Bjelovarsko-bilogorska,01,Brezovac,43000,45.8675,16.8408
26,Bjelovarsko-bilogorska,01,Ravneš,43000,45.8628,17.0078
27,Bjelovarsko-bilogorska,01,Novi Pavljani,43000,45.85,16.85
28,Bjelovarsko-bilogorska,01,Šimljanica,43000,45.7167,16.8667
29,Bjelovarsko-bilogorska,01,Ciglena,43000,45.8669,16.9367
30,Bjelovarsko-bilogorska,01,Pavlin Kloštar,43000,46.01,16.8039
31,Bjelovarsko-bilogorska,01,Donja Petrička,43000,45.7333,16.8
32,Bjelovarsko-bilogorska,01,Kašljavac,43000,45.8833,17
33,Bjelovarsko-bilogorska,01,Novi Skucani,43000,45.9486,16.8281
34,Bjelovarsko-bilogorska,01,Prgomelje,43000,45.8908,16.7522
35,Bjelovarsko-bilogorska,01,Nova Diklenica,43000,45.9833,16.8833
36,Bjelovarsko-bilogorska,01,Maglenča,43000,45.9167,16.9333
37,Bjelovarsko-bilogorska,01,Lipovčani,43000,45.7718,16.5506
38,Bjelovarsko-bilogorska,01,Patkovac,43000,45.8525,16.9314
39,Bjelovarsko-bilogorska,01,Bjelovar,43000,45.8986,16.8489
40,Bjelovarsko-bilogorska,01,Kapela,43000,45.9883,16.8514
41,Bjelovarsko-bilogorska,01,Klokočevac,43000,45.9167,16.7833
42,Bjelovarsko-bilogorska,01,Galovac,43000,45.8417,16.8558
43,Bjelovarsko-bilogorska,01,Malo Trojstvo,43000,45.9728,16.9486
44,Bjelovarsko-bilogorska,01,Kupinovac,43000,45.9516,16.8918
45,Bjelovarsko-bilogorska,01,Stara Diklenica,43000,45.9667,16.8667
46,Bjelovarsko-bilogorska,01,Gornja Petrička,43000,45.7333,16.7833
47,Bjelovarsko-bilogorska,01,Trojstveni Markovac,43000,45.9167,16.8833
48,Bjelovarsko-bilogorska,01,Paljevine,43000,45.8284,16.811
49,Bjelovarsko-bilogorska,01,Obrovnica,43000,45.8269,16.8769
50,Bjelovarsko-bilogorska,01,Prespa,43000,45.8667,16.9167
51,Bjelovarsko-bilogorska,01,Podgorci,43000,45.9706,16.7986
52,Bjelovarsko-bilogorska,01,Veliko Trojstvo,43000,45.9356,16.9342
53,Bjelovarsko-bilogorska,01,Srednja Diklenica,43000,45.9667,16.8833
54,Bjelovarsko-bilogorska,01,Gornji Mosti,43000,46.0658,16.8456
55,Bjelovarsko-bilogorska,01,Kolarevo Selo,43000,45.8167,16.8333
56,Bjelovarsko-bilogorska,01,Kegljevac,43000,45.9833,16.95
57,Bjelovarsko-bilogorska,01,Breza,43000,45.8667,16.7167
58,Bjelovarsko-bilogorska,01,Samarica,43000,45.6978,16.7689
59,Bjelovarsko-bilogorska,01,Stari Pavljani,43000,45.8581,16.8838
60,Bjelovarsko-bilogorska,01,Vrbica,43000,45.95,16.9833
61,Bjelovarsko-bilogorska,01,Kobasičari,43000,45.95,16.8167
62,Bjelovarsko-bilogorska,01,Ćurlovac,43000,45.9833,16.8833
63,Bjelovarsko-bilogorska,01,Šandrovac,43000,45.9056,17.0211
64,Bjelovarsko-bilogorska,01,Lipovo Brdo,43000,46,16.8833
65,Bjelovarsko-bilogorska,01,Donji Mosti,43000,46.0464,16.8692
66,Bjelovarsko-bilogorska,01,Domankuš,43000,46,16.7667
67,Bjelovarsko-bilogorska,01,Martinac,43000,45.9333,16.9167
68,Bjelovarsko-bilogorska,01,Letičani,43000,45.9304,16.8872
69,Bjelovarsko-bilogorska,01,Botinac,43000,46,16.8667
70,Bjelovarsko-bilogorska,01,Novoseljani,43000,45.8833,16.8833
71,Bjelovarsko-bilogorska,01,Jabučeta,43000,46.0139,16.8992
72,Bjelovarsko-bilogorska,01,Krivaja,43000,45.7123,16.8192
73,Bjelovarsko-bilogorska,01,Rovišće,43000,45.9447,16.735
74,Bjelovarsko-bilogorska,01,Križic,43000,45.7667,16.7833
75,Bjelovarsko-bilogorska,01,Gornje Zdelice,43000,46.0256,16.8725
76,Bjelovarsko-bilogorska,01,Rajić,43000,45.9003,16.7144
77,Bjelovarsko-bilogorska,01,Tomaš,43000,45.8833,16.9167
78,Bjelovarsko-bilogorska,01,Berek,43000,45.7383,16.8303
79,Bjelovarsko-bilogorska,01,Zrinski Topolovac,43000,46.0183,16.7555
80,Bjelovarsko-bilogorska,01,Kokinac,43000,45.8483,16.9059
81,Bjelovarsko-bilogorska,01,Šimljana,43000,45.6975,16.8247
82,Bjelovarsko-bilogorska,01,Kovačevac,43000,45.9833,16.7167
83,Bjelovarsko-bilogorska,01,Grginac,43000,45.9,16.9
84,Bjelovarsko-bilogorska,01,Rastovac,43000,45.7936,16.7848
85,Bjelovarsko-bilogorska,01,Mala Ciglena,43000,45.8976,16.8529
86,Bjelovarsko-bilogorska,01,Ruškovac,43000,45.7222,16.8928
87,Bjelovarsko-bilogorska,01,Starčevljani,43000,45.95,16.85
88,Bjelovarsko-bilogorska,01,Srednji Mosti,43000,46.0622,16.8628
89,Bjelovarsko-bilogorska,01,Pupelica,43000,45.88,17.0361
90,Bjelovarsko-bilogorska,01,Šiptari,43000,45.8976,16.8529
91,Bjelovarsko-bilogorska,01,Gornji Tomaš,43000,45.8976,16.8529
92,Bjelovarsko-bilogorska,01,Reškovci,43000,45.8976,16.8529
93,Bjelovarsko-bilogorska,01,Puričani,43000,45.8976,16.8529
94,Bjelovarsko-bilogorska,01,Prnjavor,43000,45.8976,16.8529
95,Bjelovarsko-bilogorska,01,Zvijerci,43000,45.8976,16.8529
96,Bjelovarsko-bilogorska,01,Prekobrdo,43000,45.8976,16.8529
97,Bjelovarsko-bilogorska,01,Prokljuvani,43000,45.8976,16.8529
98,Bjelovarsko-bilogorska,01,Poljančani,43000,45.8976,16.8529
99,Bjelovarsko-bilogorska,01,Đurđic,43000,45.8976,16.8529
100,Bjelovarsko-bilogorska,01,Gornje Rovišće,43000,45.8976,16.8529
101,Bjelovarsko-bilogorska,01,Stančići,43000,45.8976,16.8529
102,Bjelovarsko-bilogorska,01,Srijedska,43000,45.8976,16.8529
103,Bjelovarsko-bilogorska,01,Paulovac,43000,45.8976,16.8529
104,Bjelovarsko-bilogorska,01,Lalići,43000,45.8976,16.8529
105,Bjelovarsko-bilogorska,01,Žabjak,43000,45.8976,16.8529
106,Bjelovarsko-bilogorska,01,Visovi,43000,45.8976,16.8529
107,Bjelovarsko-bilogorska,01,Tvrda Reka,43000,45.8976,16.8529
108,Bjelovarsko-bilogorska,01,Stari Skucani,43000,45.8976,16.8529
109,Bjelovarsko-bilogorska,01,Stanići,43000,45.8976,16.8529
110,Bjelovarsko-bilogorska,01,Daskatica,43240,45.7958,16.6989
111,Bjelovarsko-bilogorska,01,Cerina,43240,45.7736,16.573
112,Bjelovarsko-bilogorska,01,Zdenčec,43240,45.8122,16.6828
113,Bjelovarsko-bilogorska,01,Vagovina,43240,45.7815,16.6681
114,Bjelovarsko-bilogorska,01,Gornji Draganec,43240,45.7842,16.6474
115,Bjelovarsko-bilogorska,01,Pavličani,43240,45.7,16.6
116,Bjelovarsko-bilogorska,01,Komuševac,43240,45.7891,16.6338
