STATE,ST,TIMEZONE,TZ
Baranya,BA,Central European Time,CET
Békés,BE,Central European Time,CET
Bács-Kiskun,BK,Central European Time,CET
Budapest,BU,Central European Time,CET
Borsod-Abaúj-Zemplén,BZ,Central European Time,CET
Csongrád,CS,Central European Time,CET
Fejér,FE,Central European Time,CET
Győr-Moson-Sopron,GS,Central European Time,CET
Hajdú-Bihar,HB,Central European Time,CET
Heves,HE,Central European Time,CET
Jász-Nagykun-Szolnok,JN,Central European Time,CET
Komárom-Esztergom,KE,Central European Time,CET
Nógrád,NO,Central European Time,CET
Pest,PE,Central European Time,CET
Somogy,SO,Central European Time,CET
Szabolcs-Szatmár-Bereg,SZ,Central European Time,CET
Tolna,TO,Central European Time,CET
Vas,VA,Central European Time,CET
Veszprém,VE,Central European Time,CET
Zala,ZA,Central European Time,CET
