,USPS,ST,NAME,ZCTA5,LAT,LON
0,Baranya,BA,Szárász,7188,46.349,18.3736
1,Baranya,BA,Komló,7300,46.1928,18.2649
2,Baranya,BA,Mánfa,7304,46.1667,18.25
3,Baranya,BA,Mecsekpölöske,7305,46.2221,18.2112
4,Baranya,BA,Liget,7331,46.236,18.1921
5,Baranya,BA,Magyaregregy,7332,46.2527,18.3119
6,Baranya,BA,Kárász,7333,46.2643,18.312
7,Baranya,BA,Vékény,7333,46.2687,18.3416
8,Baranya,BA,Köblény,7334,46.2955,18.3025
9,Baranya,BA,Szalatnak,7334,46.29,18.2812
10,Baranya,BA,Mágocs,7342,46.35,18.2324
11,Baranya,BA,Nagyhajmás,7343,46.3754,18.2888
12,Baranya,BA,Mekényes,7344,46.3912,18.3334
13,Baranya,BA,Alsómocsolád,7345,46.3142,18.2479
14,Baranya,BA,Bikal,7346,46.3311,18.283
15,Baranya,BA,Egyházaskozár,7347,46.3318,18.3177
16,Baranya,BA,Tófű,7348,46.3111,18.3571
17,Baranya,BA,Hegyhátmaróc,7348,46.3112,18.3366
18,Baranya,BA,Szászvár,7349,46.2767,18.3757
19,Baranya,BA,Máza,7351,46.2674,18.3972
20,Baranya,BA,Felsőegerszeg,7370,46.2544,18.1341
21,Baranya,BA,Meződ,7370,46.2904,18.1026
22,Baranya,BA,Palé,7370,46.2602,18.07
23,Baranya,BA,Oroszló,7370,46.2184,18.1233
24,Baranya,BA,Varga,7370,46.2472,18.1431
25,Baranya,BA,Sásd,7370,46.2552,18.1078
26,Baranya,BA,Vázsnok,7370,46.2653,18.1248
27,Baranya,BA,Tékes,7381,46.2874,18.1783
28,Baranya,BA,Kisvaszar,7381,46.2745,18.2148
29,Baranya,BA,Ág,7381,46.2833,18.2
30,Baranya,BA,Szágy,7383,46.2243,17.9468
31,Baranya,BA,Tormás,7383,46.2333,18
32,Baranya,BA,Baranyaszentgyörgy,7383,46.2445,18.0139
33,Baranya,BA,Baranyajenő,7384,46.2727,18.0449
34,Baranya,BA,Gödre,7385,46.2861,17.9729
35,Baranya,BA,Gödre,7386,46.2861,17.9729
36,Baranya,BA,Kishajmás,7391,46.1993,18.0809
37,Baranya,BA,Kisbeszterce,7391,46.2054,18.0347
38,Baranya,BA,Mindszentgodisa,7391,46.2246,18.0623
39,Baranya,BA,Bakóca,7393,46.2069,18.0007
40,Baranya,BA,Magyarhertelend,7394,46.1895,18.1491
41,Baranya,BA,Bodolyabér,7394,46.2014,18.1111
42,Baranya,BA,Magyarszék,7396,46.1973,18.1973
43,Baranya,BA,Pécs,7600,46.0945,18.2268
44,Baranya,BA,Pécs,7621,46.0833,18.2333
45,Baranya,BA,Pécs,7622,46.0833,18.2333
46,Baranya,BA,Pécs,7623,46.0833,18.2333
47,Baranya,BA,Pécs,7624,46.0833,18.2333
48,Baranya,BA,Pécs,7625,46.0833,18.2333
49,Baranya,BA,Pécs,7626,46.0833,18.2333
50,Baranya,BA,Pécs,7627,46.0833,18.2333
51,Baranya,BA,Pécs,7628,46.0833,18.2333
52,Baranya,BA,Pécs,7629,46.0833,18.2333
53,Baranya,BA,Pécs,7630,46.0833,18.2333
54,Baranya,BA,Pécs,7631,46.0833,18.2333
55,Baranya,BA,Pécs,7632,46.0833,18.2333
56,Baranya,BA,Pécs,7633,46.0833,18.2333
57,Baranya,BA,Pécs,7634,46.0833,18.2333
58,Baranya,BA,Pécs,7635,46.0833,18.2333
59,Baranya,BA,Pécs,7636,46.0833,18.2333
60,Baranya,BA,Kökény,7639,46.0008,18.2049
61,Baranya,BA,Pécs,7639,46.0833,18.2333
62,Baranya,BA,Kátoly,7661,46.0596,18.4517
63,Baranya,BA,Szellő,7661,46.0735,18.4611
64,Baranya,BA,Kékesd,7661,46.1025,18.4732
65,Baranya,BA,Erzsébet,7661,46.1004,18.4567
