,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,10000,400 ágyas klinika,Ifjúság útja 13,Pécs,Baranya,7624,,,,,Yes,,46.0750451,18.2070318
1,10001,5/2,,Budapest,Budapest,1121,,,,,,,47.4897014,18.9569958
2,10002,A. épület,Győri út 15,Sopron,Győr-moson-sopron,9400,,,,,,,47.6765585,16.5973818
3,10003,Albert Schweitzer Kórház,,Hatvan,Heves,3000,,,,,,,47.6712289,19.6815111
4,10004,Albert Schweitzer Kórház,,Hatvan,Heves,3000,,,,,,,47.6705765,19.6811771
5,10005,Almási Balogh Pál Kórház,,Ózd,Borsod-abaúj-zemplén,3600,,,,,,,48.2092951,20.290221
6,10006,Arc- Állcsont- Szájsebészeti és Fogászati Klinika,Mária utca 52,Budapest,Budapest,1082,,,,,,,47.4876344,19.0688216
7,10007,B. Braun Avitum 4. számú Dialízisközpont,,Kaposvár,Somogy,7400,,,,,,,46.3590587,17.7975935
8,10008,B. épület,Győri út 15,Sopron,Győr-moson-sopron,9400,,,,,,,47.6756806,16.5997889
9,10009,Balassa János Kórház,Béri Balogh Ádám utca 5-7,Szekszárd,Tolna,7100,,+3674501500,,,,,46.3452062,18.6974922
10,10010,Balassa János Kórház,,Szekszárd,Tolna,7100,,,,,,,46.3457124,18.7013515
11,10011,Baranya Megyei Kórház,Rákóczi út 2,Pécs,Baranya,7624,,,,,,,46.0722988,18.2196927
12,10012,Bethesda Gyermekkórház,Bethesda utca 3,Budapest,Budapest,1148,,+3613649020,,,,,47.5175802,19.0896899
13,10013,Budai Gyermekkórház,Bolyai utca 5-9,Budapest,Budapest,1026,,,,,Yes,,47.517915,19.029753
14,10014,Bugát Pál Kórház,Dózsa György utca 20,Gyöngyös,Heves,3200,,,,,Yes,,47.7889463,19.9297544
15,10015,Bugát Pál Kórház,,Gyöngyös,Heves,3200,,,,,Yes,,47.7877141,19.9286501
16,10016,Bácsalmási Egészségügyi Központ,,Bácsalmás,Bács-kiskun,6430,,,,,,,46.125762,19.3331702
17,10017,"Bőr-, Nemikórtani és Onkodermatológiai Klinika",,Pécs,Baranya,7624,,,,,,,46.0804094,18.2161555
18,10018,C. épület,Győri út 15,Sopron,Győr-moson-sopron,9400,,,,,,,47.6761066,16.6004936
19,10019,Csatárka úti rendelő,,Budapest,Budapest,1026,,,,,,,47.5305198,19.0084153
20,10020,Csolnoky Ferenc Kórház,,Veszprém,Veszprém,8200,,,,,,,47.0893375,17.9099736
21,10021,D. épület,Győri út 15,Sopron,Győr-moson-sopron,9400,,,,,,,47.6759909,16.6004778
22,10022,Da Vinci magánklinika,,Pécs,Baranya,7635,,,,,,,46.089855,18.2255847
23,10023,Debreceni Egyetem Kenézy Gyula Kórház,,Debrecen,Hajdú-bihar,4027,,,,,Yes,,47.5341087,21.6055168
24,10024,Dentalklinik & Laserklinik Dr. Tóka,,Sopron,Győr-moson-sopron,9400,,,,,No,,47.6963129,16.5817516
25,10025,Detoxikáló,Lehel utca 59,Budapest,Budapest,1135,,,,,,,47.5278817,19.0813282
26,10026,Deák Jenő Kórház,Ady Endre utca 1-3,Tapolca,Veszprém,8300,,+36 87 411-655,,,,,46.8845052,17.4414526
27,10027,Diósgyőri Kórház,,Miskolc,Borsod-abaúj-zemplén,3525,,,,,,,48.0911889,20.7203154
