,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,20000,400 ágyas klinika,Ifjúság útja 13,Pécs,Baranya,7624,,,,,Yes,,46.0750451,18.2070318
1,20001,5/2,,Budapest,Budapest,1121,,,,,,,47.4897014,18.9569958
2,20002,A. épület,Győri út 15,Sopron,Soproni Járás,9400,,,,,,,47.6765585,16.5973818
3,20003,Albert Schweitzer Kórház,,Hatvan,Heves,3000,,,,,,,47.6712289,19.6815111
4,20004,Albert Schweitzer Kórház,,Hatvan,Heves,3000,,,,,,,47.6705765,19.6811771
5,20005,Almási Balogh Pál Kórház,,Ózd,Ózdi Járás,3600,,,,,,,48.2092951,20.290221
6,20006,Arc- Állcsont- Szájsebészeti és Fogászati Klinika,Mária utca 52,Budapest,Budapest,1082,,,,,,,47.4876344,19.0688216
7,20007,B. Braun Avitum 4. számú Dialízisközpont,,Kaposvár,Somogy,7400,,,,,,,46.3590587,17.7975935
8,20008,B. épület,Győri út 15,Sopron,Soproni Járás,9400,,,,,,,47.6756806,16.5997889
9,20009,Balassa János Kórház,Béri Balogh Ádám utca 5-7,Szekszárd,Tolna,7100,,+3674501500,,,,,46.3452062,18.6974922
10,20010,Balassa János Kórház,,Szekszárd,Tolna,7100,,,,,,,46.3457124,18.7013515
11,20011,Baranya Megyei Kórház,Rákóczi út 2,Pécs,Baranya,7624,,,,,,,46.0722988,18.2196927
12,20012,Bethesda Gyermekkórház,Bethesda utca 3,Budapest,Budapest,1148,,+3613649020,,,,,47.5175802,19.0896899
13,20013,Budai Gyermekkórház,Bolyai utca 5-9,Budapest,Budapest,1026,,,,,Yes,,47.517915,19.029753
14,20014,Bugát Pál Kórház,Dózsa György utca 20,Gyöngyös,Heves,3200,,,,,Yes,,47.7889463,19.9297544
15,20015,Bugát Pál Kórház,,Gyöngyös,Heves,3200,,,,,Yes,,47.7877141,19.9286501
16,20016,Bácsalmási Egészségügyi Központ,,Bácsalmás,Bácsalmási Járás,6430,,,,,,,46.125762,19.3331702
17,20017,"Bőr-, Nemikórtani és Onkodermatológiai Klinika",,Pécs,Baranya,7624,,,,,,,46.0804094,18.2161555
18,20018,C. épület,Győri út 15,Sopron,Soproni Járás,9400,,,,,,,47.6761066,16.6004936
19,20019,Csatárka úti rendelő,,Budapest,Budapest,1026,,,,,,,47.5305198,19.0084153
20,20020,Csolnoky Ferenc Kórház,,Veszprém,Veszprémi Járás,8200,,,,,,,47.0893375,17.9099736
21,20021,D. épület,Győri út 15,Sopron,Soproni Járás,9400,,,,,,,47.6759909,16.6004778
22,20022,Da Vinci magánklinika,,Pécs,Baranya,7635,,,,,,,46.089855,18.2255847
23,20023,Debreceni Egyetem Kenézy Gyula Kórház,,Debrecen,Debreceni Járás,4027,,,,,Yes,,47.5341087,21.6055168
24,20024,Dentalklinik & Laserklinik Dr. Tóka,,Sopron,Soproni Járás,9400,,,,,No,,47.6963129,16.5817516
25,20025,Detoxikáló,Lehel utca 59,Budapest,Budapest,1135,,,,,,,47.5278817,19.0813282
26,20026,Deák Jenő Kórház,Ady Endre utca 1-3,Tapolca,Tapolcai Járás,8300,,+36 87 411-655,,,,,46.8845052,17.4414526
27,20027,Diósgyőri Kórház,,Miskolc,Miskolci Járás,3525,,,,,,,48.0911889,20.7203154
28,20028,Dorogi Szent Borbála Szakkórház,Kossuth Lajos utca 6,Dorog,Esztergomi Járás,2510,,,,,Yes,,47.7198608,18.7335302
29,20029,Dr. Bugyi István Kórház,Sima Ferenc utca 44-58,Szentes,Szentesi Járás,6600,,+36 63 313 244,,,Yes,,46.6641205,20.2507897
30,20030,E. épület,Győri út 15,Sopron,Soproni Járás,9400,,,,,,,47.677564,16.5997498
31,20031,Egészségház,,Bogyiszló,Tolna,7132,,,,,,,46.3856686,18.8264442
32,20032,Egészségház és Patika,Kossuth Lajos utca nan,Pap,Kisvárdai Járás,4631,,,,,,,48.2183358,22.1407295
33,20033,"Egészségügyi Központ (CT, MR)",Dr. Guba Sándor utca 40,Kaposvár,Somogy,7400,,,,,,,46.3829002,17.8256612
34,20034,Egészségügyi központ,,Szakoly,Nagykállói Járás,4234,,,,,Yes,,47.7616914,21.9034194
35,20035,Erzsébet Kórház,,Sátoraljaújhely,Sátoraljaújhelyi Járás,3980,,,,,,,48.3987012,21.6498071
36,20036,F. épület,Győri út 15,Sopron,Soproni Járás,9400,,,,,,,47.6777035,16.59991
37,20037,Fehérgyarmati Kórház és Gyógyfürdő,Damjanich utca 1,Fehérgyarmat,Fehérgyarmati Járás,4900,,,,,,,47.9960519,22.5142596
