FIPS_CODE,COUNTY_CODE,COUNTY,ST,STATE,FOOD_INSECURITY,SEVERE_HOUSING_COST_BURDEN,UNEMPLOYED,NO_VEHICLE_ACCESS,UNINSURED
0,0,Arklow,WW,County Wicklow,0.15,0.15,0.1,0.15,0.1
1,1,Ashbourne,MH,County Meath,0.15,0.15,0.1,0.15,0.1
2,2,Athenry,G,County Galway,0.15,0.15,0.1,0.15,0.1
3,3,Athlone,WH,County Westmeath,0.15,0.15,0.1,0.15,0.1
4,4,Athy,KE,County Kildare,0.15,0.15,0.1,0.15,0.1
5,5,Bagenalstown,CW,County Carlow,0.15,0.15,0.1,0.15,0.1
6,6,Balbriggan,D,County Dublin,0.15,0.15,0.1,0.15,0.1
7,7,Ballina,MO,County Mayo,0.15,0.15,0.1,0.15,0.1
8,8,Ballinasloe,G,County Galway,0.15,0.15,0.1,0.15,0.1
9,9,Ballinrobe,MO,County Mayo,0.15,0.15,0.1,0.15,0.1
10,10,Ballyhaunis,MO,County Mayo,0.15,0.15,0.1,0.15,0.1
11,11,Ballymote,SO,County Sligo,0.15,0.15,0.1,0.15,0.1
12,12,Bandon,CO,County Cork,0.15,0.15,0.1,0.15,0.1
13,13,Bantry,CO,County Cork,0.15,0.15,0.1,0.15,0.1
14,14,Belturbet,CN,County Cavan,0.15,0.15,0.1,0.15,0.1
15,15,Birr,OY,County Offaly,0.15,0.15,0.1,0.15,0.1
16,16,Blackrock,D,County Dublin,0.15,0.15,0.1,0.15,0.1
17,17,Boyle,RN,County Roscommon,0.15,0.15,0.1,0.15,0.1
18,18,Bray,WW,County Wicklow,0.15,0.15,0.1,0.15,0.1
19,19,Bundoran,DL,County Donegal,0.15,0.15,0.1,0.15,0.1
20,20,Cahir,TA,County Tipperary,0.15,0.15,0.1,0.15,0.1
21,21,Carlow,CW,County Carlow,0.15,0.15,0.1,0.15,0.1
22,22,Carrickmacross,MN,County Monaghan,0.15,0.15,0.1,0.15,0.1
23,23,Carrigaline,CO,County Cork,0.15,0.15,0.1,0.15,0.1
24,24,Cashel,TA,County Tipperary,0.15,0.15,0.1,0.15,0.1
25,25,Castlebar,MO,County Mayo,0.15,0.15,0.1,0.15,0.1
26,26,Castleblayney,MN,County Monaghan,0.15,0.15,0.1,0.15,0.1
27,27,Castlerea,RN,County Roscommon,0.15,0.15,0.1,0.15,0.1
28,28,Cavan,CN,County Cavan,0.15,0.15,0.1,0.15,0.1
29,29,Clifden,G,County Galway,0.15,0.15,0.1,0.15,0.1
30,30,Clonakilty,CO,County Cork,0.15,0.15,0.1,0.15,0.1
31,31,Clones,MN,County Monaghan,0.15,0.15,0.1,0.15,0.1
32,32,Cobh,CO,County Cork,0.15,0.15,0.1,0.15,0.1
33,33,Cootehill,CN,County Cavan,0.15,0.15,0.1,0.15,0.1
34,34,Drogheda,LH,County Louth,0.15,0.15,0.1,0.15,0.1
35,35,Dunboyne,MH,County Meath,0.15,0.15,0.1,0.15,0.1
36,36,Dundalk,LH,County Louth,0.15,0.15,0.1,0.15,0.1
37,37,Dunmanway,CO,County Cork,0.15,0.15,0.1,0.15,0.1
38,38,Dunshaughlin,MH,County Meath,0.15,0.15,0.1,0.15,0.1
39,39,Edenderry,OY,County Offaly,0.15,0.15,0.1,0.15,0.1
40,40,Enfield,MH,County Meath,0.15,0.15,0.1,0.15,0.1
41,41,Enniscorthy,WX,County Wexford,0.15,0.15,0.1,0.15,0.1
42,42,Fermoy,CO,County Cork,0.15,0.15,0.1,0.15,0.1
43,43,Gorey,WX,County Wexford,0.15,0.15,0.1,0.15,0.1
44,44,Greystones,WW,County Wicklow,0.15,0.15,0.1,0.15,0.1
45,45,Kells,MH,County Meath,0.15,0.15,0.1,0.15,0.1
46,46,Kenmare,KY,County Kerry,0.15,0.15,0.1,0.15,0.1
47,47,Kildare,KE,County Kildare,0.15,0.15,0.1,0.15,0.1
48,48,Kilkenny,KK,County Kilkenny,0.15,0.15,0.1,0.15,0.1
49,49,Kilmacthomas,WD,County Waterford,0.15,0.15,0.1,0.15,0.1
50,50,Kilmallock,LK,County Limerick,0.15,0.15,0.1,0.15,0.1
51,51,Kilrush,CE,County Clare,0.15,0.15,0.1,0.15,0.1
52,52,Kinsale,CO,County Cork,0.15,0.15,0.1,0.15,0.1
53,53,Knock,MO,County Mayo,0.15,0.15,0.1,0.15,0.1
54,54,Letterkenny,DL,County Donegal,0.15,0.15,0.1,0.15,0.1
55,55,Listowel,KY,County Kerry,0.15,0.15,0.1,0.15,0.1
56,56,Longford,LD,County Longford,0.15,0.15,0.1,0.15,0.1
57,57,Loughrea,G,County Galway,0.15,0.15,0.1,0.15,0.1
58,58,Lucan,D,County Dublin,0.15,0.15,0.1,0.15,0.1
59,59,Lusk,D,County Dublin,0.15,0.15,0.1,0.15,0.1
60,60,Macroom,CO,County Cork,0.15,0.15,0.1,0.15,0.1
61,61,Malahide,D,County Dublin,0.15,0.15,0.1,0.15,0.1
62,62,Mallow,CO,County Cork,0.15,0.15,0.1,0.15,0.1
63,63,Maynooth,KE,County Kildare,0.15,0.15,0.1,0.15,0.1
64,64,Midleton,CO,County Cork,0.15,0.15,0.1,0.15,0.1
65,65,Miltown Malbay,CE,County Clare,0.15,0.15,0.1,0.15,0.1
66,66,Mitchelstown,CO,County Cork,0.15,0.15,0.1,0.15,0.1
67,67,Monaghan,MN,County Monaghan,0.15,0.15,0.1,0.15,0.1
68,68,Monasterevin,KE,County Kildare,0.15,0.15,0.1,0.15,0.1
69,69,Naas,KE,County Kildare,0.15,0.15,0.1,0.15,0.1
70,70,Nenagh,TA,County Tipperary,0.15,0.15,0.1,0.15,0.1
71,71,New Ross,WX,County Wexford,0.15,0.15,0.1,0.15,0.1
72,72,Newcastle West,LK,County Limerick,0.15,0.15,0.1,0.15,0.1
73,73,Portlaoise,LS,County Laois,0.15,0.15,0.1,0.15,0.1
74,74,Roscommon,RN,County Roscommon,0.15,0.15,0.1,0.15,0.1
75,75,Roscrea,TA,County Tipperary,0.15,0.15,0.1,0.15,0.1
76,76,Shannon,CE,County Clare,0.15,0.15,0.1,0.15,0.1
77,77,Skerries,D,County Dublin,0.15,0.15,0.1,0.15,0.1
78,78,Skibbereen,CO,County Cork,0.15,0.15,0.1,0.15,0.1
79,79,Sligo,SO,County Sligo,0.15,0.15,0.1,0.15,0.1
80,80,Swords,D,County Dublin,0.15,0.15,0.1,0.15,0.1
81,81,Thurles,TA,County Tipperary,0.15,0.15,0.1,0.15,0.1
