STATE,ST,TIMEZONE,TZ
Abruzzi,01,Central European Time,CET
Basilicata,02,Central European Time,CET
Calabria,03,Central European Time,CET
Campania,04,Central European Time,CET
Emilia-Romagna,05,Central European Time,CET
Friuli-Venezia Giulia,06,Central European Time,CET
Lazio,07,Central European Time,CET
Liguria,08,Central European Time,CET
Lombardia,09,Central European Time,CET
Marche,10,Central European Time,CET
Molise,11,Central European Time,CET
Piemonte,12,Central European Time,CET
Puglia,13,Central European Time,CET
Sardegna,14,Central European Time,CET
Sicilia,15,Central European Time,CET
Toscana,16,Central European Time,CET
Trentino-Alto Adige,17,Central European Time,CET
Umbria,18,Central European Time,CET
Valle D'Aosta,19,Central European Time,CET
Veneto,20,Central European Time,CET
