,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
8,20008,AOVV,nan nan,Chiavenna,Lombardia,23022,,,,,Yes,,46.3226233,9.4001921
50,20050,Arcispedale Sant'Anna,nan nan,Ferrara,FE,44121,,,,,Yes,,44.8014753,11.7000088
58,20058,Associazione Pubblica Assistenza Castello di Serravalle Onlus,Via venticinque Aprile 75,Valsamoggia,BO,40050,,0516704815,,,Yes,,44.4408795,11.0648908
66,20066,Azienda Ospedaliera Mellino Mellini,Via delle Battaglie nan,Chiari,Lombardia,25032,,,,,Yes,,45.5389887,9.9336571
67,20067,Azienda Ospedaliera Ospedale di Circolo di Busto Arsizio,nan nan,Busto Arsizio,Lombardia,21052,,,,,Yes,,45.624518,8.8447564
68,20068,Azienda Ospedaliera Papardo,nan nan,Messina,Sicilia,98123,,,,,Yes,,38.2653678,15.5955523
70,20070,Azienda Ospedaliera Sant'Antonio Abate - Gallarate,Via Eusebio Pastori 4,Gallarate,Lombardia,21013,,+39 0331 751111,,,Yes,,45.6576103,8.7916406
74,20074,Azienda Ospedaliera Universitaria di Careggi,nan nan,Firenze,Toscana,50127,,,,,Yes,,43.8121396,11.2483455
76,20076,Azienda Ospedaliera di Caserta Sant'Anna e San Sebastiano,nan nan,Caserta,Campania,81100,,,,,Yes,,41.0861206,14.3313619
77,20077,Azienda Ospedaliera di Padova,Via Nicolò Giustiniani 2,Padova,Veneto,35139,,,,,Yes,,45.4043283,11.887328
83,20083,Azienda Sanitaria Provinciale Catanzaro Polo Sanitario,nan nan,Chiaravalle Centrale,Calabria,88064,,,,,Yes,,38.6815743,16.4205712
87,20087,"Azienda Universitario-Ospedaliera ""Maggiore della Carità""",nan nan,Novara,Piemonte,28100,,,,,Yes,,45.4416489,8.6201327
88,20088,Azienda ospedaliera Arcispedale Santa Maria Nuova,Viale Risorgimento 80,Reggio nell'Emilia,RE,42121,,,,,Yes,,44.6871708,10.6317061
89,20089,Azienda ospedaliera Sant'Elia,nan nan,Caltanissetta,Sicilia,93100,,,,,Yes,,37.4914865,14.0303938
90,20090,Azienda ospedaliere Cannizzaro,nan nan,Catania,Sicilia,95126,,,,,Yes,,37.5448561,15.1133436
93,20093,Bezirkskrankenhaus Schlanders - Ospedale di distretto Silandro,Krankenhausstraße 3,Silandro,Trentino-Alto Adige,39028,,,,,Yes,,46.6286962,10.7776997
109,20109,"Casa della Salute ""Finale Emilia""",Piazza Antonio Gramsci nan,Finale Emilia,MO,41034,,,,,Yes,,44.8332136,11.2973219
124,20124,Casa di Cura Dottor Pederzoli,Via Monte Baldo 24,Peschiera del Garda,Veneto,37019,,+39 045 644 91 11,,,Yes,,45.4435685,10.7056203
142,20142,Casa di Cura Sant'Anna,nan nan,Crotone,Calabria,88900,,,,,Yes,,39.0619303,17.1301854
182,20182,Centro Cardiologico Monzino,nan nan,Milano,Lombardia,20138,,,,,Yes,,45.4436829,9.262571
187,20187,Centro Iperbarico,Via Augusto Torre 3,Ravenna,RA,48121,,,,,Yes,,44.4105928,12.1640422
227,20227,Clinica San Michele,nan nan,Maddaloni,Campania,81024,,,,,Yes,,41.0395541,14.3741242
240,20240,Complesso Ospedaliero di Noventa Vicentina,nan nan,Noventa Vicentina,Veneto,36025,,,,,Yes,,45.2922038,11.5355714
253,20253,Croce Rossa Italiana - Delegazione di Paesana,Via Erasca 14,Paesana,Piemonte,12034,,,,,Yes,,44.6784671,7.2739134
255,20255,Croce Rossa Italiana - Medicina,nan nan,Medicina,BO,40059,,,,,Yes,,44.4742197,11.635156
257,20257,Croce Rossa Italiana Comitato di Bardolino Baldo Garda,Via Gardesana dell'Acqua 10,Bardolino,Veneto,37011,,+39 045 6212133,,,Yes,,45.5534274,10.7196873
275,20275,Dono Svizzero,nan nan,Formia,Lazio,04023,,,,,Yes,,41.2616779,13.6182661
277,20277,Eliporto di Emergenza,Via Valle Pupina nan,Padula,Campania,84034,,,,,Yes,,40.3453804,15.6552511
279,20279,"Ente Ecclesiastico Ospedale Generale regionale ""F. Miulli""",nan nan,Acquaviva delle Fonti,Puglia,70021,,,,,Yes,,40.863651,16.8025682
