,USPS,ST,NAME,ZCTA5,LAT,LON
0,Alytus,56,SB „Šilas“,62001,54.4,24.05
1,Alytus,56,Alytus,62001,54.4,24.05
2,Alytus,56,SB „Volungėlė“,62001,54.4,24.05
3,Alytus,56,Kaniūkų k.,62001,54.4,24.05
4,Alytus,56,SB „Sakalas“,62001,54.4,24.05
5,Alytus,56,SB „Rugelis“,62001,54.4,24.05
6,Alytus,56,SB „Pušelė“,62001,54.4,24.05
7,Alytus,56,SB „Dobilas“,62001,54.4,24.05
8,Alytus,56,Alytus,62014,54.4,24.05
9,Alytus,56,Alytus,63001,54.4,24.05
10,Alytus,56,SB „Raigardas“,66001,54.0167,23.9667
11,Alytus,56,Druskininkai,66001,54.0167,23.9667
12,Alytus,56,Miciūnų k.,66001,54.0167,23.9667
13,Alytus,56,Žiogelių k.,66001,54.0167,23.9667
14,Alytus,56,Mašnyčių k.,66001,54.0167,23.9667
15,Alytus,56,Švendubrės k.,66001,54.0167,23.9667
16,Alytus,56,Snaigupės k.,66001,54.0167,23.9667
17,Alytus,56,Ringėliškės k.,66001,54.0167,23.9667
18,Alytus,56,Randamonių k.,66001,54.0167,23.9667
19,Alytus,56,Neravų k.,66001,54.0167,23.9667
20,Alytus,56,Naujasodės k.,66001,54.0167,23.9667
21,Alytus,56,Latežerio k.,66001,54.0167,23.9667
22,Alytus,56,Kermušijos k.,66001,54.0167,23.9667
23,Alytus,56,Jaskonių k.,66001,54.0167,23.9667
24,Alytus,56,Grūto k.,66001,54.0167,23.9667
25,Alytus,56,Gailiūnų k.,66001,54.0167,23.9667
26,Alytus,56,SB „Dainava“,66001,54.0167,23.9667
27,Alytus,56,Viečiūnų k.,66007,54.0167,23.9667
28,Alytus,56,Neravų k.,66007,54.0167,23.9667
29,Alytus,56,SB „Papartis“,66007,54.0167,23.9667
30,Alytus,56,Saltoniškės k.,67027,54.0909,23.8587
31,Alytus,56,Vileikių k.,67027,54.0909,23.8587
32,Alytus,56,Leipalingis,67027,54.0909,23.8587
33,Alytus,56,Margų k.,67027,54.0909,23.8587
34,Alytus,56,Zasciūniškės k.,67027,54.0909,23.8587
35,Alytus,56,Mažonių k.,67027,54.0909,23.8587
36,Alytus,56,Voverių k.,67027,54.0909,23.8587
37,Alytus,56,Panemunės k.,67027,54.0909,23.8587
38,Alytus,56,Šaulėnų k.,67027,54.0909,23.8587
39,Alytus,56,Paseirės k.,67027,54.0909,23.8587
40,Alytus,56,Ricielių k.,67027,54.0909,23.8587
41,Alytus,56,Radvilonių k.,67027,54.0909,23.8587
42,Alytus,56,Liepiškių k.,67027,54.0909,23.8587
43,Alytus,56,Raudonikių k.,67027,54.0909,23.8587
44,Alytus,56,Leipalingio k.,67027,54.0909,23.8587
45,Alytus,56,Guobinių k.,67027,54.0909,23.8587
46,Alytus,56,Kaziulių k.,67027,54.0909,23.8587
47,Alytus,56,Vilkanastrų k.,67027,54.0909,23.8587
48,Alytus,56,Karalinavos k.,67027,54.0909,23.8587
49,Alytus,56,Stračiūnų k.,67027,54.0909,23.8587
50,Alytus,56,Kamorūnų k.,67027,54.0909,23.8587
51,Alytus,56,Didžiasalio k.,67027,54.0909,23.8587
52,Alytus,56,Jovaišių k.,67027,54.0909,23.8587
53,Alytus,56,Taikūnų k.,67027,54.0909,23.8587
54,Alytus,56,Janavo k.,67027,54.0909,23.8587
55,Alytus,56,Tautėnų k.,67027,54.0909,23.8587
56,Alytus,56,Dulgininkų k.,67027,54.0909,23.8587
57,Alytus,56,Vaikšnoriškės k.,67027,54.0909,23.8587
58,Alytus,56,Druskininkėlių k.,67027,54.0909,23.8587
59,Alytus,56,Varnėnų k.,67027,54.0909,23.8587
60,Alytus,56,Černiauskų k.,67027,54.0909,23.8587
61,Alytus,56,Vilkininkų k.,67027,54.0909,23.8587
62,Alytus,56,Beržinių k.,67027,54.0909,23.8587
63,Alytus,56,Veršių k.,67027,54.0909,23.8587
64,Alytus,56,Barzdžiūnų k.,67027,54.0909,23.8587
65,Alytus,56,Cimaniūnų k.,67027,54.0909,23.8587
66,Alytus,56,Degėsių k.,67027,54.0909,23.8587
67,Alytus,56,Savanorių k.,67027,54.0909,23.8587
68,Alytus,56,Drapalių k.,67027,54.0909,23.8587
69,Alytus,56,Bugiedos k.,67035,54,23.65
70,Alytus,56,Diržų k.,67035,54,23.65
71,Alytus,56,Gerdašių k.,67035,54,23.65
72,Alytus,56,Baltosios Ančios k.,67035,54,23.65
73,Alytus,56,Guronių k.,67035,54,23.65
74,Alytus,56,Krivonių k.,67035,54,23.65
75,Alytus,56,Lipliūnų k.,67035,54,23.65
76,Alytus,56,Macevičių k.,67035,54,23.65
77,Alytus,56,Mizarų k.,67035,54,23.65
78,Alytus,56,Simaniškės k.,67035,54,23.65
79,Alytus,56,Sirguškės k.,67035,54,23.65
80,Alytus,56,Sventijansko k.,67035,54,23.65
81,Alytus,56,Varviškės k.,67035,54,23.65
82,Alytus,56,Kaniūkų k.,62001,54.4,24.05
83,Alytus,56,Skraičionių k.,62001,54.4,24.05
84,Alytus,56,Pušenų k,62001,54.4,24.05
85,Alytus,56,Praniūnų k.,62001,54.4,24.05
86,Alytus,56,Panemuninkų k.,62001,54.4,24.05
87,Alytus,56,Putinų k.,62001,54.4,24.05
88,Alytus,56,Padaglės k.,62001,54.4,24.05
89,Alytus,56,Norūnų k.,62001,54.4,24.05
90,Alytus,56,Radvilonių k.,62001,54.4,24.05
91,Alytus,56,Nemunaičio k.,62001,54.4,24.05
92,Alytus,56,Navickų k.,62001,54.4,24.05
93,Alytus,56,Navasodų k.,62001,54.4,24.05
94,Alytus,56,Mikutiškių k.,62001,54.4,24.05
95,Alytus,56,Miknolesų k.,62001,54.4,24.05
96,Alytus,56,Margaravos k.,62001,54.4,24.05
97,Alytus,56,Luksnėnų k.,62001,54.4,24.05
98,Alytus,56,Likiškių k.,62001,54.4,24.05
99,Alytus,56,Likiškėlių k.,62001,54.4,24.05
100,Alytus,56,Radžiūnų k.,62001,54.4,24.05
101,Alytus,56,Lelionių k.,62001,54.4,24.05
102,Alytus,56,Raubonių k.,62001,54.4,24.05
103,Alytus,56,Kriaunių k.,62001,54.4,24.05
104,Alytus,56,Revų k.,62001,54.4,24.05
105,Alytus,56,Kibirkščių k.,62001,54.4,24.05
106,Alytus,56,Karkliniškių k.,62001,54.4,24.05
107,Alytus,56,Jurgiškių k.,62001,54.4,24.05
108,Alytus,56,Zaidų k.,62001,54.4,24.05
109,Alytus,56,Volungės k.,62001,54.4,24.05
110,Alytus,56,Jurgelionių ll k.,62001,54.4,24.05
111,Alytus,56,Jurgelionių l k.,62001,54.4,24.05
112,Alytus,56,Žemaitėlių k.,62001,54.4,24.05
113,Alytus,56,Rumbonių k.,62001,54.4,24.05
114,Alytus,56,Sudvajų k.,62001,54.4,24.05
115,Alytus,56,Tabalenkos k.,62001,54.4,24.05
116,Alytus,56,Takniškių k.,62001,54.4,24.05
117,Alytus,56,Talokių k.,62001,54.4,24.05
118,Alytus,56,Ulyškių k.,62001,54.4,24.05
119,Alytus,56,Žaunieriškių k.,62001,54.4,24.05
120,Alytus,56,Jurgelianka,62001,54.4,24.05
121,Alytus,56,Juociškių k.,62001,54.4,24.05
122,Alytus,56,Jovaišonių k.,62001,54.4,24.05
123,Alytus,56,Jasunskų k.,62001,54.4,24.05
124,Alytus,56,Gervėnų k.,62001,54.4,24.05
125,Alytus,56,Geištarukų k.,62001,54.4,24.05
126,Alytus,56,Geištarų k.,62001,54.4,24.05
127,Alytus,56,Geištariškių k.,62001,54.4,24.05
128,Alytus,56,Dubėnų k.,62001,54.4,24.05
129,Alytus,56,Dubenkos k.,62001,54.4,24.05
130,Alytus,56,Čižikų k.,62001,54.4,24.05
131,Alytus,56,Bundorių k.,62001,54.4,24.05
132,Alytus,56,Būdos k.,62001,54.4,24.05
133,Alytus,56,Bemotiškių k.,62001,54.4,24.05
134,Alytus,56,Bazorų k.,62001,54.4,24.05
135,Alytus,56,Aniškio k.,62001,54.4,24.05
136,Alytus,56,Arminų k.,62001,54.4,24.05
137,Alytus,56,Bakšių k.,62001,54.4,24.05
138,Alytus,56,Butrimiškių k.,62014,54.4,24.05
139,Alytus,56,Užubalių k.,62014,54.4,24.05
140,Alytus,56,Putinų vienk.,62014,54.4,24.05
141,Alytus,56,Likiškių k.,62014,54.4,24.05
142,Alytus,56,Miklusėnų k.,62014,54.4,24.05
143,Alytus,56,Daugirdėlių k.,62014,54.4,24.05
144,Alytus,56,Skernės k.,64001,54.3667,24.3333
145,Alytus,56,Vėžiškių k.,64001,54.3667,24.3333
146,Alytus,56,Mikalavo k.,64001,54.3667,24.3333
147,Alytus,56,Židonių k.,64001,54.3667,24.3333
