,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,10000,Abromiškių reabilitacijos ligoninė,nan nan,Elektrėnai,Elektrėnų savivaldybė,26130,,,,,,,54.7670843,24.7082329
1,10001,Akušerijos skyrius,nan nan,Panevėžys,Panevėžio savivaldybė,35194,,,,,,,55.7339799,24.3659236
2,10002,Alytaus apskrities S. Kudirkos ligoninė,Ligoninės g. 12,Alytus,Alytaus savivaldybė,62112,,,,,Yes,,54.3989181,24.0406259
3,10003,Alytaus tuberkuliozės ligoninė,nan nan,Alytus,Alytaus savivaldybė,62112,,,,,,,54.4134506,24.0419898
4,10004,Antakalnio poliklinika,Antakalnio g. 59,Vilnius,Vilniaus Miesto savivaldybė,10102,,,,,,,54.7107186,25.3172809
5,10005,Anykščių rajono savivaldybės ligoninė,nan nan,Anykščiai,Anykščių rajono savivaldybė,29107,,,,,,,55.5207958,25.1206266
6,10006,Baisogalos ligoninė,nan nan,Baisogala,Radviliškio rajono savivaldybė,82324,,,,,,,55.6390219,23.7219127
7,10007,Baltijos Amerikos klinika,Nemenčinės pl. 54A,Vilnius,Vilniaus Miesto savivaldybė,10102,,+37052342020,,,,,54.7352821,25.3385303
8,10008,Birštono pirminės sveikatos priežiūros centras,Jaunimo g. 8,Birštonas,Birštono savivaldybė,59206,,+37031967018,,,,,54.6072207,24.0255968
9,10009,Biržų ligoninė,Vilniaus g. 115,Biržai,Biržų rajono savivaldybė,41150,,,,,Yes,,56.1883822,24.7585641
10,10010,Dienos chirurgijos centras,Puodžių g. 9,Klaipėda,Klaipėdos savivaldybė,91218,,,,,,,55.7124957,21.1274057
11,10011,Druskininkų ligoninė,Sveikatos g. 30,Druskininkai,Druskininkų savivaldybė,66143,,,,,,,54.0166106,24.0083513
12,10012,Eržvilko Pirminės Sveikatos Priežiuros Centras,Piliakalnio g. nan,Eržvilkas,Jurbarko rajono savivaldybė,74287,,,,,,,55.2604592,22.7037619
13,10013,Grigiškių palaikomojo gydymo ir slaugos ligoninė,Mokyklos g. 10,Vilnius,Vilniaus Miesto savivaldybė,03113,,,,,Yes,,54.671906,25.0902703
14,10014,I. Kuprijaškino psichoterapinis kabinetas,I. Kanto g. 11,Kaunas,Kauno savivaldybė,44301,,,,,No,,54.8955359,23.903455
15,10015,Infekcinių ligų ir tuberkuliozės ligoninė,Birutės g. 1,Vilnius,Vilniaus Miesto savivaldybė,08106,,,,,,,54.6878577,25.2489371
16,10016,J. Zikaro g.,nan nan,Kačerginė,Kauno rajono savivaldybė,53450,,,,,,,54.9306288,23.7220523
17,10017,J. Zikaro g.,nan nan,Kačerginė,Kauno rajono savivaldybė,53450,,,,,,,54.9300963,23.7215099
