,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,20000,Abromiškių reabilitacijos ligoninė,,Elektrėnai,Vilniaus Apskritis,26130,,,,,,,54.7670843,24.7082329
1,20001,Akušerijos skyrius,Smėlynės gatvė 25,Panevėžys,Panevėžio Savivaldybė,35144,,,,,,,55.7339799,24.3659236
2,20002,Alytaus apskrities S. Kudirkos ligoninė,Ligoninės g. 12,Alytus,Alytaus Savivaldybė,62114,,,,,Yes,,54.3989181,24.0406259
3,20003,Alytaus tuberkuliozės ligoninė,,Alytus,Alytaus Savivaldybė,62112,,,,,,,54.4134506,24.0419898
4,20004,Antakalnio poliklinika,Antakalnio g. 59,Vilnius,Vilniaus Apskritis,10102,,,,,,,54.7107159,25.3172839
5,20005,Anykščių rajono savivaldybės ligoninė,,Anykščiai,Anykščių Rajono Savivaldybė,29107,,,,,,,55.5207958,25.1206266
6,20006,Baisogalos ligoninė,,Baisogala,Radviliškio Rajono Savivaldybė,82324,,,,,,,55.6390219,23.7219127
7,20007,Baltijos Amerikos klinika,Nemenčinės pl. 54A,Vilnius,Vilniaus Apskritis,10102,,+37052342020,,,,,54.7352821,25.3385303
8,20008,Birštono pirminės sveikatos priežiūros centras,Jaunimo g. 8,Birštonas,Birštono Savivaldybė,59206,,+37031967018,,,,,54.6072207,24.0255968
9,20009,Biržų ligoninė,Vilniaus g. 115,Biržai,Biržų Rajono Savivaldybė,41115,,,,,Yes,,56.1883822,24.7585641
10,20010,Dienos chirurgijos centras,Puodžių g. 9,Klaipėda,Klaipėdos Savivaldybė,91218,,,,,,,55.7124957,21.1274057
11,20011,Druskininkų ligoninė,Sveikatos g. 30,Druskininkai,Druskininkų Savivaldybė,66251,,,,,,,54.0166106,24.0083513
12,20012,Eržvilko Pirminės Sveikatos Priežiuros Centras,Piliakalnio g. nan,Eržvilkas,Jurbarko Rajono Savivaldybė,74287,,,,,,,55.2604592,22.7037619
13,20013,Grigiškių palaikomojo gydymo ir slaugos ligoninė,Mokyklos g. 10,Vilnius,Vilniaus Apskritis,03113,,,,,Yes,,54.671906,25.0902703
14,20014,I. Kuprijaškino psichoterapinis kabinetas,I. Kanto g. 11,Kaunas,Kauno Savivaldybė,44301,,,,,No,,54.8955359,23.903455
15,20015,Infekcinių ligų ir tuberkuliozės ligoninė,Birutės g. 1,Vilnius,Vilniaus Apskritis,08106,,,,,,,54.6878577,25.2489371
16,20016,J. Zikaro g.,,Kačerginė,Kauno Rajono Savivaldybė,53450,,,,,,,54.9306288,23.7220523
17,20017,J. Zikaro g.,,Kačerginė,Kauno Rajono Savivaldybė,53450,,,,,,,54.9300963,23.7215099
18,20018,Jonavos ligoninė,Žeimių g. 19,Jonava,Jonavos Rajono Savivaldybė,55111,,,,,,,55.0797331,24.2702877
19,20019,Joniškėlio ligoninė,Vytauto g. 3,Joniškėlis,Pasvalio Rajono Savivaldybė,39306,,,,,Yes,,56.0262554,24.1690884
