,USPS,ST,NAME,ZCTA5,LAT,LON
0,Capellen,CA,Dippach,L-4906,49.5877,5.9782
1,Capellen,CA,Schouweiler,L-4968,49.5789,5.9571
2,Capellen,CA,Sprinkange,L-4970,49.5853,5.9728
3,Capellen,CA,Bettange-sur-Mess,L-4970,49.5765,5.9949
4,Capellen,CA,Bettange-sur-Mess,L-4971,49.5709,5.995
5,Capellen,CA,Dippach,L-4972,49.5877,5.9782
6,Capellen,CA,Dippach,L-4973,49.5881,5.9896
7,Capellen,CA,Dippach,L-4974,49.5881,5.9862
8,Capellen,CA,Bettange-sur-Mess,L-4975,49.5746,5.987
9,Capellen,CA,Bettange-sur-Mess,L-4976,49.5743,5.9811
10,Capellen,CA,Bettange-sur-Mess,L-4977,49.5762,5.9869
11,Capellen,CA,Sprinkange,L-4994,49.5849,5.9658
12,Capellen,CA,Schouweiler,L-4994,49.5823,5.9589
13,Capellen,CA,Schouweiler,L-4995,49.5793,5.9505
14,Capellen,CA,Schouweiler,L-4996,49.5811,5.9546
15,Capellen,CA,Schouweiler,L-4997,49.5859,5.9553
16,Capellen,CA,Sprinkange,L-4998,49.5816,5.9653
17,Capellen,CA,Schouweiler,L-4998,49.5814,5.9619
18,Capellen,CA,Sprinkange,L-4999,49.5777,5.9613
19,Capellen,CA,Schouweiler,L-4999,49.5797,5.9601
20,Capellen,CA,Garnich,L-8350,49.6179,5.9536
21,Capellen,CA,Dahlem,L-8351,49.5977,5.9446
22,Capellen,CA,Dahlem,L-8352,49.5995,5.9476
23,Capellen,CA,Garnich,L-8353,49.616,5.952
24,Capellen,CA,Garnich,L-8354,49.6176,5.9507
25,Capellen,CA,Garnich,L-8355,49.6132,5.9528
26,Capellen,CA,Garnich,L-8356,49.6154,5.9476
27,Capellen,CA,Hivange,L-8369,49.6051,5.9285
28,Capellen,CA,Kahler,L-8376,49.6326,5.9166
29,Capellen,CA,Hobscheid,L-8370,49.6952,5.9166
30,Capellen,CA,Hobscheid,L-8371,49.6827,5.9181
31,Capellen,CA,Hobscheid,L-8372,49.6872,5.9146
32,Capellen,CA,Hobscheid,L-8373,49.6892,5.921
33,Capellen,CA,Hobscheid,L-8374,49.6877,5.9114
34,Capellen,CA,Hobscheid,L-8375,49.695,5.9183
35,Capellen,CA,Eischen,L-8460,49.681,5.8778
36,Capellen,CA,Eischen,L-8461,49.6831,5.8751
37,Capellen,CA,Eischen,L-8462,49.6839,5.8747
38,Capellen,CA,Eischen,L-8463,49.6871,5.8767
39,Capellen,CA,Eischen,L-8464,49.6837,5.8765
40,Capellen,CA,Eischen,L-8465,49.6838,5.8778
41,Capellen,CA,Eischen,L-8466,49.687,5.8792
42,Capellen,CA,Eischen,L-8467,49.6852,5.8779
43,Capellen,CA,Eischen,L-8468,49.6832,5.8666
44,Capellen,CA,Eischen,L-8469,49.6895,5.8776
45,Capellen,CA,Eischen,L-8470,49.6848,5.8766
46,Capellen,CA,Eischen,L-8471,49.6832,5.8813
47,Capellen,CA,Eischen,L-8472,49.6846,5.8774
48,Capellen,CA,Eischen,L-8473,49.6873,5.8821
49,Capellen,CA,Eischen,L-8474,49.6852,5.8759
50,Capellen,CA,Eischen,L-8475,49.6912,5.8795
51,Capellen,CA,Eischen,L-8476,49.6828,5.8793
52,Capellen,CA,Eischen,L-8477,49.6847,5.8714
53,Capellen,CA,Eischen,L-8478,49.6828,5.8705
54,Capellen,CA,Eischen,L-8479,49.6796,5.8765
55,Capellen,CA,Eischen,L-8480,49.6827,5.882
56,Capellen,CA,Dondelange,L-7423,49.689,6.0311
57,Capellen,CA,Kehlen,L-8185,49.6573,6.0674
58,Capellen,CA,Kehlen,L-8205,49.6647,6.0358
59,Capellen,CA,Kehlen,L-8274,49.6697,6.0304
60,Capellen,CA,Kehlen,L-8280,49.6656,6.0348
61,Capellen,CA,Kehlen,L-8281,49.667,6.0319
62,Capellen,CA,Kehlen,L-8282,49.6696,6.0343
63,Capellen,CA,Kehlen,L-8283,49.6703,6.0371
64,Capellen,CA,Kehlen,L-8284,49.6677,6.038
65,Capellen,CA,Kehlen,L-8285,49.6654,6.0373
66,Capellen,CA,Kehlen,L-8286,49.6684,6.0399
67,Capellen,CA,Kehlen,L-8287,49.6628,6.0163
68,Capellen,CA,Kehlen,L-8288,49.6647,6.0358
69,Capellen,CA,Kehlen,L-8289,49.6659,6.0309
70,Capellen,CA,Kehlen,L-8290,49.6566,6.049
71,Capellen,CA,Meispelt,L-8291,49.6903,6.0577
72,Capellen,CA,Meispelt,L-8292,49.6933,6.0605
73,Capellen,CA,Keispelt,L-8293,49.6962,6.0682
74,Capellen,CA,Keispelt,L-8294,49.6914,6.0699
75,Capellen,CA,Keispelt,L-8295,49.6894,6.0628
76,Capellen,CA,Kehlen,L-8295,49.6784,6.0437
77,Capellen,CA,Olm,L-8312,49.6459,5.9948
78,Capellen,CA,Olm,L-8315,49.6461,5.996
79,Capellen,CA,Olm,L-8316,49.6453,5.9959
80,Capellen,CA,Olm,L-8317,49.6467,5.998
81,Capellen,CA,Olm,L-8319,49.6484,5.9899
82,Capellen,CA,Olm,L-8321,49.6492,5.9937
83,Capellen,CA,Olm,L-8322,49.6486,5.9918
84,Capellen,CA,Olm,L-8323,49.6453,5.9935
85,Capellen,CA,Olm,L-8324,49.6493,5.9946
86,Capellen,CA,Olm,L-8327,49.6456,5.9973
87,Capellen,CA,Olm,L-8332,49.6481,5.9935
88,Capellen,CA,Olm,L-8333,49.6476,5.9939
89,Capellen,CA,Olm,L-8338,49.6459,5.9938
90,Capellen,CA,Olm,L-8339,49.6461,5.9929
91,Capellen,CA,Olm,L-8340,49.6487,5.9933
92,Capellen,CA,Olm,L-8341,49.6463,5.9918
93,Capellen,CA,Olm,L-8342,49.6484,5.991
94,Capellen,CA,Olm,L-8343,49.6491,5.9928
95,Capellen,CA,Olm,L-8344,49.6481,5.9957
96,Capellen,CA,Nospelt,L-8390,49.6733,6.0135
97,Capellen,CA,Nospelt,L-8391,49.6759,6.0093
98,Capellen,CA,Nospelt,L-8392,49.6752,6.004
99,Capellen,CA,Olm,L-8393,49.6527,5.9967
100,Capellen,CA,Olm,L-8394,49.6576,6.0007
101,Capellen,CA,Koerich,L-8306,49.6703,5.9394
102,Capellen,CA,Goeblange,L-8357,49.6698,5.9717
103,Capellen,CA,Goeblange,L-8358,49.6698,5.9664
104,Capellen,CA,Goeblange,L-8359,49.6682,5.9637
105,Capellen,CA,Goetzingen,L-8360,49.6588,5.9811
106,Capellen,CA,Goetzingen,L-8361,49.6633,5.9787
107,Capellen,CA,Koerich,L-8383,49.6703,5.9484
108,Capellen,CA,Koerich,L-8384,49.6678,5.9497
109,Capellen,CA,Koerich,L-8385,49.6681,5.9507
110,Capellen,CA,Koerich,L-8386,49.6674,5.9484
111,Capellen,CA,Koerich,L-8387,49.6721,5.9497
112,Capellen,CA,Koerich,L-8388,49.6703,5.9394
113,Capellen,CA,Windhof (Koerich),L-8399,49.6479,5.9584
114,Capellen,CA,Bridel,L-8116,49.6483,6.0866
115,Capellen,CA,Bridel,L-8118,49.661,6.0781
116,Capellen,CA,Bridel,L-8119,49.6601,6.0821
117,Capellen,CA,Bridel,L-8120,49.6478,6.092
118,Capellen,CA,Bridel,L-8121,49.6542,6.077
119,Capellen,CA,Bridel,L-8123,49.6666,6.0795
120,Capellen,CA,Bridel,L-8124,49.6545,6.078
121,Capellen,CA,Bridel,L-8125,49.6507,6.0805
122,Capellen,CA,Bridel,L-8126,49.6526,6.0856
123,Capellen,CA,Bridel,L-8127,49.6626,6.0829
124,Capellen,CA,Bridel,L-8128,49.658,6.0797
125,Capellen,CA,Bridel,L-8129,49.6647,6.0782
126,Capellen,CA,Bridel,L-8131,49.6625,6.0909
127,Capellen,CA,Bridel,L-8132,49.6575,6.0778
128,Capellen,CA,Bridel,L-8133,49.6564,6.0806
129,Capellen,CA,Bridel,L-8134,49.6633,6.0877
130,Capellen,CA,Bridel,L-8135,49.6601,6.0842
131,Capellen,CA,Bridel,L-8137,49.6542,6.0787
132,Capellen,CA,Bridel,L-8138,49.6544,6.08
133,Capellen,CA,Bridel,L-8139,49.6545,6.0819
134,Capellen,CA,Bridel,L-8140,49.6558,6.0821
135,Capellen,CA,Bridel,L-8141,49.6577,6.081
136,Capellen,CA,Bridel,L-8142,49.6627,6.0855
137,Capellen,CA,Bridel,L-8143,49.659,6.0871
138,Capellen,CA,Bridel,L-8145,49.6577,6.0785
139,Capellen,CA,Bridel,L-8146,49.6585,6.0779
140,Capellen,CA,Bridel,L-8147,49.6542,6.0797
141,Capellen,CA,Bridel,L-8149,49.6617,6.0851
142,Capellen,CA,Bridel,L-8150,49.659,6.074
143,Capellen,CA,Bridel,L-8151,49.6609,6.0868
144,Capellen,CA,Bridel,L-8152,49.6616,6.0887
145,Capellen,CA,Bridel,L-8153,49.6556,6.0799
146,Capellen,CA,Bridel,L-8154,49.6598,6.0876
147,Capellen,CA,Bridel,L-8156,49.652,6.0809
148,Capellen,CA,Bridel,L-8157,49.6513,6.082
149,Capellen,CA,Bridel,L-8158,49.6617,6.0824
150,Capellen,CA,Bridel,L-8159,49.6551,6.0796
151,Capellen,CA,Bridel,L-8160,49.6647,6.0887
152,Capellen,CA,Bridel,L-8161,49.6611,6.0842
153,Capellen,CA,Bridel,L-8165,49.6637,6.0873
154,Capellen,CA,Bridel,L-8166,49.6523,6.0795
155,Capellen,CA,Bridel,L-8167,49.6528,6.079
156,Capellen,CA,Kopstal,L-8179,49.6632,6.0728
157,Capellen,CA,Kopstal,L-8180,49.6628,6.0739
158,Capellen,CA,Kopstal,L-8181,49.6682,6.0739
159,Capellen,CA,Kopstal,L-8182,49.6639,6.0779
160,Capellen,CA,Kopstal,L-8183,49.6622,6.0732
161,Capellen,CA,Kopstal,L-8184,49.6632,6.0728
162,Capellen,CA,Kopstal,L-8185,49.6627,6.0707
163,Capellen,CA,Kopstal,L-8186,49.6596,6.0708
164,Capellen,CA,Kopstal,L-8187,49.6655,6.0719
165,Capellen,CA,Kopstal,L-8188,49.6632,6.0735
166,Capellen,CA,Kopstal,L-8189,49.665,6.0708
167,Capellen,CA,Kopstal,L-8190,49.6673,6.0757
168,Capellen,CA,Kopstal,L-8191,49.6637,6.0745
169,Capellen,CA,Mamer,L-8201,49.6274,6.0233
170,Capellen,CA,Mamer,L-8209,49.6274,6.0233
171,Capellen,CA,Mamer,L-8210,49.6293,6.0279
172,Capellen,CA,Mamer,L-8211,49.6307,6.0236
173,Capellen,CA,Mamer,L-8212,49.6325,6.0281
174,Capellen,CA,Mamer,L-8213,49.6252,6.0108
175,Capellen,CA,Mamer,L-8214,49.6221,6.0128
176,Capellen,CA,Mamer,L-8215,49.6241,6.0268
177,Capellen,CA,Mamer,L-8216,49.6225,6.0265
178,Capellen,CA,Mamer,L-8217,49.6232,6.0298
179,Capellen,CA,Mamer,L-8218,49.6271,6.0168
180,Capellen,CA,Mamer,L-8219,49.6285,6.0236
181,Capellen,CA,Mamer,L-8220,49.6288,6.0214
182,Capellen,CA,Mamer,L-8221,49.6314,6.024
183,Capellen,CA,Mamer,L-8222,49.6328,6.0182
184,Capellen,CA,Mamer,L-8223,49.6314,6.0168
185,Capellen,CA,Mamer,L-8224,49.6304,6.0188
186,Capellen,CA,Mamer,L-8225,49.6248,6.0227
187,Capellen,CA,Mamer,L-8226,49.6263,6.021
188,Capellen,CA,Mamer,L-8227,49.6315,6.0152
189,Capellen,CA,Mamer,L-8228,49.6302,6.0374
190,Capellen,CA,Mamer,L-8229,49.6261,6.0205
191,Capellen,CA,Mamer,L-8230,49.628,6.0374
192,Capellen,CA,Mamer,L-8231,49.6341,6.0176
193,Capellen,CA,Mamer,L-8232,49.6249,6.0152
194,Capellen,CA,Mamer,L-8233,49.6255,6.0184
195,Capellen,CA,Mamer,L-8234,49.6273,6.0203
196,Capellen,CA,Mamer,L-8235,49.6349,6.0208
197,Capellen,CA,Mamer,L-8236,49.6348,6.0218
198,Capellen,CA,Mamer,L-8237,49.6307,6.0208
199,Capellen,CA,Mamer,L-8238,49.6295,6.0245
200,Capellen,CA,Mamer,L-8239,49.622,6.0264
201,Capellen,CA,Mamer,L-8240,49.6301,6.0229
202,Capellen,CA,Mamer,L-8241,49.6235,6.0098
203,Capellen,CA,Mamer,L-8242,49.6243,6.0107
204,Capellen,CA,Mamer,L-8243,49.6273,6.0166
205,Capellen,CA,Mamer,L-8244,49.6288,6.0366
206,Capellen,CA,Mamer,L-8245,49.6279,6.0276
207,Capellen,CA,Mamer,L-8246,49.632,6.0243
208,Capellen,CA,Mamer,L-8247,49.628,6.0224
209,Capellen,CA,Mamer,L-8248,49.6304,6.0202
210,Capellen,CA,Mamer,L-8249,49.627,6.0368
211,Capellen,CA,Mamer,L-8250,49.6299,6.0387
212,Capellen,CA,Mamer,L-8251,49.6314,6.046
213,Capellen,CA,Mamer,L-8252,49.6271,6.0238
214,Capellen,CA,Mamer,L-8253,49.6292,6.0407
215,Capellen,CA,Mamer,L-8254,49.6277,6.0214
216,Capellen,CA,Mamer,L-8255,49.6304,6.0356
217,Capellen,CA,Mamer,L-8258,49.6239,6.0334
218,Capellen,CA,Mamer,L-8259,49.633,6.0218
219,Capellen,CA,Mamer,L-8260,49.6251,6.0327
220,Capellen,CA,Mamer,L-8261,49.6238,6.0279
221,Capellen,CA,Mamer,L-8262,49.6286,6.0353
222,Capellen,CA,Mamer,L-8263,49.6273,6.0356
223,Capellen,CA,Mamer,L-8264,49.6344,6.0193
224,Capellen,CA,Mamer,L-8265,49.6293,6.0326
225,Capellen,CA,Mamer,L-8266,49.6268,6.0398
226,Capellen,CA,Mamer,L-8267,49.6324,6.0227
227,Capellen,CA,Mamer,L-8268,49.6218,6.035
228,Capellen,CA,Mamer,L-8269,49.6268,6.0245
229,Capellen,CA,Mamer,L-8270,49.6322,6.0193
230,Capellen,CA,Mamer,L-8271,49.6294,6.0348
231,Capellen,CA,Mamer,L-8272,49.63,6.0349
232,Capellen,CA,Mamer,L-8273,49.6307,6.0347
233,Capellen,CA,Holzem,L-8277,49.6164,5.9946
234,Capellen,CA,Holzem,L-8278,49.6168,5.9889
235,Capellen,CA,Holzem,L-8279,49.6166,5.9851
236,Capellen,CA,Capellen,L-8301,49.6411,6.0092
237,Capellen,CA,Capellen,L-8302,49.6411,6.0092
238,Capellen,CA,Capellen,L-8303,49.6411,6.0092
239,Capellen,CA,Capellen,L-8308,49.6411,6.0092
240,Capellen,CA,Holzem,L-8309,49.6357,5.9703
241,Capellen,CA,Capellen,L-8310,49.644,5.9935
242,Capellen,CA,Capellen,L-8311,49.6461,5.9784
243,Capellen,CA,Capellen,L-8313,49.6434,5.99
244,Capellen,CA,Capellen,L-8314,49.6465,5.9888
245,Capellen,CA,Capellen,L-8317,49.6454,5.9997
246,Capellen,CA,Capellen,L-8318,49.6447,5.9865
247,Capellen,CA,Capellen,L-8320,49.642,5.9827
248,Capellen,CA,Capellen,L-8323,49.6442,5.9991
249,Capellen,CA,Capellen,L-8325,49.6422,5.984
250,Capellen,CA,Capellen,L-8326,49.6431,6.0009
251,Capellen,CA,Capellen,L-8328,49.6438,5.9872
252,Capellen,CA,Capellen,L-8329,49.6426,6.0022
253,Capellen,CA,Capellen,L-8330,49.6453,5.9904
254,Capellen,CA,Capellen,L-8331,49.6468,5.9856
255,Capellen,CA,Capellen,L-8334,49.6432,5.9913
256,Capellen,CA,Capellen,L-8335,49.644,5.9953
257,Capellen,CA,Capellen,L-8336,49.6443,5.9892
258,Capellen,CA,Capellen,L-8337,49.6451,5.9987
259,Capellen,CA,Capellen,L-8345,49.6409,5.9829
260,Capellen,CA,Capellen,L-8348,49.6447,5.9825
261,Capellen,CA,Leesbach,L-8363,49.7051,5.9821
262,Capellen,CA,Greisch,L-8363,49.71,5.9875
263,Capellen,CA,Simmerfarm,L-8363,49.6962,5.9872
264,Capellen,CA,Simmerschmelz,L-8363,49.6942,5.9852
265,Capellen,CA,Septfontaines,L-8383,49.6851,5.9421
266,Capellen,CA,Septfontaines,L-8395,49.7005,5.9642
267,Capellen,CA,Septfontaines,L-8396,49.6999,5.9666
268,Capellen,CA,Roodt/Eisch,L-8398,49.693,6.0006
269,Capellen,CA,Grass,L-8346,49.6339,5.8935
270,Capellen,CA,Hagen,L-8347,49.6517,5.9212
271,Capellen,CA,Grass,L-8362,49.6312,5.8918
272,Capellen,CA,Hagen,L-8364,49.6527,5.9176
273,Capellen,CA,Hagen,L-8365,49.6489,5.9313
274,Capellen,CA,Hagen,L-8366,49.6531,5.9232
275,Capellen,CA,Hagen,L-8367,49.6499,5.9297
276,Capellen,CA,Hagen,L-8368,49.6516,5.92
277,Capellen,CA,Kleinbettingen,L-8378,49.6418,5.9156
278,Capellen,CA,Kleinbettingen,L-8379,49.647,5.9127
279,Capellen,CA,Kleinbettingen,L-8380,49.6447,5.9151
280,Capellen,CA,Kleinbettingen,L-8381,49.6478,5.9175
281,Capellen,CA,Grass,L-8389,49.6348,5.8923
282,Capellen,CA,Steinfort,L-8401,49.6589,5.9084
283,Capellen,CA,Steinfort,L-8410,49.6589,5.9084
284,Capellen,CA,Steinfort,L-8411,49.6621,5.9188
285,Capellen,CA,Steinfort,L-8412,49.6596,5.9089
286,Capellen,CA,Steinfort,L-8413,49.6612,5.9176
287,Capellen,CA,Steinfort,L-8414,49.6607,5.9121
288,Capellen,CA,Steinfort,L-8415,49.6637,5.9223
289,Capellen,CA,Steinfort,L-8416,49.659,5.9186
290,Capellen,CA,Steinfort,L-8420,49.6585,5.9157
291,Capellen,CA,Steinfort,L-8421,49.6561,5.9172
292,Capellen,CA,Steinfort,L-8422,49.6643,5.9177
293,Capellen,CA,Steinfort,L-8423,49.6614,5.9132
294,Capellen,CA,Steinfort,L-8424,49.6652,5.9171
295,Capellen,CA,Steinfort,L-8425,49.6548,5.916
296,Capellen,CA,Steinfort,L-8435,49.6594,5.9122
297,Capellen,CA,Steinfort,L-8436,49.6557,5.914
298,Capellen,CA,Steinfort,L-8437,49.6607,5.92
299,Capellen,CA,Steinfort,L-8438,49.6594,5.9122
300,Capellen,CA,Steinfort,L-8440,49.6596,5.9214
301,Capellen,CA,Steinfort,L-8441,49.6665,5.9204
302,Capellen,CA,Steinfort,L-8442,49.6592,5.9168
303,Capellen,CA,Steinfort,L-8443,49.6596,5.9136
304,Capellen,CA,Steinfort,L-8444,49.6586,5.9284
305,Capellen,CA,Steinfort,L-8445,49.6574,5.9131
306,Capellen,CA,Steinfort,L-8447,49.6628,5.9249
307,Capellen,CA,Steinfort,L-8448,49.6626,5.9215
308,Capellen,CA,Steinfort,L-8449,49.6644,5.9182
309,Capellen,CA,Steinfort,L-8450,49.6663,5.918
310,Capellen,CA,Steinfort,L-8451,49.6635,5.9171
311,Capellen,CA,Steinfort,L-8452,49.6638,5.9155
312,Capellen,CA,Steinfort,L-8453,49.6598,5.928
313,Capellen,CA,Linger,L-4795,49.5684,5.8855
314,Capellen,CA,Linger,L-4796,49.5639,5.8856
315,Capellen,CA,Linger,L-4797,49.5651,5.8859
