,USPS,ST,NAME,ZCTA5,LAT,LON
0,Aizkraukles Novads,01,Aizkraukles stacija,LV-5101,56.6048,25.2553
1,Aizkraukles Novads,01,Aizkraukle,LV-5101,56.6448,25.2299
2,Alūksnes Novads,02,Aizupītes,LV-4301,57.4183,27.0006
3,Alūksnes Novads,02,Alsviķi,LV-4333,57.4443,26.9381
4,Alūksnes Novads,02,Strautiņi,LV-4333,57.4061,26.8908
5,Alūksnes Novads,02,Pullans,LV-4333,57.4252,26.9145
6,Alūksnes Novads,02,Anna,LV-4341,57.3333,27.0333
7,Alūksnes Novads,02,Jaunzemi,LV-4344,57.3726,26.6758
8,Alūksnes Novads,02,Kolberģis,LV-4350,57.4387,27.1158
9,Alūksnes Novads,02,Beja,LV-4350,57.4005,27.2064
10,Alūksnes Novads,02,Jaunanna,LV-4340,57.2838,27.0684
11,Alūksnes Novads,02,Jaunlaicene,LV-4336,57.5272,26.8704
12,Alūksnes Novads,02,Kalncempji,LV-4342,57.3234,26.8856
13,Alūksnes Novads,02,Liepna,LV-4354,57.3432,27.4716
14,Alūksnes Novads,02,Brenci,LV-4359,57.362,27.1639
15,Alūksnes Novads,02,Sofikalns,LV-4358,57.3267,27.3127
16,Alūksnes Novads,02,Mālupe,LV-4358,57.3383,27.2346
17,Alūksnes Novads,02,Mārkalne,LV-4351,57.4912,27.1944
18,Alūksnes Novads,02,Pededze,LV-4352,57.4762,27.4402
19,Alūksnes Novads,02,Korneti,LV-4335,57.5933,26.9445
20,Alūksnes Novads,02,Zeltiņi,LV-4345,57.359,26.7771
21,Alūksnes Novads,02,Ziemeri,LV-4332,57.5334,27.0614
22,Alūksnes Novads,02,Māriņkalns,LV-4332,57.4875,26.9768
23,Balvu Novads,03,Centramuiža,LV-4501,57.1163,27.2589
24,Balvu Novads,03,Žaugupe,LV-4501,57.1466,27.3787
25,Balvu Novads,03,Vaņki,LV-4501,57.1466,27.3787
26,Balvu Novads,03,Verpuļeva,LV-4501,57.1466,27.3787
27,Balvu Novads,03,Stepjugabali,LV-4501,57.1466,27.3787
28,Balvu Novads,03,Lemešava,LV-4501,57.1466,27.3787
29,Balvu Novads,03,Salmaņi,LV-4501,57.1466,27.3787
30,Balvu Novads,03,Kārklinieki,LV-4561,57.0791,27.2258
31,Balvu Novads,03,Silamala,LV-4561,57.0939,27.17
