,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,10000,"""Sociālās aprūpes centrs Baldone"", SIA",Iecavas iela 4,Baldone,Baldones Novads,2125,,,,,,,56.7415269,24.3898382
1,10001,"""Veselības centrs 4"" diagnostikas centrs",Grebenščikova iela 1,Rīga,Rīga,1003,,,,,,,56.9387533,24.1378422
2,10002,Alūksnes poliklīnika,Vidus iela 1,Alūksne,Alūksnes Novads,4301,,,,,,,57.4238827,27.0483628
3,10003,Alūksnes slimnīca,Pils iela 1A,Alūksne,Alūksnes Novads,4301,,,,,,,57.4374993,27.0396445
4,10004,Bauskas poliklīnika,,Bauska,Bauskas Novads,3901,,,,,,,56.408451,24.1924727
5,10005,Bauskas slimnīca,,Bauska,Bauskas Novads,3901,,,,,,,56.4085785,24.1929338
6,10006,Bikur Holim slimnīca,,Rīga,Rīga,1003,,,,,,,56.9382371,24.1418098
7,10007,Bulduru Slimnīca,,Jūrmala,Jūrmala,2008,,,,,,,56.9814252,23.8589925
8,10008,"Bērnu psihoneiroloģiskā slimnīca ""Ainaži""",Krišjāņa Valdemāra iela 46,Ainaži,Salacgrīvas Novads,4035,,,,,,,57.863505,24.3572414
9,10009,Daugavpils psihoneiroloģiskā slimnīca,Lielā Dārza iela 60/62,Daugavpils,Daugavpils,5421,,+371 65402240,,,,,55.8743534,26.5565473
10,10010,Dobeles slimnīca,Ādama iela 2,Dobele,Dobeles Novads,3701,,,,,,,56.6224678,23.2679793
11,10011,Doktorāts,,Talsi,Talsu Novads,3201,,,,,,,57.2452692,22.5931703
12,10012,Dr. Vidža Zobārstniecība,,Jēkabpils,Jēkabpils,5202,,,,,,,56.5054779,25.8647911
13,10013,Gaiļezers,,Rīga,Rīga,1038,,,,,Yes,,56.9652262,24.2410987
14,10014,Jēkabpils Reģionālā slimnīca,Andreja Pormaļa iela 125,Jēkabpils,Jēkabpils,5201,,65237816,,,Yes,,56.496602,25.8415631
15,10015,Jēkabpils poliklīnika,,Jēkabpils,Jēkabpils,5202,,,,,,,56.4978359,25.8398261
16,10016,Kuldīgas slimnīca,Aizputes  iela 22,Kuldīga,Kuldīgas Novads,3301,,,,,,,56.9617892,21.9547235
17,10017,LJMC Centrāla slimnīca,Patversmes iela 27,Rīga,Rīga,1005,,,,,,,56.9893247,24.1361873
18,10018,LJMC Vecmīlgrāvja slimnīca un Ziemeļu diagnostikas centrs,Vecmīlgrāvja 5. līnija 26,Rīga,Rīga,1015,,+371 67098433,,,,,57.0327383,24.1113101
19,10019,Latvijas Infektoloģijas centrs,,Rīga,Rīga,1050,,,,,,,56.9779973,24.2034261
20,10020,Liepājas Reģionālā Slimnīca,Slimnīcas iela 25,Liepāja,Liepāja,3401,,,,,Yes,,56.5541824,21.0982055
21,10021,Ludzas poliklīnika,,Ludza,Ludzas Novads,5701,,,,,,,56.5422632,27.7122159
22,10022,Ludzas slimnīca,,Ludza,Ludzas Novads,5701,,,,,Yes,,56.543121,27.714591
23,10023,Ludzas slimnīca,,Ludza,Ludzas Novads,5701,,,,,Yes,,56.5424689,27.7135486
24,10024,Ogres poliklīnika,Slimnīcas iela 2,Ogre,Ogres Novads,5001,,,,,,,56.8194569,24.6195935
25,10025,Ogres rajona slimnīca,Slimnīcas iela 2,Ogre,Ogres Novads,5001,,,,,Yes,,56.8195375,24.6196125
26,10026,Paula Stradiņa Klīniskā universitātes slimnīca,Pilsoņu iela 13,Rīga,Rīga,1002,,,,,,,56.9334353,24.0679341
27,10027,Poliklīnika,,Jelgava,Jelgava,3004,,,,,No,,56.6467259,23.724577
28,10028,"Rehabilitācijas centrs ""Tērvete""",,Tērvete,Tērvetes Novads,3730,,,,,,,56.4849191,23.3919934
29,10029,Rīdzenes FVP,,Vaive,Cēsu Novads,4136,,,,,,,57.2620514,25.4311786
30,10030,Rīgas 1. slimnīca,,Rīga,Rīga,1011,,,,,,,56.9627022,24.1246718
31,10031,Rīgas dzemdību nams,,Rīga,Rīga,1013,,,,,,,56.9661305,24.1332566
32,10032,"Rīgas psihiatrijas un narkoloģijas centrs, Tiesu psihiatrisko ekspertīžu un piespiedu ārstēšanas centrs",Laktas iela 6,Rīga,Rīga,1013,,+371 67080201,,,No,,56.9795471,24.1420749
33,10033,Rīgas psihoneiroloģiskā slimnīca,Tvaika iela 2,Rīga,Rīga,1005,,67080112,,,,,56.9960982,24.1202586
34,10034,Saldus slimnīca,,Saldus,Saldus Novads,3801,,,,,,,56.6706797,22.4928361
35,10035,Sarkanā Krusta Smiltenes slimnīca,,Smiltene,Smiltenes Novads,4729,,,,,,,57.4254289,25.9147033
36,10036,Saulkrastu slimnīca,Ainažu iela 34,Saulkrasti,Saulkrastu Novads,2160,,,,,Yes,,57.273906,24.4165137
37,10037,Sedas ambulance,,Seda,Strenču Novads,4728,,,,,,,57.6522951,25.7536033
38,10038,Siguldas slimnīca,,Sigulda,Siguldas Novads,2150,,,,,,,57.1559852,24.8434995
