,USPS,ST,NAME,ZCTA5,LAT,LON
0,Attard,01,Attard,ATD,35.8917,14.4319
1,Balzan,02,Balzan,BZN,35.8972,14.4528
2,Il-Birgu,03,Birgu,BRG,35.8861,14.5242
3,Birkirkara,04,Birkirkara,BKR,35.8972,14.4653
4,Birżebbuġa,05,Birżebbuġa,BBG,35.8222,14.5228
5,Bormla,06,Bormla,BML,35.8806,14.5217
6,Dingli,07,Dingli,DGL,35.8597,14.3833
7,Il-Fgura,08,Fgura,FGR,35.8728,14.5203
8,Il-Furjana,09,Floriana,FRN,35.8917,14.5042
9,Il-Fontana,10,Fontana,FNT,36.0375,14.2361
10,Għajnsielem,11,Għajnsielem,GSM,36.0267,14.2861
11,Għajnsielem,11,Kemmuna,KMN,36.0267,14.2861
12,L-Għarb,12,Għarb,GRB,36.0681,14.2014
13,Ħal Għargħur,13,Għargħur,GHR,35.9236,14.455
14,L-Għasri,14,Għasri,GSR,36.0653,14.2217
15,Ħal Għaxaq,15,Għaxaq,GXQ,35.8458,14.5167
16,Il-Gudja,16,Gudja,GDJ,35.8514,14.5033
17,Il-Gżira,17,Gżira,GZR,35.9056,14.4928
18,Il-Ħamrun,18,Ħamrun,HMR,35.8869,14.4883
19,L-Iklin,19,Iklin,IKL,35.9097,14.4556
20,L-Imdina,20,Mdina,MDN,35.8872,14.4053
21,L-Imġarr,21,Mġarr,MGR,35.9194,14.3639
22,L-Imqabba,22,Mqabba,MQB,35.845,14.4675
23,L-Imsida,23,Msida,MSD,35.8986,14.4839
24,L-Imtarfa,24,Mtarfa,MTF,35.8906,14.3972
25,L-Isla,25,Isla,ISL,35.8878,14.5169
26,Il-Kalkara,26,Kalkara,KKR,35.8911,14.5328
27,Il-Kalkara,26,Smart City,SCM,35.8911,14.5328
28,Ta’ Kerċem,27,Kerċem,KCM,36.0439,14.2161
29,Kirkop,28,Kirkop,KKP,35.8442,14.4842
30,Lija,29,Lija,LJA,35.9014,14.4422
31,Luqa,30,Luqa,LQA,35.8597,14.4833
32,Il-Marsa,31,Marsa,MRS,35.8764,14.4922
33,Il-Marsa,31,MaltaPost,MTP,35.8764,14.4922
34,Marsaskala,32,Marsaskala,MSK,35.8606,14.5592
35,Marsaxlokk,33,Marsaxlokk,MXK,35.8417,14.5514
36,Il-Mellieħa,34,Mellieħa,MLH,35.9583,14.3514
37,Il-Mosta,35,Mosta,MST,35.9125,14.4208
38,Il-Munxar,36,Munxar,MXR,36.0292,14.2256
39,Il-Munxar,36,Xlendi,XLN,36.0292,14.2256
40,In-Nadur,37,Nadur,NDR,36.0486,14.2944
41,In-Naxxar,38,Naxxar,NXR,35.9333,14.4375
42,Paola,39,Paola,PLA,35.8736,14.5061
43,Pembroke,40,Pembroke,PBK,35.9306,14.4764
44,Tal-Pietà,41,Pietà,PTA,35.8925,14.4939
45,Il-Qala,42,Qala,QLA,36.0375,14.3167
46,Qormi,43,Qormi,QRM,35.8792,14.4667
47,Il-Qrendi,44,Qrendi,QRD,35.8319,14.4514
48,Ir-Rabat,45,Rabat,RBT,35.8826,14.3978
49,Victoria,46,Victoria,VCT,36.0453,14.2417
50,Safi,47,Safi,SFI,35.8347,14.4917
51,Safi,47,Safi,SFI,35.8347,14.4917
52,Saint John,48,San Ġwann,SGN,35.9089,14.475
53,Saint John,48,San Ġwann,SGN,35.9089,14.475
54,Saint John,48,San Ġwann,SGN,35.9089,14.475
55,Saint John,48,San Ġwann,SGN,35.9089,14.475
56,Saint John,48,San Ġwann,SGN,35.9089,14.475
57,Saint Julian's,49,Saint Julians,STJ,35.9172,14.4894
58,Saint Lawrence,50,San Lawrenz,SLZ,36.0486,14.1978
59,Saint Lucia,51,Santa Luċija,SLC,35.8617,14.5064
60,Saint Paul’s Bay,52,Saint Paul's Bay,SPB,35.9375,14.3986
61,Saint Venera,53,Santa Venera,SVR,35.8903,14.4778
62,Sannat,54,Sannat,SNT,36.0231,14.2514
63,Is-Siġġiewi,55,Siġġiewi,SGW,35.8486,14.4264
64,Tas-Sliema,56,Sliema,SLM,35.9125,14.5022
65,Is-Swieqi,57,Swieqi,SWQ,35.9217,14.4694
66,Tarxien,58,Tarxien,TXN,35.8667,14.5131
67,Ta’ Xbiex,59,Ta' Xbiex,XBX,35.8994,14.4961
68,Il-Belt Valletta,60,Valletta,VLT,35.8983,14.5125
69,Ix-Xagħra,61,Xagħra,XRA,36.0542,14.2667
70,Ix-Xewkija,62,Xewkija,XWK,36.0333,14.2611
71,Ix-Xgħajra,63,Xgħajra,XJR,35.8847,14.5486
72,Ħaż-Żabbar,64,Żabbar,ZBR,35.875,14.5417
73,Ħaż-Żebbuġ,65,Żebbuġ,ZBG,35.8736,14.4361
74,Iż-Żebbuġ,66,Marsalforn,MFN,36.0667,14.2444
75,Iż-Żebbuġ,66,Żebbuġ,ZBB,36.0667,14.2444
76,Iż-Żejtun,67,Żejtun,ZTN,35.8578,14.5333
77,Iż-Żurrieq,68,Żurrieq,ZRQ,35.8222,14.4833
