,USPS,ST,NAME,ZCTA5,LAT,LON
0,Drenthe,01,Assen,9401,52.9938,6.5623
1,Drenthe,01,Assen,9402,53.0043,6.5594
2,Drenthe,01,Assen,9403,53.0145,6.5862
3,Drenthe,01,Assen,9404,52.9868,6.5763
4,Drenthe,01,Assen,9405,52.9863,6.5293
5,Drenthe,01,Assen,9406,53.0022,6.5433
6,Drenthe,01,Assen,9407,53.0177,6.5614
7,Drenthe,01,Assen,9408,53.0031,6.5116
8,Drenthe,01,Loon,9409,53.0131,6.6118
9,Drenthe,01,Rhee,9486,53.0336,6.571
10,Drenthe,01,Ter Aard,9487,53.0271,6.5446
11,Drenthe,01,Zeijerveld,9488,53.0336,6.5193
12,Drenthe,01,Zeijerveen,9489,53.0135,6.521
13,Drenthe,01,Ubbena,9492,53.0494,6.5794
14,Drenthe,01,Coevorden,7741,52.6665,6.7349
15,Drenthe,01,Coevorden,7742,52.6587,6.7543
16,Drenthe,01,Dalen,7751,52.6928,6.7573
17,Drenthe,01,Dalerpeel,7753,52.6811,6.6613
18,Drenthe,01,Wachtum,7754,52.725,6.748
19,Drenthe,01,Dalerveen,7755,52.694,6.8086
20,Drenthe,01,Stieltjeskanaal,7756,52.6747,6.8123
21,Drenthe,01,Sleen,7841,52.7696,6.8016
22,Drenthe,01,Diphoorn,7842,52.7706,6.8183
23,Drenthe,01,Erm,7843,52.7484,6.8084
24,Drenthe,01,Holsloot,7845,52.7225,6.8055
25,Drenthe,01,Noord-Sleen,7846,52.7914,6.8021
26,Drenthe,01,'t Haantje,7847,52.8143,6.8254
27,Drenthe,01,Schoonoord,7848,52.8443,6.7566
28,Drenthe,01,De Kiel,7849,52.8625,6.7444
29,Drenthe,01,Zweeloo,7851,52.7975,6.7328
30,Drenthe,01,Wezup,7852,52.8145,6.7187
31,Drenthe,01,Wezuperbrug,7853,52.8406,6.7256
32,Drenthe,01,Aalden,7854,52.7935,6.7139
33,Drenthe,01,Meppen,7855,52.7822,6.6911
34,Drenthe,01,Benneveld,7856,52.7754,6.7474
35,Drenthe,01,Oosterhesselen,7861,52.7547,6.7221
36,Drenthe,01,Gees,7863,52.7485,6.6893
37,Drenthe,01,Zwinderen,7864,52.7235,6.6735
38,Drenthe,01,Geesbrug,7917,52.7287,6.6277
39,Drenthe,01,Nieuwlande Coevorden,7929,52.7003,6.6341
40,Drenthe,01,Schoonebeek,7761,52.6646,6.8832
41,Drenthe,01,Zandpol,7764,52.6939,6.8642
42,Drenthe,01,Weiteveen,7765,52.6721,6.9897
43,Drenthe,01,Nieuw-Schoonebeek,7766,52.6476,6.9892
44,Drenthe,01,Emmen,7811,52.7829,6.8955
45,Drenthe,01,Emmen,7812,52.7641,6.8863
46,Drenthe,01,Emmen,7813,52.7565,6.8656
47,Drenthe,01,Emmen,7814,52.8013,6.8984
48,Drenthe,01,Emmen,7815,52.7981,6.8935
49,Drenthe,01,Emmen,7821,52.7707,6.912
50,Drenthe,01,Emmen,7822,52.7909,6.9045
51,Drenthe,01,Emmen,7823,52.792,6.9385
52,Drenthe,01,Emmen,7824,52.7808,6.9298
53,Drenthe,01,Emmen,7825,52.7562,6.9349
54,Drenthe,01,Emmen,7826,52.7714,6.9589
55,Drenthe,01,Emmen,7827,52.7476,6.8901
56,Drenthe,01,Emmen,7828,52.7329,6.9078
57,Drenthe,01,Nieuw-Weerdinge,7831,52.8526,6.98
58,Drenthe,01,Nieuw-Amsterdam,7833,52.7124,6.8599
59,Drenthe,01,Veenoord,7844,52.711,6.8479
60,Drenthe,01,Emmer-Compascuum,7881,52.8089,7.0344
