,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,10000,ADRZ,nan nan,,,,,+31 88 1250000,,,Yes,,51.4844179,3.9076052
1,10001,Advent Hospital,Groot Davelaarweg 1,Curacao,,,,+5999 737 0611,,,,,12.120244,-68.9040685
2,10002,"Albert Schweitzer Ziekenhuis, loc. Dordwijk",nan nan,Dordrecht,Zuid-Holland,3311 JA,,(078) 654 11 11,,,Yes,,51.7912601,4.6794905
3,10003,Alrijne Ziekenhuis,nan nan,Leiderdorp,Zuid-Holland,2351,,,,,,,52.1553499,4.5408376
4,10004,Alrijne Ziekenhuis,nan nan,Leiden,Zuid-Holland,2334,,,,,,,52.1736222,4.4807211
5,10005,Amphia Ziekenhuis Locatie Molengracht,Molengracht 21,Breda,Noord-Brabant,4811,,,,,,,51.5840617,4.7954843
6,10006,"Amphia Ziekenhuis, Locatie Langedijk",Langendijk 75,Breda,Noord-Brabant,4811,,+76 595 5000,,,,,51.5753425,4.7640854
7,10007,"Amphia Ziekenhuis, Locatie Pasteurlaan",Pasteurlaan 9,Oosterhout,Noord-Brabant,4901 KC,,,,,,,51.6476689,4.871152
8,10008,Amsterdam UMC - locatie VUMC,De Boelelaan 1117,Amsterdam,Noord-Holland,1082,,,,,,,52.3368182,4.858402
9,10009,Amsterdam UMC locatie AMC,Meibergdreef 9,Amsterdam,Noord-Holland,1102,,,,,Yes,,52.2938649,4.9497018
10,10010,Basalt Revalidatiecentrum,nan nan,Leiden,Zuid-Holland,2333,,,,,,,52.1697278,4.4691982
11,10011,Beatrixziekenhuis,nan nan,Gorinchem,Zuid-Holland,4201 HJ,,,,,,,51.8401003,4.9552317
12,10012,Bernhoven,nan nan,,,,,,,,,,51.6720866,5.6060862
13,10013,Bethesda,nan nan,Hoogeveen,Drenthe,7901 BK,,,,,,,52.7273353,6.460551
14,10014,BovenIJ Ziekenhuis,nan nan,Amsterdam,Noord-Holland,1025,,,,,,,52.4050181,4.9208111
15,10015,Canisius-Wilhelmina Ziekenhuis,Weg door Jonkerbos 100,Nijmegen,Gelderland,6532,,+31243657657,,,Yes,,51.8186865,5.8326534
16,10016,Catharina Ziekenhuis,Michelangelolaan 2,Eindhoven,Noord-Brabant,5623 BA,,,,,Yes,,51.4644195,5.4694144
17,10017,Cruquiushoeve,nan nan,,,,,,,,No,,52.3302143,4.6482895
18,10018,Curaçao Medical Center,J. H. J. Hamelbergweg nan,Curacao,,,,+599 9 745 0000,,,Yes,,12.110434,-68.9426995
19,10019,De Canha Physical Therapy,Dokter W. P. Maalweg nan,Curacao,,,,,,,,,12.1055343,-68.9041058
20,10020,Delta Ziekenhuis,nan nan,,,,,,,,,,51.8464042,4.3917481
21,10021,Deventer Ziekenhuis,Nico Bolkesteinlaan 75,,,,,+570 53 53 53,,,Yes,,52.2627765,6.189377
22,10022,Dijklander Ziekenhuis,Maelsonstraat 3,Hoorn,Noord-Holland,1621 JX,,,,,Yes,,52.6471812,5.0552318
23,10023,Doornbos Fysio Groep,Abdijstraat 26,Breda,Noord-Brabant,4811,,+31 76 572 00 57,,,No,,51.5987116,4.7956926
24,10024,Dr. Horacio Oduber Hospital,Dr Horacio Oduber Boulevard 1,,,,,+297 527 4000,,,Yes,,12.5432798,-70.0602569
25,10025,EHBO building,nan nan,Botlek,Zuid-Holland,3197,,,,,,,51.8734753,4.2556009
26,10026,ETZ Elisabeth ziekenhuis,nan nan,Tilburg,Noord-Brabant,5018,,,,,Yes,,51.540021,5.101123
27,10027,ETZ TweeSteden ziekenhuis,Doctor Deelenlaan 5,Tilburg,Noord-Brabant,5018,,,,,,,51.5789916,5.056798
28,10028,Erasmus MC Daniel den Hoed,nan nan,Rotterdam,Zuid-Holland,3074 LS,,,,,,,51.8861095,4.5034912
29,10029,Erasmus Medisch Centrum,Dokter Molewaterplein 40,Rotterdam,Zuid-Holland,3012 VA,,+31 107040704,,,Yes,,51.9121723,4.4668569
30,10030,Flevoziekenhuis,nan nan,Almere-Stad,Flevoland,1315,,,,,Yes,,52.3681365,5.2228711
31,10031,Fundashon Mariadal,Kaya Soeur Bartola nan,Bonaire,,,,,,,Yes,,12.1546622,-68.2749353
32,10032,GGD Den Haag,Westeinde 128,Den Haag,Zuid-Holland,2511 AH,,14 070,,,,,52.0753913,4.3018915
33,10033,GGZ Centraal / Fornhese,Horsterweg 130,,,,,,,,No,,52.3058205,5.6091141
34,10034,GGZ Delfland,nan nan,Delft,Zuid-Holland,2611 RV,,,,,,,52.0202132,4.3608398
35,10035,GGZ Rivierduinen,nan nan,,,,,,,,,,52.1720971,4.4580431
36,10036,GGZ Rivierduinen,nan nan,,,,,,,,,,52.1753359,4.4664676
37,10037,"Gelre Apeldoorn, Lukas",Albert Schweitzerlaan 31,Apeldoorn,Gelderland,7311 LW,,055 581 81 81,,,,,52.1816343,5.9444701
38,10038,Gelre Zutphen,nan nan,Zutphen,Gelderland,7201,,,,,,,52.1219588,6.2162075
39,10039,Gezondheidscentrum Het Noorderdok,nan nan,Almere-Stad,Flevoland,1315,,,,,,,52.3892951,5.1750391
40,10040,HMC Bronovo,Bronovolaan 5,Den Haag,Zuid-Holland,2596,,070-3124141,,,Yes,,52.1013863,4.3183272
41,10041,HMC Westeinde,Lijnbaan 32,Den Haag,Zuid-Holland,2511 AH,,,,,Yes,,52.0745127,4.2986074
42,10042,HagaZiekenhuis locatie Leyweg,Els Borst-Eilersplein 275,Den Haag,Zuid-Holland,2547 LE,,070 210 0000,,,Yes,,52.0568138,4.2620612
