,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,20000,ADRZ,nan nan,,,,,+31 88 1250000,,,Yes,,51.4844179,3.9076052
2,20002,"Albert Schweitzer Ziekenhuis, loc. Dordwijk",nan nan,Dordrecht,Zuid-Holland,3311 JA,,(078) 654 11 11,,,Yes,,51.7912601,4.6794905
9,20009,Amsterdam UMC locatie AMC,Meibergdreef 9,Amsterdam,Noord-Holland,1102,,,,,Yes,,52.2938649,4.9497018
15,20015,Canisius-Wilhelmina Ziekenhuis,Weg door Jonkerbos 100,Nijmegen,Gelderland,6532,,+31243657657,,,Yes,,51.8186865,5.8326534
16,20016,Catharina Ziekenhuis,Michelangelolaan 2,Eindhoven,Noord-Brabant,5623 BA,,,,,Yes,,51.4644195,5.4694144
18,20018,Curaçao Medical Center,J. H. J. Hamelbergweg nan,Curacao,,,,+599 9 745 0000,,,Yes,,12.110434,-68.9426995
21,20021,Deventer Ziekenhuis,Nico Bolkesteinlaan 75,,,,,+570 53 53 53,,,Yes,,52.2627765,6.189377
22,20022,Dijklander Ziekenhuis,Maelsonstraat 3,Hoorn,Noord-Holland,1621 JX,,,,,Yes,,52.6471812,5.0552318
24,20024,Dr. Horacio Oduber Hospital,Dr Horacio Oduber Boulevard 1,,,,,+297 527 4000,,,Yes,,12.5432798,-70.0602569
26,20026,ETZ Elisabeth ziekenhuis,nan nan,Tilburg,Noord-Brabant,5018,,,,,Yes,,51.540021,5.101123
29,20029,Erasmus Medisch Centrum,Dokter Molewaterplein 40,Rotterdam,Zuid-Holland,3012 VA,,+31 107040704,,,Yes,,51.9121723,4.4668569
30,20030,Flevoziekenhuis,nan nan,Almere-Stad,Flevoland,1315,,,,,Yes,,52.3681365,5.2228711
31,20031,Fundashon Mariadal,Kaya Soeur Bartola nan,Bonaire,,,,,,,Yes,,12.1546622,-68.2749353
40,20040,HMC Bronovo,Bronovolaan 5,Den Haag,Zuid-Holland,2596,,070-3124141,,,Yes,,52.1013863,4.3183272
41,20041,HMC Westeinde,Lijnbaan 32,Den Haag,Zuid-Holland,2511 AH,,,,,Yes,,52.0745127,4.2986074
42,20042,HagaZiekenhuis locatie Leyweg,Els Borst-Eilersplein 275,Den Haag,Zuid-Holland,2547 LE,,070 210 0000,,,Yes,,52.0568138,4.2620612
45,20045,Huisartsenpost Zevenaar,nan nan,Zevenaar,Gelderland,6901 HK,,0900-1598,,,Yes,,51.9430275,6.0696315
49,20049,Isala,Dokter van Heesweg 2,Zwolle,Overijssel,8021 DB,,+3138424500,,,Yes,,52.5137535,6.1205668
50,20050,Isala Diaconessenhuis,nan nan,Meppel,Drenthe,7941 LT,,,,,Yes,,52.6913555,6.214955
52,20052,Leids Universitair Medisch Centrum,Albinusdreef 2,Leiden,Zuid-Holland,2333,,+31 71 5269111,,,Yes,,52.1670801,4.4744932
58,20058,Maasstad Ziekenhuis,Maasstadweg 21,Rotterdam,Zuid-Holland,3078,,,,,Yes,,51.877952,4.5350041
61,20061,Martini Ziekenhuis,Van Swietenplein 1,Groningen,Groningen,9728 LV,,+31 050 524 5245,,,Yes,,53.191022,6.5486747
62,20062,Medisch Centrum Leeuwarden,nan nan,Leeuwarden,Friesland,8911,,+31 58 2866666,,,Yes,,53.1902029,5.8004441
64,20064,Medisch Spectrum Twente,Koningsplein 1,Enschede,Overijssel,7514,,+3153 487 2000,,,Yes,,52.2171957,6.8904235
66,20066,Nij Smellinghe,nan nan,,,,,,,,Yes,,53.0980406,6.1094675
68,20068,Noordwest Ziekenhuisgroep,Huisduinerweg 5,,,,,,,,Yes,,52.9585218,4.7448203
69,20069,Noordwest Ziekenhuisgroep locatie Alkmaar,Wilhelminalaan 131,Alkmaar,Noord-Holland,1811,,,,,Yes,,52.6264921,4.7347704
82,20082,Reinier de Graaf Gasthuis,Reinier de Graafweg 5,Delft,Zuid-Holland,2611 RV,,+31 15 2603060,,,Yes,,51.9983595,4.339429
84,20084,Rijnstate Arnhem,Wagnerlaan 55,Arnhem,Gelderland,6811 JE,,+3188 055 8888,,,Yes,,52.0019291,5.9079105
86,20086,Rode Kruis Ziekenhuis,nan nan,Beverwijk,Noord-Holland,1941 HB,,,,,Yes,,52.478673,4.6517641
87,20087,Röpcke-Zweers Ziekenhuis,nan nan,Hardenberg,Overijssel,7772 CE,,,,,Yes,,52.5740127,6.6315538
