ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WHITE,HISPANIC,BLACK,ASIAN,NATIVE,OTHER,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGREE
1,1,Aksdal,Rogaland,0,Aksdal,0,.5,.5,1.0,0.0,0.0,0.0,0.0,0.0,0.06512,0.06512,0.06512,0.06512,0.03409,0.04357,0.05467,0.06353,0.07463,0.06111,0.08078,0.07079,0.06575,0.06515,0.05345,0.03086,0.02158,0.01956,0.1082,0.0235,0.1019,0.145,0.2281,0.2457,0.0807,0.0346,0.0231,0.0092,0.242,0.272,0.126,0.36
2,2,Alta,Troms Og Finnmark,12077,Alta,12077,.5,.5,1.0,0.0,0.0,0.0,0.0,0.0,0.06512,0.06512,0.06512,0.06512,0.03409,0.04357,0.05467,0.06353,0.07463,0.06111,0.08078,0.07079,0.06575,0.06515,0.05345,0.03086,0.02158,0.01956,0.1082,0.0235,0.1019,0.145,0.2281,0.2457,0.0807,0.0346,0.0231,0.0092,0.242,0.272,0.126,0.36
3,3,Alvdal,Innlandet,677,Alvdal,677,.5,.5,1.0,0.0,0.0,0.0,0.0,0.0,0.06512,0.06512,0.06512,0.06512,0.03409,0.04357,0.05467,0.06353,0.07463,0.06111,0.08078,0.07079,0.06575,0.06515,0.05345,0.03086,0.02158,0.01956,0.1082,0.0235,0.1019,0.145,0.2281,0.2457,0.0807,0.0346,0.0231,0.0092,0.242,0.272,0.126,0.36
4,4,Andebu,Vestfold Og Telemark,0,Andebu,0,.5,.5,1.0,0.0,0.0,0.0,0.0,0.0,0.06512,0.06512,0.06512,0.06512,0.03409,0.04357,0.05467,0.06353,0.07463,0.06111,0.08078,0.07079,0.06575,0.06515,0.05345,0.03086,0.02158,0.01956,0.1082,0.0235,0.1019,0.145,0.2281,0.2457,0.0807,0.0346,0.0231,0.0092,0.242,0.272,0.126,0.36
5,5,Andenes,Nordland,2766,Andenes,2766,.5,.5,1.0,0.0,0.0,0.0,0.0,0.0,0.06512,0.06512,0.06512,0.06512,0.03409,0.04357,0.05467,0.06353,0.07463,0.06111,0.08078,0.07079,0.06575,0.06515,0.05345,0.03086,0.02158,0.01956,0.1082,0.0235,0.1019,0.145,0.2281,0.2457,0.0807,0.0346,0.0231,0.0092,0.242,0.272,0.126,0.36
7,7,Arendal,Agder,30916,Arendal,30916,.5,.5,1.0,0.0,0.0,0.0,0.0,0.0,0.06512,0.06512,0.06512,0.06512,0.03409,0.04357,0.05467,0.06353,0.07463,0.06111,0.08078,0.07079,0.06575,0.06515,0.05345,0.03086,0.02158,0.01956,0.1082,0.0235,0.1019,0.145,0.2281,0.2457,0.0807,0.0346,0.0231,0.0092,0.242,0.272,0.126,0.36
8,8,Ask,Viken,1038,Ask,1038,.5,.5,1.0,0.0,0.0,0.0,0.0,0.0,0.06512,0.06512,0.06512,0.06512,0.03409,0.04357,0.05467,0.06353,0.07463,0.06111,0.08078,0.07079,0.06575,0.06515,0.05345,0.03086,0.02158,0.01956,0.1082,0.0235,0.1019,0.145,0.2281,0.2457,0.0807,0.0346,0.0231,0.0092,0.242,0.272,0.126,0.36
9,9,Asker,Viken,60926,Asker,60926,.5,.5,1.0,0.0,0.0,0.0,0.0,0.0,0.06512,0.06512,0.06512,0.06512,0.03409,0.04357,0.05467,0.06353,0.07463,0.06111,0.08078,0.07079,0.06575,0.06515,0.05345,0.03086,0.02158,0.01956,0.1082,0.0235,0.1019,0.145,0.2281,0.2457,0.0807,0.0346,0.0231,0.0092,0.242,0.272,0.126,0.36
10,10,Askim,Viken,12482,Askim,12482,.5,.5,1.0,0.0,0.0,0.0,0.0,0.0,0.06512,0.06512,0.06512,0.06512,0.03409,0.04357,0.05467,0.06353,0.07463,0.06111,0.08078,0.07079,0.06575,0.06515,0.05345,0.03086,0.02158,0.01956,0.1082,0.0235,0.1019,0.145,0.2281,0.2457,0.0807,0.0346,0.0231,0.0092,0.242,0.272,0.126,0.36
11,11,Askvoll,Vestland,0,Askvoll,0,.5,.5,1.0,0.0,0.0,0.0,0.0,0.0,0.06512,0.06512,0.06512,0.06512,0.03409,0.04357,0.05467,0.06353,0.07463,0.06111,0.08078,0.07079,0.06575,0.06515,0.05345,0.03086,0.02158,0.01956,0.1082,0.0235,0.1019,0.145,0.2281,0.2457,0.0807,0.0346,0.0231,0.0092,0.242,0.272,0.126,0.36
