FIPS_CODE,COUNTY_CODE,COUNTY,ST,STATE,FOOD_INSECURITY,SEVERE_HOUSING_COST_BURDEN,UNEMPLOYED,NO_VEHICLE_ACCESS,UNINSURED
0,0,Aksdal,14,Rogaland,0.15,0.15,0.1,0.15,0.1
1,1,Alta,54,Troms Og Finnmark,0.15,0.15,0.1,0.15,0.1
2,2,Alvdal,34,Innlandet,0.15,0.15,0.1,0.15,0.1
3,3,Andebu,38,Vestfold Og Telemark,0.15,0.15,0.1,0.15,0.1
4,4,Andenes,09,Nordland,0.15,0.15,0.1,0.15,0.1
5,5,Arendal,42,Agder,0.15,0.15,0.1,0.15,0.1
6,6,Ask,30,Viken,0.15,0.15,0.1,0.15,0.1
7,7,Asker,30,Viken,0.15,0.15,0.1,0.15,0.1
8,8,Askim,30,Viken,0.15,0.15,0.1,0.15,0.1
9,9,Askvoll,46,Vestland,0.15,0.15,0.1,0.15,0.1
10,10,Aukra,08,Møre Og Romsdal,0.15,0.15,0.1,0.15,0.1
11,11,Auli,30,Viken,0.15,0.15,0.1,0.15,0.1
12,12,Aurdal,34,Innlandet,0.15,0.15,0.1,0.15,0.1
13,13,Aure,08,Møre Og Romsdal,0.15,0.15,0.1,0.15,0.1
14,14,Austrheim,46,Vestland,0.15,0.15,0.1,0.15,0.1
15,15,Bagn,34,Innlandet,0.15,0.15,0.1,0.15,0.1
16,16,Balestrand,46,Vestland,0.15,0.15,0.1,0.15,0.1
17,17,Ballangen,09,Nordland,0.15,0.15,0.1,0.15,0.1
18,18,Ballstad,09,Nordland,0.15,0.15,0.1,0.15,0.1
19,19,Bangsund,21,Trøndelag,0.15,0.15,0.1,0.15,0.1
20,20,Barkåker,38,Vestfold Og Telemark,0.15,0.15,0.1,0.15,0.1
21,21,Batnfjordsøra,08,Møre Og Romsdal,0.15,0.15,0.1,0.15,0.1
22,22,Beisfjord,09,Nordland,0.15,0.15,0.1,0.15,0.1
23,23,Bergen,46,Vestland,0.15,0.15,0.1,0.15,0.1
24,24,Berger,30,Viken,0.15,0.15,0.1,0.15,0.1
25,25,Berlevåg,54,Troms Og Finnmark,0.15,0.15,0.1,0.15,0.1
26,26,Billingstad,30,Viken,0.15,0.15,0.1,0.15,0.1
27,27,Birkeland,42,Agder,0.15,0.15,0.1,0.15,0.1
28,28,Bjerkvik,09,Nordland,0.15,0.15,0.1,0.15,0.1
29,29,Bjørkelangen,30,Viken,0.15,0.15,0.1,0.15,0.1
30,30,Bjørnevatn,54,Troms Og Finnmark,0.15,0.15,0.1,0.15,0.1
31,31,Bodø,09,Nordland,0.15,0.15,0.1,0.15,0.1
32,32,Bogen,09,Nordland,0.15,0.15,0.1,0.15,0.1
33,33,Bokn,14,Rogaland,0.15,0.15,0.1,0.15,0.1
34,34,Borkenes,54,Troms Og Finnmark,0.15,0.15,0.1,0.15,0.1
35,35,Brattvåg,08,Møre Og Romsdal,0.15,0.15,0.1,0.15,0.1
36,36,Breivikbotn,54,Troms Og Finnmark,0.15,0.15,0.1,0.15,0.1
37,37,Brekstad,21,Trøndelag,0.15,0.15,0.1,0.15,0.1
38,38,Brumunddal,34,Innlandet,0.15,0.15,0.1,0.15,0.1
39,39,Bryne,14,Rogaland,0.15,0.15,0.1,0.15,0.1
40,40,Brønnøysund,09,Nordland,0.15,0.15,0.1,0.15,0.1
41,41,Brøstadbotn,54,Troms Og Finnmark,0.15,0.15,0.1,0.15,0.1
42,42,Bud,08,Møre Og Romsdal,0.15,0.15,0.1,0.15,0.1
43,43,Burfjord,54,Troms Og Finnmark,0.15,0.15,0.1,0.15,0.1
44,44,Bygland,42,Agder,0.15,0.15,0.1,0.15,0.1
45,45,Båtsfjord,54,Troms Og Finnmark,0.15,0.15,0.1,0.15,0.1
46,46,Bø,38,Vestfold Og Telemark,0.15,0.15,0.1,0.15,0.1
47,47,Børsa,21,Trøndelag,0.15,0.15,0.1,0.15,0.1
48,48,Dale,46,Vestland,0.15,0.15,0.1,0.15,0.1
49,49,Dale,34,Innlandet,0.15,0.15,0.1,0.15,0.1
50,50,Dalen,38,Vestfold Og Telemark,0.15,0.15,0.1,0.15,0.1
51,51,Dokka,34,Innlandet,0.15,0.15,0.1,0.15,0.1
52,52,Dombås,34,Innlandet,0.15,0.15,0.1,0.15,0.1
53,53,Dovre,34,Innlandet,0.15,0.15,0.1,0.15,0.1
54,54,Drammen,30,Viken,0.15,0.15,0.1,0.15,0.1
55,55,Drøbak,30,Viken,0.15,0.15,0.1,0.15,0.1
56,56,Egersund,14,Rogaland,0.15,0.15,0.1,0.15,0.1
57,57,Eide,08,Møre Og Romsdal,0.15,0.15,0.1,0.15,0.1
58,58,Eidfjord,46,Vestland,0.15,0.15,0.1,0.15,0.1
59,59,Eidsvoll,30,Viken,0.15,0.15,0.1,0.15,0.1
60,60,Eidsvåg,08,Møre Og Romsdal,0.15,0.15,0.1,0.15,0.1
61,61,Eikelandsosen,46,Vestland,0.15,0.15,0.1,0.15,0.1
62,62,Eina,34,Innlandet,0.15,0.15,0.1,0.15,0.1
63,63,Eivindvik,46,Vestland,0.15,0.15,0.1,0.15,0.1
64,64,Elnesvågen,08,Møre Og Romsdal,0.15,0.15,0.1,0.15,0.1
65,65,Elverum,34,Innlandet,0.15,0.15,0.1,0.15,0.1
66,66,Engerdal,34,Innlandet,0.15,0.15,0.1,0.15,0.1
67,67,Espeland,46,Vestland,0.15,0.15,0.1,0.15,0.1
68,68,Etne,46,Vestland,0.15,0.15,0.1,0.15,0.1
69,69,Evenskjer,54,Troms Og Finnmark,0.15,0.15,0.1,0.15,0.1
70,70,Evje,42,Agder,0.15,0.15,0.1,0.15,0.1
71,71,Fagernes,34,Innlandet,0.15,0.15,0.1,0.15,0.1
72,72,Fagerstrand,30,Viken,0.15,0.15,0.1,0.15,0.1
73,73,Farsund,42,Agder,0.15,0.15,0.1,0.15,0.1
74,74,Fauske,09,Nordland,0.15,0.15,0.1,0.15,0.1
75,75,Fedje,46,Vestland,0.15,0.15,0.1,0.15,0.1
76,76,Fetsund,30,Viken,0.15,0.15,0.1,0.15,0.1
77,77,Fevik,42,Agder,0.15,0.15,0.1,0.15,0.1
78,78,Finnsnes,54,Troms Og Finnmark,0.15,0.15,0.1,0.15,0.1
79,79,Fiskå,08,Møre Og Romsdal,0.15,0.15,0.1,0.15,0.1
80,80,Fitjar,46,Vestland,0.15,0.15,0.1,0.15,0.1
81,81,Fjellstrand,30,Viken,0.15,0.15,0.1,0.15,0.1
82,82,Fjerdingby,30,Viken,0.15,0.15,0.1,0.15,0.1
83,83,Flateby,30,Viken,0.15,0.15,0.1,0.15,0.1
84,84,Flekkefjord,42,Agder,0.15,0.15,0.1,0.15,0.1
85,85,Flisa,34,Innlandet,0.15,0.15,0.1,0.15,0.1
86,86,Florø,46,Vestland,0.15,0.15,0.1,0.15,0.1
87,87,Flå,30,Viken,0.15,0.15,0.1,0.15,0.1
88,88,Folldal,34,Innlandet,0.15,0.15,0.1,0.15,0.1
89,89,Follebu,34,Innlandet,0.15,0.15,0.1,0.15,0.1
90,90,Forsand,14,Rogaland,0.15,0.15,0.1,0.15,0.1
91,91,Fosnavåg,08,Møre Og Romsdal,0.15,0.15,0.1,0.15,0.1
92,92,Fosser,30,Viken,0.15,0.15,0.1,0.15,0.1
93,93,Fredrikstad,30,Viken,0.15,0.15,0.1,0.15,0.1
94,94,Frekhaug,46,Vestland,0.15,0.15,0.1,0.15,0.1
95,95,Frogner,30,Viken,0.15,0.15,0.1,0.15,0.1
96,96,Frosta,21,Trøndelag,0.15,0.15,0.1,0.15,0.1
97,97,Fyresdal,38,Vestfold Og Telemark,0.15,0.15,0.1,0.15,0.1
98,98,Førde,46,Vestland,0.15,0.15,0.1,0.15,0.1
99,99,Gaupne,46,Vestland,0.15,0.15,0.1,0.15,0.1
100,100,Geilo,30,Viken,0.15,0.15,0.1,0.15,0.1
101,101,Gjerstad,42,Agder,0.15,0.15,0.1,0.15,0.1
102,102,Gjøvik,34,Innlandet,0.15,0.15,0.1,0.15,0.1
103,103,Glomfjord,09,Nordland,0.15,0.15,0.1,0.15,0.1
104,104,Gol,30,Viken,0.15,0.15,0.1,0.15,0.1
105,105,Granvin,46,Vestland,0.15,0.15,0.1,0.15,0.1
106,106,Gratangen,54,Troms Og Finnmark,0.15,0.15,0.1,0.15,0.1
107,107,Gravdal,09,Nordland,0.15,0.15,0.1,0.15,0.1
108,108,Grimstad,42,Agder,0.15,0.15,0.1,0.15,0.1
109,109,Grong,21,Trøndelag,0.15,0.15,0.1,0.15,0.1
110,110,Grua,30,Viken,0.15,0.15,0.1,0.15,0.1
111,111,Gryllefjord,54,Troms Og Finnmark,0.15,0.15,0.1,0.15,0.1
112,112,Grøa,08,Møre Og Romsdal,0.15,0.15,0.1,0.15,0.1
113,113,Gvarv,38,Vestfold Og Telemark,0.15,0.15,0.1,0.15,0.1
114,114,Hagavik,46,Vestland,0.15,0.15,0.1,0.15,0.1
115,115,Halden,30,Viken,0.15,0.15,0.1,0.15,0.1
116,116,Hallingby,30,Viken,0.15,0.15,0.1,0.15,0.1
117,117,Hamar,34,Innlandet,0.15,0.15,0.1,0.15,0.1
118,118,Hammerfest,54,Troms Og Finnmark,0.15,0.15,0.1,0.15,0.1
119,119,Hamnvik,54,Troms Og Finnmark,0.15,0.15,0.1,0.15,0.1
120,120,Hansnes,54,Troms Og Finnmark,0.15,0.15,0.1,0.15,0.1
121,121,Hardbakke,46,Vestland,0.15,0.15,0.1,0.15,0.1
122,122,Hareid,08,Møre Og Romsdal,0.15,0.15,0.1,0.15,0.1
123,123,Harstad,54,Troms Og Finnmark,0.15,0.15,0.1,0.15,0.1
124,124,Hattfjelldal,09,Nordland,0.15,0.15,0.1,0.15,0.1
125,125,Haugesund,14,Rogaland,0.15,0.15,0.1,0.15,0.1
126,126,Heggenes,34,Innlandet,0.15,0.15,0.1,0.15,0.1
127,127,Hegra,21,Trøndelag,0.15,0.15,0.1,0.15,0.1
128,128,Hell,21,Trøndelag,0.15,0.15,0.1,0.15,0.1
129,129,Hellvik,14,Rogaland,0.15,0.15,0.1,0.15,0.1
130,130,Hemnes,30,Viken,0.15,0.15,0.1,0.15,0.1
131,131,Hemnesberget,09,Nordland,0.15,0.15,0.1,0.15,0.1
132,132,Hemsedal,30,Viken,0.15,0.15,0.1,0.15,0.1
133,133,Herre,38,Vestfold Og Telemark,0.15,0.15,0.1,0.15,0.1
134,134,Hjelset,08,Møre Og Romsdal,0.15,0.15,0.1,0.15,0.1
135,135,Hof,34,Innlandet,0.15,0.15,0.1,0.15,0.1
136,136,Hokksund,30,Viken,0.15,0.15,0.1,0.15,0.1
137,137,Hol,30,Viken,0.15,0.15,0.1,0.15,0.1
138,138,Hol,54,Troms Og Finnmark,0.15,0.15,0.1,0.15,0.1
139,139,Holmestrand,38,Vestfold Og Telemark,0.15,0.15,0.1,0.15,0.1
140,140,Hommelvik,21,Trøndelag,0.15,0.15,0.1,0.15,0.1
141,141,Hommersåk,14,Rogaland,0.15,0.15,0.1,0.15,0.1
142,142,Honningsvåg,54,Troms Og Finnmark,0.15,0.15,0.1,0.15,0.1
143,143,Hornindal,08,Møre Og Romsdal,0.15,0.15,0.1,0.15,0.1
144,144,Horten,38,Vestfold Og Telemark,0.15,0.15,0.1,0.15,0.1
145,145,Hov,34,Innlandet,0.15,0.15,0.1,0.15,0.1
146,146,Hovden,42,Agder,0.15,0.15,0.1,0.15,0.1
147,147,Hovin,21,Trøndelag,0.15,0.15,0.1,0.15,0.1
148,148,Hurdal,30,Viken,0.15,0.15,0.1,0.15,0.1
149,149,Hvittingfoss,30,Viken,0.15,0.15,0.1,0.15,0.1
150,150,Hylkje,46,Vestland,0.15,0.15,0.1,0.15,0.1
151,151,Hyllestad,46,Vestland,0.15,0.15,0.1,0.15,0.1
152,152,Hønefoss,30,Viken,0.15,0.15,0.1,0.15,0.1
153,153,Høyanger,46,Vestland,0.15,0.15,0.1,0.15,0.1
154,154,Høylandet,21,Trøndelag,0.15,0.15,0.1,0.15,0.1
155,155,Ikornnes,08,Møre Og Romsdal,0.15,0.15,0.1,0.15,0.1
156,156,Ilseng,34,Innlandet,0.15,0.15,0.1,0.15,0.1
157,157,Indre Arna,46,Vestland,0.15,0.15,0.1,0.15,0.1
158,158,Inndyr,09,Nordland,0.15,0.15,0.1,0.15,0.1
159,159,Isdalstø,46,Vestland,0.15,0.15,0.1,0.15,0.1
160,160,Ise,30,Viken,0.15,0.15,0.1,0.15,0.1
161,161,Jaren,34,Innlandet,0.15,0.15,0.1,0.15,0.1
162,162,Jessheim,30,Viken,0.15,0.15,0.1,0.15,0.1
163,163,Jevnaker,30,Viken,0.15,0.15,0.1,0.15,0.1
164,164,Jondal,46,Vestland,0.15,0.15,0.1,0.15,0.1
165,165,Jøa,21,Trøndelag,0.15,0.15,0.1,0.15,0.1
166,166,Jørpeland,14,Rogaland,0.15,0.15,0.1,0.15,0.1
167,167,Kabelvåg,09,Nordland,0.15,0.15,0.1,0.15,0.1
168,168,Kaupanger,46,Vestland,0.15,0.15,0.1,0.15,0.1
169,169,Kautokeino,54,Troms Og Finnmark,0.15,0.15,0.1,0.15,0.1
170,170,Kinsarvik,46,Vestland,0.15,0.15,0.1,0.15,0.1
171,171,Kirkenes,54,Troms Og Finnmark,0.15,0.15,0.1,0.15,0.1
172,172,Kirkenær,34,Innlandet,0.15,0.15,0.1,0.15,0.1
173,173,Kjøllefjord,54,Troms Og Finnmark,0.15,0.15,0.1,0.15,0.1
174,174,Kjøpsvik,09,Nordland,0.15,0.15,0.1,0.15,0.1
175,175,Kleppe,14,Rogaland,0.15,0.15,0.1,0.15,0.1
176,176,Kleppestø,46,Vestland,0.15,0.15,0.1,0.15,0.1
177,177,Klokkarvik,46,Vestland,0.15,0.15,0.1,0.15,0.1
178,178,Klæbu,21,Trøndelag,0.15,0.15,0.1,0.15,0.1
179,179,Kløfta,30,Viken,0.15,0.15,0.1,0.15,0.1
180,180,Kolbotn,30,Viken,0.15,0.15,0.1,0.15,0.1
181,181,Kolbu,34,Innlandet,0.15,0.15,0.1,0.15,0.1
182,182,Kolvereid,21,Trøndelag,0.15,0.15,0.1,0.15,0.1
183,183,Kongsberg,30,Viken,0.15,0.15,0.1,0.15,0.1
184,184,Kongsvinger,34,Innlandet,0.15,0.15,0.1,0.15,0.1
185,185,Konsmo,42,Agder,0.15,0.15,0.1,0.15,0.1
186,186,Kopervik,14,Rogaland,0.15,0.15,0.1,0.15,0.1
187,187,Koppang,34,Innlandet,0.15,0.15,0.1,0.15,0.1
188,188,Korgen,09,Nordland,0.15,0.15,0.1,0.15,0.1
189,189,Kragerø,38,Vestfold Og Telemark,0.15,0.15,0.1,0.15,0.1
190,190,Kristiansand,42,Agder,0.15,0.15,0.1,0.15,0.1
191,191,Kristiansund,08,Møre Og Romsdal,0.15,0.15,0.1,0.15,0.1
192,192,Kvalsund,54,Troms Og Finnmark,0.15,0.15,0.1,0.15,0.1
193,193,Kvam,34,Innlandet,0.15,0.15,0.1,0.15,0.1
194,194,Kvelde,38,Vestfold Og Telemark,0.15,0.15,0.1,0.15,0.1
195,195,Kviteseid,38,Vestfold Og Telemark,0.15,0.15,0.1,0.15,0.1
196,196,Kyrksæterøra,21,Trøndelag,0.15,0.15,0.1,0.15,0.1
197,197,Lakselv,54,Troms Og Finnmark,0.15,0.15,0.1,0.15,0.1
198,198,Lampeland,30,Viken,0.15,0.15,0.1,0.15,0.1
199,199,Langangen,38,Vestfold Og Telemark,0.15,0.15,0.1,0.15,0.1
200,200,Langesund,38,Vestfold Og Telemark,0.15,0.15,0.1,0.15,0.1
201,201,Langevåg,46,Vestland,0.15,0.15,0.1,0.15,0.1
202,202,Langevåg,08,Møre Og Romsdal,0.15,0.15,0.1,0.15,0.1
203,203,Larkollen,30,Viken,0.15,0.15,0.1,0.15,0.1
204,204,Larsnes,08,Møre Og Romsdal,0.15,0.15,0.1,0.15,0.1
205,205,Larvik,38,Vestfold Og Telemark,0.15,0.15,0.1,0.15,0.1
206,206,Leira,34,Innlandet,0.15,0.15,0.1,0.15,0.1
207,207,Leirsund,30,Viken,0.15,0.15,0.1,0.15,0.1
208,208,Leirvik,46,Vestland,0.15,0.15,0.1,0.15,0.1
209,209,Leknes,21,Trøndelag,0.15,0.15,0.1,0.15,0.1
210,210,Leknes,09,Nordland,0.15,0.15,0.1,0.15,0.1
211,211,Leksvik,21,Trøndelag,0.15,0.15,0.1,0.15,0.1
212,212,Lena,34,Innlandet,0.15,0.15,0.1,0.15,0.1
213,213,Lensvik,21,Trøndelag,0.15,0.15,0.1,0.15,0.1
214,214,Lesja,34,Innlandet,0.15,0.15,0.1,0.15,0.1
215,215,Levanger,21,Trøndelag,0.15,0.15,0.1,0.15,0.1
216,216,Lillehammer,34,Innlandet,0.15,0.15,0.1,0.15,0.1
217,217,Lillesand,42,Agder,0.15,0.15,0.1,0.15,0.1
218,218,Lillestrøm,30,Viken,0.15,0.15,0.1,0.15,0.1
219,219,Lindås,46,Vestland,0.15,0.15,0.1,0.15,0.1
220,220,Lofthus,46,Vestland,0.15,0.15,0.1,0.15,0.1
221,221,Lonevåg,46,Vestland,0.15,0.15,0.1,0.15,0.1
222,222,Lundamo,21,Trøndelag,0.15,0.15,0.1,0.15,0.1
223,223,Lunde,38,Vestfold Og Telemark,0.15,0.15,0.1,0.15,0.1
224,224,Lurøy,09,Nordland,0.15,0.15,0.1,0.15,0.1
225,225,Lyngdal,42,Agder,0.15,0.15,0.1,0.15,0.1
226,226,Lyngseidet,54,Troms Og Finnmark,0.15,0.15,0.1,0.15,0.1
227,227,Lysaker,30,Viken,0.15,0.15,0.1,0.15,0.1
228,228,Lødingen,09,Nordland,0.15,0.15,0.1,0.15,0.1
229,229,Løken,30,Viken,0.15,0.15,0.1,0.15,0.1
230,230,Løkken Verk,21,Trøndelag,0.15,0.15,0.1,0.15,0.1
231,231,Løten,34,Innlandet,0.15,0.15,0.1,0.15,0.1
232,232,Magnor,34,Innlandet,0.15,0.15,0.1,0.15,0.1
233,233,Malm,21,Trøndelag,0.15,0.15,0.1,0.15,0.1
234,234,Malvik,21,Trøndelag,0.15,0.15,0.1,0.15,0.1
235,235,Mandal,42,Agder,0.15,0.15,0.1,0.15,0.1
236,236,Manger,46,Vestland,0.15,0.15,0.1,0.15,0.1
237,237,Maura,30,Viken,0.15,0.15,0.1,0.15,0.1
238,238,Mehamn,54,Troms Og Finnmark,0.15,0.15,0.1,0.15,0.1
239,239,Melbu,09,Nordland,0.15,0.15,0.1,0.15,0.1
240,240,Meldal,21,Trøndelag,0.15,0.15,0.1,0.15,0.1
241,241,Melhus,21,Trøndelag,0.15,0.15,0.1,0.15,0.1
242,242,Melsomvik,38,Vestfold Og Telemark,0.15,0.15,0.1,0.15,0.1
243,243,Meråker,21,Trøndelag,0.15,0.15,0.1,0.15,0.1
244,244,Midsund,08,Møre Og Romsdal,0.15,0.15,0.1,0.15,0.1
245,245,Mjøndalen,30,Viken,0.15,0.15,0.1,0.15,0.1
246,246,Moelv,34,Innlandet,0.15,0.15,0.1,0.15,0.1
247,247,Moen,54,Troms Og Finnmark,0.15,0.15,0.1,0.15,0.1
248,248,Moi,14,Rogaland,0.15,0.15,0.1,0.15,0.1
249,249,Molde,08,Møre Og Romsdal,0.15,0.15,0.1,0.15,0.1
250,250,Moldjord,09,Nordland,0.15,0.15,0.1,0.15,0.1
251,251,Mosjøen,09,Nordland,0.15,0.15,0.1,0.15,0.1
252,252,Moss,30,Viken,0.15,0.15,0.1,0.15,0.1
253,253,Mosterhamn,46,Vestland,0.15,0.15,0.1,0.15,0.1
254,254,Myre,09,Nordland,0.15,0.15,0.1,0.15,0.1
255,255,Mysen,30,Viken,0.15,0.15,0.1,0.15,0.1
256,256,Måløy,46,Vestland,0.15,0.15,0.1,0.15,0.1
257,257,Namdalseid,21,Trøndelag,0.15,0.15,0.1,0.15,0.1
258,258,Namsos,21,Trøndelag,0.15,0.15,0.1,0.15,0.1
259,259,Namsskogan,21,Trøndelag,0.15,0.15,0.1,0.15,0.1
260,260,Narvik,09,Nordland,0.15,0.15,0.1,0.15,0.1
261,261,Naustdal,46,Vestland,0.15,0.15,0.1,0.15,0.1
262,262,Nesbyen,30,Viken,0.15,0.15,0.1,0.15,0.1
263,263,Nesna,09,Nordland,0.15,0.15,0.1,0.15,0.1
264,264,Nesoddtangen,30,Viken,0.15,0.15,0.1,0.15,0.1
265,265,Nodeland,42,Agder,0.15,0.15,0.1,0.15,0.1
266,266,Nordfjordeid,46,Vestland,0.15,0.15,0.1,0.15,0.1
267,267,Nordkisa,30,Viken,0.15,0.15,0.1,0.15,0.1
268,268,Noresund,30,Viken,0.15,0.15,0.1,0.15,0.1
269,269,Norheimsund,46,Vestland,0.15,0.15,0.1,0.15,0.1
270,270,Notodden,38,Vestfold Og Telemark,0.15,0.15,0.1,0.15,0.1
271,271,Nykirke,38,Vestfold Og Telemark,0.15,0.15,0.1,0.15,0.1
272,272,Nærbø,14,Rogaland,0.15,0.15,0.1,0.15,0.1
273,273,Odda,46,Vestland,0.15,0.15,0.1,0.15,0.1
274,274,Olderdalen,54,Troms Og Finnmark,0.15,0.15,0.1,0.15,0.1
275,275,Oltedal,14,Rogaland,0.15,0.15,0.1,0.15,0.1
