,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,10000,Aker universitetssykehus,,Oslo,Oslo,0589,,,,,,,59.9385162,10.7970604
1,10001,Akershus universitetssykehus (AHUS),Sykehuseveien 25.0,Nordbyhagen,Viken,1474,,+47 91502900,,,Yes,,59.9326763,10.9918113
2,10002,Alta helsesenter,,Alta,Alta,9510,,+47 78 48 39 00,,,,,69.968598,23.2736104
3,10003,Ambulansesentral Stavanger,Frida Hansens vei nan,Stavanger,Rogaland,4006,,,,,ambulance_station,,58.9502967,5.7413033
4,10004,Betanien hospital,,Skien,Skien,3717,,,,,,,59.2088591,9.596578
5,10005,Bjønnessåsen sykehjem,,,Skien,,,,,,,,59.2153583,10.4258819
6,10006,Bærum sykehus,,Gjettum,Viken,1346,,,,,Yes,,59.8985754,10.5088813
7,10007,Diakonhjemmet sykehus,,Oslo,Oslo,0756,,,,,,,59.9384833,10.7040525
8,10008,Diakonhjemmet sykehus Vinderen,Forskningsveien 7.0,Oslo,Oslo,0756,,,,,,,59.9424202,10.7114431
9,10009,Drammen sykehus,,Drammen,Viken,3018,,,,,Yes,,59.7479714,10.1959677
10,10010,Gaustad sykehus,,Oslo,Oslo,0155,,,,,,,59.9524183,10.717898
11,10011,Hammerfest sykehus,,,Hammerfest,9600,,,,,Yes,,70.6730658,23.6695155
12,10012,Harstad sykehus,,,Hammerfest,,,,,,Yes,,68.7965621,16.5246577
13,10013,Haugesund sykehus,,Haugesund,Rogaland,5527,,,,,Yes,,59.4095895,5.276797
14,10014,Haukeland Universitetssjukehus,,Bergen,Vestland,5021,,,,,Yes,,60.3727048,5.3612387
15,10015,Helgelandssykehuset Mo i Rana,,Selfors,Nordland,8613,,,,,Yes,,66.3251659,14.1878007
16,10016,Hjemmetjeneste sentral,,Tønsberg,Tønsberg,3126,,,,,,,59.2667009,10.4232623
17,10017,Hospital - Больница,,,Svalbard,9170,,,,,,,78.0617681,14.2174494
18,10018,Kjelleparken,,,Tønsberg,3126,,,,,,,59.2854874,10.3975786
19,10019,Kleppheimen,Prestevegen 2.0,Kleppe,Rogaland,4352,,,,,,,58.7716266,5.6285443
20,10020,Kragerø sykehus,,Kragerø,Kragerø,3772,,,,,,,58.8801408,9.4050493
21,10021,Kristiansund sykehus,,,Kristiansund,6509,,,,,Yes,,63.1085295,7.7257795
22,10022,Kysthospitalet,,Stavern,Larvik,3290,,,,,No,,58.9883608,10.029376
23,10023,LHL-sykehuset Gardermoen,,,Viken,2050,,,,,,,60.1655699,11.1628979
24,10024,Lier sykehus,,Lierbyen,Viken,3403,,,,,,,59.7931374,10.2646422
25,10025,Longyearbyen sykehus,,,Viken,9170,,,,,Yes,,78.2197781,15.6443373
26,10026,Lærdal sjukehus,,Lærdalsøyri,Vestland,6887,,+4757640000,,,,,61.1021218,7.5197964
27,10027,Martina Hansens hospital,Dønskiveien 8.0,Gjettum,Viken,1346,,+47 06780,,,No,,59.8973164,10.5095119
28,10028,Molde sjukehus,,Molde,Molde,6415,,+4771120000,,,Yes,,62.7357395,7.1384185
29,10029,Mosjøen sykehus,,Mosjøen,Nordland,8665,,,,,Yes,,65.8314537,13.2127461
30,10030,Narvik sykehus,,Narvik,Nordland,8514,,,,,Yes,,68.4416343,17.4116572
31,10031,Nordfjord sjukehus,,Nordfjordeid,Vestland,6770,,,,,,,61.9163312,5.9779942
32,10032,Nordlandsykehuset,,Bodø,Nordland,8006,,,,,Yes,,67.2840314,14.3964231
33,10033,Nøtterøy helsesenter,,,Bodø,,,,,,,,59.240504,10.3962931
34,10034,Oslo universitetssykehus (Rikshospitalet),,Oslo,Oslo,0155,,02770,,,Yes,,59.9473315,10.7176906
35,10035,Oslo universitetssykehus (Ullevål),,Oslo,Oslo,0155,,,,,Yes,,59.9397043,10.7462623
36,10036,Radiumhospitalet,,Oslo,Oslo,0284,,,,,,,59.9314134,10.6652211
37,10037,Reinsvoll sykehus,,Reinsvoll,Innlandet,2840,,,,,,,60.6829305,10.6466351
38,10038,Ringerike Sykehus,,Hønefoss,Viken,3510,,,,,,,60.1472542,10.2572052
39,10039,Ringerike Sykehus HF,Arnold Dybsjords vei 1.0,Hønefoss,Viken,3511,,,,,Yes,,60.1494536,10.25321
40,10040,Sanderud sykehus,,Ottestad,Innlandet,2312,,,,,,,60.7800381,11.1583621
41,10041,Sem bo- og servicesenter,,,Tønsberg,3126,,,,,,,59.2839159,10.3273662
42,10042,Ski sykehus,,Ski,Viken,1400,,,,,,,59.7262433,10.8435081
43,10043,Smidsrød helsehus,,,Nordre Follo,,,,,,,,59.2386863,10.4236298
44,10044,Spesialsykehuset for epilepsi (SSE),,Sandvika,Viken,1337,,,,,No,,59.9046172,10.5331136
45,10045,"St. Olavs, avdeling Orkdal",,Orkanger,Orkland,7300,,,,,,,63.2934849,9.8447053
46,10046,Stavanger Universitetssjukehus,Gerd-Ragna Bloch Thorsens gate 8,Stavanger,Rogaland,4011,,,,,Yes,,58.9536493,5.7297186
47,10047,Stokmarknes sykehus,,,Nordland,8445,,,,,Yes,,68.5593337,14.9102092
48,10048,Stord sjukehus,,,Vestland,,,,,,Yes,,59.7932041,5.5114479
49,10049,Sunnaas sykehus,,Bjørnemyrdalen,Viken,1453,,,,,,,59.8346439,10.6383239
50,10050,Sykehuset Innlandet HF Elverum,,Elverum,Innlandet,2413,,,,,Yes,,60.8779128,11.5695765
51,10051,Sykehuset Innlandet HF Gjøvik,,Gjøvik,Innlandet,2815,,,,,,,60.8039008,10.6778687
