FIPS_CODE,COUNTY_CODE,COUNTY,ST,STATE,FOOD_INSECURITY,SEVERE_HOUSING_COST_BURDEN,UNEMPLOYED,NO_VEHICLE_ACCESS,UNINSURED
0,0,Abbey Caves-Glenbervie,NZ-NTL,Northland,0.15,0.15,0.1,0.15,0.1
1,1,Abbotsford,NZ-OTA,Otago,0.15,0.15,0.1,0.15,0.1
2,2,Acacia Bay,NZ-WKO,Waikato,0.15,0.15,0.1,0.15,0.1
3,3,Addington East,NZ-CAN,Canterbury,0.15,0.15,0.1,0.15,0.1
4,4,Addington West,NZ-CAN,Canterbury,0.15,0.15,0.1,0.15,0.1
5,5,Ahipara,NZ-NTL,Northland,0.15,0.15,0.1,0.15,0.1
6,6,Ahuriri,NZ-HKB,Hawke's Bay,0.15,0.15,0.1,0.15,0.1
7,7,Aidanfield,NZ-CAN,Canterbury,0.15,0.15,0.1,0.15,0.1
8,8,Aka Aka,NZ-WKO,Waikato,0.15,0.15,0.1,0.15,0.1
9,9,Akaroa,NZ-CAN,Canterbury,0.15,0.15,0.1,0.15,0.1
10,10,Akaroa Harbour,NZ-CAN,Canterbury,0.15,0.15,0.1,0.15,0.1
11,11,Akatarawa,NZ-WGN,Wellington,0.15,0.15,0.1,0.15,0.1
12,12,Akina Park,NZ-HKB,Hawke's Bay,0.15,0.15,0.1,0.15,0.1
13,13,Akoranga,NZ-AUK,Auckland,0.15,0.15,0.1,0.15,0.1
14,14,Albany Central,NZ-AUK,Auckland,0.15,0.15,0.1,0.15,0.1
15,15,Albany Heights,NZ-AUK,Auckland,0.15,0.15,0.1,0.15,0.1
16,16,Albany South,NZ-AUK,Auckland,0.15,0.15,0.1,0.15,0.1
17,17,Albany West,NZ-AUK,Auckland,0.15,0.15,0.1,0.15,0.1
18,18,Albert Town,NZ-OTA,Otago,0.15,0.15,0.1,0.15,0.1
19,19,Aldinga,NZ-NSN,Nelson,0.15,0.15,0.1,0.15,0.1
20,20,Alexandra North,NZ-OTA,Otago,0.15,0.15,0.1,0.15,0.1
21,21,Alexandra South,NZ-OTA,Otago,0.15,0.15,0.1,0.15,0.1
22,22,Alfriston,NZ-AUK,Auckland,0.15,0.15,0.1,0.15,0.1
23,23,Algies Bay-Scotts Landing,NZ-AUK,Auckland,0.15,0.15,0.1,0.15,0.1
24,24,Alicetown-Melling,NZ-WGN,Wellington,0.15,0.15,0.1,0.15,0.1
25,25,Allandale,NZ-BOP,Bay of Plenty,0.15,0.15,0.1,0.15,0.1
26,26,Allenton East,NZ-CAN,Canterbury,0.15,0.15,0.1,0.15,0.1
27,27,Allenton North,NZ-CAN,Canterbury,0.15,0.15,0.1,0.15,0.1
28,28,Allenton South,NZ-CAN,Canterbury,0.15,0.15,0.1,0.15,0.1
29,29,Amberley,NZ-CAN,Canterbury,0.15,0.15,0.1,0.15,0.1
30,30,Amuri,NZ-CAN,Canterbury,0.15,0.15,0.1,0.15,0.1
31,31,Andersons Bay,NZ-OTA,Otago,0.15,0.15,0.1,0.15,0.1
32,32,Aniseed Valley,NZ-TAS,Tasman,0.15,0.15,0.1,0.15,0.1
33,33,Anselmi Ridge,NZ-AUK,Auckland,0.15,0.15,0.1,0.15,0.1
34,34,Anzac Avenue,NZ-AUK,Auckland,0.15,0.15,0.1,0.15,0.1
35,35,Aokautere,NZ-MWT,Manawatu-Wanganui,0.15,0.15,0.1,0.15,0.1
36,36,Aokautere Rural,NZ-MWT,Manawatu-Wanganui,0.15,0.15,0.1,0.15,0.1
37,37,Aongatete,NZ-BOP,Bay of Plenty,0.15,0.15,0.1,0.15,0.1
38,38,Aorangi Forest,NZ-WGN,Wellington,0.15,0.15,0.1,0.15,0.1
39,39,Aorere Central,NZ-AUK,Auckland,0.15,0.15,0.1,0.15,0.1
40,40,Aorere North,NZ-AUK,Auckland,0.15,0.15,0.1,0.15,0.1
41,41,Aorere South,NZ-AUK,Auckland,0.15,0.15,0.1,0.15,0.1
42,42,Aotea,NZ-WGN,Wellington,0.15,0.15,0.1,0.15,0.1
43,43,Appleby,NZ-TAS,Tasman,0.15,0.15,0.1,0.15,0.1
44,44,Arahiwi,NZ-WKO,Waikato,0.15,0.15,0.1,0.15,0.1
45,45,Arahura-Kumara,NZ-WTC,West Coast,0.15,0.15,0.1,0.15,0.1
46,46,Arakura,NZ-WGN,Wellington,0.15,0.15,0.1,0.15,0.1
47,47,Aranui,NZ-CAN,Canterbury,0.15,0.15,0.1,0.15,0.1
48,48,Ararimu,NZ-AUK,Auckland,0.15,0.15,0.1,0.15,0.1
49,49,Arataki North,NZ-BOP,Bay of Plenty,0.15,0.15,0.1,0.15,0.1
50,50,Arataki South,NZ-BOP,Bay of Plenty,0.15,0.15,0.1,0.15,0.1
51,51,Ardmore,NZ-AUK,Auckland,0.15,0.15,0.1,0.15,0.1
52,52,Aria,NZ-WKO,Waikato,0.15,0.15,0.1,0.15,0.1
53,53,Army Bay,NZ-AUK,Auckland,0.15,0.15,0.1,0.15,0.1
54,54,Aro Valley,NZ-WGN,Wellington,0.15,0.15,0.1,0.15,0.1
55,55,Arrowtown,NZ-OTA,Otago,0.15,0.15,0.1,0.15,0.1
