,USPS,ST,NAME,ZCTA5,LAT,LON
0,Lower Silesia,72,Milików,56-730,51.1872,15.4125
1,Lower Silesia,72,Kraśnik Górny,59-700,51.2911,15.6349
2,Lower Silesia,72,Kozłów,59-700,51.4327,15.5989
3,Lower Silesia,72,Dąbrowa Bolesławiecka,59-700,51.3265,15.5772
4,Lower Silesia,72,Kolonia Pietruszka,59-700,51.1976,15.452
5,Lower Silesia,72,Nowa Wieś,59-700,51.33,15.6101
6,Lower Silesia,72,Trzebień Mały,59-700,51.3968,15.5782
7,Lower Silesia,72,Bolesławice,59-700,51.2799,15.5485
8,Lower Silesia,72,Chościszowice,59-700,51.2871,15.5894
9,Lower Silesia,72,Nowe Jaroszowice,59-700,51.2154,15.5682
10,Lower Silesia,72,Krępnica,59-700,51.3223,15.5596
11,Lower Silesia,72,Kraśnik Dolny,59-700,51.307,15.6079
12,Lower Silesia,72,Kolonia Śliszów,59-700,51.2111,15.5056
13,Lower Silesia,72,Nowa,59-700,51.1933,15.5237
14,Lower Silesia,72,Suszki,59-700,51.1955,15.5729
15,Lower Silesia,72,Dobra,59-700,51.2774,15.517
16,Lower Silesia,72,Rakowice,59-700,51.2448,15.5347
17,Lower Silesia,72,Parkoszów,59-700,51.3753,15.581
18,Lower Silesia,72,Stare Jaroszowice,59-700,51.2097,15.6174
19,Lower Silesia,72,Kruszyn,59-700,51.2608,15.6152
20,Lower Silesia,72,Golnice,59-700,51.3504,15.5852
21,Lower Silesia,72,Lipiany,59-700,51.3414,15.6344
22,Lower Silesia,72,Mierzwin,59-700,51.2278,15.482
23,Lower Silesia,72,Bolesławiec,59-700,51.2628,15.5601
24,Lower Silesia,72,Brzeźnik,59-700,51.2442,15.4682
25,Lower Silesia,72,Bożejowice,59-700,51.2427,15.5516
26,Lower Silesia,72,Pstrąże,59-700,51.4396,15.5568
27,Lower Silesia,72,Trzebień,59-700,51.387,15.6018
28,Lower Silesia,72,Stara Oleszna,59-700,51.4156,15.5994
29,Lower Silesia,72,Ocice,59-700,51.2037,15.4813
30,Lower Silesia,72,Łąka,59-700,51.2987,15.5702
31,Lower Silesia,72,Otok,59-700,51.2355,15.5261
32,Lower Silesia,72,Kraszowice,59-700,51.2112,15.5252
33,Lower Silesia,72,Łaziska,59-700,51.2421,15.6075
34,Lower Silesia,72,Żeliszów,59-700,51.1917,15.6355
35,Lower Silesia,72,Bolesławiec,59-701,51.2551,15.5767
36,Lower Silesia,72,Bolesławiec,59-702,51.2515,15.5775
37,Lower Silesia,72,Bolesławiec,59-703,51.2637,15.5619
38,Lower Silesia,72,Wierzbowa,59-706,51.3987,15.7616
39,Lower Silesia,72,Różyniec,59-706,51.319,15.7125
40,Lower Silesia,72,Pasternik,59-706,51.4063,15.8038
41,Lower Silesia,72,Borówki,59-706,51.362,15.7307
