,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,20000,"""KUTNOWSKI SZPITAL SAMORZĄDOWY"" SPÓŁKA Z O.O.",,Kutno,,99-300,,,,,Yes,,52.2392953,19.371924
1,20001,"""Teresa"" Uzdrowiskowy Szpital Kardiologiczny",Plac Zdrojowy 9,Jedlina-Zdrój,,58-330,,,,,,,50.728534,16.3453272
2,20002,10 Wojskowy Szpital Kliniczny z Polikliniką,Powstańców Warszawy 5,Bydgoszcz,,85-023,,,,,,,53.1420664,18.011077
3,20003,105 Szpital Wojskowy,Żelazna 1,Żagań,,68-100,,,,,,,51.6123209,15.3327485
4,20004,105 Szpital Wojskowy z Przychodnią SPZOZ,Bolesława Domańskiego 2,Żary,,68-200,,,,,Yes,,51.6415875,15.1481984
5,20005,107 Szpital Wojskowy,,Wałcz,,78-600,,+48 67 258 24 42; +48 261 47 28 80,,,,,53.2838447,16.4616404
6,20006,108 Szpital Wojskowy,Tadeusza Kościuszki 30,Ełk,,19-300,,+48876219803,,,Yes,,53.8199983,22.3631121
7,20007,109 Szpital Wojskowy z przychodnią,,Szczecin,,70-560,,,,,,,53.4430984,14.54263
8,20008,115 Szpital Wojskowy,Boczna 13,Hel,,84-150,,+48 58 690 42 60,,,,,54.6120893,18.7986812
9,20009,116 Szpital Wojskowy z Przychodnią,,Opole,,45-068,,,,,,,50.6605317,17.8966954
10,20010,21 Wojskowy Szpital Uzdrowisko-Rehabilitacyjny,Generała Feliksa Rzewuskiego 8,Busko-Zdrój,,28-100,,,,,,,50.4542961,20.7208577
11,20011,22 Wojskowy Szpital Uzrowiskowo-Rehabilitacyjny,Wojska Polskiego 5,,,,,,,,No,,52.8785707,18.8042155
12,20012,23. Wojskowy Szpital Uzdrowiskowo-Rehabilitacyjny,Jadwigi 2a,Lądek-Zdrój,,57-540,,,,,No,,50.3422994,16.8904087
13,20013,5 Wojskowy Szpital Kliniczny w Krakowie,Wrocławska 1-3,Kraków,,30-006,,,,,Yes,,50.0751372,19.9339294
14,20014,6 Szpital Wojskowy z Przychodnią,Szpitalna 2,Dęblin,,08-530,,261 518 530,,,,,51.5544396,21.8561291
15,20015,7 Szpital Marynarki Wojennej,,Gdańsk,,80-307,,+48 58 552 63 18,,,,,54.391905,18.5650018
16,20016,Angelius,,Katowice,,40-022,,,,,,,50.2166537,18.9840343
17,20017,Apteka,Książęca 4,Bojszowy,,43-220,,,,,,,50.0569879,19.0966361
18,20018,Arion ZOZ,,Tarnogród,,23-420,,,,,,,50.3605341,22.7427566
19,20019,Arion ZOZ,Doktora Stanisława Pojaska nan,Biłgoraj,,23-400,,,,,Yes,,50.5300021,22.7126673
20,20020,Beskidzkie Centrum Medyczne,Młodzieżowa 21,Bielsko-Biała,,43-300,,+48 33 82 63 400,,,,,49.7852242,19.0311845
21,20021,Beskidzkie Centrum Onkologii im. Jana Pawła II,,Bielsko-Biała,,43-300,,+48 33 498 4001,,,,,49.8237033,19.0566707
22,20022,Białostockie Centrum Onkologii im. Marii Skłodowskiej - Curie,,Białystok,,15-007,,,,,,,53.1354418,23.1677438
23,20023,Bieszczadzkie Wodne Ochotnicze Pogotowie Ratunkowe,,Solina,,38-612,,,,,Yes,,49.382042,22.4483314
24,20024,Brzeskie Centrum Medyczne,Nysańska 4-6,Brzeg,,49-300,,,,,,,50.8523726,17.4756819
25,20025,Bydgoskie Centrum Diabetologii i Endokrynologii,,Bydgoszcz,,85-023,,,,,,,53.1056571,18.0592279
26,20026,Bystrzyckie Centrum Zdrowia,,Bystrzyca Kłodzka,,57-500,,+48 748111577,,,,,50.2997011,16.6527316
27,20027,Były Szpital w Górze,Ludwika Hirszfelda 8,Góra,,56-200,,,,,,,51.6653014,16.5402075
28,20028,CDT Medicus - Szpital,Leśna 8,Lubin,,59-300,,,,,,,51.3833304,16.2033617
29,20029,CenterMed Sp. z o.o.,Feliksa Bocheńskiego 38a,Katowice,,40-022,,,,,,,50.2661648,18.9899633
30,20030,Centralny Szpital Kliniczny MON,Szaserów 128,Warszawa,,04-349,,,,,,,52.2518166,21.0936436
