FIPS_CODE,COUNTY_CODE,COUNTY,ST,STATE,FOOD_INSECURITY,SEVERE_HOUSING_COST_BURDEN,UNEMPLOYED,NO_VEHICLE_ACCESS,UNINSURED
0,0,A dos Cunhados,14,Lisboa,0.15,0.15,0.1,0.15,0.1
1,1,A dos Francos,13,Leiria,0.15,0.15,0.1,0.15,0.1
2,2,Abrantes,18,Santarém,0.15,0.15,0.1,0.15,0.1
3,3,Abrigada,14,Lisboa,0.15,0.15,0.1,0.15,0.1
4,4,Adaúfe,04,Braga,0.15,0.15,0.1,0.15,0.1
5,5,Aguada de Cima,02,Aveiro,0.15,0.15,0.1,0.15,0.1
6,6,Aguiar da Beira,11,Guarda,0.15,0.15,0.1,0.15,0.1
7,7,Alagoa,16,Portalegre,0.15,0.15,0.1,0.15,0.1
8,8,Alandroal,,Evora,0.15,0.15,0.1,0.15,0.1
9,9,Albufeira,09,Faro,0.15,0.15,0.1,0.15,0.1
10,10,Alcabideche,14,Lisboa,0.15,0.15,0.1,0.15,0.1
11,11,Alcains,11,Guarda,0.15,0.15,0.1,0.15,0.1
12,12,Alcanede,18,Santarém,0.15,0.15,0.1,0.15,0.1
13,13,Alcanena,18,Santarém,0.15,0.15,0.1,0.15,0.1
14,14,Alcanhões,18,Santarém,0.15,0.15,0.1,0.15,0.1
15,15,Alcantarilha,09,Faro,0.15,0.15,0.1,0.15,0.1
16,16,Alcobaça,13,Leiria,0.15,0.15,0.1,0.15,0.1
17,17,Alcochete,19,Setúbal,0.15,0.15,0.1,0.15,0.1
18,18,Alcoentre,14,Lisboa,0.15,0.15,0.1,0.15,0.1
19,19,Alcoutim,09,Faro,0.15,0.15,0.1,0.15,0.1
20,20,Alcácer do Sal,19,Setúbal,0.15,0.15,0.1,0.15,0.1
21,21,Aldeia de Joanes,06,Castelo Branco,0.15,0.15,0.1,0.15,0.1
22,22,Alegrete,16,Portalegre,0.15,0.15,0.1,0.15,0.1
23,23,Alenquer,14,Lisboa,0.15,0.15,0.1,0.15,0.1
24,24,Alfarelos,07,Coimbra,0.15,0.15,0.1,0.15,0.1
25,25,Alfeizerão,13,Leiria,0.15,0.15,0.1,0.15,0.1
26,26,Alfena,17,Porto,0.15,0.15,0.1,0.15,0.1
27,27,Alfândega da Fé,05,Bragança,0.15,0.15,0.1,0.15,0.1
28,28,Algoz,09,Faro,0.15,0.15,0.1,0.15,0.1
29,29,Algueirão,14,Lisboa,0.15,0.15,0.1,0.15,0.1
30,30,Algés,14,Lisboa,0.15,0.15,0.1,0.15,0.1
31,31,Alhadas,07,Coimbra,0.15,0.15,0.1,0.15,0.1
32,32,Alhandra,14,Lisboa,0.15,0.15,0.1,0.15,0.1
33,33,Alhos Vedros,19,Setúbal,0.15,0.15,0.1,0.15,0.1
34,34,Alijó,21,Vila Real,0.15,0.15,0.1,0.15,0.1
35,35,Aljezur,09,Faro,0.15,0.15,0.1,0.15,0.1
36,36,Aljubarrota,13,Leiria,0.15,0.15,0.1,0.15,0.1
37,37,Aljustrel,03,Beja,0.15,0.15,0.1,0.15,0.1
38,38,Almada,19,Setúbal,0.15,0.15,0.1,0.15,0.1
39,39,Almancil,09,Faro,0.15,0.15,0.1,0.15,0.1
40,40,Almargem,14,Lisboa,0.15,0.15,0.1,0.15,0.1
41,41,Almeirim,18,Santarém,0.15,0.15,0.1,0.15,0.1
42,42,Almodôvar,03,Beja,0.15,0.15,0.1,0.15,0.1
43,43,Almograve,03,Beja,0.15,0.15,0.1,0.15,0.1
44,44,Alpendurada,17,Porto,0.15,0.15,0.1,0.15,0.1
45,45,Alpiarça,18,Santarém,0.15,0.15,0.1,0.15,0.1
46,46,Alter do Chão,16,Portalegre,0.15,0.15,0.1,0.15,0.1
47,47,Altura,09,Faro,0.15,0.15,0.1,0.15,0.1
48,48,Alvaiázere,13,Leiria,0.15,0.15,0.1,0.15,0.1
49,49,Alvalade,14,Lisboa,0.15,0.15,0.1,0.15,0.1
50,50,Alvito,03,Beja,0.15,0.15,0.1,0.15,0.1
51,51,Alvito,04,Braga,0.15,0.15,0.1,0.15,0.1
52,52,Alvor,09,Faro,0.15,0.15,0.1,0.15,0.1
53,53,Alvorninha,13,Leiria,0.15,0.15,0.1,0.15,0.1
54,54,Amadora,14,Lisboa,0.15,0.15,0.1,0.15,0.1
55,55,Amarante,17,Porto,0.15,0.15,0.1,0.15,0.1
56,56,Amares,04,Braga,0.15,0.15,0.1,0.15,0.1
57,57,Amor,13,Leiria,0.15,0.15,0.1,0.15,0.1
58,58,Amora,19,Setúbal,0.15,0.15,0.1,0.15,0.1
59,59,Amorim,17,Porto,0.15,0.15,0.1,0.15,0.1
60,60,Anadia,02,Aveiro,0.15,0.15,0.1,0.15,0.1
61,61,Angra do Heroísmo,23,Azores,0.15,0.15,0.1,0.15,0.1
62,62,Angustias,23,Azores,0.15,0.15,0.1,0.15,0.1
63,63,Ansião,13,Leiria,0.15,0.15,0.1,0.15,0.1
64,64,Anta,17,Porto,0.15,0.15,0.1,0.15,0.1
65,65,Ançã,07,Coimbra,0.15,0.15,0.1,0.15,0.1
66,66,Apelação,14,Lisboa,0.15,0.15,0.1,0.15,0.1
67,67,Apúlia,04,Braga,0.15,0.15,0.1,0.15,0.1
68,68,Aradas,02,Aveiro,0.15,0.15,0.1,0.15,0.1
69,69,Arazede,07,Coimbra,0.15,0.15,0.1,0.15,0.1
70,70,Arco da Calheta,10,Madeira,0.15,0.15,0.1,0.15,0.1
71,71,Arcos,02,Aveiro,0.15,0.15,0.1,0.15,0.1
72,72,Arcos,17,Porto,0.15,0.15,0.1,0.15,0.1
73,73,Arcos,04,Braga,0.15,0.15,0.1,0.15,0.1
74,74,Arcos de Valdevez,20,Viana Do Castelo,0.15,0.15,0.1,0.15,0.1
75,75,Arcozelo,17,Porto,0.15,0.15,0.1,0.15,0.1
76,76,Areosa,20,Viana Do Castelo,0.15,0.15,0.1,0.15,0.1
77,77,Arganil,07,Coimbra,0.15,0.15,0.1,0.15,0.1
78,78,Argivai,17,Porto,0.15,0.15,0.1,0.15,0.1
79,79,Argoncilhe,02,Aveiro,0.15,0.15,0.1,0.15,0.1
80,80,Armamar,22,Viseu,0.15,0.15,0.1,0.15,0.1
81,81,Armação de Pêra,09,Faro,0.15,0.15,0.1,0.15,0.1
82,82,Arouca,02,Aveiro,0.15,0.15,0.1,0.15,0.1
83,83,Arraiolos,,Evora,0.15,0.15,0.1,0.15,0.1
84,84,Arranhó,14,Lisboa,0.15,0.15,0.1,0.15,0.1
85,85,Arrentela,19,Setúbal,0.15,0.15,0.1,0.15,0.1
86,86,Arrifana,02,Aveiro,0.15,0.15,0.1,0.15,0.1
87,87,Arrifes,23,Azores,0.15,0.15,0.1,0.15,0.1
88,88,Arronches,16,Portalegre,0.15,0.15,0.1,0.15,0.1
89,89,Arruda dos Vinhos,14,Lisboa,0.15,0.15,0.1,0.15,0.1
90,90,Arões,04,Braga,0.15,0.15,0.1,0.15,0.1
91,91,Assafarge,07,Coimbra,0.15,0.15,0.1,0.15,0.1
92,92,Atalaia,16,Portalegre,0.15,0.15,0.1,0.15,0.1
93,93,Atouguia da Baleia,13,Leiria,0.15,0.15,0.1,0.15,0.1
94,94,Avanca,02,Aveiro,0.15,0.15,0.1,0.15,0.1
95,95,Aveiras de Cima,14,Lisboa,0.15,0.15,0.1,0.15,0.1
96,96,Aveiro,02,Aveiro,0.15,0.15,0.1,0.15,0.1
97,97,Aveleda,04,Braga,0.15,0.15,0.1,0.15,0.1
98,98,Aves,17,Porto,0.15,0.15,0.1,0.15,0.1
99,99,Avintes,17,Porto,0.15,0.15,0.1,0.15,0.1
100,100,Avis,16,Portalegre,0.15,0.15,0.1,0.15,0.1
101,101,Avô,07,Coimbra,0.15,0.15,0.1,0.15,0.1
102,102,Azambuja,14,Lisboa,0.15,0.15,0.1,0.15,0.1
103,103,Azeitão,19,Setúbal,0.15,0.15,0.1,0.15,0.1
104,104,Azenha,17,Porto,0.15,0.15,0.1,0.15,0.1
105,105,Azenhas do Mar,14,Lisboa,0.15,0.15,0.1,0.15,0.1
106,106,Azinhaga,18,Santarém,0.15,0.15,0.1,0.15,0.1
107,107,Baguim do Monte,17,Porto,0.15,0.15,0.1,0.15,0.1
108,108,Baião,17,Porto,0.15,0.15,0.1,0.15,0.1
109,109,Balazar,17,Porto,0.15,0.15,0.1,0.15,0.1
110,110,Baltar,17,Porto,0.15,0.15,0.1,0.15,0.1
111,111,Bandeiras,23,Azores,0.15,0.15,0.1,0.15,0.1
112,112,Barcarena,14,Lisboa,0.15,0.15,0.1,0.15,0.1
113,113,Barcelos,04,Braga,0.15,0.15,0.1,0.15,0.1
114,114,Barco,06,Castelo Branco,0.15,0.15,0.1,0.15,0.1
115,115,Barqueiros,04,Braga,0.15,0.15,0.1,0.15,0.1
116,116,Barrancos,03,Beja,0.15,0.15,0.1,0.15,0.1
117,117,Barreiro,19,Setúbal,0.15,0.15,0.1,0.15,0.1
118,118,Barroca Grande,06,Castelo Branco,0.15,0.15,0.1,0.15,0.1
119,119,Barrosas,17,Porto,0.15,0.15,0.1,0.15,0.1
120,120,Barão de São João,09,Faro,0.15,0.15,0.1,0.15,0.1
121,121,Batalha,13,Leiria,0.15,0.15,0.1,0.15,0.1
122,122,Beja,03,Beja,0.15,0.15,0.1,0.15,0.1
123,123,Belas,14,Lisboa,0.15,0.15,0.1,0.15,0.1
124,124,Belazaima do Chão,02,Aveiro,0.15,0.15,0.1,0.15,0.1
125,125,Belmonte,06,Castelo Branco,0.15,0.15,0.1,0.15,0.1
126,126,Belver,05,Bragança,0.15,0.15,0.1,0.15,0.1
127,127,Benavente,18,Santarém,0.15,0.15,0.1,0.15,0.1
128,128,Benedita,13,Leiria,0.15,0.15,0.1,0.15,0.1
129,129,Benfica,14,Lisboa,0.15,0.15,0.1,0.15,0.1
130,130,Bensafrim,09,Faro,0.15,0.15,0.1,0.15,0.1
131,131,Beringel,03,Beja,0.15,0.15,0.1,0.15,0.1
132,132,Biscoitos,23,Azores,0.15,0.15,0.1,0.15,0.1
133,133,Boavista dos Pinheiros,03,Beja,0.15,0.15,0.1,0.15,0.1
134,134,Bobadela,14,Lisboa,0.15,0.15,0.1,0.15,0.1
135,135,Boliqueime,09,Faro,0.15,0.15,0.1,0.15,0.1
136,136,Bombarral,13,Leiria,0.15,0.15,0.1,0.15,0.1
137,137,Borba,,Evora,0.15,0.15,0.1,0.15,0.1
138,138,Boticas,21,Vila Real,0.15,0.15,0.1,0.15,0.1
139,139,Bougado,17,Porto,0.15,0.15,0.1,0.15,0.1
140,140,Braga,04,Braga,0.15,0.15,0.1,0.15,0.1
141,141,Bragança,05,Bragança,0.15,0.15,0.1,0.15,0.1
142,142,Branca,02,Aveiro,0.15,0.15,0.1,0.15,0.1
143,143,Britiande,22,Viseu,0.15,0.15,0.1,0.15,0.1
144,144,Brito,04,Braga,0.15,0.15,0.1,0.15,0.1
145,145,Buarcos,07,Coimbra,0.15,0.15,0.1,0.15,0.1
146,146,Bucelas,14,Lisboa,0.15,0.15,0.1,0.15,0.1
147,147,Cabanas de Torres,14,Lisboa,0.15,0.15,0.1,0.15,0.1
148,148,Cabanas de Viriato,22,Viseu,0.15,0.15,0.1,0.15,0.1
149,149,Cabeça Gorda,03,Beja,0.15,0.15,0.1,0.15,0.1
150,150,Cabo da Praia,23,Azores,0.15,0.15,0.1,0.15,0.1
151,151,Cabouco,23,Azores,0.15,0.15,0.1,0.15,0.1
152,152,Cacilhas,19,Setúbal,0.15,0.15,0.1,0.15,0.1
153,153,Cacém,14,Lisboa,0.15,0.15,0.1,0.15,0.1
154,154,Cadafais,14,Lisboa,0.15,0.15,0.1,0.15,0.1
155,155,Cadaval,14,Lisboa,0.15,0.15,0.1,0.15,0.1
156,156,Caldas da Rainha,13,Leiria,0.15,0.15,0.1,0.15,0.1
157,157,Caldas das Taipas,04,Braga,0.15,0.15,0.1,0.15,0.1
158,158,Caldelas,04,Braga,0.15,0.15,0.1,0.15,0.1
159,159,Calheta,10,Madeira,0.15,0.15,0.1,0.15,0.1
160,160,Calheta,23,Azores,0.15,0.15,0.1,0.15,0.1
161,161,Camacha,10,Madeira,0.15,0.15,0.1,0.15,0.1
162,162,Camarate,14,Lisboa,0.15,0.15,0.1,0.15,0.1
163,163,Campanário,10,Madeira,0.15,0.15,0.1,0.15,0.1
164,164,Campelos,14,Lisboa,0.15,0.15,0.1,0.15,0.1
165,165,Campo,17,Porto,0.15,0.15,0.1,0.15,0.1
166,166,Campo,22,Viseu,0.15,0.15,0.1,0.15,0.1
167,167,Campo Maior,16,Portalegre,0.15,0.15,0.1,0.15,0.1
168,168,Campo de Besteiros,22,Viseu,0.15,0.15,0.1,0.15,0.1
169,169,Canas de Senhorim,22,Viseu,0.15,0.15,0.1,0.15,0.1
170,170,Candoso,04,Braga,0.15,0.15,0.1,0.15,0.1
171,171,Canelas,17,Porto,0.15,0.15,0.1,0.15,0.1
172,172,Caneças,14,Lisboa,0.15,0.15,0.1,0.15,0.1
173,173,Canhas,10,Madeira,0.15,0.15,0.1,0.15,0.1
174,174,Canidelo,17,Porto,0.15,0.15,0.1,0.15,0.1
175,175,Caniçal,10,Madeira,0.15,0.15,0.1,0.15,0.1
176,176,Caniço,10,Madeira,0.15,0.15,0.1,0.15,0.1
177,177,Cantanhede,07,Coimbra,0.15,0.15,0.1,0.15,0.1
178,178,Caparica,19,Setúbal,0.15,0.15,0.1,0.15,0.1
179,179,Caranguejeira,13,Leiria,0.15,0.15,0.1,0.15,0.1
180,180,Carapinheira,07,Coimbra,0.15,0.15,0.1,0.15,0.1
181,181,Carcavelos,14,Lisboa,0.15,0.15,0.1,0.15,0.1
182,182,Carnaxide,14,Lisboa,0.15,0.15,0.1,0.15,0.1
183,183,Carregado,14,Lisboa,0.15,0.15,0.1,0.15,0.1
184,184,Carregal do Sal,22,Viseu,0.15,0.15,0.1,0.15,0.1
185,185,Cartaxo,18,Santarém,0.15,0.15,0.1,0.15,0.1
186,186,Carvalhosa,17,Porto,0.15,0.15,0.1,0.15,0.1
187,187,Carvoeiro,18,Santarém,0.15,0.15,0.1,0.15,0.1
188,188,Carvoeiro,09,Faro,0.15,0.15,0.1,0.15,0.1
189,189,Cascais,14,Lisboa,0.15,0.15,0.1,0.15,0.1
190,190,Castanheira de Pêra,13,Leiria,0.15,0.15,0.1,0.15,0.1
191,191,Castanheira do Ribatejo,14,Lisboa,0.15,0.15,0.1,0.15,0.1
192,192,Castelo Branco,06,Castelo Branco,0.15,0.15,0.1,0.15,0.1
193,193,Castelo Branco,23,Azores,0.15,0.15,0.1,0.15,0.1
194,194,Castelo de Paiva,02,Aveiro,0.15,0.15,0.1,0.15,0.1
195,195,Castelo de Vide,16,Portalegre,0.15,0.15,0.1,0.15,0.1
196,196,Castro Daire,22,Viseu,0.15,0.15,0.1,0.15,0.1
197,197,Castro Marim,09,Faro,0.15,0.15,0.1,0.15,0.1
198,198,Castro Verde,03,Beja,0.15,0.15,0.1,0.15,0.1
199,199,Caxias,14,Lisboa,0.15,0.15,0.1,0.15,0.1
200,200,Cedros,23,Azores,0.15,0.15,0.1,0.15,0.1
201,201,Cela,13,Leiria,0.15,0.15,0.1,0.15,0.1
202,202,Celorico da Beira,11,Guarda,0.15,0.15,0.1,0.15,0.1
203,203,Celorico de Basto,04,Braga,0.15,0.15,0.1,0.15,0.1
204,204,Cercal,19,Setúbal,0.15,0.15,0.1,0.15,0.1
205,205,Charneca,14,Lisboa,0.15,0.15,0.1,0.15,0.1
206,206,Charneca de Caparica,19,Setúbal,0.15,0.15,0.1,0.15,0.1
207,207,Chaves,21,Vila Real,0.15,0.15,0.1,0.15,0.1
208,208,Chavão,04,Braga,0.15,0.15,0.1,0.15,0.1
209,209,Cinfães,22,Viseu,0.15,0.15,0.1,0.15,0.1
210,210,Coimbra,07,Coimbra,0.15,0.15,0.1,0.15,0.1
211,211,Colares,14,Lisboa,0.15,0.15,0.1,0.15,0.1
212,212,Comenda,16,Portalegre,0.15,0.15,0.1,0.15,0.1
213,213,Comporta,19,Setúbal,0.15,0.15,0.1,0.15,0.1
214,214,Conceição,09,Faro,0.15,0.15,0.1,0.15,0.1
215,215,Constância,18,Santarém,0.15,0.15,0.1,0.15,0.1
216,216,Corroios,19,Setúbal,0.15,0.15,0.1,0.15,0.1
217,217,Cortegaça,02,Aveiro,0.15,0.15,0.1,0.15,0.1
218,218,Coruche,18,Santarém,0.15,0.15,0.1,0.15,0.1
219,219,Costa de Caparica,19,Setúbal,0.15,0.15,0.1,0.15,0.1
220,220,Covilhã,06,Castelo Branco,0.15,0.15,0.1,0.15,0.1
221,221,Cristelo,04,Braga,0.15,0.15,0.1,0.15,0.1
222,222,Cuba,03,Beja,0.15,0.15,0.1,0.15,0.1
223,223,Cucujães,02,Aveiro,0.15,0.15,0.1,0.15,0.1
224,224,Curral das Freiras,10,Madeira,0.15,0.15,0.1,0.15,0.1
225,225,Câmara de Lobos,10,Madeira,0.15,0.15,0.1,0.15,0.1
226,226,Eixo,02,Aveiro,0.15,0.15,0.1,0.15,0.1
227,227,Elvas,16,Portalegre,0.15,0.15,0.1,0.15,0.1
228,228,Entroncamento,18,Santarém,0.15,0.15,0.1,0.15,0.1
229,229,Ericeira,14,Lisboa,0.15,0.15,0.1,0.15,0.1
230,230,Ermesinde,17,Porto,0.15,0.15,0.1,0.15,0.1
231,231,Ervedosa do Douro,22,Viseu,0.15,0.15,0.1,0.15,0.1
232,232,Esmoriz,02,Aveiro,0.15,0.15,0.1,0.15,0.1
233,233,Espargo,02,Aveiro,0.15,0.15,0.1,0.15,0.1
234,234,Espinho,02,Aveiro,0.15,0.15,0.1,0.15,0.1
235,235,Esporões,04,Braga,0.15,0.15,0.1,0.15,0.1
236,236,Esposende,04,Braga,0.15,0.15,0.1,0.15,0.1
237,237,Estarreja,02,Aveiro,0.15,0.15,0.1,0.15,0.1
238,238,Estela,17,Porto,0.15,0.15,0.1,0.15,0.1
239,239,Estoi,09,Faro,0.15,0.15,0.1,0.15,0.1
240,240,Estoril,14,Lisboa,0.15,0.15,0.1,0.15,0.1
241,241,Estremoz,,Evora,0.15,0.15,0.1,0.15,0.1
242,242,Estômbar,09,Faro,0.15,0.15,0.1,0.15,0.1
243,243,Fafe,04,Braga,0.15,0.15,0.1,0.15,0.1
244,244,Faial,10,Madeira,0.15,0.15,0.1,0.15,0.1
245,245,Fajã da Ovelha,10,Madeira,0.15,0.15,0.1,0.15,0.1
246,246,Fajã de Baixo,23,Azores,0.15,0.15,0.1,0.15,0.1
247,247,Famalicão,13,Leiria,0.15,0.15,0.1,0.15,0.1
248,248,Famalicão,11,Guarda,0.15,0.15,0.1,0.15,0.1
249,249,Famões,14,Lisboa,0.15,0.15,0.1,0.15,0.1
250,250,Faria,04,Braga,0.15,0.15,0.1,0.15,0.1
251,251,Faro,09,Faro,0.15,0.15,0.1,0.15,0.1
252,252,Faro do Alentejo,03,Beja,0.15,0.15,0.1,0.15,0.1
253,253,Favaios,21,Vila Real,0.15,0.15,0.1,0.15,0.1
254,254,Fazendas de Almeirim,18,Santarém,0.15,0.15,0.1,0.15,0.1
255,255,Feira,02,Aveiro,0.15,0.15,0.1,0.15,0.1
256,256,Felgueiras,17,Porto,0.15,0.15,0.1,0.15,0.1
257,257,Fenais da Ajuda,23,Azores,0.15,0.15,0.1,0.15,0.1
258,258,Fenais da Luz,23,Azores,0.15,0.15,0.1,0.15,0.1
259,259,Ferragudo,09,Faro,0.15,0.15,0.1,0.15,0.1
260,260,Ferreira,17,Porto,0.15,0.15,0.1,0.15,0.1
261,261,Ferreira do Alentejo,03,Beja,0.15,0.15,0.1,0.15,0.1
262,262,Ferreira do Zêzere,18,Santarém,0.15,0.15,0.1,0.15,0.1
263,263,Ferreiras,09,Faro,0.15,0.15,0.1,0.15,0.1
264,264,Ferreiros,04,Braga,0.15,0.15,0.1,0.15,0.1
