STATE,ST,TIMEZONE,TZ
Aveiro,02,Western European Time,WET
Beja,03,Western European Time,WET
Braga,04,Western European Time,WET
Bragança,05,Western European Time,WET
Castelo Branco,06,Western European Time,WET
Coimbra,07,Western European Time,WET
Évora,08,Western European Time,WET
Faro,09,Western European Time,WET
Madeira,10,Western European Time,WET
Guarda,11,Western European Time,WET
Leiria,13,Western European Time,WET
Lisboa,14,Western European Time,WET
Portalegre,16,Western European Time,WET
Porto,17,Western European Time,WET
Santarém,18,Western European Time,WET
Setúbal,19,Western European Time,WET
Viana Do Castelo,20,Western European Time,WET
Vila Real,21,Western European Time,WET
Viseu,22,Western European Time,WET
Azores,23,Western European Time,WET
