FIPS_CODE,COUNTY_CODE,COUNTY,ST,STATE,FOOD_INSECURITY,SEVERE_HOUSING_COST_BURDEN,UNEMPLOYED,NO_VEHICLE_ACCESS,UNINSURED
0,0,1 Decembrie,43,Ilfov,0.15,0.15,0.1,0.15,0.1
1,1,23 August,12,Caraş-severin,0.15,0.15,0.1,0.15,0.1
2,2,23 August,,Constanta,0.15,0.15,0.1,0.15,0.1
3,3,Abram,05,Bihor,0.15,0.15,0.1,0.15,0.1
4,4,Abrud,01,Alba,0.15,0.15,0.1,0.15,0.1
5,5,Abrud-Sat,01,Alba,0.15,0.15,0.1,0.15,0.1
6,6,Abrămuţ,05,Bihor,0.15,0.15,0.1,0.15,0.1
7,7,Acmariu,01,Alba,0.15,0.15,0.1,0.15,0.1
8,8,Acâş,32,Satu Mare,0.15,0.15,0.1,0.15,0.1
9,9,Acăţari,27,Mureş,0.15,0.15,0.1,0.15,0.1
10,10,Adam,18,Galaţi,0.15,0.15,0.1,0.15,0.1
11,11,Adamclisi,,Constanta,0.15,0.15,0.1,0.15,0.1
12,12,Adea,02,Arad,0.15,0.15,0.1,0.15,0.1
13,13,Adjud,40,Vrancea,0.15,0.15,0.1,0.15,0.1
14,14,Adjudeni,,Neamt,0.15,0.15,0.1,0.15,0.1
15,15,Adjudu Vechi,40,Vrancea,0.15,0.15,0.1,0.15,0.1
16,16,Adoni,05,Bihor,0.15,0.15,0.1,0.15,0.1
17,17,Adrian,32,Satu Mare,0.15,0.15,0.1,0.15,0.1
18,18,Adunaţi,30,Prahova,0.15,0.15,0.1,0.15,0.1
19,19,Adânca,16,Dâmboviţa,0.15,0.15,0.1,0.15,0.1
20,20,Adâncata,22,Ialomiţa,0.15,0.15,0.1,0.15,0.1
21,21,Adâncata,34,Suceava,0.15,0.15,0.1,0.15,0.1
22,22,Adămuş,27,Mureş,0.15,0.15,0.1,0.15,0.1
23,23,Afumaţi,17,Dolj,0.15,0.15,0.1,0.15,0.1
24,24,Afumaţi,43,Ilfov,0.15,0.15,0.1,0.15,0.1
25,25,Agapia,,Neamt,0.15,0.15,0.1,0.15,0.1
26,26,Agaua,08,Brăila,0.15,0.15,0.1,0.15,0.1
27,27,Agigea,,Constanta,0.15,0.15,0.1,0.15,0.1
28,28,Agighiol,37,Tulcea,0.15,0.15,0.1,0.15,0.1
29,29,Agnita,33,Sibiu,0.15,0.15,0.1,0.15,0.1
30,30,Agrij,31,Sălaj,0.15,0.15,0.1,0.15,0.1
31,31,Agârbiciu,33,Sibiu,0.15,0.15,0.1,0.15,0.1
32,32,Agârbiciu,13,Cluj,0.15,0.15,0.1,0.15,0.1
33,33,Agăş,04,Bacău,0.15,0.15,0.1,0.15,0.1
34,34,Aita Mare,15,Covasna,0.15,0.15,0.1,0.15,0.1
35,35,Aita Medie,15,Covasna,0.15,0.15,0.1,0.15,0.1
36,36,Aita Seacă,15,Covasna,0.15,0.15,0.1,0.15,0.1
37,37,Aiton,13,Cluj,0.15,0.15,0.1,0.15,0.1
38,38,Aiud,01,Alba,0.15,0.15,0.1,0.15,0.1
39,39,Aiudul de Sus,01,Alba,0.15,0.15,0.1,0.15,0.1
40,40,Alba,07,Botoşani,0.15,0.15,0.1,0.15,0.1
41,41,Alba Iulia,01,Alba,0.15,0.15,0.1,0.15,0.1
42,42,Albac,01,Alba,0.15,0.15,0.1,0.15,0.1
43,43,Albele,04,Bacău,0.15,0.15,0.1,0.15,0.1
44,44,Albeni,19,Gorj,0.15,0.15,0.1,0.15,0.1
45,45,Albeşti,,Constanta,0.15,0.15,0.1,0.15,0.1
46,46,Albeşti,22,Ialomiţa,0.15,0.15,0.1,0.15,0.1
47,47,Albeşti,27,Mureş,0.15,0.15,0.1,0.15,0.1
48,48,Albeşti,38,Vaslui,0.15,0.15,0.1,0.15,0.1
49,49,Albeşti,07,Botoşani,0.15,0.15,0.1,0.15,0.1
50,50,Albeşti,03,Argeş,0.15,0.15,0.1,0.15,0.1
51,51,Albeşti-Paleologu,30,Prahova,0.15,0.15,0.1,0.15,0.1
52,52,Albeştii Pământeni,03,Argeş,0.15,0.15,0.1,0.15,0.1
53,53,Albeştii de Argeş,03,Argeş,0.15,0.15,0.1,0.15,0.1
54,54,Albota,03,Argeş,0.15,0.15,0.1,0.15,0.1
55,55,Aldeni,11,Buzău,0.15,0.15,0.1,0.15,0.1
56,56,Alexandria,35,Teleorman,0.15,0.15,0.1,0.15,0.1
57,57,Alexandru I. Cuza,23,Iaşi,0.15,0.15,0.1,0.15,0.1
58,58,Alexandru Odobescu,41,Călăraşi,0.15,0.15,0.1,0.15,0.1
59,59,Alexandru Odobescu,11,Buzău,0.15,0.15,0.1,0.15,0.1
60,60,Alexandru cel Bun,23,Iaşi,0.15,0.15,0.1,0.15,0.1
61,61,Alexeni,23,Iaşi,0.15,0.15,0.1,0.15,0.1
62,62,Alexeni,22,Ialomiţa,0.15,0.15,0.1,0.15,0.1
63,63,Aleşd,05,Bihor,0.15,0.15,0.1,0.15,0.1
64,64,Aliceni,11,Buzău,0.15,0.15,0.1,0.15,0.1
65,65,Aliman,,Constanta,0.15,0.15,0.1,0.15,0.1
66,66,Alimpeşti,19,Gorj,0.15,0.15,0.1,0.15,0.1
67,67,Alma,33,Sibiu,0.15,0.15,0.1,0.15,0.1
68,68,Almaş,02,Arad,0.15,0.15,0.1,0.15,0.1
69,69,Almaşu,31,Sălaj,0.15,0.15,0.1,0.15,0.1
70,70,Almaşu Mare,01,Alba,0.15,0.15,0.1,0.15,0.1
71,71,Almăj,17,Dolj,0.15,0.15,0.1,0.15,0.1
72,72,Almăjel,26,Mehedinţi,0.15,0.15,0.1,0.15,0.1
73,73,Almălău,,Constanta,0.15,0.15,0.1,0.15,0.1
74,74,Alparea,05,Bihor,0.15,0.15,0.1,0.15,0.1
75,75,Aluniş,30,Prahova,0.15,0.15,0.1,0.15,0.1
76,76,Aluniş,13,Cluj,0.15,0.15,0.1,0.15,0.1
77,77,Aluniş,27,Mureş,0.15,0.15,0.1,0.15,0.1
78,78,Alunu,39,Vâlcea,0.15,0.15,0.1,0.15,0.1
79,79,Alămor,33,Sibiu,0.15,0.15,0.1,0.15,0.1
80,80,Amara,22,Ialomiţa,0.15,0.15,0.1,0.15,0.1
81,81,Amara,11,Buzău,0.15,0.15,0.1,0.15,0.1
82,82,Amaru,11,Buzău,0.15,0.15,0.1,0.15,0.1
83,83,Ambud,32,Satu Mare,0.15,0.15,0.1,0.15,0.1
84,84,Amzacea,,Constanta,0.15,0.15,0.1,0.15,0.1
85,85,Amărăşti,39,Vâlcea,0.15,0.15,0.1,0.15,0.1
86,86,Amărăştii de Jos,17,Dolj,0.15,0.15,0.1,0.15,0.1
87,87,Amărăştii de Sus,17,Dolj,0.15,0.15,0.1,0.15,0.1
88,88,Andreiaşu de Jos,40,Vrancea,0.15,0.15,0.1,0.15,0.1
89,89,Andrid,32,Satu Mare,0.15,0.15,0.1,0.15,0.1
90,90,Andrieşeni,23,Iaşi,0.15,0.15,0.1,0.15,0.1
91,91,Andrăşeşti,22,Ialomiţa,0.15,0.15,0.1,0.15,0.1
92,92,Anina,12,Caraş-severin,0.15,0.15,0.1,0.15,0.1
93,93,Aninoasa,19,Gorj,0.15,0.15,0.1,0.15,0.1
94,94,Aninoasa,16,Dâmboviţa,0.15,0.15,0.1,0.15,0.1
95,95,Aninoasa,21,Hunedoara,0.15,0.15,0.1,0.15,0.1
96,96,Aninoasa,03,Argeş,0.15,0.15,0.1,0.15,0.1
97,97,Apa,32,Satu Mare,0.15,0.15,0.1,0.15,0.1
98,98,Apa Asău,04,Bacău,0.15,0.15,0.1,0.15,0.1
99,99,Apahida,13,Cluj,0.15,0.15,0.1,0.15,0.1
100,100,Apalina,27,Mureş,0.15,0.15,0.1,0.15,0.1
101,101,Apateu,02,Arad,0.15,0.15,0.1,0.15,0.1
102,102,Apaţa,,Brasov,0.15,0.15,0.1,0.15,0.1
103,103,Apele Vii,17,Dolj,0.15,0.15,0.1,0.15,0.1
104,104,Apold,27,Mureş,0.15,0.15,0.1,0.15,0.1
105,105,Apoldu de Jos,33,Sibiu,0.15,0.15,0.1,0.15,0.1
106,106,Apostolache,30,Prahova,0.15,0.15,0.1,0.15,0.1
107,107,Aprozi,41,Călăraşi,0.15,0.15,0.1,0.15,0.1
108,108,Araci,15,Covasna,0.15,0.15,0.1,0.15,0.1
109,109,Arad,02,Arad,0.15,0.15,0.1,0.15,0.1
110,110,Arama,23,Iaşi,0.15,0.15,0.1,0.15,0.1
111,111,Arbore,34,Suceava,0.15,0.15,0.1,0.15,0.1
112,112,Arborea,07,Botoşani,0.15,0.15,0.1,0.15,0.1
113,113,Arcalia,06,Bistriţa-năsăud,0.15,0.15,0.1,0.15,0.1
114,114,Arcani,19,Gorj,0.15,0.15,0.1,0.15,0.1
115,115,Archid,31,Sălaj,0.15,0.15,0.1,0.15,0.1
116,116,Archita,27,Mureş,0.15,0.15,0.1,0.15,0.1
117,117,Archiud,06,Bistriţa-năsăud,0.15,0.15,0.1,0.15,0.1
118,118,Archiş,02,Arad,0.15,0.15,0.1,0.15,0.1
119,119,Ardan,06,Bistriţa-năsăud,0.15,0.15,0.1,0.15,0.1
120,120,Ardeoani,04,Bacău,0.15,0.15,0.1,0.15,0.1
121,121,Ardud,32,Satu Mare,0.15,0.15,0.1,0.15,0.1
122,122,Ardusat,25,Maramureş,0.15,0.15,0.1,0.15,0.1
123,123,Arduzel,25,Maramureş,0.15,0.15,0.1,0.15,0.1
124,124,Arefu,03,Argeş,0.15,0.15,0.1,0.15,0.1
125,125,Argel,34,Suceava,0.15,0.15,0.1,0.15,0.1
126,126,Argestru,34,Suceava,0.15,0.15,0.1,0.15,0.1
127,127,Argetoaia,17,Dolj,0.15,0.15,0.1,0.15,0.1
128,128,Arghira,34,Suceava,0.15,0.15,0.1,0.15,0.1
129,129,Arieşeni,01,Alba,0.15,0.15,0.1,0.15,0.1
130,130,Arini,,Brasov,0.15,0.15,0.1,0.15,0.1
131,131,Arini,04,Bacău,0.15,0.15,0.1,0.15,0.1
132,132,Ariniş,25,Maramureş,0.15,0.15,0.1,0.15,0.1
133,133,Armeni,33,Sibiu,0.15,0.15,0.1,0.15,0.1
134,134,Armeniş,12,Caraş-severin,0.15,0.15,0.1,0.15,0.1
135,135,Armăşeşti,22,Ialomiţa,0.15,0.15,0.1,0.15,0.1
136,136,Aroneanu,23,Iaşi,0.15,0.15,0.1,0.15,0.1
137,137,Arpaşu de Jos,33,Sibiu,0.15,0.15,0.1,0.15,0.1
138,138,Arsa,,Constanta,0.15,0.15,0.1,0.15,0.1
139,139,Arsura,38,Vaslui,0.15,0.15,0.1,0.15,0.1
140,140,Artanu,19,Gorj,0.15,0.15,0.1,0.15,0.1
141,141,Arva,30,Prahova,0.15,0.15,0.1,0.15,0.1
142,142,Arvăteasca,29,Olt,0.15,0.15,0.1,0.15,0.1
143,143,Asuaju de Sus,25,Maramureş,0.15,0.15,0.1,0.15,0.1
144,144,Asău,04,Bacău,0.15,0.15,0.1,0.15,0.1
145,145,Atid,20,Harghita,0.15,0.15,0.1,0.15,0.1
146,146,Augustin,,Brasov,0.15,0.15,0.1,0.15,0.1
147,147,Aurel Vlaicu,21,Hunedoara,0.15,0.15,0.1,0.15,0.1
148,148,Aurel Vlaicu,07,Botoşani,0.15,0.15,0.1,0.15,0.1
149,149,Aurora,26,Mehedinţi,0.15,0.15,0.1,0.15,0.1
150,150,Auşeu,05,Bihor,0.15,0.15,0.1,0.15,0.1
151,151,Avram Iancu,05,Bihor,0.15,0.15,0.1,0.15,0.1
152,152,Avram Iancu,02,Arad,0.15,0.15,0.1,0.15,0.1
153,153,Avram Iancu,01,Alba,0.15,0.15,0.1,0.15,0.1
154,154,Avrig,33,Sibiu,0.15,0.15,0.1,0.15,0.1
155,155,Avrămeni,07,Botoşani,0.15,0.15,0.1,0.15,0.1
156,156,Avrămeşti,20,Harghita,0.15,0.15,0.1,0.15,0.1
157,157,Avântu,23,Iaşi,0.15,0.15,0.1,0.15,0.1
158,158,Axente Sever,33,Sibiu,0.15,0.15,0.1,0.15,0.1
159,159,Axintele,22,Ialomiţa,0.15,0.15,0.1,0.15,0.1
160,160,Azuga,30,Prahova,0.15,0.15,0.1,0.15,0.1
161,161,Aştileu,05,Bihor,0.15,0.15,0.1,0.15,0.1
162,162,Aţel,33,Sibiu,0.15,0.15,0.1,0.15,0.1
163,163,Aţintiş,27,Mureş,0.15,0.15,0.1,0.15,0.1
164,164,Baba,25,Maramureş,0.15,0.15,0.1,0.15,0.1
165,165,Baba Ana,30,Prahova,0.15,0.15,0.1,0.15,0.1
166,166,Baba Novac,32,Satu Mare,0.15,0.15,0.1,0.15,0.1
167,167,Babadag,37,Tulcea,0.15,0.15,0.1,0.15,0.1
168,168,Babaroaga,03,Argeş,0.15,0.15,0.1,0.15,0.1
169,169,Bacea,29,Olt,0.15,0.15,0.1,0.15,0.1
170,170,Baciu,13,Cluj,0.15,0.15,0.1,0.15,0.1
171,171,Baciu,35,Teleorman,0.15,0.15,0.1,0.15,0.1
172,172,Bacova,36,Timiş,0.15,0.15,0.1,0.15,0.1
173,173,Bacău,04,Bacău,0.15,0.15,0.1,0.15,0.1
174,174,Badon,31,Sălaj,0.15,0.15,0.1,0.15,0.1
175,175,Bahna,,Neamt,0.15,0.15,0.1,0.15,0.1
176,176,Bahna,04,Bacău,0.15,0.15,0.1,0.15,0.1
177,177,Bahnari,38,Vaslui,0.15,0.15,0.1,0.15,0.1
178,178,Bahnea,27,Mureş,0.15,0.15,0.1,0.15,0.1
179,179,Bahnele,40,Vrancea,0.15,0.15,0.1,0.15,0.1
180,180,Baia,34,Suceava,0.15,0.15,0.1,0.15,0.1
181,181,Baia,37,Tulcea,0.15,0.15,0.1,0.15,0.1
182,182,Baia Mare,25,Maramureş,0.15,0.15,0.1,0.15,0.1
183,183,Baia Sprie,25,Maramureş,0.15,0.15,0.1,0.15,0.1
184,184,Baia de Aramă,26,Mehedinţi,0.15,0.15,0.1,0.15,0.1
185,185,Baia de Arieş,01,Alba,0.15,0.15,0.1,0.15,0.1
186,186,Baia de Criş,21,Hunedoara,0.15,0.15,0.1,0.15,0.1
187,187,Baia de Fier,19,Gorj,0.15,0.15,0.1,0.15,0.1
188,188,Bajura,07,Botoşani,0.15,0.15,0.1,0.15,0.1
189,189,Bala,26,Mehedinţi,0.15,0.15,0.1,0.15,0.1
190,190,Bala de Sus,26,Mehedinţi,0.15,0.15,0.1,0.15,0.1
191,191,Balaci,35,Teleorman,0.15,0.15,0.1,0.15,0.1
192,192,Balaciu,22,Ialomiţa,0.15,0.15,0.1,0.15,0.1
193,193,Balc,05,Bihor,0.15,0.15,0.1,0.15,0.1
194,194,Balcani,04,Bacău,0.15,0.15,0.1,0.15,0.1
195,195,Balda,27,Mureş,0.15,0.15,0.1,0.15,0.1
196,196,Baldovineşti,29,Olt,0.15,0.15,0.1,0.15,0.1
197,197,Balinţ,36,Timiş,0.15,0.15,0.1,0.15,0.1
198,198,Balomiru de Câmp,01,Alba,0.15,0.15,0.1,0.15,0.1
199,199,Baloteşti,43,Ilfov,0.15,0.15,0.1,0.15,0.1
200,200,Balta,26,Mehedinţi,0.15,0.15,0.1,0.15,0.1
201,201,Balta Albă,11,Buzău,0.15,0.15,0.1,0.15,0.1
202,202,Balta Doamnei,30,Prahova,0.15,0.15,0.1,0.15,0.1
203,203,Balta Sărată,35,Teleorman,0.15,0.15,0.1,0.15,0.1
204,204,Balta Verde,26,Mehedinţi,0.15,0.15,0.1,0.15,0.1
205,205,Balş,29,Olt,0.15,0.15,0.1,0.15,0.1
206,206,Balşa,21,Hunedoara,0.15,0.15,0.1,0.15,0.1
207,207,Banca,38,Vaslui,0.15,0.15,0.1,0.15,0.1
208,208,Bancu,20,Harghita,0.15,0.15,0.1,0.15,0.1
209,209,Band,27,Mureş,0.15,0.15,0.1,0.15,0.1
210,210,Banloc,36,Timiş,0.15,0.15,0.1,0.15,0.1
211,211,Banpotoc,21,Hunedoara,0.15,0.15,0.1,0.15,0.1
212,212,Bara,36,Timiş,0.15,0.15,0.1,0.15,0.1
213,213,Baranca,07,Botoşani,0.15,0.15,0.1,0.15,0.1
214,214,Baraolt,15,Covasna,0.15,0.15,0.1,0.15,0.1
215,215,Barcana,04,Bacău,0.15,0.15,0.1,0.15,0.1
216,216,Barcani,15,Covasna,0.15,0.15,0.1,0.15,0.1
217,217,Barcea,18,Galaţi,0.15,0.15,0.1,0.15,0.1
218,218,Baru,21,Hunedoara,0.15,0.15,0.1,0.15,0.1
219,219,Barza,21,Hunedoara,0.15,0.15,0.1,0.15,0.1
220,220,Barza,29,Olt,0.15,0.15,0.1,0.15,0.1
221,221,Barza,39,Vâlcea,0.15,0.15,0.1,0.15,0.1
222,222,Basarabi,34,Suceava,0.15,0.15,0.1,0.15,0.1
223,223,Basarabi,17,Dolj,0.15,0.15,0.1,0.15,0.1
224,224,Bata,02,Arad,0.15,0.15,0.1,0.15,0.1
225,225,Bata,06,Bistriţa-năsăud,0.15,0.15,0.1,0.15,0.1
226,226,Batin,13,Cluj,0.15,0.15,0.1,0.15,0.1
227,227,Batiz,21,Hunedoara,0.15,0.15,0.1,0.15,0.1
228,228,Batogu,08,Brăila,0.15,0.15,0.1,0.15,0.1
229,229,Batoş,27,Mureş,0.15,0.15,0.1,0.15,0.1
230,230,Batăr,05,Bihor,0.15,0.15,0.1,0.15,0.1
231,231,Bazga,04,Bacău,0.15,0.15,0.1,0.15,0.1
232,232,Bazna,33,Sibiu,0.15,0.15,0.1,0.15,0.1
233,233,Başcov,03,Argeş,0.15,0.15,0.1,0.15,0.1
234,234,Beba Veche,36,Timiş,0.15,0.15,0.1,0.15,0.1
235,235,Beceni,11,Buzău,0.15,0.15,0.1,0.15,0.1
236,236,Becheni,32,Satu Mare,0.15,0.15,0.1,0.15,0.1
237,237,Bechet,17,Dolj,0.15,0.15,0.1,0.15,0.1
238,238,Becicherecu Mic,36,Timiş,0.15,0.15,0.1,0.15,0.1
239,239,Beciu,35,Teleorman,0.15,0.15,0.1,0.15,0.1
240,240,Beclean,,Brasov,0.15,0.15,0.1,0.15,0.1
241,241,Beclean,06,Bistriţa-năsăud,0.15,0.15,0.1,0.15,0.1
242,242,Bedeciu,13,Cluj,0.15,0.15,0.1,0.15,0.1
243,243,Beica de Jos,27,Mureş,0.15,0.15,0.1,0.15,0.1
244,244,Beidaud,37,Tulcea,0.15,0.15,0.1,0.15,0.1
245,245,Beiu,35,Teleorman,0.15,0.15,0.1,0.15,0.1
246,246,Beiuş,05,Bihor,0.15,0.15,0.1,0.15,0.1
247,247,Bela,16,Dâmboviţa,0.15,0.15,0.1,0.15,0.1
248,248,Belceşti,23,Iaşi,0.15,0.15,0.1,0.15,0.1
249,249,Belcinu,17,Dolj,0.15,0.15,0.1,0.15,0.1
250,250,Belciug,30,Prahova,0.15,0.15,0.1,0.15,0.1
251,251,Belciug,35,Teleorman,0.15,0.15,0.1,0.15,0.1
252,252,Belciugatele,41,Călăraşi,0.15,0.15,0.1,0.15,0.1
253,253,Beleţi,03,Argeş,0.15,0.15,0.1,0.15,0.1
254,254,Belfir,05,Bihor,0.15,0.15,0.1,0.15,0.1
255,255,Belin,15,Covasna,0.15,0.15,0.1,0.15,0.1
256,256,Belin-Vale,15,Covasna,0.15,0.15,0.1,0.15,0.1
257,257,Belinţ,36,Timiş,0.15,0.15,0.1,0.15,0.1
258,258,Beliu,02,Arad,0.15,0.15,0.1,0.15,0.1
259,259,Beliş,13,Cluj,0.15,0.15,0.1,0.15,0.1
260,260,Beltiug,32,Satu Mare,0.15,0.15,0.1,0.15,0.1
261,261,Bencecu de Sus,36,Timiş,0.15,0.15,0.1,0.15,0.1
262,262,Benesat,31,Sălaj,0.15,0.15,0.1,0.15,0.1
263,263,Benia,34,Suceava,0.15,0.15,0.1,0.15,0.1
264,264,Benic,01,Alba,0.15,0.15,0.1,0.15,0.1
265,265,Bentu,11,Buzău,0.15,0.15,0.1,0.15,0.1
266,266,Berbeşti,39,Vâlcea,0.15,0.15,0.1,0.15,0.1
267,267,Berca,11,Buzău,0.15,0.15,0.1,0.15,0.1
268,268,Berceni,43,Ilfov,0.15,0.15,0.1,0.15,0.1
269,269,Berceni,30,Prahova,0.15,0.15,0.1,0.15,0.1
270,270,Berchez,25,Maramureş,0.15,0.15,0.1,0.15,0.1
271,271,Berchezoaia,25,Maramureş,0.15,0.15,0.1,0.15,0.1
272,272,Bercu,32,Satu Mare,0.15,0.15,0.1,0.15,0.1
273,273,Berechiu,02,Arad,0.15,0.15,0.1,0.15,0.1
274,274,Beregsău Mare,36,Timiş,0.15,0.15,0.1,0.15,0.1
275,275,Beregsău Mic,36,Timiş,0.15,0.15,0.1,0.15,0.1
276,276,Bereni,27,Mureş,0.15,0.15,0.1,0.15,0.1
277,277,Berevoeşti,03,Argeş,0.15,0.15,0.1,0.15,0.1
278,278,Berezeni,38,Vaslui,0.15,0.15,0.1,0.15,0.1
279,279,Bereşti-Bistriţa,04,Bacău,0.15,0.15,0.1,0.15,0.1
280,280,Bereşti-Tazlău,04,Bacău,0.15,0.15,0.1,0.15,0.1
281,281,Berghin,01,Alba,0.15,0.15,0.1,0.15,0.1
282,282,Berindei,29,Olt,0.15,0.15,0.1,0.15,0.1
283,283,Berindu,13,Cluj,0.15,0.15,0.1,0.15,0.1
