,USPS,ST,NAME,ZCTA5,LAT,LON
0,Alba,01,Bărăbanţ,510001,46.0993,23.5849
1,Alba,01,Miceşti,510002,46.1014,23.5557
2,Alba,01,Alba Iulia,510002,46.0667,23.5833
3,Alba,01,Oarda,510003,46.0333,23.5667
4,Alba,01,Pâclişa,510004,46.05,23.5167
5,Alba,01,Alba Iulia,510005,46.0667,23.5833
6,Alba,01,Alba Iulia,510006,46.0667,23.5833
7,Alba,01,Alba Iulia,510007,46.0667,23.5833
8,Alba,01,Alba Iulia,510008,46.0667,23.5833
9,Alba,01,Alba Iulia,510009,46.0667,23.5833
10,Alba,01,Alba Iulia,510010,46.0667,23.5833
11,Alba,01,Alba Iulia,510011,46.0667,23.5833
12,Alba,01,Alba Iulia,510012,46.0667,23.5833
13,Alba,01,Alba Iulia,510014,46.0667,23.5833
14,Alba,01,Alba Iulia,510016,46.0667,23.5833
15,Alba,01,Alba Iulia,510017,46.0667,23.5833
16,Alba,01,Alba Iulia,510021,46.0667,23.5833
17,Alba,01,Alba Iulia,510022,46.0667,23.5833
18,Alba,01,Alba Iulia,510026,46.0667,23.5833
19,Alba,01,Alba Iulia,510029,46.0667,23.5833
20,Alba,01,Alba Iulia,510030,46.0667,23.5833
21,Alba,01,Alba Iulia,510031,46.0667,23.5833
22,Alba,01,Alba Iulia,510032,46.0667,23.5833
23,Alba,01,Alba Iulia,510033,46.0667,23.5833
24,Alba,01,Alba Iulia,510034,46.0667,23.5833
25,Alba,01,Alba Iulia,510037,46.0667,23.5833
26,Alba,01,Alba Iulia,510039,46.0667,23.5833
27,Alba,01,Alba Iulia,510040,46.0667,23.5833
28,Alba,01,Alba Iulia,510041,46.0667,23.5833
29,Alba,01,Alba Iulia,510042,46.0667,23.5833
30,Alba,01,Alba Iulia,510045,46.0667,23.5833
31,Alba,01,Alba Iulia,510046,46.0667,23.5833
32,Alba,01,Alba Iulia,510047,46.0667,23.5833
33,Alba,01,Alba Iulia,510048,46.0667,23.5833
34,Alba,01,Alba Iulia,510049,46.0667,23.5833
35,Alba,01,Alba Iulia,510050,46.0667,23.5833
36,Alba,01,Alba Iulia,510053,46.0667,23.5833
37,Alba,01,Alba Iulia,510054,46.0667,23.5833
38,Alba,01,Alba Iulia,510055,46.0667,23.5833
39,Alba,01,Alba Iulia,510056,46.0667,23.5833
40,Alba,01,Alba Iulia,510057,46.0667,23.5833
41,Alba,01,Alba Iulia,510061,46.0667,23.5833
42,Alba,01,Alba Iulia,510062,46.0667,23.5833
43,Alba,01,Alba Iulia,510063,46.0667,23.5833
44,Alba,01,Alba Iulia,510064,46.0667,23.5833
45,Alba,01,Alba Iulia,510065,46.0667,23.5833
46,Alba,01,Alba Iulia,510066,46.0667,23.5833
47,Alba,01,Alba Iulia,510070,46.0667,23.5833
48,Alba,01,Alba Iulia,510072,46.0667,23.5833
49,Alba,01,Alba Iulia,510073,46.0667,23.5833
50,Alba,01,Alba Iulia,510077,46.0667,23.5833
51,Alba,01,Alba Iulia,510078,46.0667,23.5833
52,Alba,01,Alba Iulia,510079,46.0667,23.5833
53,Alba,01,Alba Iulia,510080,46.0667,23.5833
54,Alba,01,Alba Iulia,510081,46.0667,23.5833
55,Alba,01,Alba Iulia,510082,46.0667,23.5833
56,Alba,01,Alba Iulia,510083,46.0667,23.5833
57,Alba,01,Alba Iulia,510084,46.0667,23.5833
58,Alba,01,Alba Iulia,510085,46.0667,23.5833
59,Alba,01,Alba Iulia,510086,46.0667,23.5833
60,Alba,01,Alba Iulia,510087,46.0667,23.5833
61,Alba,01,Alba Iulia,510088,46.0667,23.5833
62,Alba,01,Alba Iulia,510089,46.0667,23.5833
63,Alba,01,Alba Iulia,510090,46.0667,23.5833
64,Alba,01,Alba Iulia,510093,46.0667,23.5833
65,Alba,01,Alba Iulia,510094,46.0667,23.5833
66,Alba,01,Alba Iulia,510095,46.0667,23.5833
67,Alba,01,Alba Iulia,510096,46.0667,23.5833
68,Alba,01,Alba Iulia,510097,46.0667,23.5833
69,Alba,01,Alba Iulia,510101,46.0667,23.5833
70,Alba,01,Alba Iulia,510102,46.0667,23.5833
71,Alba,01,Alba Iulia,510103,46.0667,23.5833
72,Alba,01,Alba Iulia,510104,46.0667,23.5833
73,Alba,01,Alba Iulia,510105,46.0667,23.5833
74,Alba,01,Alba Iulia,510106,46.0667,23.5833
75,Alba,01,Alba Iulia,510109,46.0667,23.5833
76,Alba,01,Alba Iulia,510110,46.0667,23.5833
77,Alba,01,Alba Iulia,510111,46.0667,23.5833
78,Alba,01,Alba Iulia,510112,46.0667,23.5833
79,Alba,01,Alba Iulia,510113,46.0667,23.5833
80,Alba,01,Alba Iulia,510114,46.0667,23.5833
81,Alba,01,Alba Iulia,510115,46.0667,23.5833
82,Alba,01,Alba Iulia,510116,46.0667,23.5833
83,Alba,01,Alba Iulia,510117,46.0667,23.5833
84,Alba,01,Alba Iulia,510118,46.0667,23.5833
85,Alba,01,Alba Iulia,510119,46.0667,23.5833
86,Alba,01,Alba Iulia,510120,46.0667,23.5833
87,Alba,01,Alba Iulia,510121,46.0667,23.5833
88,Alba,01,Alba Iulia,510122,46.0667,23.5833
89,Alba,01,Alba Iulia,510124,46.0667,23.5833
90,Alba,01,Alba Iulia,510125,46.0667,23.5833
