,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,10000,AFFIDEA,nan nan,Petroșani,,332019,,,,,,,45.4082011,23.3754743
1,10001,Ambulanta,nan nan,Călărași,,910014,,,,,,,44.2035861,27.3179285
2,10002,Ambulanta Alesd,nan nan,Aleșd,,415100,,,,,,,47.05324,22.4020288
3,10003,Ambulanță Reghin,nan nan,Reghin,,545300,,,,,,,46.7840445,24.6967293
4,10004,Ambulatorul de Specialitate Sfântul Spiridon,nan nan,Iași,,700455,,,,,,,47.1699634,27.5808641
5,10005,Amethyst,nan nan,Otopeni,,075101,,,,,,,44.5358518,26.0604644
6,10006,Arcadia Hospital,Strada Cicoarei 2,Iași,,700620,,+40 232 202002,,,,,47.1578663,27.5612963
7,10007,"Bloc materno-infantil, Cardiologie, Radiologie, Laborator analize, Farmacie",Bulevardul Corneliu Coposu 2 - 4,Sibiu,,550009,,,,,,,45.7942521,24.1549566
8,10008,CERMED,Strada Avram Iancu 69,Constanța,,900184,,,,,,,44.1797112,28.6375993
9,10009,Cabinet Medico-Sanitar de Frontiera Port Constanța,nan nan,Constanța,,,,,,,,,44.1717148,28.6567463
10,10010,Cabinet medical,nan nan,Miroslava,,707308,,,,,,,47.097048,27.5271536
11,10011,Cabinet medical,nan nan,Sâg,,457300,,,,,,,47.0768578,22.781531
12,10012,Cabinet medical,nan nan,Sâncraiu,,407515,,,,,,,46.8299443,22.9855479
13,10013,Cabinete medicale de familie,Strada Roșiori 33,Galați,,800055,,,,,No,,45.4292631,28.0495669
14,10014,Cabinete medicale de specialitate,Bulevardul Primăverii 4,Iași,,700171,,,,,,,47.1504762,27.5967041
15,10015,Cabinete medicale.,nan nan,Ștei,,415600,,,,,,,46.5409352,22.4556971
16,10016,Camera de Gardă - Spitalul Clinic de Psihiatrie “Prof. Dr. Alexandru Obregia”,nan nan,București,,041905,,,,,Yes,,44.3864853,26.1278255
17,10017,Camera de Gardă - Spitalul de Urgență Floreasca,nan nan,București,,011601,,,,,Yes,,44.4538889,26.1008975
18,10018,Centru De Excelență Clinică Fundația Baylor,Strada Liliacului 10,Constanța,,900008,,+40 241 691 730,,,No,,44.1497426,28.6235805
19,10019,Centru Medical,nan nan,Târgu Mureș,,540052,,,,,,,46.5510804,24.5745144
20,10020,Centru de dializă Diaverum,Strada Distribuției 32,Sibiu,,550009,,,,,,,45.7960181,24.1333259
21,10021,Centru de recuperare și reabilitare neuropsihiatrică,nan nan,București,,023571,,,,,,,44.4679599,26.1526137
22,10022,Centrul Dializă IHS,nan nan,Brăila,,810015,,,,,,,45.2698958,27.979447
23,10023,Centrul Medial de Permanență Plătărești,nan nan,Plătărești,,917203,,,,,,,44.3426833,26.3769358
